Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,48.0,47.0,46.05,46.05,700.0,,1.0
1996-01-04,46.05,46.0,46.0,46.0,100.0,-0.0010857763300758938,1.0
1996-01-08,46.0,45.0,45.0,45.0,100.0,-0.021739130434782594,1.0
1996-01-09,45.0,44.85,41.5,41.55,600.0,-0.07666666666666677,1.0
1996-01-10,41.55,40.8,40.8,40.8,100.0,-0.018050541516245522,1.0
1996-01-11,40.8,41.0,41.0,41.0,200.0,0.004901960784313708,1.0
1996-01-12,41.0,42.45,42.45,42.45,200.0,0.03536585365853662,1.0
1996-01-15,42.45,42.0,40.5,40.5,300.0,-0.04593639575971742,1.0
1996-01-18,40.5,38.0,38.0,38.0,100.0,-0.06172839506172845,1.0
1996-01-30,38.0,38.0,38.0,38.0,1000.0,0.0,1.0
1996-01-31,36.5,36.5,36.5,36.5,100.0,-0.03947368421052633,1.0
1996-02-01,36.5,36.0,36.0,36.0,100.0,-0.013698630136986356,1.0
1996-02-02,39.55,39.6,38.5,38.5,1700.0,0.06944444444444442,1.0
1996-02-05,41.0,41.0,41.0,41.0,200.0,0.06493506493506485,1.0
1996-02-06,41.0,41.0,40.0,40.6,400.0,-0.009756097560975618,1.0
1996-02-07,40.6,40.6,40.0,40.0,800.0,-0.014778325123152691,1.0
1996-02-08,40.0,41.0,41.0,41.0,200.0,0.02499999999999991,1.0
1996-02-09,41.0,42.95,42.0,42.0,300.0,0.024390243902439046,1.0
1996-02-12,42.0,45.0,45.0,45.0,100.0,0.0714285714285714,1.0
1996-02-13,45.0,45.0,42.5,42.5,800.0,-0.05555555555555558,1.0
1996-02-14,42.5,45.0,42.5,45.0,200.0,0.05882352941176472,1.0
1996-02-15,45.0,45.0,44.0,45.0,300.0,0.0,1.0
1996-02-16,46.0,46.0,45.0,45.0,200.0,0.0,1.0
1996-02-19,45.0,45.0,44.95,44.95,300.0,-0.0011111111111110628,1.0
1996-02-20,44.95,45.0,44.0,44.0,1400.0,-0.021134593993325956,1.0
1996-02-22,44.0,44.85,40.45,43.5,500.0,-0.011363636363636354,1.0
1996-02-23,43.5,45.5,45.5,45.5,100.0,0.04597701149425282,1.0
1996-02-26,45.25,45.25,44.0,45.0,800.0,-0.01098901098901095,1.0
1996-02-27,45.0,44.0,44.0,44.0,300.0,-0.022222222222222254,1.0
1996-02-28,42.0,42.0,42.0,42.0,200.0,-0.045454545454545414,1.0
1996-02-29,42.0,41.0,41.0,41.0,100.0,-0.023809523809523836,1.0
1996-03-04,45.0,45.0,37.0,41.0,5200.0,0.0,1.0
1996-03-06,40.0,40.0,40.0,40.0,100.0,-0.024390243902439046,1.0
1996-03-07,40.0,40.0,38.0,38.0,400.0,-0.050000000000000044,1.0
1996-03-08,38.05,38.05,38.0,38.0,200.0,0.0,1.0
1996-03-11,38.0,35.6,35.6,35.6,3000.0,-0.06315789473684208,1.0
1996-03-12,38.5,38.5,37.0,37.0,3500.0,0.0393258426966292,1.0
