Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,112.0,112.0,112.0,112.0,100.0,,1.0
1996-01-02,112.0,108.5,108.5,108.5,100.0,-0.03125,1.0
1996-01-04,108.5,110.0,110.0,110.0,400.0,0.01382488479262678,1.0
1996-01-05,110.0,110.55,110.55,110.55,200.0,0.004999999999999893,1.0
1996-01-08,110.55,110.0,108.0,109.0,600.0,-0.014020805065581121,1.0
1996-01-09,106.0,106.0,106.0,106.0,1000.0,-0.02752293577981646,1.0
1996-01-10,105.0,105.0,105.0,105.0,200.0,-0.009433962264150941,1.0
1996-01-11,105.0,105.45,105.0,105.15,400.0,0.0014285714285715567,1.0
1996-01-12,105.1,105.1,105.1,105.1,100.0,-0.0004755111745127216,1.0
1996-01-15,105.0,105.0,104.0,105.0,800.0,-0.0009514747859181716,1.0
1996-01-16,105.0,104.0,103.0,103.05,500.0,-0.018571428571428572,1.0
1996-01-17,103.0,103.0,103.0,103.0,200.0,-0.00048520135856378044,1.0
1996-01-19,98.0,98.0,98.0,98.0,200.0,-0.04854368932038833,1.0
1996-01-22,91.0,91.0,91.0,91.0,100.0,-0.0714285714285714,1.0
1996-01-23,90.0,90.0,89.0,89.0,200.0,-0.02197802197802201,1.0
1996-01-24,94.0,94.0,89.0,89.0,300.0,0.0,1.0
1996-01-25,84.75,84.75,84.0,84.0,300.0,-0.0561797752808989,1.0
1996-01-29,80.0,84.0,80.0,84.0,300.0,0.0,1.0
1996-01-30,84.0,91.0,84.0,84.5,300.0,0.005952380952380931,1.0
1996-02-01,84.5,84.5,84.5,84.5,100.0,0.0,1.0
1996-02-02,84.5,85.5,85.5,85.5,100.0,0.01183431952662728,1.0
1996-02-05,94.05,94.5,94.05,94.5,200.0,0.10526315789473695,1.0
1996-02-06,94.5,103.0,95.0,95.85,2300.0,0.014285714285714235,1.0
1996-02-07,95.85,98.0,95.0,98.0,200.0,0.02243088158581119,1.0
1996-02-09,100.95,101.0,100.95,101.0,300.0,0.030612244897959107,1.0
1996-02-12,101.0,105.0,102.0,105.0,600.0,0.03960396039603964,1.0
1996-02-13,105.0,103.5,101.0,103.0,1000.0,-0.01904761904761909,1.0
1996-02-14,108.5,110.0,108.5,110.0,700.0,0.06796116504854366,1.0
1996-02-15,109.0,110.0,109.0,109.0,400.0,-0.009090909090909038,1.0
1996-02-16,106.0,106.0,104.0,104.0,200.0,-0.04587155963302747,1.0
1996-02-19,104.0,105.75,105.0,105.75,200.0,0.016826923076923128,1.0
1996-02-20,105.75,108.5,102.05,102.05,900.0,-0.03498817966903078,1.0
1996-02-22,108.95,108.95,108.95,108.95,100.0,0.06761391474767287,1.0
1996-02-23,105.0,105.0,105.0,105.0,200.0,-0.03625516291877007,1.0
1996-02-26,105.0,105.0,103.5,103.5,200.0,-0.014285714285714235,1.0
1996-02-27,101.0,101.0,100.0,100.0,200.0,-0.033816425120772986,1.0
1996-02-28,101.0,102.0,101.0,102.0,200.0,0.020000000000000018,1.0
1996-03-01,95.0,95.0,95.0,95.0,100.0,-0.06862745098039214,1.0
1996-03-04,94.85,95.0,94.85,95.0,400.0,0.0,1.0
1996-03-07,95.0,96.0,95.0,96.0,600.0,0.010526315789473717,1.0
1996-03-08,95.0,95.0,95.0,95.0,300.0,-0.01041666666666663,1.0
1996-03-11,95.0,96.0,95.0,96.0,700.0,0.010526315789473717,1.0
1996-03-12,91.5,92.0,91.0,91.05,500.0,-0.05156250000000007,1.0
1996-03-14,90.0,90.0,90.0,90.0,200.0,-0.011532125205930721,1.0
1996-03-15,90.75,92.0,90.75,91.0,400.0,0.011111111111111072,1.0
1996-03-18,91.0,91.0,90.0,90.75,300.0,-0.0027472527472527375,1.0
1996-03-19,90.75,91.0,90.0,90.0,700.0,-0.008264462809917328,1.0
1996-03-21,90.0,90.0,90.0,90.0,100.0,0.0,1.0
1996-03-22,87.0,87.0,87.0,87.0,200.0,-0.033333333333333326,1.0
1996-03-25,87.0,90.0,88.0,89.0,500.0,0.02298850574712641,1.0
1996-03-26,90.0,91.25,90.0,91.0,900.0,0.022471910112359605,1.0
1996-03-27,92.95,92.95,89.0,90.25,3400.0,-0.008241758241758212,1.0
1996-03-28,90.25,92.0,91.0,92.0,200.0,0.01939058171745156,1.0
1996-03-29,92.0,92.75,92.0,92.5,900.0,0.005434782608695565,1.0
1996-04-01,92.5,92.75,92.75,92.75,300.0,0.002702702702702675,1.0
1996-04-02,93.5,94.0,92.0,92.0,700.0,-0.008086253369272267,1.0
1996-04-03,92.0,98.0,97.5,97.5,300.0,0.059782608695652106,1.0
1996-04-08,97.5,98.0,96.0,98.0,300.0,0.00512820512820511,1.0
1996-04-09,98.0,98.0,93.0,93.0,1400.0,-0.05102040816326525,1.0
1996-04-10,93.0,91.5,90.5,91.5,400.0,-0.016129032258064502,1.0
1996-04-11,89.75,91.0,89.75,91.0,500.0,-0.005464480874316946,1.0
1996-04-12,91.0,91.0,91.0,91.0,100.0,0.0,1.0
1996-04-15,91.0,92.45,89.25,92.45,300.0,0.015934065934065877,1.0
1996-04-16,92.45,94.0,93.05,94.0,400.0,0.016765819361817202,1.0
1996-04-17,94.0,94.0,93.95,94.0,800.0,0.0,1.0
1996-04-18,94.0,98.0,96.95,96.95,500.0,0.03138297872340434,1.0
1996-04-19,96.95,99.8,97.0,98.0,1300.0,0.010830324909747224,1.0
1996-04-22,98.0,97.0,95.0,95.0,800.0,-0.030612244897959218,1.0
1996-04-23,93.25,94.45,91.0,91.0,1200.0,-0.04210526315789476,1.0
1996-04-24,91.0,94.0,92.0,92.0,1500.0,0.01098901098901095,1.0
1996-04-25,92.0,94.0,92.5,92.5,200.0,0.005434782608695565,1.0
1996-04-26,93.0,93.0,91.75,91.75,300.0,-0.008108108108108136,1.0
1996-04-29,94.0,94.0,90.6,91.0,300.0,-0.008174386920980936,1.0
1996-04-30,91.0,90.95,90.0,90.55,1000.0,-0.0049450549450549275,1.0
1996-05-01,92.0,92.0,89.55,90.0,1100.0,-0.006073992269464368,1.0
1996-05-02,90.25,90.25,88.05,88.05,400.0,-0.021666666666666723,1.0
1996-05-03,86.05,90.0,86.0,87.5,1800.0,-0.00624645088018172,1.0
1996-05-06,86.5,96.0,86.0,94.5,2000.0,0.08000000000000007,1.0
1996-05-07,94.5,91.0,89.0,89.7,900.0,-0.050793650793650724,1.0
1996-05-08,89.7,89.5,85.0,87.8,1000.0,-0.021181716833890807,1.0
1996-05-09,87.8,88.75,88.0,88.0,200.0,0.002277904328018332,1.0
1996-05-10,84.0,86.7,84.0,85.8,500.0,-0.025000000000000022,1.0
1996-05-13,85.8,85.7,84.5,85.2,500.0,-0.006993006993006978,1.0
1996-05-14,85.2,88.0,85.0,87.25,1000.0,0.02406103286384975,1.0
1996-05-15,88.0,88.0,88.0,88.0,200.0,0.008595988538681931,1.0
1996-05-16,87.0,87.0,86.0,86.0,700.0,-0.022727272727272707,1.0
1996-05-17,86.0,85.05,85.0,85.0,200.0,-0.011627906976744207,1.0
1996-05-20,85.0,83.0,82.0,83.0,400.0,-0.02352941176470591,1.0
1996-05-21,83.0,81.5,81.0,81.0,300.0,-0.02409638554216864,1.0
1996-05-22,81.0,79.8,78.1,79.8,600.0,-0.014814814814814836,1.0
1996-05-23,79.8,77.5,76.75,76.75,300.0,-0.038220551378446044,1.0
1996-05-27,76.75,76.0,73.0,76.0,200.0,-0.009771986970684043,1.0
1996-05-28,76.0,75.5,73.5,73.5,400.0,-0.03289473684210531,1.0
1996-05-29,73.5,76.0,76.0,76.0,100.0,0.03401360544217691,1.0
1996-05-30,73.0,75.0,73.0,73.4,700.0,-0.03421052631578936,1.0
1996-05-31,73.4,73.0,73.0,73.0,200.0,-0.005449591280654031,1.0
1996-06-03,73.0,70.0,67.05,69.95,500.0,-0.041780821917808186,1.0
1996-06-04,69.95,71.0,69.0,69.25,1000.0,-0.010007147962830643,1.0
1996-06-05,68.95,69.0,68.95,69.0,200.0,-0.0036101083032491488,1.0
1996-06-06,69.0,69.95,69.0,69.95,300.0,0.013768115942029091,1.0
1996-06-07,64.05,66.0,64.05,65.0,700.0,-0.07076483202287354,1.0
1996-06-10,66.0,66.0,65.0,65.0,200.0,0.0,1.0
1996-06-11,65.0,66.75,65.0,66.75,300.0,0.026923076923076827,1.0
1996-06-12,68.0,72.0,68.0,71.5,800.0,0.07116104868913853,1.0
1996-06-13,72.0,74.75,70.05,74.75,700.0,0.045454545454545414,1.0
1996-06-14,80.0,82.0,75.0,81.75,900.0,0.09364548494983271,1.0
1996-06-17,83.0,83.45,83.0,83.45,800.0,0.020795107033639182,1.0
1996-06-18,83.45,83.5,83.0,83.5,1900.0,0.0005991611743558778,1.0
1996-06-19,83.5,85.0,82.0,83.6,900.0,0.0011976047904191933,1.0
1996-06-20,82.0,84.0,82.0,84.0,700.0,0.004784688995215447,1.0
1996-06-21,81.6,81.6,80.6,80.6,1200.0,-0.040476190476190554,1.0
1996-06-24,78.0,78.0,76.05,76.05,300.0,-0.056451612903225756,1.0
1996-06-25,77.9,77.9,73.0,73.1,500.0,-0.03879026955950038,1.0
1996-06-26,73.0,73.0,71.0,72.0,300.0,-0.015047879616962967,1.0
1996-06-27,73.95,73.95,69.05,69.05,200.0,-0.0409722222222223,1.0
1996-06-28,72.5,72.5,72.5,72.5,100.0,0.04996379435191889,1.0
1996-07-01,72.0,72.0,72.0,72.0,100.0,-0.006896551724137945,1.0
1996-07-02,70.0,70.0,68.0,69.0,500.0,-0.04166666666666663,1.0
1996-07-03,72.0,72.0,70.4,70.4,500.0,0.020289855072463947,1.0
1996-07-04,67.0,69.95,67.0,69.95,300.0,-0.006392045454545525,1.0
1996-07-05,68.0,69.0,67.95,67.95,1100.0,-0.028591851322373074,1.0
1996-07-08,68.0,68.0,68.0,68.0,200.0,0.0007358351729211954,1.0
1996-07-09,66.0,66.0,61.4,65.0,1300.0,-0.044117647058823484,1.0
1996-07-10,64.9,65.0,64.9,65.0,600.0,0.0,1.0
1996-07-11,65.05,65.05,65.0,65.0,1000.0,0.0,1.0
