Date,Open,High,Low,Close,Volume,Returns,Anomaly
2013-07-31,140.0,164.9,131.0,154.2,14136.0,,1.0
2013-08-01,158.8,164.95,155.0,161.35,19948.0,0.04636835278858631,1.0
2013-08-02,163.0,172.0,155.0,155.35,38303.0,-0.03718624109079638,1.0
2013-08-05,155.0,164.0,152.15,158.75,29410.0,0.021886063727067917,1.0
2013-08-06,153.0,160.0,130.25,147.5,12462.0,-0.07086614173228345,1.0
2013-08-07,145.0,152.0,144.0,147.35,18507.0,-0.0010169491525423568,1.0
2013-08-08,141.1,154.4,141.0,144.05,20670.0,-0.022395656599932035,1.0
2013-08-12,145.0,153.7,143.25,144.4,11958.0,0.002429711905588272,1.0
2013-08-13,137.25,153.8,137.25,148.25,15162.0,0.026662049861495785,1.0
2013-08-14,147.25,153.9,147.25,152.4,10550.0,0.02799325463743685,1.0
2013-08-16,152.4,152.4,142.5,143.55,13893.0,-0.05807086614173229,1.0
2013-08-19,142.0,147.0,137.0,139.6,6607.0,-0.0275165447579242,1.0
2013-08-20,138.0,145.0,136.05,139.55,29038.0,-0.00035816618911166387,1.0
2013-08-21,140.1,143.75,138.25,139.0,24666.0,-0.003941239699032706,1.0
2013-08-22,127.0,140.3,127.0,136.5,9676.0,-0.017985611510791366,1.0
2013-08-23,135.1,137.0,128.0,130.8,40028.0,-0.04175824175824172,1.0
2013-08-26,132.0,139.7,130.0,135.9,12983.0,0.03899082568807333,1.0
2013-08-27,132.0,133.0,130.1,132.15,2790.0,-0.02759381898454749,1.0
2013-08-28,131.9,135.25,121.5,133.05,22909.0,0.006810442678774065,1.0
2013-08-29,133.05,133.05,127.0,130.15,1845.0,-0.021796317173994773,1.0
2013-08-30,130.0,131.0,126.0,127.0,1972.0,-0.02420284287360741,1.0
2013-09-02,125.4,129.95,125.1,126.2,1560.0,-0.006299212598425141,1.0
2013-09-03,125.0,127.9,121.0,124.55,2057.0,-0.01307448494453256,1.0
2013-09-04,124.5,133.85,116.0,125.9,8762.0,0.01083902047370544,1.0
2013-09-05,125.0,129.0,122.05,125.35,2044.0,-0.004368546465448819,1.0
2013-09-06,125.0,125.0,121.1,123.3,3905.0,-0.016354208216992405,1.0
2013-09-10,128.95,130.8,121.0,129.25,7865.0,0.04825628548256278,1.0
2013-09-11,122.5,128.5,122.5,125.45,5045.0,-0.02940038684719537,1.0
2013-09-12,124.15,135.0,119.0,124.75,15066.0,-0.005579912315663682,1.0
2013-09-13,124.0,127.65,123.1,124.05,1443.0,-0.005611222444889763,1.0
2013-09-16,123.7,126.7,120.05,121.6,2572.0,-0.01975010076582029,1.0
2013-09-17,118.05,123.0,117.6,119.0,2461.0,-0.021381578947368363,1.0
2013-09-18,124.0,124.0,116.1,118.6,2537.0,-0.003361344537815225,1.0
2013-09-19,120.0,122.0,119.5,120.55,3504.0,0.016441821247892063,1.0
2013-09-20,120.0,121.75,116.0,118.15,2785.0,-0.019908751555371196,1.0
2013-09-23,111.0,118.9,111.0,115.75,3357.0,-0.02031316123571736,1.0
2013-09-24,111.5,126.0,107.05,118.1,11676.0,0.020302375809935214,1.0
2013-09-25,113.0,118.75,113.0,114.2,2699.0,-0.03302286198137161,1.0
2013-09-26,109.0,121.0,109.0,119.85,13875.0,0.049474605954465734,1.0
2013-09-27,116.6,120.0,115.0,116.9,2520.0,-0.024614100959532648,1.0
2013-09-30,113.0,117.0,110.0,111.75,3021.0,-0.04405474764756212,1.0
2013-10-01,111.25,116.0,105.0,107.95,28351.0,-0.03400447427293063,1.0
2013-10-03,110.0,117.9,108.05,116.55,94015.0,0.07966651227420107,1.0
2013-10-04,119.0,121.85,110.25,111.55,157550.0,-0.0429000429000429,1.0
2013-10-07,113.7,116.0,111.0,111.6,15076.0,0.00044822949350065144,1.0
2013-10-08,112.0,114.8,111.0,111.15,6239.0,-0.004032258064516014,1.0
2013-10-09,110.05,113.55,110.0,110.2,14972.0,-0.008547008547008517,1.0
2013-10-10,112.8,112.8,110.0,110.05,4520.0,-0.0013611615245009423,1.0
2013-10-11,112.8,113.9,110.0,111.15,8133.0,0.009995456610631503,1.0
2013-10-14,112.0,112.0,110.0,110.0,10359.0,-0.010346378767431497,1.0
2013-10-15,109.3,109.3,101.15,105.15,17190.0,-0.04409090909090907,1.0
2013-10-17,103.6,106.7,101.65,103.4,5102.0,-0.016642891107941038,1.0
2013-10-18,103.1,110.0,102.15,108.1,23939.0,0.045454545454545414,1.0
2013-10-21,110.0,111.0,102.1,104.4,21496.0,-0.03422756706752994,1.0
2013-10-22,104.0,106.8,103.0,105.2,9343.0,0.00766283524904221,1.0
2013-10-23,104.5,106.8,102.6,104.25,13051.0,-0.009030418250950634,1.0
2013-10-24,104.2,106.0,101.3,102.1,17100.0,-0.020623501199040772,1.0
2013-10-25,101.1,105.0,100.5,103.55,22939.0,0.014201762977473109,1.0
2013-10-28,101.55,104.0,101.0,102.65,5021.0,-0.00869145340415245,1.0
2013-10-29,101.65,103.5,101.4,101.75,3502.0,-0.008767657087189518,1.0
2013-10-30,101.65,103.0,101.65,102.1,3875.0,0.003439803439803324,1.0
2013-10-31,100.05,103.5,100.05,101.25,5728.0,-0.008325171400587639,1.0
2013-11-01,101.0,101.75,97.5,98.2,8579.0,-0.030123456790123404,1.0
2013-11-03,99.5,101.0,98.0,99.05,1305.0,0.00865580448065173,1.0
2013-11-05,98.1,101.0,95.05,97.9,4246.0,-0.011610297829379057,1.0
2013-11-06,98.0,99.7,97.15,98.2,3210.0,0.003064351378958108,1.0
2013-11-07,98.0,98.0,94.8,95.25,4667.0,-0.03004073319755607,1.0
2013-11-08,96.0,96.0,90.05,92.15,4797.0,-0.032545931758530156,1.0
2013-11-11,94.9,94.9,88.15,89.05,7367.0,-0.033640803038524236,1.0
2013-11-12,88.7,92.6,80.7,84.5,7817.0,-0.05109489051094884,1.0
2013-11-13,84.0,84.0,81.0,81.6,3926.0,-0.034319526627219044,1.0
2013-11-14,81.55,84.95,81.55,83.8,2759.0,0.026960784313725616,1.0
2013-11-18,83.0,84.0,82.05,82.7,2941.0,-0.013126491646777927,1.0
2013-11-19,81.75,82.9,80.25,80.5,11549.0,-0.026602176541717037,1.0
2013-11-20,80.3,83.9,77.35,82.75,5929.0,0.02795031055900621,1.0
2013-11-21,82.2,82.85,81.0,81.3,3036.0,-0.017522658610271913,1.0
2013-11-22,81.3,82.0,77.05,79.9,2091.0,-0.017220172201721895,1.0
2013-11-25,78.5,81.5,77.05,78.35,5716.0,-0.01939924906132684,1.0
2013-11-26,77.05,79.95,76.05,77.15,3130.0,-0.015315890236119789,1.0
2013-11-27,76.7,77.8,75.0,76.5,1789.0,-0.008425145819831559,1.0
2013-11-28,75.05,88.0,75.05,81.6,7159.0,0.06666666666666665,1.0
2013-11-29,85.0,96.15,82.5,87.1,23588.0,0.06740196078431371,1.0
2013-12-02,86.5,89.95,85.0,86.25,8720.0,-0.009758897818599288,1.0
2013-12-03,87.75,89.0,85.0,86.2,7247.0,-0.0005797101449275255,1.0
2013-12-04,85.0,87.9,85.0,86.55,4609.0,0.004060324825986061,1.0
2013-12-05,86.0,86.8,85.0,85.15,2505.0,-0.016175621028307274,1.0
2013-12-06,83.05,86.0,83.05,84.25,2868.0,-0.010569583088667178,1.0
2013-12-09,86.8,92.0,84.9,87.3,17447.0,0.03620178041543021,1.0
2013-12-10,85.1,90.0,85.0,85.0,5664.0,-0.026345933562428425,1.0
2013-12-11,85.0,91.9,85.0,90.3,10938.0,0.0623529411764705,1.0
2013-12-12,90.0,98.95,87.0,97.3,35259.0,0.07751937984496116,1.0
2013-12-13,96.5,99.8,91.0,98.5,19085.0,0.012332990750256956,1.0
2013-12-16,97.0,98.0,94.05,94.35,15745.0,-0.042131979695431476,1.0
2013-12-17,93.0,97.2,87.15,88.55,14545.0,-0.0614732379438262,1.0
2013-12-18,86.0,91.95,85.0,85.45,39675.0,-0.03500846979107841,1.0
2013-12-19,83.2,88.45,82.25,82.8,27485.0,-0.031012287887653645,1.0
2013-12-20,86.0,99.3,81.15,81.7,59441.0,-0.01328502415458932,1.0
2013-12-23,83.2,85.6,82.0,83.35,21763.0,0.020195838433292534,1.0
2013-12-24,84.85,85.8,81.6,85.0,39858.0,0.019796040791841607,1.0
2013-12-26,84.0,89.0,84.0,85.3,5602.0,0.003529411764705781,1.0
2013-12-27,85.5,85.95,85.0,85.45,5646.0,0.0017584994138335475,1.0
2013-12-30,84.55,85.1,83.55,83.85,4120.0,-0.018724400234055083,1.0
2013-12-31,83.1,90.25,83.1,89.65,20575.0,0.06917113893858096,1.0
2014-01-01,89.9,91.0,87.0,88.8,9486.0,-0.009481316229782544,1.0
2014-01-02,88.9,91.0,85.3,85.85,7743.0,-0.0332207207207208,1.0
2014-01-03,85.7,86.95,84.0,84.8,5123.0,-0.012230634828188647,1.0
2014-01-06,85.95,87.9,83.55,86.55,6566.0,0.02063679245283012,1.0
2014-01-07,85.5,87.65,84.55,85.1,5043.0,-0.01675332177931832,1.0
2014-01-08,88.4,89.75,85.05,86.9,12911.0,0.021151586368977737,1.0
2014-01-09,86.3,88.7,86.0,86.3,6170.0,-0.0069044879171462625,1.0
2014-01-10,86.3,86.3,85.1,85.25,7898.0,-0.012166859791425177,1.0
2014-01-13,85.5,86.9,85.0,85.05,2559.0,-0.002346041055718562,1.0
2014-01-14,84.75,85.9,84.75,85.05,1862.0,0.0,1.0
2014-01-15,85.0,87.0,84.8,86.25,8002.0,0.014109347442680775,1.0
2014-01-16,85.1,88.0,85.1,87.3,15897.0,0.012173913043478146,1.0
2014-01-17,86.0,88.1,85.55,86.25,9496.0,-0.012027491408934665,1.0
