Date,Open,High,Low,Close,Volume,Returns,Anomaly
2008-11-06,,,,,,,
2008-11-07,,,,,,,
2008-11-10,,,,,,,
2008-11-11,,,,,,,
2008-11-12,,,,,,,
2008-11-14,,,,,,,
2008-11-17,,,,,,,
2008-11-18,,,,,,,
2008-11-19,,,,,,,
2008-11-20,184.0,187.5,175.05,185.8,1002582.0,-0.005885500267522659,1.0
2008-11-21,186.0,189.0,175.0,181.35,798149.0,-0.023950484391819238,1.0
2008-11-24,176.2,187.75,170.1,181.25,639362.0,-0.0005514199062586211,1.0
2008-11-25,185.79999999999998,193.5,167.4,175.43333333333334,843892.6666666666,-0.06076917954593697,1.0
2008-11-26,195.4,199.25,164.7,169.61666666666667,1048423.3333333333,-0.12098693918561532,1.0
2008-11-28,205.0,205.0,162.0,163.8,1252954.0,-0.18120469882529366,1.0
2008-12-01,161.9,170.0,146.1,155.5,1417855.0,-0.050671550671550714,1.0
2008-12-02,154.0,158.05,139.55,153.2,1247208.0,-0.014790996784565968,1.0
2008-12-03,154.0,162.0,138.25,138.75,661795.0,-0.09432114882506526,1.0
2008-12-04,141.5,145.6,132.0,134.2,985603.0,-0.0327927927927929,1.0
2008-12-05,131.15,146.0,127.0,143.9,977857.0,0.072280178837556,1.0
2008-12-08,147.0,162.9,132.2,133.55,1280461.0,-0.07192494788047255,1.0
2008-12-10,134.9,155.9,129.3,154.15,1348296.0,0.154249344814676,1.0
2008-12-11,154.5,161.0,145.5,153.25,1064946.0,-0.005838469023678239,1.0
2008-12-12,145.0,156.35,135.15,151.5,618324.0,-0.011419249592169667,1.0
2008-12-15,155.0,165.0,121.2,121.2,1340852.0,-0.19999999999999996,1.0
2008-12-16,118.0,126.9,105.15,121.3,1110227.0,0.0008250825082507518,1.0
2008-12-17,122.5,130.0,115.0,115.8,487000.0,-0.045342126957955475,1.0
2008-12-18,116.0,126.0,116.0,121.45,512312.0,0.048791018998272984,1.0
2008-12-19,119.1,124.05,111.25,116.3,494509.0,-0.0424042815973652,1.0
2008-12-22,110.0,127.75,110.0,125.75,496482.0,0.08125537403267424,1.0
2008-12-23,125.0,125.0,119.15,123.0,138833.0,-0.021868787276341894,1.0
2008-12-24,122.0,125.4,120.5,124.75,197226.0,0.014227642276422703,1.0
2008-12-26,125.0,131.8,115.0,116.45,362218.0,-0.0665330661322645,1.0
2008-12-29,115.05,138.75,114.95,134.0,574146.0,0.15070845856590798,1.0
2008-12-30,136.0,142.7,133.0,138.15,517958.0,0.030970149253731316,1.0
2008-12-31,138.0,147.25,128.1,129.95,899631.0,-0.05935577271082171,1.0
2009-01-01,130.0,138.0,128.75,136.45,328267.0,0.05001923816852627,1.0
2009-01-02,137.5,163.75,137.05,163.35,1055068.0,0.1971418101868816,1.0
2009-01-05,165.5,167.6,153.0,163.65,546527.0,0.0018365472910928382,1.0
2009-01-06,163.05,176.95,161.2,167.75,652169.0,0.02505346776657502,1.0
2009-01-07,171.0,173.5,157.0,162.85,256937.0,-0.029210134128166976,1.0
2009-01-09,155.05,164.5,151.0,158.0,220795.0,-0.02978200798280628,1.0
2009-01-12,155.0,166.0,155.0,161.25,99989.0,0.020569620253164667,1.0
2009-01-13,158.0,174.9,157.3,164.45,272992.0,0.01984496124030999,1.0
2009-01-14,165.5,165.5,150.0,151.45,164553.0,-0.07905138339920947,1.0
2009-01-15,150.0,155.75,147.0,150.9,113362.0,-0.0036315615714755944,1.0
2009-01-16,160.0,160.0,144.1,146.65,182161.0,-0.0281643472498343,1.0
2009-01-19,148.0,153.9,138.0,141.55,149957.0,-0.03477667916808724,1.0
2009-01-20,140.0,151.0,138.25,147.5,316901.0,0.04203461674320019,1.0
2009-01-21,147.85,154.0,140.3,142.8,220509.0,-0.03186440677966096,1.0
2009-01-22,145.0,150.0,136.9,138.35,118144.0,-0.03116246498599451,1.0
2009-01-23,138.0,142.5,134.25,138.55,155806.0,0.0014456089627756796,1.0
2009-01-27,137.0,142.0,136.0,140.2,204899.0,0.011909058101768233,1.0
2009-01-28,137.15,151.5,137.15,147.5,249789.0,0.05206847360912992,1.0
2009-01-29,149.0,160.0,148.85,153.5,303525.0,0.04067796610169494,1.0
2009-01-30,149.0,160.9,145.2,154.85,98947.0,0.008794788273615683,1.0
2009-02-02,157.0,157.5,142.8,147.1,50223.0,-0.050048433968356454,1.0
2009-02-03,148.0,160.9,133.1,155.95,236288.0,0.06016315431679131,1.0
2009-02-04,158.9,166.9,150.0,161.1,177999.0,0.033023404937480016,1.0
2009-02-05,162.0,163.5,155.05,156.6,116917.0,-0.027932960893854775,1.0
2009-02-06,155.0,164.0,153.0,155.25,77321.0,-0.008620689655172376,1.0
2009-02-09,151.05,170.8,150.15,170.8,171051.0,0.10016103059581338,1.0
2009-02-10,175.25,184.4,164.7,169.05,271259.0,-0.010245901639344246,1.0
2009-02-11,164.05,181.0,164.05,179.0,196482.0,0.05885832593907114,1.0
2009-02-12,183.5,192.0,172.25,175.05,309603.0,-0.02206703910614516,1.0
2009-02-13,177.25,181.0,163.55,179.9,403473.0,0.027706369608683223,1.0
