Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-09-12,50.0,50.0,50.0,50.0,50.0,,1.0
1996-09-13,53.0,53.0,53.0,53.0,250.0,0.06000000000000005,1.0
1996-11-19,48.25,48.25,48.25,48.25,50.0,-0.089622641509434,1.0
1996-11-26,49.05,49.05,49.0,49.05,300.0,0.016580310880828897,1.0
1996-11-27,53.45,53.5,53.45,53.5,150.0,0.09072375127421006,1.0
1996-11-28,52.0,52.0,49.05,51.0,700.0,-0.04672897196261683,1.0
1996-11-29,49.05,49.05,48.0,49.0,800.0,-0.039215686274509776,1.0
1996-12-02,49.1,49.1,49.0,49.0,500.0,0.0,1.0
1996-12-03,48.25,49.0,48.25,49.0,200.0,0.0,1.0
1996-12-05,49.0,49.9,49.0,49.45,300.0,0.009183673469387754,1.0
1996-12-06,49.5,49.5,49.0,49.0,250.0,-0.009100101112234582,1.0
1996-12-10,48.0,48.0,48.0,48.0,50.0,-0.020408163265306145,1.0
1996-12-11,49.0,50.0,49.0,50.0,100.0,0.04166666666666674,1.0
1996-12-13,48.5,48.5,46.3,47.5,1850.0,-0.050000000000000044,1.0
1996-12-16,46.5,47.0,46.5,47.0,700.0,-0.010526315789473717,1.0
1996-12-17,50.25,50.25,46.5,46.5,250.0,-0.010638297872340385,1.0
1996-12-18,45.5,48.0,45.5,48.0,500.0,0.032258064516129004,1.0
1996-12-19,44.0,46.0,44.0,45.6,400.0,-0.04999999999999993,1.0
1996-12-20,45.0,45.0,43.75,44.0,4650.0,-0.03508771929824561,1.0
1996-12-23,44.0,46.45,44.0,46.0,400.0,0.045454545454545414,1.0
1996-12-24,44.0,44.0,44.0,44.0,300.0,-0.04347826086956519,1.0
1996-12-31,48.25,48.25,44.1,44.1,450.0,0.002272727272727204,1.0
1997-01-01,47.5,48.0,47.5,48.0,150.0,0.08843537414965974,1.0
1997-01-02,48.0,49.0,48.0,49.0,300.0,0.02083333333333326,1.0
1997-01-03,47.15,47.15,45.15,45.15,950.0,-0.07857142857142863,1.0
1997-01-07,46.0,49.65,46.0,49.65,600.0,0.09966777408637872,1.0
1997-01-08,52.0,54.0,52.0,54.0,750.0,0.08761329305135956,1.0
1997-01-09,53.0,58.0,53.0,58.0,800.0,0.07407407407407418,1.0
1997-01-10,62.0,62.0,62.0,62.0,450.0,0.06896551724137923,1.0
1997-01-13,59.0,61.9,59.0,61.9,1250.0,-0.001612903225806428,1.0
1997-01-14,61.0,62.0,60.5,62.0,450.0,0.001615508885298933,1.0
1997-01-15,63.9,67.0,63.9,66.0,850.0,0.06451612903225801,1.0
1997-01-16,66.5,66.75,62.0,62.0,950.0,-0.06060606060606055,1.0
1997-01-17,60.0,60.0,60.0,60.0,450.0,-0.032258064516129004,1.0
1997-01-20,58.0,58.0,55.0,55.1,300.0,-0.08166666666666667,1.0
1997-01-21,54.25,54.9,54.0,54.1,600.0,-0.01814882032667875,1.0
1997-01-22,55.0,55.0,55.0,55.0,100.0,0.01663585951940849,1.0
1997-01-24,55.0,56.95,55.0,55.0,450.0,0.0,1.0
1997-01-27,57.0,57.0,55.0,55.0,200.0,0.0,1.0
