Date,Open,High,Low,Close,Volume,Returns,Anomaly
2006-12-26,522.0,535.0,502.0,522.95,5227.0,,1.0
2006-12-27,529.75,550.0,514.1,522.05,1430.0,-0.0017210058322977284,1.0
2006-12-28,515.0,522.5,500.0,511.4,838.0,-0.020400344794559877,1.0
2006-12-29,530.0,530.0,520.0,524.95,630.0,0.026495893625342326,1.0
2007-01-02,530.0,530.0,500.0,500.85,969.0,-0.045909134203257485,1.0
2007-01-03,515.0,534.0,506.0,515.85,3357.0,0.029949086552860216,1.0
2007-01-04,515.5,525.0,506.0,510.35,1804.0,-0.010662014151400556,1.0
2007-01-05,550.0,550.0,508.0,534.1,4762.0,0.04653669050651521,1.0
2007-01-08,509.15,509.15,505.4,505.4,180.0,-0.053735255570118046,1.0
2007-01-09,505.0,510.0,496.0,496.0,588.0,-0.01859912940245345,1.0
2007-01-10,483.05,490.1,471.0,471.45,508.0,-0.04949596774193554,1.0
2007-01-12,485.0,485.0,463.0,463.0,2.0,-0.017923427722982277,1.0
2007-01-15,480.0,481.0,475.05,475.05,192.0,0.026025917926565834,1.0
2007-01-16,510.1,510.1,471.3,485.0,71.0,0.020945163666982403,1.0
2007-01-17,519.0,532.0,466.6,471.45,101.0,-0.02793814432989694,1.0
2007-01-18,500.9,500.9,472.1,486.1,70.0,0.031074345105525536,1.0
2007-01-19,465.3,465.3,461.0,462.0,180.0,-0.049578276074881744,1.0
2007-01-22,455.15,455.15,455.15,455.15,1.0,-0.014826839826839855,1.0
2007-01-23,456.15,519.5,432.25,461.2,436.0,0.013292321212787117,1.0
2007-01-24,479.25,479.25,446.15,446.15,540.0,-0.03263226366001737,1.0
2007-01-25,445.0,445.1,445.0,445.0,1945.0,-0.0025776084276588618,1.0
2007-01-29,499.0,520.0,445.2,452.85,1177.0,0.01764044943820231,1.0
2007-01-31,460.0,463.0,455.0,455.0,1885.0,0.00474770895439991,1.0
2007-02-01,435.2,444.95,432.65,443.0,37.0,-0.02637362637362639,1.0
2007-02-02,441.0,441.0,435.0,435.45,6705.0,-0.017042889390519234,1.0
2007-02-05,436.0,436.0,430.0,430.0,40.0,-0.012515788265013206,1.0
2007-02-06,419.5,445.95,419.5,423.0,190.0,-0.016279069767441867,1.0
2007-02-07,423.25,432.5,423.25,423.5,52.0,0.0011820330969267712,1.0
2007-02-08,475.0,475.0,415.0,420.0,290.0,-0.008264462809917328,1.0
2007-02-09,474.0,474.0,406.2,414.45,1080.0,-0.013214285714285734,1.0
2007-02-12,417.75,417.75,395.0,395.0,105.0,-0.04692966582217395,1.0
2007-02-13,405.0,422.0,400.0,421.0,830.0,0.06582278481012649,1.0
2007-02-14,368.15,410.0,368.15,385.0,196.0,-0.08551068883610446,1.0
2007-02-15,400.0,400.0,399.0,399.0,17.0,0.036363636363636376,1.0
2007-02-19,372.7,394.9,372.7,385.0,258.0,-0.03508771929824561,1.0
2007-02-20,399.95,399.95,372.3,381.9,2027.0,-0.008051948051948088,1.0
2007-02-21,398.3,399.95,392.0,392.0,109.0,0.026446713799423982,1.0
2007-02-22,400.0,400.0,375.0,375.75,309.0,-0.04145408163265307,1.0
2007-02-23,375.0,375.0,354.0,361.0,2199.0,-0.03925482368596145,1.0
2007-02-26,367.5,396.85,367.0,369.3,15221.0,0.022991689750692546,1.0
2007-02-28,351.525,375.925,351.275,358.125,7860.5,-0.0058246893483598905,1.0
2007-03-01,335.55,355.0,335.55,346.95,500.0,-0.034641068447412326,1.0
2007-03-02,399.6,399.6,340.0,382.5,1826.0,0.10246433203631655,1.0
2007-03-05,345.2,349.9,330.0,330.3,592.0,-0.13647058823529412,1.0
2007-03-06,320.05,345.0,320.05,345.0,110.0,0.04450499545867381,1.0
2007-03-07,315.0,368.0,315.0,337.0,1860.0,-0.023188405797101463,1.0
2007-03-08,315.0,341.95,315.0,320.65,12188.0,-0.0485163204747775,1.0
2007-03-09,346.95,346.95,325.65,325.65,100.0,0.01559332605644781,1.0
2007-03-12,310.25,362.45,310.25,355.85,9.0,0.09273760171963774,1.0
2007-03-13,330.0,362.0,330.0,337.05,237.0,-0.05283124912182102,1.0
2007-03-14,323.05,369.9,323.05,348.8,631.0,0.03486129654353953,1.0
2007-03-15,348.0,359.0,331.05,350.2,1804.0,0.004013761467889898,1.0
2007-03-16,340.0,340.0,340.0,340.0,60.0,-0.029126213592232997,1.0
2007-03-19,343.0,388.0,342.15,348.65,952.0,0.02544117647058819,1.0
2007-03-20,349.0,355.0,349.0,355.0,591.0,0.018213107701132936,1.0
2007-03-21,355.1,380.0,355.1,365.0,827.0,0.028169014084507005,1.0
2007-03-22,350.1,359.9,350.1,355.0,300.0,-0.0273972602739726,1.0
2007-03-23,321.65,378.6,321.65,356.4,3847.0,0.003943661971830936,1.0
2007-03-26,354.09999999999997,392.06666666666666,325.43333333333334,353.8333333333333,2722.333333333333,-0.02153190633805942,1.0
2007-03-28,386.55,405.53333333333336,329.21666666666664,351.26666666666665,1597.6666666666665,-0.04700747464794978,1.0
2007-03-29,419.0,419.0,333.0,348.7,473.0,-0.07248304295784014,1.0
2007-03-30,389.9,389.9,345.0,357.5,2000.0,0.025236593059936974,1.0
2007-04-03,326.05,326.05,313.1,316.0,82.0,-0.1160839160839161,1.0
2007-04-04,320.0,331.95,309.35,311.55,160.0,-0.014082278481012622,1.0
2007-04-05,303.0,342.45,303.0,341.85,73.0,0.09725565719788154,1.0
2007-04-09,321.1,348.8,321.1,348.8,74.0,0.020330554336697393,1.0
2007-04-10,325.0,398.9,325.0,334.25,458.0,-0.04171444954128445,1.0
2007-04-11,330.0,340.9,325.1,329.5,1498.0,-0.01421091997008228,1.0
2007-04-12,330.1,348.0,317.25,317.75,48.0,-0.03566009104704093,1.0
2007-04-13,315.0,336.0,302.0,332.7,3206.0,0.04704956726986631,1.0
2007-04-16,322.0,354.0,322.0,330.0,2505.0,-0.008115419296663595,1.0
2007-04-17,330.5,351.9,330.0,330.05,3397.0,0.00015151515151523576,1.0
2007-04-18,331.0,339.0,331.0,335.0,896.0,0.014997727617027667,1.0
2007-04-19,353.0,353.9,330.0,331.0,2230.0,-0.011940298507462699,1.0
2007-04-20,332.65,332.65,332.25,332.3,210.0,0.003927492447129977,1.0
2007-04-23,348.0,348.0,330.1,336.55,52.0,0.012789647908516333,1.0
2007-04-24,330.0,339.9,321.1,334.05,186.0,-0.007428316743425922,1.0
2007-04-25,315.0,357.0,315.0,340.4,349.0,0.019009130369705085,1.0
2007-04-26,339.0,345.5,339.0,345.5,1000.0,0.014982373678025906,1.0
2007-04-27,330.0,340.0,330.0,336.45,2555.0,-0.02619392185238789,1.0
2007-04-30,349.9,349.9,334.95,340.0,2638.0,0.010551344924951689,1.0
2007-05-03,335.0,335.0,335.0,335.0,2500.0,-0.014705882352941124,1.0
2007-05-04,330.05,334.95,320.0,331.0,1286.0,-0.011940298507462699,1.0
2007-05-07,334.95,334.95,323.0,332.95,1762.0,0.005891238670694854,1.0
2007-05-08,334.65,335.0,316.0,325.1,5323.0,-0.023577113680732786,1.0
2007-05-09,312.55,334.0,312.55,330.0,1305.0,0.01507228545063044,1.0
2007-05-10,369.0,387.0,324.9,339.8,8404.0,0.029696969696969777,1.0
2007-05-11,340.0,358.8,326.45,329.7,2615.0,-0.029723366686286168,1.0
2007-05-14,335.05,359.55,335.0,336.0,2112.0,0.019108280254777066,1.0
2007-05-15,345.3,345.3,330.0,330.3,2663.0,-0.016964285714285654,1.0
2007-05-16,330.0,333.0,326.3,329.9,5478.0,-0.0012110202845898588,1.0
2007-05-17,339.25,339.4,330.0,330.0,2652.0,0.00030312215822991817,1.0
2007-05-18,325.0,329.9,325.0,325.0,1017.0,-0.015151515151515138,1.0
2007-05-21,334.85,334.85,322.0,325.0,2033.0,0.0,1.0
2007-05-22,325.0,325.0,320.05,324.95,80.0,-0.00015384615384617106,1.0
2007-05-23,309.975,317.475,306.525,313.25,8122.5,0.062306515938369667,1.0
2007-05-24,294.95,309.95,293.0,301.55,16165.0,0.1247668780305855,1.0
2007-05-25,309.0,316.0,290.0,311.35,1683.0,0.03249875642513689,1.0
2007-05-28,300.0,314.95,300.0,300.1,1952.0,-0.03613296932712384,1.0
2007-05-29,308.65,308.65,300.0,301.45,580.0,0.004498500499833247,1.0
2007-05-30,300.0,307.55,299.0,300.0,2412.0,-0.004810084591142738,1.0
2007-05-31,300.0,303.8,300.0,300.0,256.0,0.0,1.0
2007-06-01,300.05,305.0,300.0,301.0,184.0,0.0033333333333334103,1.0
2007-06-04,302.0,305.0,297.25,300.55,3187.0,-0.0014950166112956964,1.0
2007-06-05,291.25,300.0,291.25,300.0,773.0,-0.0018299783729829322,1.0
2007-06-06,300.5,304.0,298.0,300.0,431.0,0.0,1.0
2007-06-07,280.45,310.95,280.45,300.9,197.0,0.0029999999999998916,1.0
2007-06-08,300.0,300.0,300.0,300.0,8.0,-0.0029910269192422456,1.0
2007-06-11,296.95,296.95,285.6,290.0,142.0,-0.033333333333333326,1.0
2007-06-12,271.6,287.4,270.0,272.3,530.0,-0.06103448275862067,1.0
2007-06-13,270.0,280.0,263.0,277.7,475.0,0.019831068674256214,1.0
2007-06-14,284.2,284.35,275.05,275.05,48.0,-0.009542671948145398,1.0
2007-06-15,282.0,292.75,282.0,291.35,596.0,0.05926195237229592,1.0
2007-06-18,300.0,309.95,295.05,300.0,786.0,0.029689377037926734,1.0
2007-06-19,300.05,312.0,300.0,312.0,6415.0,0.040000000000000036,1.0
2007-06-20,312.0,312.0,305.0,305.0,20.0,-0.022435897435897467,1.0
2007-06-21,305.0,308.0,300.0,305.0,441.0,0.0,1.0
2007-06-22,302.1,312.5,299.0,312.5,137.0,0.024590163934426146,1.0
2007-06-26,318.0,318.0,318.0,318.0,1.0,0.01760000000000006,1.0
2007-06-27,313.0,313.0,302.05,302.05,185.0,-0.05015723270440253,1.0
2007-06-28,302.0,311.0,299.1,300.1,675.0,-0.00645588478728687,1.0
2007-06-29,300.0,300.0,300.0,300.0,250.0,-0.00033322225924703464,1.0
2007-07-02,301.0,301.0,300.0,300.0,1232.0,0.0,1.0
2007-07-03,301.0,320.0,301.0,316.25,859.0,0.054166666666666696,1.0
2007-07-04,322.0,334.8,319.8,329.25,2479.0,0.04110671936758892,1.0
2007-07-05,345.0,345.0,328.0,332.4,4644.0,0.009567198177676373,1.0
2007-07-06,339.0,342.7,325.0,325.1,5153.0,-0.021961492178098507,1.0
2007-07-09,337.9,340.0,336.0,339.75,1401.0,0.04506305752076267,1.0
2007-07-10,345.0,389.9,345.0,375.35,15217.0,0.1047829286239883,1.0
2007-07-11,397.75,427.45,375.0,392.55,17358.0,0.01976913056042573,1.0
2007-07-12,450.5,465.0,405.0,409.75,19499.0,-0.06524466750313684,1.0
2007-07-13,411.0,435.0,400.2,428.25,12515.0,0.045149481391092205,1.0
2007-07-16,434.0,459.0,427.5,454.95,9001.0,0.062346760070052465,1.0
2007-07-17,458.8,460.0,432.5,438.9,2043.0,-0.03527860204418065,1.0
2007-07-18,440.0,444.5,428.0,429.2,2136.0,-0.02210070631123262,1.0
2007-07-19,425.55,479.0,407.15,445.75,3912.0,0.038560111835973965,1.0
2007-07-20,450.0,480.0,450.0,467.35,7519.0,0.048457655636567676,1.0
2007-07-23,461.0,480.0,429.65,441.15,14011.0,-0.056060768160907326,1.0
2007-07-24,443.0,480.0,442.0,475.0,5897.0,0.0767312705428993,1.0
