Date,Open,High,Low,Close,Volume,Returns,Anomaly
2015-09-09,30.35,30.35,30.35,30.35,20260.0,,1.0
2015-09-10,33.3625,33.6,33.2125,33.6,62845.0,,1.0
2015-09-11,36.375,36.85,36.075,36.85,105430.0,,1.0
2015-09-14,39.3875,40.1,38.9375,40.1,148015.0,,1.0
2015-09-15,42.4,43.35,41.8,43.35,190600.0,0.09885931558935357,1.0
2015-09-16,45.5,45.5,45.5,45.5,73962.0,0.049596309111880066,1.0
2015-09-18,47.75,47.75,47.75,47.75,236435.0,0.0494505494505495,1.0
2015-09-21,49.0,50.18333333333333,48.666666666666664,50.18333333333333,296531.3333333333,0.04949070630672159,1.0
2015-09-22,50.25,52.61666666666667,49.583333333333336,52.61666666666667,356627.6666666667,0.04953086316289368,1.0
2015-09-23,51.5,55.05,50.5,55.05,416724.0,0.04957102001906577,1.0
2015-09-24,56.5,57.8,56.2,57.8,183045.0,0.049954586739327844,1.0
2015-09-28,60.65,60.65,60.65,60.65,5201.0,0.049307958477508684,1.0
2015-09-29,61.4,63.65,58.15,63.65,1203975.0,0.04946413849958775,1.0
2015-09-30,65.8,66.8,65.7,66.8,70229.0,0.049489395129615144,1.0
2015-10-01,70.1,70.1,64.2,70.1,603030.0,0.04940119760479034,1.0
2015-10-05,72.9,73.6,72.9,73.6,25771.0,0.049928673323823114,1.0
2015-10-06,77.25,77.25,74.0,77.25,643304.0,0.049592391304347894,1.0
2015-10-07,79.9,80.0,73.4,73.4,774684.0,-0.049838187702265335,1.0
2015-10-08,72.0,72.0,69.75,69.75,103117.0,-0.0497275204359674,1.0
2015-10-09,66.5,73.2,66.3,73.2,1162337.0,0.04946236559139794,1.0
2015-10-12,76.85,76.85,74.0,75.8,669148.0,0.03551912568306004,1.0
2015-10-13,77.0,77.95,72.05,72.05,120123.0,-0.04947229551451182,1.0
2015-10-14,68.45,71.5,68.45,68.5,161120.0,-0.049271339347675136,1.0
2015-10-15,67.1,71.9,66.1,69.9,323197.0,0.020437956204379715,1.0
2015-10-16,71.0,73.35,66.7,71.6,395956.0,0.024320457796852546,1.0
2015-10-19,74.0,74.0,69.1,69.7,125145.0,-0.026536312849161914,1.0
2015-10-20,70.0,72.0,68.7,70.95,157078.0,0.017934002869440357,1.0
2015-10-21,71.0,71.35,68.0,68.5,74001.0,-0.03453136011275548,1.0
2015-10-23,68.3,71.0,67.0,67.35,68886.0,-0.016788321167883313,1.0
2015-10-26,67.85,69.5,67.0,68.85,126305.0,0.022271714922049046,1.0
2015-10-27,69.0,69.0,65.45,65.9,94755.0,-0.042846768336964214,1.0
2015-10-28,66.3,67.55,62.75,63.1,101000.0,-0.04248861911987867,1.0
2015-10-29,64.4,66.25,60.65,62.0,356393.0,-0.017432646592710044,1.0
2015-10-30,62.0,64.3,61.0,61.1,137889.0,-0.014516129032258074,1.0
2015-11-02,62.0,62.0,59.0,60.1,51477.0,-0.016366612111292977,1.0
2015-11-03,61.0,63.1,60.15,63.1,146509.0,0.04991680532445919,1.0
