Date,Open,High,Low,Close,Volume,Returns,Anomaly
1998-07-30,149.0,149.0,148.5,148.5,200.0,,1.0
1998-07-31,150.0,150.0,150.0,150.0,150.0,0.010101010101010166,1.0
1998-08-03,151.9,151.9,149.65,151.0,450.0,0.006666666666666599,1.0
1998-08-04,151.0,152.0,151.0,152.0,200.0,0.0066225165562914245,1.0
1998-08-07,155.5,164.2,155.5,157.0,450.0,0.03289473684210531,1.0
1998-08-10,157.0,169.6,157.0,169.5,350.0,0.07961783439490455,1.0
1998-08-11,180.0,181.0,177.0,181.0,1150.0,0.06784660766961648,1.0
1998-08-12,183.0,195.5,183.0,195.4,6100.0,0.07955801104972382,1.0
1998-08-13,199.0,210.0,195.0,202.1,13950.0,0.03428863868986687,1.0
1998-08-14,200.75,217.75,200.75,213.15,10250.0,0.054675903018307936,1.0
1998-08-17,216.0,222.4,196.5,199.95,6250.0,-0.06192821956368766,1.0
1998-08-18,189.0,189.0,184.0,184.4,7750.0,-0.07776944236059002,1.0
1998-08-19,186.5,195.0,186.5,191.65,3600.0,0.039316702819956584,1.0
1998-08-20,190.2,195.0,190.0,193.25,4300.0,0.00834855204800422,1.0
1998-08-21,189.25,190.0,183.0,183.95,3050.0,-0.04812419146183711,1.0
1998-08-24,182.1,191.95,180.0,189.55,4300.0,0.030443055178037692,1.0
1998-08-25,191.0,203.9,190.0,200.85,11050.0,0.05961487734107096,1.0
1998-08-27,216.95,216.95,216.95,216.95,200.0,0.0801593228777695,1.0
1998-08-28,224.0,234.3,224.0,231.55,14800.0,0.06729661212260907,1.0
1998-08-31,227.0,232.0,227.0,228.2,5850.0,-0.01446771755560361,1.0
1998-09-01,220.0,223.85,220.0,222.45,6900.0,-0.025197195442594245,1.0
1998-09-02,223.0,223.0,213.55,218.0,5300.0,-0.020004495392222932,1.0
1998-09-03,216.0,219.9,215.6,216.55,4150.0,-0.006651376146788901,1.0
1998-09-04,216.0,216.0,205.6,214.0,5300.0,-0.011775571461556278,1.0
1998-09-07,217.6,218.0,212.0,213.7,3900.0,-0.0014018691588785215,1.0
1998-09-08,210.0,214.95,209.25,214.35,3600.0,0.0030416471689285185,1.0
1998-09-09,214.0,219.9,214.0,214.7,5600.0,0.0016328434802892478,1.0
1998-09-10,211.2,214.25,211.2,213.5,4050.0,-0.0055891942244992165,1.0
1998-09-11,212.5,214.0,210.0,213.8,2700.0,0.001405152224824402,1.0
1998-09-14,216.0,216.0,212.0,213.8,1500.0,0.0,1.0
1998-09-15,213.0,214.25,212.75,214.25,1200.0,0.0021047708138446364,1.0
1998-09-16,212.4,214.0,212.25,212.25,1950.0,-0.009334889148191361,1.0
1998-09-17,210.2,212.9,210.0,212.85,1300.0,0.002826855123674976,1.0
