Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,64.5,64.5,64.5,64.5,200.0,,1.0
1996-01-02,63.5,63.5,60.0,60.0,2100.0,-0.06976744186046513,1.0
1996-01-03,61.0,61.0,59.5,59.5,900.0,-0.008333333333333304,1.0
1996-01-04,60.0,60.5,59.5,60.5,1300.0,0.01680672268907557,1.0
1996-01-05,60.0,60.0,59.0,59.55,1800.0,-0.015702479338843056,1.0
1996-01-08,59.55,59.5,56.75,57.5,1700.0,-0.034424853064651484,1.0
1996-01-09,57.5,56.0,53.55,54.0,3500.0,-0.060869565217391286,1.0
1996-01-10,54.0,56.0,55.0,55.0,1100.0,0.0185185185185186,1.0
1996-01-11,55.0,55.5,54.65,55.15,1500.0,0.0027272727272726893,1.0
1996-01-12,56.0,56.0,55.9,55.9,200.0,0.013599274705349051,1.0
1996-01-16,55.5,55.5,54.0,54.0,800.0,-0.03398926654740608,1.0
1996-01-17,54.5,55.0,54.5,55.0,200.0,0.0185185185185186,1.0
1996-01-18,55.0,55.0,52.1,53.0,1500.0,-0.036363636363636376,1.0
1996-01-19,52.9,52.9,49.0,49.7,2200.0,-0.06226415094339621,1.0
1996-01-22,49.7,51.5,49.0,51.0,1300.0,0.026156941649899235,1.0
1996-01-23,51.0,53.0,50.5,50.5,800.0,-0.009803921568627416,1.0
1996-01-24,50.5,50.5,48.0,49.0,1500.0,-0.02970297029702973,1.0
1996-01-25,49.0,48.05,47.0,47.0,500.0,-0.04081632653061229,1.0
1996-01-29,47.0,48.0,47.0,47.5,700.0,0.010638297872340496,1.0
1996-01-30,50.9,51.5,50.9,51.5,700.0,0.08421052631578951,1.0
1996-01-31,51.55,52.0,51.5,51.5,500.0,0.0,1.0
1996-02-01,51.5,56.0,52.0,55.0,1800.0,0.06796116504854366,1.0
1996-02-02,55.0,61.0,56.0,60.4,4400.0,0.09818181818181815,1.0
1996-02-05,60.4,63.0,59.75,60.1,3300.0,-0.004966887417218513,1.0
1996-02-06,63.0,63.0,59.0,59.15,4000.0,-0.01580698835274552,1.0
1996-02-07,54.5,63.0,54.5,56.5,800.0,-0.04480135249366013,1.0
1996-02-08,56.5,60.0,58.0,59.95,800.0,0.061061946902654984,1.0
1996-02-09,62.0,64.0,60.0,63.25,3200.0,0.05504587155963292,1.0
1996-02-12,63.25,65.0,60.0,60.3,4000.0,-0.04664031620553366,1.0
1996-02-13,61.0,61.0,58.0,59.0,5000.0,-0.021558872305140864,1.0
1996-02-14,59.0,62.0,59.5,61.1,10200.0,0.035593220338983045,1.0
1996-02-15,61.1,65.0,61.0,63.6,5400.0,0.04091653027823239,1.0
1996-02-16,63.6,63.95,61.75,63.0,6400.0,-0.009433962264150941,1.0
1996-02-19,63.0,63.0,61.0,62.25,3300.0,-0.011904761904761862,1.0
1996-02-20,62.25,63.0,61.25,61.25,4000.0,-0.016064257028112428,1.0
1996-02-22,62.5,62.5,61.05,62.5,2200.0,0.020408163265306145,1.0
1996-02-23,61.0,62.0,61.0,61.65,1300.0,-0.013600000000000056,1.0
1996-02-26,61.05,62.35,60.55,61.75,1600.0,0.0016220600162206722,1.0
1996-02-27,61.0,61.5,60.25,60.25,2000.0,-0.02429149797570851,1.0
1996-02-28,61.0,61.0,59.0,60.0,800.0,-0.004149377593360981,1.0
1996-02-29,60.0,60.0,58.0,59.0,1000.0,-0.01666666666666672,1.0
1996-03-01,59.5,59.5,58.0,58.0,1100.0,-0.016949152542372836,1.0
1996-03-04,58.5,58.5,56.5,57.25,2000.0,-0.012931034482758674,1.0
1996-03-06,57.25,57.05,55.0,55.4,4100.0,-0.03231441048034933,1.0
1996-03-07,55.4,55.45,54.0,54.5,8100.0,-0.016245487364620947,1.0
1996-03-08,54.5,55.5,52.0,54.0,1400.0,-0.00917431192660545,1.0
1996-03-11,54.0,52.0,50.6,50.85,2300.0,-0.05833333333333335,1.0
1996-03-12,50.85,51.25,50.0,50.5,2300.0,-0.0068829891838742,1.0
1996-03-13,50.5,50.5,50.0,50.0,1300.0,-0.00990099009900991,1.0
1996-03-14,50.0,50.1,47.6,47.6,7700.0,-0.04799999999999993,1.0
1996-03-15,47.6,50.0,47.55,48.5,1300.0,0.018907563025210017,1.0
1996-03-18,48.5,48.0,46.0,47.5,9300.0,-0.020618556701030966,1.0
1996-03-19,47.1,49.95,46.5,49.0,2300.0,0.03157894736842115,1.0
1996-03-21,49.0,48.25,47.5,47.5,1000.0,-0.030612244897959218,1.0
1996-03-22,47.5,48.75,47.5,47.5,1400.0,0.0,1.0
1996-03-25,47.5,47.5,46.3,46.65,2200.0,-0.017894736842105297,1.0
