Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,83.0,83.0,83.0,83.0,100.0,,1.0
1996-01-02,83.0,83.95,80.6,80.6,700.0,-0.028915662650602525,1.0
1996-01-03,82.0,82.9,82.0,82.7,400.0,0.026054590570719682,1.0
1996-01-04,82.5,82.5,82.5,82.5,200.0,-0.00241837968561065,1.0
1996-01-05,80.0,80.0,79.0,79.0,200.0,-0.042424242424242475,1.0
1996-01-08,79.0,80.0,77.55,77.55,900.0,-0.018354430379746822,1.0
1996-01-09,77.15,77.5,76.0,76.0,500.0,-0.019987105093488,1.0
1996-01-10,80.0,80.0,74.6,77.95,600.0,0.025657894736842213,1.0
1996-01-11,75.0,76.0,74.5,75.5,1400.0,-0.03143040410519571,1.0
1996-01-12,75.0,76.0,74.25,75.5,800.0,0.0,1.0
1996-01-15,75.0,75.0,75.0,75.0,100.0,-0.0066225165562914245,1.0
1996-01-16,74.0,75.0,73.05,73.15,600.0,-0.024666666666666615,1.0
1996-01-17,73.15,73.05,71.05,73.0,600.0,-0.002050580997949525,1.0
1996-01-18,73.0,70.5,70.0,70.5,200.0,-0.03424657534246578,1.0
1996-01-19,69.55,69.55,69.0,69.0,400.0,-0.021276595744680882,1.0
1996-01-22,67.0,67.0,64.6,64.95,1000.0,-0.05869565217391304,1.0
1996-01-23,64.95,70.0,64.05,68.65,1300.0,0.056966897613548895,1.0
1996-01-24,65.0,65.25,64.0,64.0,1300.0,-0.0677348871085216,1.0
1996-01-25,64.0,62.0,60.55,60.6,900.0,-0.05312499999999998,1.0
1996-01-29,60.6,62.0,60.0,60.8,900.0,0.0033003300330032292,1.0
1996-01-30,60.8,64.6,61.5,63.0,1500.0,0.03618421052631593,1.0
1996-01-31,61.5,66.0,60.5,66.0,1300.0,0.04761904761904767,1.0
1996-02-01,66.0,69.0,66.0,69.0,700.0,0.045454545454545414,1.0
1996-02-02,75.9,75.9,72.0,75.6,800.0,0.09565217391304337,1.0
1996-02-05,79.25,79.5,77.75,79.5,1900.0,0.051587301587301626,1.0
1996-02-06,79.5,82.5,78.2,79.35,2400.0,-0.0018867924528302993,1.0
1996-02-07,75.0,76.0,74.0,76.0,1100.0,-0.042218021424070495,1.0
1996-02-08,76.95,78.5,76.25,78.25,900.0,0.02960526315789469,1.0
1996-02-09,80.0,81.0,79.0,79.95,2500.0,0.021725239616613434,1.0
1996-02-12,85.0,88.25,80.0,86.0,4200.0,0.07567229518449037,1.0
1996-02-13,86.0,89.95,84.0,89.95,1200.0,0.04593023255813966,1.0
1996-02-14,92.0,92.75,85.0,89.95,2600.0,0.0,1.0
1996-02-15,89.0,90.0,86.0,88.0,1800.0,-0.021678710394663736,1.0
1996-02-16,87.5,87.5,84.0,84.0,800.0,-0.045454545454545414,1.0
1996-02-19,83.0,84.75,83.0,83.25,700.0,-0.008928571428571397,1.0
1996-02-20,83.0,83.0,82.0,82.0,1600.0,-0.01501501501501501,1.0
1996-02-22,80.0,87.0,80.0,84.15,1400.0,0.026219512195122086,1.0
1996-02-23,84.0,84.0,82.0,82.95,2400.0,-0.014260249554367221,1.0
1996-02-26,85.0,85.0,81.0,81.0,2800.0,-0.023508137432188048,1.0
1996-02-27,81.0,80.25,78.0,78.45,1300.0,-0.031481481481481444,1.0
1996-02-28,80.0,80.0,77.0,77.4,2900.0,-0.013384321223709361,1.0
1996-02-29,75.0,75.55,72.0,72.3,2500.0,-0.06589147286821717,1.0
1996-03-01,70.0,71.95,66.6,70.55,2800.0,-0.024204702627939167,1.0
1996-03-04,68.0,69.95,67.45,69.25,3100.0,-0.01842664776754066,1.0
1996-03-06,70.0,71.0,69.0,69.05,1800.0,-0.002888086642599319,1.0
1996-03-07,69.0,71.2,69.0,70.0,2700.0,0.013758146270818283,1.0
1996-03-08,70.0,69.8,67.0,67.0,2100.0,-0.042857142857142816,1.0
1996-03-11,68.0,68.0,65.5,66.4,1200.0,-0.008955223880596885,1.0
1996-03-12,65.5,67.0,64.0,67.0,2400.0,0.009036144578313143,1.0
1996-03-13,67.95,68.25,67.2,68.25,2400.0,0.018656716417910557,1.0
1996-03-14,69.0,69.5,68.0,69.5,600.0,0.01831501831501825,1.0
1996-03-15,69.5,70.0,67.5,67.5,1100.0,-0.02877697841726623,1.0
1996-03-18,67.5,67.5,65.05,65.05,600.0,-0.03629629629629638,1.0
1996-03-19,65.05,65.0,63.05,63.45,1600.0,-0.024596464258262785,1.0
1996-03-21,64.0,65.0,64.0,65.0,1600.0,0.024428684003152012,1.0
1996-03-22,65.0,65.0,63.0,63.05,2400.0,-0.030000000000000027,1.0
1996-03-25,63.5,64.45,63.5,63.5,900.0,0.007137192704202988,1.0
1996-03-26,63.0,63.0,61.0,61.0,1400.0,-0.03937007874015752,1.0
1996-03-27,64.0,64.0,61.0,61.75,4100.0,0.012295081967213184,1.0
1996-03-28,61.75,63.75,63.0,63.75,1000.0,0.03238866396761142,1.0
1996-03-29,63.75,67.0,64.0,65.95,2500.0,0.03450980392156877,1.0
1996-04-01,65.5,65.5,64.05,64.95,500.0,-0.015163002274450332,1.0
1996-04-02,66.7,66.75,65.0,65.1,2000.0,0.002309468822170757,1.0
1996-04-03,67.0,67.0,65.05,65.25,5800.0,0.0023041474654379446,1.0
1996-04-04,64.0,65.0,63.0,65.0,2500.0,-0.003831417624521105,1.0
1996-04-08,65.0,65.55,63.0,63.05,4400.0,-0.030000000000000027,1.0
1996-04-09,65.0,65.0,58.0,58.9,8400.0,-0.06582077716098333,1.0
1996-04-10,58.9,62.0,60.05,61.95,6300.0,0.051782682512733436,1.0
1996-04-11,61.95,63.0,61.25,62.7,3500.0,0.012106537530266248,1.0
1996-04-12,62.25,62.85,61.55,62.25,3400.0,-0.0071770334928230595,1.0
1996-04-15,62.25,62.95,62.0,62.35,2600.0,0.0016064257028112205,1.0
1996-04-16,62.35,62.0,60.5,60.65,3800.0,-0.027265437048917485,1.0
1996-04-17,61.0,64.0,61.0,63.55,3300.0,0.047815333882934796,1.0
1996-04-18,64.0,66.25,64.0,65.45,6500.0,0.02989771833202215,1.0
1996-04-19,65.45,72.3,67.5,72.25,5400.0,0.10389610389610393,1.0
1996-04-22,72.25,77.0,67.5,69.45,7000.0,-0.0387543252595155,1.0
1996-04-23,69.45,71.0,68.0,68.8,5000.0,-0.009359251259899337,1.0
1996-04-24,69.0,76.05,69.0,75.6,15700.0,0.09883720930232553,1.0
1996-04-25,75.6,78.5,75.0,75.35,10900.0,-0.003306878306878258,1.0
1996-04-26,75.35,79.0,73.0,76.0,4200.0,0.00862641008626408,1.0
1996-04-29,76.0,78.0,75.5,75.85,3200.0,-0.0019736842105263497,1.0
1996-04-30,75.85,79.0,76.7,78.4,8500.0,0.033618984838497123,1.0
1996-05-01,78.4,80.95,77.5,78.05,3700.0,-0.0044642857142858094,1.0
1996-05-02,78.05,81.0,78.0,79.5,3800.0,0.018577834721332565,1.0
1996-05-03,79.5,81.1,79.65,80.0,3400.0,0.0062893081761006275,1.0
1996-05-06,75.0,78.1,73.0,75.1,4100.0,-0.06125000000000003,1.0
1996-05-07,75.1,76.0,73.6,76.0,4100.0,0.011984021304926928,1.0
1996-05-08,76.0,77.0,75.1,76.0,700.0,0.0,1.0
1996-05-09,76.0,78.0,74.5,75.5,1100.0,-0.006578947368421018,1.0
1996-05-10,75.0,75.5,72.25,72.9,2000.0,-0.03443708609271512,1.0
1996-05-13,72.9,74.0,72.6,73.95,1700.0,0.014403292181069949,1.0
1996-05-14,73.95,74.0,72.5,73.65,1800.0,-0.0040567951318457585,1.0
1996-05-15,73.65,73.45,70.0,71.05,7400.0,-0.03530210454854055,1.0
1996-05-16,71.05,73.25,71.0,71.45,7200.0,0.005629838142153565,1.0
1996-05-17,71.0,71.0,70.0,70.5,3400.0,-0.013296011196641033,1.0
1996-05-20,70.5,69.0,67.0,67.0,1800.0,-0.049645390070921946,1.0
1996-05-21,67.0,68.0,65.0,66.3,4300.0,-0.010447761194029903,1.0
1996-05-22,66.3,67.75,67.0,67.75,900.0,0.021870286576169073,1.0
1996-05-23,67.75,68.0,65.0,66.5,1800.0,-0.01845018450184499,1.0
1996-05-24,66.5,68.0,66.5,68.0,1400.0,0.022556390977443552,1.0
1996-05-27,68.0,68.0,66.5,68.0,1900.0,0.0,1.0
1996-05-28,68.0,67.0,64.0,65.25,2100.0,-0.0404411764705882,1.0
1996-05-29,65.25,67.55,67.0,67.05,800.0,0.02758620689655178,1.0
1996-05-30,67.05,68.0,67.3,67.75,1100.0,0.01043997017151388,1.0
1996-05-31,67.75,67.8,66.0,67.3,1900.0,-0.006642066420664228,1.0
1996-06-03,67.3,70.0,68.1,68.1,1100.0,0.011887072808320909,1.0
1996-06-04,68.1,69.75,68.1,68.2,2000.0,0.001468428781204345,1.0
1996-06-05,69.0,69.0,67.0,67.45,1500.0,-0.010997067448680342,1.0
1996-06-06,67.5,68.0,67.3,67.9,1300.0,0.006671608598962209,1.0
1996-06-07,65.05,68.5,65.05,67.0,1800.0,-0.013254786450662803,1.0
1996-06-10,68.25,68.25,66.5,67.85,1200.0,0.01268656716417893,1.0
1996-06-11,68.0,68.0,66.0,67.25,2300.0,-0.008843036109064006,1.0
1996-06-12,67.05,68.0,65.5,66.65,2900.0,-0.00892193308550182,1.0
1996-06-13,68.75,68.75,66.25,67.7,2900.0,0.015753938484621033,1.0
1996-06-14,66.5,72.0,66.5,70.6,4600.0,0.04283604135893637,1.0
1996-06-17,72.5,73.0,69.5,72.6,7600.0,0.028328611898017053,1.0
1996-06-18,72.0,73.2,71.05,73.0,7200.0,0.005509641873278293,1.0
1996-06-19,73.0,73.0,71.25,71.6,2200.0,-0.019178082191780854,1.0
1996-06-20,72.0,72.0,67.0,70.8,3400.0,-0.011173184357541888,1.0
1996-06-21,69.0,70.85,68.0,68.05,2300.0,-0.038841807909604564,1.0
1996-06-24,67.8,68.25,67.5,68.1,600.0,0.0007347538574578039,1.0
1996-06-25,68.75,68.75,66.2,67.85,4000.0,-0.0036710719530103075,1.0
1996-06-26,67.0,68.4,66.3,66.3,2600.0,-0.02284450994841558,1.0
1996-06-27,68.25,68.25,66.0,66.65,2600.0,0.0052790346907996,1.0
1996-06-28,65.3,66.0,65.25,66.0,900.0,-0.009752438109527417,1.0
1996-07-01,65.0,66.0,64.5,65.65,1900.0,-0.005303030303030254,1.0
1996-07-02,68.0,68.0,62.5,63.0,3200.0,-0.04036557501904048,1.0
1996-07-03,63.0,63.95,60.1,60.2,2700.0,-0.0444444444444444,1.0
1996-07-04,60.0,61.0,59.0,60.4,1200.0,0.0033222591362125353,1.0
1996-07-05,61.0,61.95,61.0,61.65,2100.0,0.020695364238410674,1.0
1996-07-08,60.0,61.8,60.0,61.15,3900.0,-0.008110300081103028,1.0
1996-07-09,60.05,62.4,58.65,60.2,4100.0,-0.015535568274734235,1.0
1996-07-10,61.0,63.9,61.0,63.1,8200.0,0.04817275747508298,1.0
1996-07-11,63.45,63.7,63.15,63.5,2600.0,0.006339144215530945,1.0
1996-07-12,64.0,64.0,63.05,63.05,2700.0,-0.007086614173228423,1.0
