Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,100.0,97.0,97.0,97.0,100.0,,1.0
1996-01-02,97.0,97.0,97.0,97.0,100.0,0.0,1.0
1996-01-03,97.0,101.0,101.0,101.0,200.0,0.04123711340206193,1.0
1996-01-04,101.0,98.0,98.0,98.0,200.0,-0.02970297029702973,1.0
1996-01-05,98.0,95.25,95.25,95.25,100.0,-0.028061224489795866,1.0
1996-01-09,95.25,92.05,92.05,92.05,100.0,-0.03359580052493438,1.0
1996-01-10,92.05,91.0,88.0,91.0,300.0,-0.011406844106463865,1.0
1996-01-12,91.0,95.0,95.0,95.0,200.0,0.04395604395604402,1.0
1996-01-19,95.0,85.5,85.5,85.5,200.0,-0.09999999999999998,1.0
1996-01-24,85.5,82.0,82.0,82.0,100.0,-0.040935672514619936,1.0
1996-01-25,80.0,80.0,80.0,80.0,100.0,-0.024390243902439046,1.0
1996-01-30,80.0,81.1,81.0,81.0,200.0,0.012499999999999956,1.0
1996-01-31,81.0,81.0,81.0,81.0,200.0,0.0,1.0
1996-02-02,85.0,89.0,85.0,89.0,300.0,0.09876543209876543,1.0
1996-02-05,97.0,97.5,97.0,97.5,400.0,0.09550561797752799,1.0
1996-02-07,97.5,91.0,90.5,90.5,200.0,-0.07179487179487176,1.0
1996-02-08,90.5,94.5,94.5,94.5,100.0,0.04419889502762442,1.0
1996-02-09,94.5,95.0,95.0,95.0,100.0,0.005291005291005346,1.0
1996-02-12,99.0,100.0,99.0,100.0,400.0,0.05263157894736836,1.0
1996-02-14,104.75,105.0,104.75,105.0,300.0,0.050000000000000044,1.0
1996-02-15,105.0,115.0,110.0,115.0,1600.0,0.09523809523809534,1.0
1996-02-16,108.0,109.0,108.0,109.0,300.0,-0.05217391304347829,1.0
1996-02-19,109.0,108.0,107.0,107.0,500.0,-0.01834862385321101,1.0
1996-02-20,107.0,107.0,107.0,107.0,100.0,0.0,1.0
1996-02-22,107.0,108.0,108.0,108.0,100.0,0.009345794392523255,1.0
1996-02-23,108.0,105.0,105.0,105.0,300.0,-0.02777777777777779,1.0
1996-02-26,105.0,105.0,105.0,105.0,400.0,0.0,1.0
1996-03-01,105.0,95.0,95.0,95.0,100.0,-0.09523809523809523,1.0
1996-03-08,95.0,103.0,101.0,103.0,200.0,0.08421052631578951,1.0
1996-03-15,103.0,105.0,105.0,105.0,200.0,0.01941747572815533,1.0
1996-03-19,100.0,100.0,100.0,100.0,100.0,-0.04761904761904767,1.0
1996-03-25,96.0,96.0,96.0,96.0,100.0,-0.040000000000000036,1.0
1996-03-26,95.0,95.0,95.0,95.0,400.0,-0.01041666666666663,1.0
1996-03-29,97.0,97.0,97.0,97.0,100.0,0.021052631578947434,1.0
1996-04-02,95.05,95.05,95.0,95.0,200.0,-0.020618556701030966,1.0
1996-04-03,96.0,96.0,96.0,96.0,100.0,0.010526315789473717,1.0
1996-04-04,96.0,96.0,95.0,95.0,200.0,-0.01041666666666663,1.0
1996-04-08,95.0,97.0,97.0,97.0,100.0,0.021052631578947434,1.0
1996-04-11,95.0,95.0,95.0,95.0,200.0,-0.020618556701030966,1.0
1996-04-16,96.0,96.0,96.0,96.0,200.0,0.010526315789473717,1.0
1996-04-19,105.6,105.6,105.6,105.6,100.0,0.09999999999999987,1.0
1996-04-22,105.6,110.0,105.6,110.0,400.0,0.04166666666666674,1.0
1996-04-25,109.9,109.9,109.9,109.9,100.0,-0.0009090909090908594,1.0
1996-05-01,105.0,105.0,105.0,105.0,100.0,-0.0445859872611466,1.0
1996-05-02,105.0,105.0,105.0,105.0,100.0,0.0,1.0
1996-05-03,105.0,105.0,105.0,105.0,100.0,0.0,1.0
1996-05-16,96.5,96.5,96.0,96.0,200.0,-0.08571428571428574,1.0
1996-05-17,97.0,97.0,96.25,97.0,800.0,0.01041666666666674,1.0
1996-05-21,94.15,94.15,94.15,94.15,100.0,-0.029381443298968968,1.0
1996-05-23,92.0,92.0,92.0,92.0,100.0,-0.022835900159320244,1.0
1996-05-27,90.0,90.0,88.0,88.0,300.0,-0.04347826086956519,1.0
1996-05-29,88.0,88.0,88.0,88.0,300.0,0.0,1.0
1996-05-30,88.0,96.75,96.75,96.75,100.0,0.09943181818181812,1.0
1996-05-31,95.0,95.0,95.0,95.0,200.0,-0.018087855297157618,1.0
1996-06-03,92.55,92.55,92.55,92.55,100.0,-0.025789473684210584,1.0
1996-06-04,100.0,100.0,100.0,100.0,200.0,0.08049702863317121,1.0
1996-06-06,90.0,90.0,90.0,90.0,100.0,-0.09999999999999998,1.0
1996-06-07,88.05,93.0,88.05,93.0,500.0,0.03333333333333344,1.0
1996-06-11,93.0,93.0,89.0,89.0,400.0,-0.043010752688172005,1.0
1996-06-12,90.0,92.0,90.0,92.0,200.0,0.03370786516853941,1.0
1996-06-13,94.1,95.0,94.05,94.05,400.0,0.02228260869565224,1.0
1996-06-14,95.0,95.95,93.05,95.95,500.0,0.020202020202020332,1.0
1996-06-17,91.5,99.5,91.5,99.0,500.0,0.03178738926524227,1.0
1996-06-18,94.0,95.95,94.0,95.95,300.0,-0.03080808080808073,1.0
1996-06-20,92.25,92.25,92.0,92.0,200.0,-0.041167274622199046,1.0
1996-06-21,91.0,91.0,89.0,89.0,200.0,-0.03260869565217395,1.0
1996-06-24,93.7,94.0,93.7,94.0,600.0,0.05617977528089879,1.0
1996-06-25,94.0,94.0,93.0,94.0,500.0,0.0,1.0
1996-06-26,93.0,93.0,93.0,93.0,100.0,-0.010638297872340385,1.0
1996-06-27,93.0,93.0,93.0,93.0,300.0,0.0,1.0
1996-07-01,85.0,85.0,85.0,85.0,300.0,-0.08602150537634412,1.0
1996-07-05,83.0,83.0,82.0,82.0,200.0,-0.03529411764705881,1.0
1996-07-10,76.5,76.5,76.5,76.5,100.0,-0.06707317073170727,1.0
1996-07-12,72.05,72.05,72.0,72.0,200.0,-0.05882352941176472,1.0
1996-07-19,72.0,72.0,72.0,72.0,100.0,0.0,1.0
1996-07-22,74.95,74.95,74.95,74.95,100.0,0.04097222222222219,1.0
1996-07-26,78.5,78.5,78.5,78.5,100.0,0.04736490993996001,1.0
1996-07-29,75.0,78.0,75.0,78.0,300.0,-0.006369426751592355,1.0
1996-07-30,75.0,75.0,73.0,73.0,200.0,-0.0641025641025641,1.0
1996-08-01,72.0,72.0,72.0,72.0,100.0,-0.013698630136986356,1.0
1996-08-02,68.0,68.0,68.0,68.0,100.0,-0.05555555555555558,1.0
