Date,Open,High,Low,Close,Volume,Returns,Anomaly
2008-02-20,,,,,,,
2008-02-21,,,,,,,
2008-02-22,,,,,,,
2008-02-25,,,,,,,
2008-02-26,,,,,,,
2008-02-27,,,,,,,
2008-02-28,152.55,157.0,150.1,151.7,395548.0,-0.003285151116951379,1.0
2008-02-29,151.1,154.8,148.0,153.45,328258.0,0.011535926170072486,1.0
2008-03-03,152.0,152.0,135.1,137.4,119510.0,-0.10459433040078192,1.0
2008-03-04,139.0,139.95,122.0,123.25,234053.0,-0.10298398835516742,1.0
2008-03-05,121.5,126.0,111.7,113.7,293673.0,-0.07748478701825556,1.0
2008-03-07,105.0,114.9,97.0,110.3,366279.0,-0.0299032541776606,1.0
2008-03-10,102.95,107.6,100.0,103.9,131642.0,-0.05802357207615583,1.0
2008-03-11,106.0,109.9,100.05,104.3,161604.0,0.0038498556304138454,1.0
2008-03-12,107.95,107.95,104.6,105.95,90308.0,0.015819750719079595,1.0
2008-03-13,101.5,104.95,94.0,96.35,79946.0,-0.09060877772534226,1.0
2008-03-14,100.775,103.42500000000001,94.9,97.1,84557.0,-0.08023784893871677,1.0
2008-03-17,100.05,101.9,95.8,97.85,89168.0,-0.06986692015209128,1.0
2008-03-18,99.0,105.25,98.0,101.0,104819.0,0.03219213081246819,1.0
2008-03-19,104.9,110.8,102.2,108.2,191722.0,0.07128712871287135,1.0
2008-03-24,105.0,110.5,101.1,108.55,82833.0,0.0032347504621070833,1.0
2008-03-25,108.0,121.4,106.25,119.65,192719.0,0.10225702441271323,1.0
2008-03-26,120.1,123.95,114.25,123.0,367011.0,0.02799832845800254,1.0
2008-03-27,117.75,123.95,117.75,122.55,281267.0,-0.003658536585365857,1.0
2008-03-28,122.85,131.0,120.8,125.6,68558.0,0.024887800897592793,1.0
2008-03-31,121.1,124.6,120.2,122.6,82466.0,-0.023885350318471388,1.0
2008-04-01,126.0,127.7,120.2,125.15,25976.0,0.020799347471452068,1.0
2008-04-02,132.475,135.25,125.775,128.72500000000002,98164.5,-0.013358425616325775,1.0
2008-04-03,138.95,142.8,131.35,132.3,170353.0,-0.04751619870410362,1.0
2008-04-04,131.05,140.8,128.65,131.15,180848.0,-0.008692365835223037,1.0
2008-04-07,138.53750000000002,146.35000000000002,134.1875,136.3,212797.5,-0.02420145441315949,1.0
2008-04-08,146.025,151.9,139.72500000000002,141.45,244747.0,-0.03971054299109594,1.0
2008-04-09,153.5125,157.45,145.26250000000002,146.6,276696.5,-0.055219631569032396,1.0
2008-04-10,161.0,163.0,150.8,151.75,308646.0,-0.07072872014696885,1.0
2008-04-11,163.55,167.9,156.60000000000002,159.1,230803.0,-0.03035829211231944,1.0
2008-04-15,166.1,172.8,162.4,166.45,152960.0,0.010012135922329968,1.0
2008-04-16,172.975,178.8,168.0,171.2,146511.5,0.007146478920069144,1.0
2008-04-17,179.85,184.8,173.6,175.95,140063.0,0.0042808219178083196,1.0
2008-04-21,185.1,190.4,179.075,184.625,162122.0,0.00578814415327622,1.0
2008-04-22,190.35,196.0,184.55,193.3,184181.0,0.007295466388744121,1.0
2008-04-23,192.0,202.2,186.75,199.5,197084.0,0.032074495602690156,1.0
2008-04-24,200.0,204.5,195.05,198.25,94490.0,-0.006265664160400974,1.0
2008-04-25,199.05,201.5,191.0,195.95,62201.0,-0.011601513240857564,1.0
2008-04-28,192.6,205.75,191.7,205.0,183705.0,0.046185251339627476,1.0
2008-04-29,203.3,213.875,200.35,209.65,191346.5,0.02508372428775707,1.0
2008-04-30,214.0,222.0,209.0,214.3,198988.0,0.003982197235886664,1.0
2008-05-02,210.0,223.0,210.0,218.95,110456.0,0.02169855342977134,1.0
2008-05-05,220.0,229.5,218.6,227.85,205681.0,0.040648549897236874,1.0
2008-05-06,225.0,236.0,221.0,227.6,128752.0,-0.0010972130787798573,1.0
2008-05-07,228.0,232.5,225.1,229.05,122883.0,0.006370826010544839,1.0
2008-05-08,228.0,230.0,221.6,226.4,39020.0,-0.011569526304300415,1.0
2008-05-09,224.0,227.2,216.15,221.9,49042.0,-0.019876325088339253,1.0
2008-05-12,220.25,224.9,211.9,219.3,36449.0,-0.011716989634970698,1.0
2008-05-13,223.0,230.0,219.05,220.85,24368.0,0.00706794345645223,1.0
2008-05-14,222.0,227.0,215.0,219.75,56392.0,-0.004980756169345679,1.0
2008-05-15,222.0,230.75,221.15,230.5,121790.0,0.04891922639362911,1.0
