Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-10-14,145.0,175.0,145.0,175.0,4000.0,,1.0
1996-10-16,158.0,192.0,158.0,158.0,6100.0,-0.0971428571428572,1.0
1996-12-12,154.0,154.0,154.0,154.0,100.0,-0.025316455696202556,1.0
1997-01-03,169.0,169.0,140.0,140.0,600.0,-0.09090909090909094,1.0
1997-01-07,130.0,130.0,130.0,130.0,400.0,-0.0714285714285714,1.0
1997-02-20,142.0,142.0,118.0,142.0,10000.0,0.0923076923076922,1.0
1997-03-05,156.0,156.0,129.0,129.0,22000.0,-0.09154929577464788,1.0
1997-03-06,141.0,141.0,120.0,120.0,2000.0,-0.06976744186046513,1.0
1997-03-17,109.0,131.0,109.0,120.0,8400.0,0.0,1.0
1997-03-21,131.0,131.0,120.0,120.0,5400.0,0.0,1.0
1997-03-25,111.25,111.25,111.25,111.25,5300.0,-0.07291666666666663,1.0
1997-04-10,101.0,101.0,101.0,101.0,100.0,-0.09213483146067414,1.0
1997-04-11,92.0,92.0,92.0,92.0,100.0,-0.08910891089108908,1.0
1997-04-12,85.0,85.0,85.0,85.0,100.0,-0.07608695652173914,1.0
1997-04-15,85.0,85.0,85.0,85.0,100.0,0.0,1.0
1997-04-21,77.0,77.0,77.0,77.0,100.0,-0.09411764705882353,1.0
1997-04-25,75.05,75.05,74.0,74.0,300.0,-0.038961038961038974,1.0
1997-04-28,67.0,81.4,67.0,80.0,4300.0,0.08108108108108114,1.0
1997-04-29,80.5,80.5,79.0,80.0,2000.0,0.0,1.0
1997-04-30,80.0,80.0,80.0,80.0,200.0,0.0,1.0
1997-05-02,73.25,73.25,73.25,73.25,100.0,-0.08437499999999998,1.0
1997-05-06,70.0,70.0,70.0,70.0,100.0,-0.04436860068259385,1.0
1997-05-08,76.0,77.0,71.05,71.05,300.0,0.014999999999999902,1.0
1997-05-09,75.0,75.0,71.0,71.2,2300.0,0.00211118930330767,1.0
1997-06-02,66.0,66.0,66.0,66.0,5000.0,-0.0730337078651686,1.0
1997-06-03,67.0,69.0,67.0,69.0,300.0,0.045454545454545414,1.0
1997-06-04,63.05,64.5,62.2,62.2,700.0,-0.09855072463768111,1.0
1997-06-05,56.0,56.0,56.0,56.0,200.0,-0.09967845659163987,1.0
1997-06-09,58.5,58.5,58.5,58.5,100.0,0.044642857142857206,1.0
1997-06-12,54.0,54.0,53.0,53.35,400.0,-0.08803418803418805,1.0
1997-07-02,48.15,48.15,48.15,48.15,100.0,-0.09746954076850989,1.0
1997-07-07,48.0,48.0,48.0,48.0,200.0,-0.0031152647975077885,1.0
1997-07-08,43.25,44.0,43.25,44.0,200.0,-0.08333333333333337,1.0
1997-07-09,40.0,40.0,40.0,40.0,700.0,-0.09090909090909094,1.0
1997-07-10,38.5,38.5,38.5,38.5,100.0,-0.03749999999999998,1.0
1997-07-11,38.5,38.5,36.0,36.0,600.0,-0.06493506493506496,1.0
1997-07-14,36.5,36.5,34.0,34.0,300.0,-0.05555555555555558,1.0
1997-07-15,34.0,36.95,34.0,36.25,400.0,0.06617647058823528,1.0
1997-07-17,37.2,37.2,34.0,35.5,3200.0,-0.020689655172413834,1.0
1997-07-21,39.0,39.0,39.0,39.0,1100.0,0.09859154929577474,1.0
1997-07-22,42.9,42.9,42.9,42.9,1100.0,0.09999999999999987,1.0
1997-07-23,47.2,47.2,47.2,47.2,2500.0,0.10023310023310028,1.0
1997-07-24,51.5,51.95,51.25,51.95,3800.0,0.10063559322033888,1.0
1997-07-25,53.55,53.55,51.0,53.5,19400.0,0.029836381135707413,1.0
1997-07-28,53.55,53.55,51.55,52.0,7700.0,-0.028037383177570097,1.0
1997-07-29,53.55,53.55,50.45,51.0,15300.0,-0.019230769230769273,1.0
1997-07-30,50.0,55.5,50.0,55.0,6800.0,0.07843137254901955,1.0
1997-07-31,60.0,60.0,56.0,56.55,8700.0,0.028181818181818086,1.0
1997-08-01,56.85,62.25,56.85,62.25,15500.0,0.10079575596816981,1.0
1997-08-04,63.5,63.7,62.75,63.7,17100.0,0.02329317269076303,1.0
1997-08-05,63.7,63.7,63.7,63.7,2000.0,0.0,1.0
1997-08-07,66.95,67.1,61.45,61.95,13500.0,-0.027472527472527486,1.0
1997-08-08,62.95,62.95,55.75,55.75,11300.0,-0.10008071025020182,1.0
1997-08-11,59.5,61.35,58.75,59.95,12400.0,0.07533632286995529,1.0
1997-08-12,61.0,61.5,55.3,58.0,12900.0,-0.03252710592160135,1.0
1997-08-13,58.1,58.5,57.5,57.5,2600.0,-0.008620689655172376,1.0
1997-08-14,58.0,58.25,56.5,57.0,5900.0,-0.008695652173912993,1.0
1997-08-18,54.2,55.0,53.0,53.0,12000.0,-0.07017543859649122,1.0
1997-08-19,53.2,55.25,51.5,52.15,5600.0,-0.016037735849056656,1.0
1997-08-20,57.4,57.4,55.5,57.4,30500.0,0.10067114093959728,1.0
1997-08-21,56.5,56.65,55.1,55.1,2000.0,-0.04006968641114983,1.0
1997-08-22,54.0,55.0,54.0,54.9,1000.0,-0.003629764065335772,1.0
1997-08-25,54.0,57.5,54.0,57.0,5000.0,0.03825136612021862,1.0
1997-08-26,57.0,57.45,56.8,56.9,1100.0,-0.0017543859649122862,1.0
1997-08-27,57.4,57.4,56.0,56.0,1900.0,-0.01581722319859402,1.0
1997-08-28,56.05,56.05,55.05,55.15,3100.0,-0.015178571428571486,1.0
1997-08-29,53.05,53.5,49.65,49.7,6100.0,-0.09882139619220298,1.0
1997-09-01,50.0,50.0,49.0,49.9,1100.0,0.004024144869215096,1.0
1997-09-02,50.25,51.6,50.25,51.6,400.0,0.034068136272545235,1.0
1997-09-03,51.9,51.95,51.8,51.95,900.0,0.006782945736434121,1.0
1997-09-04,50.1,51.0,50.1,51.0,500.0,-0.018286814244465877,1.0
1997-09-05,51.5,51.5,50.0,50.1,3500.0,-0.01764705882352935,1.0
1997-09-08,48.5,48.5,48.0,48.0,200.0,-0.041916167664670656,1.0
1997-09-09,52.5,52.75,50.6,52.45,800.0,0.09270833333333339,1.0
1997-09-10,50.05,52.0,50.05,52.0,300.0,-0.008579599618684486,1.0
1997-09-11,50.0,50.0,49.5,49.65,1100.0,-0.045192307692307754,1.0
1997-09-12,48.5,48.5,47.6,47.6,200.0,-0.0412890231621349,1.0
1997-09-15,47.1,47.1,47.0,47.0,500.0,-0.012605042016806789,1.0
1997-09-16,45.25,45.25,45.0,45.0,900.0,-0.04255319148936165,1.0
1997-09-17,45.0,45.0,45.0,45.0,100.0,0.0,1.0
1997-09-18,44.0,44.0,43.95,43.95,400.0,-0.023333333333333317,1.0
1997-09-19,45.0,45.0,42.25,44.95,6600.0,0.022753128555176305,1.0
1997-09-22,42.7,42.7,42.7,42.7,300.0,-0.05005561735261399,1.0
1997-09-23,40.6,40.6,40.6,40.6,300.0,-0.049180327868852514,1.0
1997-09-24,40.6,42.55,39.0,39.0,4200.0,-0.039408866995073955,1.0
1997-09-25,39.55,40.05,39.5,39.8,400.0,0.02051282051282044,1.0
1997-09-26,41.75,41.8,41.75,41.8,5600.0,0.05025125628140703,1.0
1997-09-29,43.4,43.4,42.75,43.0,6800.0,0.028708133971292016,1.0
1997-09-30,42.5,43.0,40.85,40.85,2100.0,-0.04999999999999993,1.0
1997-10-01,40.0,41.0,40.0,40.0,3100.0,-0.020807833537331732,1.0
1997-10-09,42.0,42.0,41.7,41.7,400.0,0.04249999999999998,1.0
1997-10-10,43.35,43.35,40.0,40.0,300.0,-0.04076738609112718,1.0
1997-10-13,40.0,40.0,38.05,38.05,500.0,-0.04875000000000007,1.0
1997-10-14,38.1,39.45,36.2,36.2,1800.0,-0.04862023653088032,1.0
1997-10-15,37.5,38.0,37.0,37.0,1400.0,0.022099447513812098,1.0
1997-10-16,36.5,36.5,35.25,35.25,1600.0,-0.04729729729729726,1.0
1997-10-17,34.2,34.2,34.0,34.0,500.0,-0.03546099290780147,1.0
1997-10-20,35.6,35.7,35.5,35.7,800.0,0.050000000000000044,1.0
1997-10-21,37.0,37.25,34.55,34.9,4500.0,-0.022408963585434316,1.0
1997-10-22,35.9,35.9,35.9,35.9,100.0,0.02865329512893977,1.0
1997-10-23,34.7,34.7,34.15,34.15,1700.0,-0.04874651810584962,1.0
1997-10-24,33.0,34.25,33.0,34.25,200.0,0.002928257686676483,1.0
1997-10-27,34.25,34.25,32.55,33.85,800.0,-0.011678832116788329,1.0
1997-10-28,32.25,32.5,32.2,32.35,800.0,-0.04431314623338256,1.0
1997-10-29,33.5,33.5,33.5,33.5,100.0,0.03554868624420404,1.0
1997-11-03,33.0,33.0,33.0,33.0,200.0,-0.014925373134328401,1.0
1997-11-04,33.5,33.5,31.5,31.5,1700.0,-0.045454545454545414,1.0
1997-11-05,32.0,32.0,32.0,32.0,100.0,0.015873015873015817,1.0
1997-11-06,31.8,32.0,31.8,32.0,2100.0,0.0,1.0
1997-11-07,32.0,32.0,31.5,32.0,1200.0,0.0,1.0
1997-11-10,32.0,32.0,31.95,32.0,500.0,0.0,1.0
1997-11-11,32.0,32.0,30.55,30.8,1500.0,-0.03749999999999998,1.0
1997-11-12,31.0,31.0,29.3,29.4,3400.0,-0.045454545454545525,1.0
1997-11-13,29.5,29.5,28.0,28.0,1400.0,-0.04761904761904756,1.0
1997-11-17,27.8,27.8,27.6,27.6,400.0,-0.014285714285714235,1.0
1997-11-18,27.1,27.1,26.25,26.25,2000.0,-0.048913043478260865,1.0
1997-11-19,25.55,25.55,25.0,25.0,1900.0,-0.04761904761904767,1.0
1997-11-20,24.15,25.0,24.15,25.0,600.0,0.0,1.0
1997-11-21,25.0,25.25,25.0,25.2,700.0,0.008000000000000007,1.0
1997-11-24,25.05,25.05,24.0,24.0,800.0,-0.04761904761904756,1.0
1997-11-25,24.0,24.25,23.0,23.75,1500.0,-0.01041666666666663,1.0
1997-11-26,23.6,24.5,23.6,24.25,1900.0,0.021052631578947434,1.0
1997-11-27,24.0,24.0,23.65,23.65,400.0,-0.024742268041237137,1.0
1997-11-28,24.0,24.0,22.5,23.1,1300.0,-0.023255813953488302,1.0
1997-12-01,23.15,23.15,23.15,23.15,100.0,0.0021645021645020357,1.0
1997-12-02,22.9,22.9,22.9,22.9,200.0,-0.010799136069114423,1.0
1997-12-03,23.25,23.25,22.65,22.65,300.0,-0.01091703056768556,1.0
1997-12-04,23.4,23.45,23.1,23.1,400.0,0.019867549668874274,1.0
1997-12-08,22.5,23.5,22.5,23.5,200.0,0.017316017316017174,1.0
1997-12-09,24.45,24.45,22.5,22.55,900.0,-0.04042553191489362,1.0
