Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,52.0,52.0,50.0,50.0,500.0,,1.0
1996-01-02,50.0,50.0,50.0,50.0,1500.0,0.0,1.0
1996-01-03,50.0,50.0,49.5,50.0,800.0,0.0,1.0
1996-01-04,49.5,49.7,49.5,49.5,800.0,-0.010000000000000009,1.0
1996-01-05,48.5,49.0,48.5,49.0,1700.0,-0.010101010101010055,1.0
1996-01-08,50.9,50.9,49.0,49.0,700.0,0.0,1.0
1996-01-09,49.0,50.0,48.0,50.0,3000.0,0.020408163265306145,1.0
1996-01-10,50.0,49.0,48.5,48.5,1500.0,-0.030000000000000027,1.0
1996-01-11,48.5,48.5,47.45,47.5,800.0,-0.020618556701030966,1.0
1996-01-12,48.95,48.95,46.5,46.75,1900.0,-0.015789473684210575,1.0
1996-01-15,48.0,48.0,47.0,48.0,1200.0,0.02673796791443861,1.0
1996-01-16,48.0,49.0,46.75,48.75,1400.0,0.015625,1.0
1996-01-17,48.75,47.9,47.0,47.9,700.0,-0.017435897435897463,1.0
1996-01-18,47.9,46.5,46.0,46.5,1300.0,-0.029227557411273475,1.0
1996-01-19,46.0,46.0,45.0,45.0,5100.0,-0.032258064516129004,1.0
1996-01-22,45.0,49.0,44.0,44.0,2400.0,-0.022222222222222254,1.0
1996-01-23,44.0,45.0,43.5,43.5,1600.0,-0.011363636363636354,1.0
1996-01-24,47.0,47.0,43.0,43.75,2200.0,0.005747126436781658,1.0
1996-01-25,43.75,46.95,41.15,41.35,3400.0,-0.05485714285714283,1.0
1996-01-29,41.35,43.8,41.0,41.0,4000.0,-0.00846432889963733,1.0
1996-01-30,45.0,45.0,40.05,41.75,3100.0,0.018292682926829285,1.0
1996-01-31,41.75,45.0,40.0,40.0,900.0,-0.041916167664670656,1.0
1996-02-01,40.0,41.25,40.0,41.25,900.0,0.03125,1.0
1996-02-02,41.25,42.0,41.75,41.75,300.0,0.0121212121212122,1.0
1996-02-05,41.75,43.95,43.9,43.95,500.0,0.052694610778443174,1.0
1996-02-06,43.95,44.0,42.65,42.65,1800.0,-0.029579067121729308,1.0
1996-02-07,41.9,45.0,41.9,45.0,2100.0,0.055099648300117376,1.0
1996-02-08,45.0,42.2,42.2,42.2,100.0,-0.06222222222222218,1.0
1996-02-09,42.0,42.0,42.0,42.0,400.0,-0.004739336492891044,1.0
1996-02-12,43.0,44.0,43.0,44.0,200.0,0.04761904761904767,1.0
1996-02-13,45.0,45.0,42.25,42.25,800.0,-0.03977272727272729,1.0
1996-02-14,43.5,44.45,43.5,44.45,800.0,0.05207100591715985,1.0
1996-02-15,44.0,45.05,43.75,45.05,1400.0,0.013498312710910954,1.0
1996-02-16,43.5,44.0,43.05,43.95,1100.0,-0.02441731409544934,1.0
1996-02-19,43.5,43.5,42.05,43.0,1100.0,-0.021615472127417545,1.0
1996-02-20,42.75,42.9,42.0,42.0,500.0,-0.023255813953488413,1.0
1996-02-22,42.0,42.0,41.5,41.5,300.0,-0.011904761904761862,1.0
1996-02-23,41.0,42.0,41.0,42.0,1000.0,0.012048192771084265,1.0
1996-02-26,42.0,43.6,42.2,42.25,7600.0,0.005952380952380931,1.0
1996-02-27,42.25,44.0,42.0,42.0,8300.0,-0.00591715976331364,1.0
