Date,Open,High,Low,Close,Volume,Returns,Anomaly
2008-02-07,434.7,434.7,398.0,398.0,14906.0,,1.0
2008-02-08,380.05,398.95,378.1,378.1,6546.0,-0.04999999999999993,1.0
2008-02-11,359.2,365.0,359.2,359.2,2066.0,-0.04998677598518919,1.0
2008-02-12,342.0,375.0,341.25,341.25,877.0,-0.04997216035634744,1.0
2008-02-13,324.2,344.95,324.2,324.2,294.0,-0.04996336996337003,1.0
2008-02-14,338.85,340.45,314.0,334.95,9353.0,0.03315854410857488,1.0
2008-02-15,340.0,350.0,320.05,340.15,10666.0,0.015524705179877474,1.0
2008-02-18,357.2,357.2,357.2,357.2,255.0,0.05012494487726005,1.0
2008-02-19,375.1,375.1,375.1,375.1,450.0,0.050111982082866824,1.0
2008-02-20,393.9,393.9,356.4,358.0,4686.0,-0.045587843241802206,1.0
2008-02-21,357.0,368.9,341.0,348.9,7742.0,-0.02541899441340789,1.0
2008-02-22,350.0,366.35,340.05,363.5,5249.0,0.04184580108913738,1.0
2008-02-25,365.0,374.9,345.35,353.15,1928.0,-0.028473177441540654,1.0
2008-02-26,364.9,368.0,340.0,349.25,4521.0,-0.01104346594931327,1.0
2008-02-27,359.7,364.5,335.0,340.7,6067.0,-0.02448103078024344,1.0
2008-02-28,332.0,350.0,323.7,323.75,3488.0,-0.04975051364837102,1.0
2008-02-29,312.0,322.0,311.0,318.3,954.0,-0.016833976833976805,1.0
2008-03-03,306.0,306.4,302.4,302.4,639.0,-0.04995287464655995,1.0
2008-03-04,296.0,302.0,287.3,291.7,1956.0,-0.035383597883597795,1.0
2008-03-05,293.0,293.0,277.15,277.15,945.0,-0.04988001371271855,1.0
2008-03-07,263.3,263.3,263.3,263.3,91.0,-0.04997293884178233,1.0
2008-03-10,252.0,276.5,250.5,276.5,6397.0,0.05013292821876192,1.0
2008-03-11,289.0,290.35,289.0,290.35,7435.0,0.050090415913200736,1.0
2008-03-12,304.9,304.9,300.0,304.9,15702.0,0.05011193387291191,1.0
2008-03-13,296.0,300.0,289.65,291.2,11131.0,-0.04493276484093145,1.0
2008-03-14,289.0,302.9,282.0,291.4,10568.0,0.0006868131868131844,1.0
2008-03-17,293.0,293.0,277.1,279.35,11524.0,-0.04135209334248435,1.0
2008-03-18,278.0,281.95,271.7,276.4,11189.0,-0.010560229103275587,1.0
2008-03-19,290.0,290.25,280.0,280.0,5370.0,0.013024602026049381,1.0
2008-03-24,285.0,287.0,267.0,272.85,10596.0,-0.025535714285714217,1.0
2008-03-25,279.7,286.5,277.0,282.2,15223.0,0.03426791277258556,1.0
2008-03-26,290.0,294.0,276.7,278.4,8518.0,-0.013465627214741316,1.0
2008-03-27,275.15,285.0,271.1,275.6,5294.0,-0.010057471264367623,1.0
2008-03-28,280.0,289.4,279.7,284.8,12115.0,0.03338171262699552,1.0
2008-03-31,284.0,284.0,273.0,278.85,9131.0,-0.020891853932584192,1.0
2008-04-01,273.3,284.8,272.05,275.05,6515.0,-0.013627398242782918,1.0
2008-04-02,285.0,288.8,280.0,282.65,15699.0,0.027631339756407858,1.0
2008-04-03,294.0,294.0,280.0,280.05,3705.0,-0.009198655581107218,1.0
2008-04-04,280.0,285.0,273.7,279.1,7162.0,-0.0033922513836814883,1.0
2008-04-07,280.0,287.5,279.0,284.0,2746.0,0.01755643138659968,1.0
2008-04-08,280.1,290.0,280.1,287.85,3439.0,0.013556338028169135,1.0
2008-04-09,290.0,294.4,287.0,287.65,3700.0,-0.0006948063227376622,1.0
