Date,Open,High,Low,Close,Volume,Returns,Anomaly
2010-07-26,41.95,42.45,34.0,40.8,63723.0,,1.0
2010-07-27,41.2,41.5,39.45,40.65,96875.0,-0.003676470588235281,1.0
2010-07-28,40.95,41.95,39.5,40.8,70180.0,0.0036900369003689537,1.0
2010-07-29,40.95,41.05,39.4,39.5,13723.0,-0.0318627450980391,1.0
2010-07-30,39.5,40.5,39.0,39.85,45995.0,0.008860759493670933,1.0
2010-08-02,40.3,42.5,40.0,40.5,29391.0,0.016311166875784044,1.0
2010-08-03,41.7,41.7,40.15,40.25,8261.0,-0.006172839506172867,1.0
2010-08-04,40.25,40.9,39.95,40.35,13891.0,0.00248447204968949,1.0
2010-08-05,40.15,41.5,40.05,40.1,54639.0,-0.006195786864931829,1.0
2010-08-06,40.2,40.95,40.2,40.65,11311.0,0.013715710723191998,1.0
2010-08-09,41.6,41.6,40.15,40.7,11461.0,0.0012300123001232066,1.0
2010-08-10,41.8,44.8,40.75,42.85,424427.0,0.05282555282555279,1.0
2010-08-11,43.9,43.9,40.8,41.55,29479.0,-0.030338389731622062,1.0
2010-08-12,40.25,41.35,40.25,40.75,24858.0,-0.019253910950661757,1.0
2010-08-13,40.2,41.5,40.0,40.25,22258.0,-0.012269938650306789,1.0
2010-08-16,40.15,41.4,39.0,39.7,32085.0,-0.013664596273291862,1.0
2010-08-17,39.55,40.35,39.3,39.7,8639.0,0.0,1.0
2010-08-18,39.5,40.65,38.2,38.9,30913.0,-0.02015113350125952,1.0
2010-08-19,39.0,39.7,38.3,38.55,20483.0,-0.00899742930591263,1.0
2010-08-20,39.3,39.5,38.65,39.05,10477.0,0.012970168612191912,1.0
2010-08-23,38.7,39.8,38.6,39.25,26464.0,0.00512163892445594,1.0
2010-08-24,39.0,39.9,38.8,39.7,8398.0,0.01146496815286624,1.0
2010-08-25,39.0,39.8,38.3,38.9,22003.0,-0.02015113350125952,1.0
2010-08-26,40.15,40.15,38.5,39.15,16470.0,0.006426735218509005,1.0
2010-08-27,38.5,39.4,38.25,38.3,10770.0,-0.02171136653895278,1.0
2010-08-30,38.95,39.15,38.0,38.55,4391.0,0.006527415143603221,1.0
2010-08-31,38.0,39.5,36.75,37.15,14394.0,-0.036316472114137466,1.0
2010-09-01,37.9,39.3,37.25,38.75,13508.0,0.043068640646029666,1.0
2010-09-02,39.0,39.35,38.25,39.05,21050.0,0.00774193548387081,1.0
2010-09-03,38.2,39.2,38.2,39.15,22487.0,0.00256081946222797,1.0
2010-09-06,39.6,42.0,39.0,40.5,626241.0,0.034482758620689724,1.0
2010-09-07,41.0,42.7,40.4,41.4,195698.0,0.022222222222222143,1.0
2010-09-08,41.4,41.5,40.1,40.55,33805.0,-0.020531400966183555,1.0
2010-09-09,41.0,41.5,39.5,40.75,31645.0,0.004932182490752224,1.0
2010-09-13,42.45,44.4,42.0,43.85,525697.0,0.07607361963190185,1.0
2010-09-14,44.25,47.3,44.25,45.25,453410.0,0.03192702394526803,1.0
2010-09-15,46.9,46.9,44.25,44.9,86838.0,-0.007734806629834279,1.0
2010-09-16,45.0,45.0,43.35,43.7,71108.0,-0.026726057906458656,1.0
2010-09-17,43.15,44.0,42.75,43.8,51239.0,0.0022883295194506825,1.0
2010-09-20,43.15,44.4,43.15,43.85,71817.0,0.0011415525114155667,1.0
2010-09-21,44.45,44.45,40.75,41.95,71174.0,-0.043329532497149326,1.0
2010-09-22,42.0,42.15,41.0,41.5,27249.0,-0.010727056019070424,1.0
2010-09-23,40.0,41.85,40.0,41.5,12919.0,0.0,1.0
2010-09-24,41.25,42.3,41.25,42.15,23468.0,0.015662650602409567,1.0
2010-09-27,42.95,43.0,41.15,41.45,45928.0,-0.016607354685646447,1.0
2010-09-28,41.3,42.4,41.0,41.1,18597.0,-0.008443908323281124,1.0
2010-09-29,41.9,41.9,41.0,41.15,15169.0,0.001216545012165282,1.0
2010-09-30,42.6,43.05,40.7,41.3,37397.0,0.0036452004860267895,1.0
2010-10-01,41.85,44.5,41.25,43.1,227654.0,0.04358353510895885,1.0
2010-10-04,43.5,43.9,42.1,42.3,42702.0,-0.018561484918793614,1.0
2010-10-05,43.1,43.1,41.1,42.75,27602.0,0.010638297872340496,1.0
2010-10-06,42.3,42.7,41.0,41.65,70417.0,-0.025730994152046827,1.0
2010-10-07,41.0,42.3,40.7,41.45,32930.0,-0.004801920768307211,1.0
2010-10-08,41.0,42.0,40.2,40.65,51622.0,-0.01930036188178541,1.0
2010-10-11,40.5,44.25,40.5,42.25,88267.0,0.03936039360393617,1.0
2010-10-12,42.5,43.0,41.95,42.3,29778.0,0.0011834319526626835,1.0
2010-10-13,42.3,42.9,42.0,42.25,22894.0,-0.0011820330969266601,1.0
2010-10-14,40.35,42.75,40.35,41.15,17122.0,-0.026035502958579926,1.0
2010-10-15,41.0,41.95,41.0,41.05,14689.0,-0.00243013365735123,1.0
2010-10-18,41.0,42.25,40.25,41.95,20278.0,0.02192448233861155,1.0
2010-10-19,42.0,42.55,41.0,41.45,27991.0,-0.011918951132300348,1.0
2010-10-20,41.0,41.7,40.55,40.7,22793.0,-0.018094089264173663,1.0
2010-10-21,42.0,42.0,41.15,41.45,16548.0,0.01842751842751844,1.0
2010-10-22,41.1,41.8,41.0,41.2,20152.0,-0.006031363088057851,1.0
2010-10-25,41.3,42.2,40.85,41.25,30642.0,0.0012135922330096527,1.0
2010-10-26,40.7,41.7,40.7,41.2,18552.0,-0.001212121212121109,1.0
2010-10-27,41.65,41.85,39.8,40.45,109048.0,-0.01820388349514568,1.0
2010-10-28,40.15,41.35,39.8,40.85,22075.0,0.009888751545117369,1.0
2010-10-29,40.4,41.0,38.15,39.0,70204.0,-0.04528763769889843,1.0
2010-11-01,39.9,41.0,38.5,39.15,51976.0,0.0038461538461538325,1.0
2010-11-02,40.0,40.0,39.05,39.25,28088.0,0.0025542784163474774,1.0
2010-11-03,39.15,41.45,39.1,41.2,34926.0,0.04968152866242037,1.0
2010-11-04,40.5,41.5,40.45,40.7,20344.0,-0.012135922330097082,1.0
2010-11-05,41.9,41.9,40.6,41.35,10759.0,0.01597051597051591,1.0
2010-11-08,41.5,42.0,41.0,41.7,31196.0,0.00846432889963733,1.0
2010-11-09,41.05,43.7,41.05,42.95,129069.0,0.029976019184652314,1.0
2010-11-10,43.2,44.1,41.9,42.5,112181.0,-0.010477299185098987,1.0
2010-11-11,43.15,44.0,42.75,42.85,92583.0,0.008235294117647118,1.0
2010-11-12,44.0,46.5,43.55,44.75,404912.0,0.04434072345390905,1.0
2010-11-15,45.4,46.05,44.55,45.45,103102.0,0.015642458100558754,1.0
2010-11-16,45.0,45.8,43.05,43.45,77998.0,-0.044004400440044056,1.0
2010-11-18,43.5,43.65,39.5,41.05,146737.0,-0.05523590333716932,1.0
2010-11-19,41.05,42.0,40.05,41.15,74282.0,0.0024360535931791105,1.0
2010-11-22,41.5,42.1,40.5,40.75,57832.0,-0.009720534629404587,1.0
2010-11-23,40.95,41.0,39.5,40.05,26034.0,-0.01717791411042957,1.0
2010-11-24,40.05,40.75,39.1,39.4,24389.0,-0.01622971285892627,1.0
2010-11-25,40.6,41.0,38.55,38.75,146093.0,-0.016497461928933976,1.0
2010-11-26,39.0,39.0,37.05,37.6,68364.0,-0.029677419354838697,1.0
2010-11-29,38.0,38.4,37.0,37.15,20367.0,-0.01196808510638303,1.0
2010-11-30,38.0,38.0,36.85,37.25,9307.0,0.0026917900403768957,1.0
2010-12-01,38.0,38.0,36.8,37.15,94642.0,-0.0026845637583893245,1.0
2010-12-02,36.7,38.25,36.7,37.45,36800.0,0.008075370121130687,1.0
2010-12-03,38.0,38.2,36.8,36.95,25475.0,-0.013351134846461998,1.0
2010-12-06,38.0,38.2,37.15,37.45,11259.0,0.013531799729364025,1.0
2010-12-07,37.75,37.9,34.5,36.8,22710.0,-0.01735647530040063,1.0
2010-12-08,36.7,37.65,36.0,36.2,32258.0,-0.016304347826086807,1.0
2010-12-09,36.0,36.4,32.2,33.1,107457.0,-0.08563535911602216,1.0
2010-12-10,33.0,34.6,32.65,33.75,20216.0,0.01963746223564944,1.0
2010-12-13,38.85,38.85,32.0,33.65,28890.0,-0.002962962962963056,1.0
2010-12-14,35.0,35.85,34.5,34.8,17150.0,0.03417533432392261,1.0
2010-12-15,35.0,35.75,34.05,34.7,17788.0,-0.002873563218390607,1.0
2010-12-16,35.0,36.5,33.2,34.45,37044.0,-0.007204610951008661,1.0
2010-12-20,34.5,36.0,34.2,34.85,13715.0,0.011611030478954953,1.0
2010-12-21,35.9,35.95,34.25,34.55,35457.0,-0.008608321377331585,1.0
2010-12-22,34.9,34.9,34.3,34.45,42058.0,-0.0028943560057885787,1.0
2010-12-23,34.8,35.0,34.1,34.35,19842.0,-0.002902757619738794,1.0
2010-12-24,34.4,34.8,34.25,34.5,10965.0,0.004366812227074135,1.0
2010-12-27,34.5,35.0,34.05,34.2,19519.0,-0.008695652173912993,1.0
2010-12-28,34.25,34.7,33.95,34.15,29124.0,-0.0014619883040937198,1.0
2010-12-29,33.95,34.75,33.95,34.25,22953.0,0.002928257686676483,1.0
2010-12-30,34.4,34.55,34.0,34.2,71717.0,-0.0014598540145984717,1.0
2010-12-31,35.95,35.95,34.35,34.5,27190.0,0.008771929824561209,1.0
2011-01-03,35.0,35.8,34.65,35.8,14435.0,0.03768115942028971,1.0
2011-01-04,35.9,36.6,35.5,36.0,30066.0,0.005586592178770999,1.0
2011-01-05,35.55,36.5,35.5,35.55,28843.0,-0.012500000000000067,1.0
2011-01-06,35.6,36.45,34.7,36.2,20508.0,0.0182841068917019,1.0
2011-01-07,35.1,36.4,35.1,35.4,19403.0,-0.02209944751381232,1.0
2011-01-10,35.65,36.65,34.65,35.0,76334.0,-0.011299435028248594,1.0
2011-01-11,35.95,36.2,35.15,35.5,31794.0,0.014285714285714235,1.0
2011-01-12,35.9,35.9,33.75,34.2,43429.0,-0.036619718309859106,1.0
2011-01-13,34.95,35.3,33.55,33.8,20092.0,-0.011695906432748648,1.0
2011-01-14,33.8,36.4,33.1,34.05,58603.0,0.007396449704142105,1.0
2011-01-17,34.8,34.9,32.65,32.9,34655.0,-0.033773861967694496,1.0
2011-01-18,32.6,33.75,32.55,33.6,5162.0,0.021276595744680993,1.0
2011-01-19,34.0,34.0,33.0,33.35,15108.0,-0.007440476190476164,1.0
2011-01-20,33.9,34.7,33.3,34.35,13672.0,0.02998500749625177,1.0
2011-01-21,34.0,34.6,33.2,33.6,11404.0,-0.02183406113537123,1.0
2011-01-24,33.25,34.9,32.8,33.85,21165.0,0.007440476190476275,1.0
2011-01-25,34.45,34.45,33.0,33.15,11294.0,-0.020679468242245314,1.0
2011-01-27,33.5,34.0,33.05,33.6,8211.0,0.013574660633484337,1.0
2011-01-28,33.3,33.5,31.35,32.8,67161.0,-0.023809523809523947,1.0
2011-01-31,31.35,33.2,28.8,31.85,34811.0,-0.0289634146341462,1.0
2011-02-01,33.6,33.6,31.15,31.8,18062.0,-0.0015698587127158659,1.0
2011-02-02,32.45,33.0,31.85,32.4,24780.0,0.018867924528301883,1.0
2011-02-03,32.9,32.9,31.15,31.3,22036.0,-0.033950617283950546,1.0
2011-02-04,25.15,31.75,25.15,29.7,34678.0,-0.051118210862619806,1.0
2011-02-07,29.4,29.8,27.65,27.95,27641.0,-0.05892255892255893,1.0
2011-02-08,27.6,28.5,27.0,27.7,30845.0,-0.008944543828264706,1.0
2011-02-09,27.7,30.95,22.35,22.9,121228.0,-0.1732851985559567,1.0
