Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,23.55,23.75,23.55,23.75,300.0,,1.0
1996-01-02,23.55,24.0,23.5,23.5,600.0,-0.010526315789473717,1.0
1996-01-03,23.5,23.5,23.5,23.5,100.0,0.0,1.0
1996-01-04,23.0,23.25,23.0,23.0,500.0,-0.021276595744680882,1.0
1996-01-08,22.55,22.6,22.55,22.6,200.0,-0.017391304347825987,1.0
1996-01-09,22.5,22.5,22.5,22.5,100.0,-0.004424778761062065,1.0
1996-01-10,23.0,23.0,23.0,23.0,200.0,0.022222222222222143,1.0
1996-01-11,23.0,23.25,23.0,23.0,300.0,0.0,1.0
1996-01-12,23.0,23.05,23.0,23.0,1000.0,0.0,1.0
1996-01-16,22.0,23.0,22.0,23.0,200.0,0.0,1.0
1996-01-17,23.0,23.0,23.0,23.0,400.0,0.0,1.0
1996-01-18,23.0,23.0,21.55,22.35,400.0,-0.02826086956521734,1.0
1996-01-19,22.0,22.0,21.5,21.5,300.0,-0.03803131991051456,1.0
1996-01-22,21.75,21.75,21.75,21.75,200.0,0.011627906976744207,1.0
1996-01-23,21.0,21.0,21.0,21.0,200.0,-0.03448275862068961,1.0
1996-01-24,21.0,21.0,20.0,20.0,200.0,-0.04761904761904767,1.0
1996-01-25,20.5,20.5,20.5,20.5,200.0,0.02499999999999991,1.0
1996-01-30,20.4,20.5,20.4,20.4,300.0,-0.00487804878048792,1.0
1996-01-31,20.5,20.5,20.5,20.5,300.0,0.004901960784313708,1.0
1996-02-01,21.3,21.3,21.25,21.25,200.0,0.03658536585365857,1.0
1996-02-02,23.0,23.0,20.25,22.0,1000.0,0.03529411764705892,1.0
1996-02-05,22.0,22.0,22.0,22.0,200.0,0.0,1.0
1996-02-06,22.0,23.0,22.0,22.75,500.0,0.03409090909090917,1.0
1996-02-07,22.5,22.75,22.05,22.05,900.0,-0.03076923076923077,1.0
1996-02-08,21.5,21.75,21.25,21.25,400.0,-0.03628117913832207,1.0
1996-02-09,23.0,23.0,23.0,23.0,200.0,0.08235294117647052,1.0
1996-02-12,22.0,23.0,22.0,23.0,3300.0,0.0,1.0
1996-02-13,23.05,25.0,20.8,23.0,9800.0,0.0,1.0
1996-02-14,23.0,23.0,22.5,23.0,8500.0,0.0,1.0
1996-02-15,23.0,23.0,23.0,23.0,800.0,0.0,1.0
1996-02-16,23.0,24.0,23.0,24.0,1400.0,0.04347826086956519,1.0
1996-02-19,23.25,26.0,23.25,26.0,1300.0,0.08333333333333326,1.0
1996-02-20,26.0,27.75,25.0,26.05,2700.0,0.0019230769230769162,1.0
1996-02-22,26.2,26.5,25.25,25.25,4900.0,-0.030710172744721764,1.0
1996-02-23,25.25,26.0,25.05,26.0,800.0,0.02970297029702973,1.0
1996-02-26,26.5,26.5,26.05,26.05,600.0,0.0019230769230769162,1.0
1996-02-27,24.0,25.9,24.0,25.0,4100.0,-0.040307101727447225,1.0
1996-02-28,24.25,24.25,24.0,24.0,300.0,-0.040000000000000036,1.0
1996-02-29,24.0,24.0,21.6,22.5,1000.0,-0.0625,1.0
1996-03-01,21.5,21.95,21.0,21.95,400.0,-0.02444444444444449,1.0
1996-03-04,21.5,22.0,21.5,22.0,400.0,0.002277904328018332,1.0
1996-03-06,22.0,22.15,22.0,22.15,600.0,0.006818181818181834,1.0
1996-03-07,22.15,22.15,22.1,22.1,500.0,-0.0022573363431149795,1.0
1996-03-08,22.0,22.1,22.0,22.1,400.0,0.0,1.0
1996-03-11,21.65,21.65,21.0,21.1,1400.0,-0.04524886877828049,1.0
1996-03-12,21.1,21.5,21.0,21.05,1700.0,-0.0023696682464455776,1.0
1996-03-13,21.05,22.0,21.0,22.0,800.0,0.0451306413301662,1.0
1996-03-14,21.0,21.0,20.5,21.0,1100.0,-0.045454545454545414,1.0
1996-03-15,20.6,22.0,20.6,22.0,600.0,0.04761904761904767,1.0
1996-03-18,19.85,21.5,19.75,21.5,1000.0,-0.022727272727272707,1.0
1996-03-19,21.5,21.5,21.0,21.0,300.0,-0.023255813953488413,1.0
1996-03-22,21.0,21.0,21.0,21.0,300.0,0.0,1.0
1996-03-25,21.0,21.0,19.7,19.7,500.0,-0.06190476190476191,1.0
1996-03-26,19.55,21.45,19.55,20.0,700.0,0.015228426395939021,1.0
1996-03-27,20.0,21.4,20.25,21.4,200.0,0.06999999999999984,1.0
1996-03-28,20.5,22.5,20.5,22.5,600.0,0.05140186915887868,1.0
1996-03-29,22.5,22.5,22.5,22.5,300.0,0.0,1.0
1996-04-01,21.6,21.75,21.05,21.75,1300.0,-0.033333333333333326,1.0
1996-04-02,22.5,22.5,22.0,22.3,1000.0,0.025287356321839205,1.0
1996-04-03,22.4,22.4,22.3,22.4,400.0,0.004484304932735439,1.0
1996-04-04,21.6,21.6,21.6,21.6,100.0,-0.03571428571428559,1.0
1996-04-09,22.55,22.7,22.0,22.45,800.0,0.03935185185185186,1.0
1996-04-10,22.5,22.5,22.05,22.1,900.0,-0.015590200445434244,1.0
1996-04-11,22.0,22.0,21.5,21.5,200.0,-0.02714932126696834,1.0
1996-04-12,21.0,21.05,21.0,21.05,600.0,-0.020930232558139528,1.0
1996-04-15,21.0,21.5,21.0,21.3,700.0,0.01187648456057011,1.0
1996-04-16,21.0,22.0,21.0,21.75,1200.0,0.021126760563380254,1.0
1996-04-17,21.75,21.75,21.75,21.75,100.0,0.0,1.0
1996-04-18,23.0,23.0,22.2,22.2,1000.0,0.020689655172413834,1.0
1996-04-19,22.2,24.0,23.0,23.45,3400.0,0.056306306306306286,1.0
1996-04-22,23.5,23.5,23.5,23.5,400.0,0.002132196162046851,1.0
1996-04-23,22.0,23.5,22.0,23.5,1800.0,0.0,1.0
1996-04-24,23.5,23.5,23.35,23.5,900.0,0.0,1.0
1996-04-25,23.5,24.0,23.4,24.0,600.0,0.02127659574468077,1.0
1996-04-26,24.0,25.0,22.5,22.75,500.0,-0.05208333333333337,1.0
1996-04-29,21.5,21.5,21.5,21.5,200.0,-0.05494505494505497,1.0
1996-04-30,21.8,22.0,21.5,21.5,1700.0,0.0,1.0
1996-05-01,22.0,22.55,22.0,22.55,700.0,0.04883720930232571,1.0
1996-05-02,22.9,22.95,22.9,22.95,200.0,0.01773835920177369,1.0
1996-05-03,23.0,24.0,23.0,24.0,1000.0,0.045751633986928164,1.0
1996-05-06,23.0,23.75,23.0,23.75,2400.0,-0.01041666666666663,1.0
1996-05-07,23.75,23.75,22.75,23.0,800.0,-0.03157894736842104,1.0
