Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-02,55.0,58.5,50.0,58.5,350.0,,1.0
1996-01-04,56.0,56.0,53.5,53.85,700.0,-0.07948717948717943,1.0
1996-01-05,53.85,55.05,54.9,55.0,900.0,0.02135561745589598,1.0
1996-01-08,52.5,52.5,52.5,52.5,50.0,-0.045454545454545414,1.0
1996-01-09,52.5,52.0,52.0,52.0,150.0,-0.00952380952380949,1.0
1996-01-10,50.5,51.0,50.0,51.0,900.0,-0.019230769230769273,1.0
1996-01-11,50.1,51.0,50.0,50.0,550.0,-0.019607843137254943,1.0
1996-01-12,50.0,51.0,49.5,49.5,1200.0,-0.010000000000000009,1.0
1996-01-15,48.5,48.5,48.5,48.5,250.0,-0.02020202020202022,1.0
1996-01-16,48.45,48.5,46.25,46.25,650.0,-0.046391752577319534,1.0
1996-01-18,44.0,44.25,44.0,44.25,200.0,-0.043243243243243246,1.0
1996-01-19,43.0,43.5,42.5,42.5,550.0,-0.039548022598870025,1.0
1996-01-22,42.5,42.0,41.25,41.3,1800.0,-0.028235294117647136,1.0
1996-01-23,41.3,42.75,42.05,42.75,300.0,0.03510895883777243,1.0
1996-01-24,43.0,45.0,42.75,44.5,350.0,0.040935672514619936,1.0
1996-01-25,43.5,43.5,43.5,43.5,50.0,-0.022471910112359605,1.0
1996-01-29,43.75,43.75,43.5,43.5,650.0,0.0,1.0
1996-01-30,43.5,44.0,41.0,43.5,600.0,0.0,1.0
1996-01-31,43.7,43.7,43.7,43.7,50.0,0.0045977011494253706,1.0
1996-02-01,44.55,45.0,44.55,45.0,250.0,0.029748283752860427,1.0
1996-02-02,45.0,45.3,42.5,45.3,150.0,0.006666666666666599,1.0
1996-02-05,45.5,45.5,44.0,44.0,450.0,-0.028697571743929284,1.0
1996-02-06,47.6,48.0,47.6,48.0,200.0,0.09090909090909083,1.0
1996-02-08,48.0,50.0,48.75,48.75,450.0,0.015625,1.0
1996-02-09,48.75,51.5,46.5,48.5,67850.0,-0.00512820512820511,1.0
1996-02-12,52.0,53.5,52.0,53.5,350.0,0.10309278350515472,1.0
1996-02-13,54.0,54.85,51.5,54.85,67300.0,0.025233644859813165,1.0
1996-02-14,57.0,58.0,54.0,57.35,2550.0,0.04557885141294449,1.0
1996-02-15,58.5,62.0,57.5,62.0,1650.0,0.08108108108108114,1.0
1996-02-16,62.0,62.0,57.45,57.45,1550.0,-0.07338709677419353,1.0
