Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,329.2,331.25,329.0,331.2,5550.0,,1.0
1996-01-02,331.2,338.0,315.0,327.0,43300.0,-0.0126811594202898,1.0
1996-01-03,327.0,333.0,323.5,324.7,19250.0,-0.0070336391437308965,1.0
1996-01-04,324.7,324.5,315.0,321.3,16550.0,-0.010471204188481575,1.0
1996-01-05,321.3,324.0,319.0,320.5,9350.0,-0.0024898848428260845,1.0
1996-01-08,320.5,319.5,314.0,315.0,17200.0,-0.01716068642745705,1.0
1996-01-09,315.0,318.5,311.1,315.85,24100.0,0.0026984126984128665,1.0
1996-01-10,315.85,323.0,316.0,318.45,12150.0,0.0082317555801803,1.0
1996-01-11,318.45,323.0,318.25,321.7,2950.0,0.010205683780813324,1.0
1996-01-12,330.0,330.0,324.75,327.3,14500.0,0.01740752253652489,1.0
1996-01-15,327.3,326.75,319.5,325.8,11650.0,-0.004582951420714965,1.0
1996-01-16,325.8,350.0,326.0,335.55,19900.0,0.02992633517495391,1.0
1996-01-17,335.55,331.0,326.25,326.6,7200.0,-0.026672627030248863,1.0
1996-01-18,326.6,328.0,322.0,326.05,4350.0,-0.0016840171463564646,1.0
1996-01-19,326.05,328.95,324.75,327.05,4900.0,0.0030670142616162632,1.0
1996-01-22,327.05,332.0,325.75,331.0,8500.0,0.012077663965754493,1.0
1996-01-23,331.0,331.0,315.0,318.9,10050.0,-0.03655589123867076,1.0
1996-01-24,318.9,318.95,296.0,301.15,14850.0,-0.05566008153026025,1.0
1996-01-25,301.15,305.0,296.05,297.05,6550.0,-0.013614477834965832,1.0
1996-01-29,297.05,304.5,294.0,302.8,7950.0,0.019357010604275304,1.0
1996-01-30,302.8,309.5,294.0,297.8,12050.0,-0.01651254953764858,1.0
1996-01-31,297.8,305.0,300.05,302.75,4900.0,0.01662189388851565,1.0
1996-02-01,302.75,312.5,296.05,311.7,5300.0,0.029562345169281468,1.0
1996-02-02,311.7,324.0,300.65,316.1,5900.0,0.014116137311517507,1.0
1996-02-05,316.1,325.0,311.0,317.5,22700.0,0.004428978171464593,1.0
1996-02-06,317.5,330.0,320.0,320.8,5650.0,0.010393700787401539,1.0
1996-02-07,320.8,332.0,316.3,331.1,14650.0,0.0321072319201996,1.0
1996-02-08,330.0,335.0,327.0,333.7,6000.0,0.007852612503775225,1.0
1996-02-09,333.7,356.0,336.0,347.3,12000.0,0.04075516931375489,1.0
1996-02-12,347.3,352.0,342.0,342.05,6050.0,-0.01511661387849117,1.0
1996-02-13,342.05,345.0,334.0,344.2,4250.0,0.006285630755737293,1.0
1996-02-14,344.2,360.0,345.0,347.25,4950.0,0.008861127251597933,1.0
1996-02-15,347.25,347.95,341.9,343.0,3550.0,-0.012239020878329732,1.0
1996-02-16,343.0,345.0,339.1,342.85,4750.0,-0.0004373177842564857,1.0
1996-02-19,342.85,374.5,341.95,352.75,13000.0,0.02887560157503266,1.0
1996-02-20,352.75,360.0,351.0,353.35,6050.0,0.0017009213323884165,1.0
1996-02-22,353.35,370.05,354.5,365.5,11050.0,0.0343851705108249,1.0
