Date,Open,High,Low,Close,Volume,Returns,Anomaly
2017-04-18,,,,,,,
2017-04-19,432.95,450.5,432.95,439.95,54425.0,0.01722543352601158,1.0
2017-04-20,441.0,453.0,440.0,441.65,24498.0,0.003864075463120731,1.0
2017-04-21,444.85,446.95,431.0,434.75,21124.0,-0.015623231065323151,1.0
2017-04-24,443.9,443.9,428.45,438.1,24444.0,0.00770557791834392,1.0
2017-04-25,432.0,449.95,432.0,436.75,26309.0,-0.003081488244693009,1.0
2017-04-26,431.55,442.9,431.55,437.2,21599.0,0.0010303377218088272,1.0
2017-04-27,431.5,445.0,431.5,438.0,17067.0,0.0018298261665141702,1.0
2017-04-28,450.25,457.0,438.775,444.9,18436.5,-0.004666176870780969,1.0
2017-05-02,469.0,469.0,446.05,451.8,19806.0,-0.011162179908076109,1.0
2017-05-03,453.3,454.45,441.55,442.15,8723.0,-0.021359008410801295,1.0
2017-05-04,447.95,448.0,440.6,441.65,12607.0,-0.0011308379509216149,1.0
2017-05-05,443.15,446.0,439.0,443.25,12853.0,0.003622778218046019,1.0
2017-05-08,448.0,448.0,435.0,441.6,12527.0,-0.0037225042301184397,1.0
2017-05-09,442.0,443.45,439.0,440.1,11730.0,-0.0033967391304348116,1.0
2017-05-10,442.05,465.15,437.0,460.9,42792.0,0.04726198591229247,1.0
2017-05-11,453.55,466.275,442.025,454.9,24925.5,0.002610933203692045,1.0
2017-05-12,465.05,467.4,447.05,448.9,7059.0,-0.04204011950490838,1.0
2017-05-15,459.0,459.0,442.0,442.45,4824.0,-0.014368456226330983,1.0
2017-05-16,442.9,448.35,439.5,440.15,4872.0,-0.005198327494632227,1.0
2017-05-17,440.9,444.8,439.9,440.1,4173.0,-0.00011359763716900506,1.0
2017-05-18,435.0,439.0,435.0,438.05,5047.0,-0.004658032265394296,1.0
2017-05-19,439.9,439.9,418.0,421.05,9142.0,-0.03880835521059245,1.0
2017-05-22,422.05,428.5,418.15,425.3,4384.0,0.010093813086331727,1.0
2017-05-23,420.15,423.15,410.0,420.75,5071.0,-0.010698330590171667,1.0
2017-05-24,430.0,430.0,415.25,420.25,13005.0,-0.0011883541295305555,1.0
2017-05-25,420.05,428.95,418.0,425.45,5636.0,0.012373587150505516,1.0
2017-05-26,425.1,428.35,424.25,425.0,4027.0,-0.001057703607944549,1.0
2017-05-29,415.55,430.0,415.55,425.45,5453.0,0.0010588235294117787,1.0
2017-05-30,422.5,427.75,422.0,424.75,3266.0,-0.0016453167234692367,1.0
2017-05-31,417.05,427.05,417.05,425.0,5626.0,0.0005885815185402432,1.0
2017-06-01,421.5,435.0,420.5,425.4,4102.0,0.0009411764705882231,1.0
2017-06-02,430.0,430.0,425.0,425.05,3969.0,-0.0008227550540667039,1.0
2017-06-05,425.0,426.05,422.0,424.8,3828.0,-0.0005881660981060799,1.0
2017-06-06,425.0,433.0,421.5,425.1,3791.0,0.0007062146892655718,1.0
2017-06-07,431.0,435.0,422.0,424.95,2937.0,-0.0003528581510233719,1.0
2017-06-08,425.0,426.1,422.25,425.0,4497.0,0.0001176609012825125,1.0
2017-06-09,422.0,428.0,422.0,425.0,3715.0,0.0,1.0
2017-06-12,421.0,427.0,421.0,425.0,3733.0,0.0,1.0
2017-06-13,421.1,427.0,421.1,425.0,6099.0,0.0,1.0
2017-06-14,425.0,426.4,421.0,425.0,5984.0,0.0,1.0
2017-06-15,425.0,426.95,420.0,425.0,4575.0,0.0,1.0
2017-06-16,429.5,429.95,421.05,425.05,7208.0,0.00011764705882355564,1.0
2017-06-19,423.05,429.5,423.0,425.05,16429.0,0.0,1.0
2017-06-20,420.15,426.0,420.15,425.05,5961.0,0.0,1.0
2017-06-21,425.0,441.9,424.0,433.0,7856.0,0.018703681919774118,1.0
2017-06-22,435.0,441.5,424.75,425.6,24126.0,-0.017090069284064646,1.0
2017-06-23,425.6,428.25,422.3,425.25,4098.0,-0.000822368421052655,1.0
2017-06-27,420.0,426.9,420.0,424.75,10565.0,-0.0011757789535566943,1.0
2017-06-28,421.25,426.0,421.25,424.9,17303.0,0.0003531489111241459,1.0
2017-06-29,425.0,426.05,423.05,424.75,5104.0,-0.0003530242409978124,1.0
2017-06-30,422.15,425.5,420.5,425.0,13883.0,0.0005885815185402432,1.0
