Date,Open,High,Low,Close,Volume,Returns,Anomaly
2016-11-29,153.9,154.0,140.1,145.35,97556.0,,1.0
2016-11-30,149.7,149.7,143.1,144.15,20286.0,-0.008255933952528327,1.0
2016-12-01,145.0,151.0,141.1,143.95,69435.0,-0.0013874436351024588,1.0
2016-12-02,141.1,146.0,135.0,140.95,7824.0,-0.020840569642236906,1.0
2016-12-05,145.0,145.0,135.0,143.1,6942.0,0.015253636041149488,1.0
2016-12-06,144.0,145.0,139.0,141.05,5451.0,-0.014325646401117997,1.0
2016-12-07,143.7,143.7,138.95,140.15,3930.0,-0.006380716058135505,1.0
2016-12-08,142.0,143.0,139.0,139.15,6983.0,-0.0071352122725650835,1.0
2016-12-09,142.0,144.95,136.45,140.0,12207.0,0.006108515989938779,1.0
2016-12-12,141.05,142.85,137.6,138.2,3378.0,-0.0128571428571429,1.0
2016-12-13,137.1,140.0,137.1,140.0,6111.0,0.013024602026049381,1.0
2016-12-14,141.0,141.0,139.0,139.5,2516.0,-0.0035714285714285587,1.0
2016-12-15,138.0,142.0,136.0,139.35,2819.0,-0.0010752688172043223,1.0
2016-12-16,138.0,140.0,135.55,136.95,4445.0,-0.017222820236813874,1.0
2016-12-19,140.0,140.0,135.9,137.1,10836.0,0.0010952902519167917,1.0
2016-12-20,139.9,140.0,135.0,137.9,7858.0,0.005835156819839593,1.0
2016-12-21,142.8,146.0,138.1,138.95,99344.0,0.0076142131979695105,1.0
2016-12-22,141.0,141.0,132.0,134.9,12670.0,-0.02914717524289301,1.0
2016-12-23,141.75,141.75,135.0,139.55,8933.0,0.03446997776130467,1.0
2016-12-26,141.5,141.5,134.15,135.35,16689.0,-0.03009673951988545,1.0
2016-12-27,139.9,139.9,134.05,134.6,10893.0,-0.00554118950868121,1.0
2016-12-28,137.9,137.9,131.2,135.55,2199.0,0.007057949479940762,1.0
2016-12-29,131.6,138.4,131.6,135.4,12158.0,-0.0011066027296201542,1.0
2016-12-30,138.4,139.9,134.0,135.9,31216.0,0.0036927621861151394,1.0
2017-01-02,134.0,147.0,132.1,144.2,95511.0,0.06107431935246499,1.0
2017-01-03,149.9,173.0,149.85,163.05,153426.0,0.13072122052704604,1.0
2017-01-04,168.0,170.0,162.2,164.75,53333.0,0.010426249616682037,1.0
2017-01-05,166.0,167.0,158.2,160.0,62626.0,-0.028831562974203306,1.0
2017-01-06,162.0,165.95,157.0,163.25,74787.0,0.020312499999999956,1.0
2017-01-09,168.0,173.0,164.0,167.05,84572.0,0.023277182235834637,1.0
2017-01-10,171.6,171.6,166.0,169.35,67526.0,0.013768332834480645,1.0
2017-01-11,169.4,172.0,167.0,168.0,30167.0,-0.00797165633303809,1.0
2017-01-12,169.0,169.75,164.0,164.7,14182.0,-0.019642857142857184,1.0
2017-01-13,167.95,185.85,164.75,183.75,347282.0,0.11566484517304199,1.0
2017-01-16,188.9,203.8,180.0,198.1,475368.0,0.078095238095238,1.0
2017-01-17,199.9,205.9,194.05,199.15,257833.0,0.005300353356890497,1.0
2017-01-18,200.75,200.75,192.25,195.5,98219.0,-0.018327893547577245,1.0
2017-01-19,196.0,198.75,186.0,188.9,56842.0,-0.033759590792838856,1.0
2017-01-20,189.6,189.6,176.0,177.4,63392.0,-0.060878771836950785,1.0
2017-01-23,176.5,184.0,173.9,179.6,36124.0,0.012401352874858995,1.0
2017-01-24,180.35,184.0,175.4,176.6,33978.0,-0.016703786191536785,1.0
2017-01-25,177.25,178.0,172.5,173.85,33976.0,-0.015571913929784853,1.0
2017-01-27,174.95,176.95,168.55,169.45,52219.0,-0.025309174575783744,1.0
2017-01-30,169.9,179.5,169.35,171.0,76747.0,0.009147241074063173,1.0
2017-01-31,170.85,171.95,163.0,165.75,43931.0,-0.030701754385964897,1.0
2017-02-01,166.4,169.0,162.6,167.85,28639.0,0.012669683257918507,1.0
2017-02-02,167.0,172.0,166.95,167.45,50384.0,-0.0023830801310694705,1.0
2017-02-03,166.55,170.0,161.5,168.8,41452.0,0.008062108091967835,1.0
2017-02-06,168.1,175.0,166.0,173.3,121836.0,0.02665876777251186,1.0
2017-02-07,175.4,183.5,172.9,181.25,89346.0,0.04587420657818808,1.0
2017-02-08,182.45,189.75,180.1,184.0,78889.0,0.015172413793103523,1.0
2017-02-09,182.25,188.0,179.4,183.95,47878.0,-0.0002717391304348782,1.0
2017-02-10,182.9,189.0,177.1,181.35,64737.0,-0.014134275618374548,1.0
2017-02-13,182.9,184.4,171.05,173.65,24840.0,-0.042459332781913384,1.0
2017-02-14,175.45,175.45,167.1,168.1,29437.0,-0.031960840771667165,1.0
2017-02-15,163.8,168.05,158.9,164.55,101476.0,-0.021118381915526396,1.0
2017-02-16,166.85,173.75,161.55,168.7,45733.0,0.025220297781828993,1.0
2017-02-17,171.35,171.9,166.5,168.4,40113.0,-0.0017783046828688809,1.0
2017-02-20,167.95,175.0,167.15,170.4,27692.0,0.01187648456057011,1.0
2017-02-21,172.65,181.75,170.05,179.25,121071.0,0.05193661971830976,1.0
2017-02-22,184.8,196.0,181.05,193.15,441206.0,0.07754532775453282,1.0
2017-02-23,196.95,198.75,185.6,187.55,165447.0,-0.028993010613512782,1.0
2017-02-27,187.55,194.9,185.5,186.55,67873.0,-0.005331911490269237,1.0
2017-02-28,188.0,189.0,179.05,180.2,36785.0,-0.0340391316001073,1.0
2017-03-01,184.0,188.1,178.9,186.15,357376.0,0.03301886792452846,1.0
2017-03-02,186.95,190.0,178.05,179.45,282859.0,-0.03599247918345427,1.0
2017-03-03,180.0,183.4,178.0,180.5,190149.0,0.005851212036779074,1.0
2017-03-06,181.05,182.7,175.85,178.35,307045.0,-0.011911357340720241,1.0
2017-03-07,180.05,180.4,177.55,178.35,143947.0,0.0,1.0
2017-03-08,179.5,179.95,172.55,173.6,76493.0,-0.02663302495093911,1.0
2017-03-09,173.4,177.0,172.85,173.75,92651.0,0.000864055299539146,1.0
2017-03-10,175.0,176.15,168.3,168.95,40283.0,-0.027625899280575572,1.0
2017-03-14,174.0,177.6,167.5,169.65,40820.0,0.004143237644273601,1.0
2017-03-15,170.0,175.1,168.05,171.35,64768.0,0.010020630710285916,1.0
2017-03-16,172.05,176.0,171.1,172.3,76015.0,0.005544207761891018,1.0
2017-03-17,174.3,177.7,172.0,175.85,78938.0,0.020603598374927312,1.0
2017-03-20,177.0,183.8,171.5,172.05,30438.0,-0.021609326130224482,1.0
2017-03-21,171.1,173.7,167.5,168.35,26584.0,-0.021505376344086113,1.0
2017-03-22,168.35,173.0,164.15,165.55,36849.0,-0.016632016632016522,1.0
2017-03-23,169.8,169.8,164.0,166.1,47316.0,0.0033222591362125353,1.0
2017-03-24,167.8,169.6,164.0,164.55,34474.0,-0.009331727874774098,1.0
2017-03-27,166.0,166.85,159.0,163.55,207020.0,-0.006077180188392539,1.0
2017-03-28,166.125,167.875,161.6,164.47500000000002,174795.5,0.0019995778447350343,1.0
2017-03-29,166.25,168.9,164.2,165.4,142571.0,0.010076335877862608,1.0
2017-03-30,167.95,168.9,164.6,165.5,88615.0,0.0006045949214026347,1.0
2017-03-31,166.95,173.75,161.5,171.65,362548.0,0.037160120845921574,1.0
2017-04-03,171.9,183.05,170.65,181.6,247290.0,0.05796679289251383,1.0
2017-04-05,183.8,186.0,177.35,179.8,145820.0,-0.009911894273127664,1.0
2017-04-06,179.75,188.0,178.4,185.85,210928.0,0.033648498331479315,1.0
2017-04-07,184.95,187.0,181.0,182.55,104054.0,-0.0177562550443906,1.0
2017-04-10,181.05,185.85,179.05,180.6,41655.0,-0.010682004930156253,1.0
2017-04-11,181.7,184.9,178.0,179.7,43330.0,-0.004983388704318914,1.0
2017-04-12,181.45,184.9,176.3,180.65,57713.0,0.005286588759042976,1.0
2017-04-13,181.85,185.0,181.55,182.8,35791.0,0.011901466924993054,1.0
2017-04-17,184.3,185.8,178.8,179.6,59025.0,-0.01750547045951867,1.0
2017-04-18,185.8,203.5,181.85,192.85,446023.0,0.07377505567928733,1.0
2017-04-19,192.0,197.35,190.65,195.15,88569.0,0.011926367643246172,1.0
2017-04-20,196.75,209.0,196.0,207.35,404743.0,0.06251601332308465,1.0
2017-04-21,206.5,215.6,206.5,213.6,240637.0,0.030142271521581776,1.0
2017-04-24,216.1,222.65,215.3,216.95,198213.0,0.015683520599250933,1.0
2017-04-25,216.95,224.8,216.95,219.65,162565.0,0.012445263885688007,1.0
2017-04-26,220.0,223.9,207.25,211.65,169948.0,-0.03642157978602323,1.0
2017-04-27,210.2,214.6,206.1,208.3,68932.0,-0.01582801795416955,1.0
2017-04-28,210.3,222.0,209.5,219.65,163076.0,0.05448871819491119,1.0
2017-05-02,222.5,236.7,220.0,225.25,231921.0,0.025495105850216193,1.0
2017-05-03,226.85,232.7,221.0,223.25,67884.0,-0.008879023307436174,1.0
