Date,Open,High,Low,Close,Volume,Returns,Anomaly
2017-08-11,,,,,,,
2017-08-14,,,,,,,
2017-08-16,,,,,,,
2017-08-17,534.8,546.95,532.2,537.55,2165189.0,0.0025177172696753125,1.0
2017-08-18,535.0,537.4,518.0,534.45,2393064.0,-0.005766905404148259,1.0
2017-08-21,536.65,539.7,520.85,524.25,1110529.0,-0.019085040696042777,1.0
2017-08-22,528.0,530.0,500.0,512.5,1519839.0,-0.022412970910824948,1.0
2017-08-23,513.55,517.9,505.05,508.6,966549.0,-0.007609756097560982,1.0
2017-08-24,510.0,527.5,507.5,513.2,1651118.0,0.009044435705859222,1.0
2017-08-28,515.0,521.0,508.9,510.1,536389.0,-0.006040530007794254,1.0
2017-08-29,508.0,517.0,503.0,504.25,814510.0,-0.01146833954126647,1.0
2017-08-30,506.5,516.9,506.5,514.85,851036.0,0.021021318790282573,1.0
2017-08-31,516.5,520.9,508.2,513.45,672046.0,-0.002719238613188235,1.0
2017-09-01,515.0,538.85,512.0,531.6,2014321.0,0.03534910896874077,1.0
2017-09-04,529.0,545.5,525.0,536.6,1526587.0,0.009405568096312988,1.0
2017-09-05,539.0,543.8,533.5,539.2,644963.0,0.004845322400298224,1.0
2017-09-06,536.9,545.0,531.0,532.8,738552.0,-0.011869436201780603,1.0
2017-09-07,534.0,537.45,530.0,532.9,399361.0,0.000187687687687621,1.0
2017-09-08,534.6,561.1,531.05,548.9,2603570.0,0.03002439482079189,1.0
2017-09-11,551.75,572.95,544.0,562.2,2517536.0,0.02423027873929695,1.0
2017-09-12,578.75,579.8,556.05,558.6,1847950.0,-0.006403415154749292,1.0
2017-09-13,558.45,558.45,542.2,544.0,673944.0,-0.026136770497672823,1.0
2017-09-14,545.45,549.85,540.55,542.25,473625.0,-0.003216911764705843,1.0
2017-09-15,540.0,559.0,537.0,547.4,937862.0,0.009497464269248468,1.0
2017-09-18,551.9,560.95,549.0,554.1,815587.0,0.012239678480087779,1.0
2017-09-19,554.9,556.0,544.35,545.25,296005.0,-0.01597184623714132,1.0
2017-09-20,546.0,554.85,545.0,545.55,348093.0,0.000550206327372571,1.0
2017-09-21,546.95,550.0,534.0,540.35,394432.0,-0.009531665291907077,1.0
2017-09-22,539.1,539.1,528.55,532.85,491830.0,-0.013879892662163384,1.0
2017-09-25,532.85,533.5,511.0,525.15,473975.0,-0.014450595852491421,1.0
2017-09-26,525.0,534.5,520.5,527.55,206712.0,0.004570122822050715,1.0
2017-09-27,530.0,531.55,521.0,526.0,806257.0,-0.0029381101317409453,1.0
2017-09-28,528.0,528.0,517.4,520.6,294176.0,-0.010266159695817456,1.0
2017-09-29,523.9,531.6,518.15,520.0,287835.0,-0.0011525163273147232,1.0
2017-10-03,526.0,528.0,519.25,520.1,246104.0,0.00019230769230782485,1.0
2017-10-04,522.0,528.9,519.2,520.1,773387.0,0.0,1.0
2017-10-05,521.7,526.0,517.85,518.55,298381.0,-0.0029801961161316504,1.0
2017-10-06,520.6,524.65,518.0,518.7,267352.0,0.0002892681515767048,1.0
2017-10-09,520.0,524.85,515.0,516.1,299036.0,-0.005012531328320802,1.0
2017-10-10,535.6333333333333,541.4666666666667,531.1333333333333,533.35,507815.6666666666,-0.0007386763415178814,1.0
2017-10-11,551.2666666666667,558.0833333333334,547.2666666666667,550.6,716595.3333333333,0.003535178645285039,1.0
2017-10-12,566.9,574.7,563.4,567.85,925375.0,0.007809033632087958,1.0
2017-10-13,570.9,582.8,562.05,573.05,1247933.0,0.0091573478911684,1.0
2017-10-16,576.8,577.7,565.0,569.45,497121.0,-0.006282174330337509,1.0
2017-10-17,569.9,576.35,563.0,567.9,581641.0,-0.0027219246641497774,1.0
2017-10-18,568.4,575.9,560.05,567.2,480600.0,-0.0012326113752419987,1.0
2017-10-19,568.0,572.35,566.0,568.3,225773.0,0.001939351198871453,1.0
2017-10-23,569.0,575.0,566.0,570.2,374789.0,0.00334330459264498,1.0
2017-10-24,573.0,583.9,570.7,578.6,1072743.0,0.014731673097158948,1.0
2017-10-25,582.9,586.0,569.3,570.95,331812.0,-0.01322156930521945,1.0
