Date,Open,High,Low,Close,Volume,Returns,Anomaly
2005-03-29,,,,,,,
2005-03-30,47.0,49.0,42.2,43.35,288633.0,-0.0978147762747138,1.0
2005-03-31,43.35,44.9,39.9,40.2,129583.0,-0.0726643598615917,1.0
2005-04-01,39.25,45.45,39.2,43.0,211307.0,0.06965174129353224,1.0
2005-04-04,43.55,44.75,42.0,43.4,53939.0,0.009302325581395321,1.0
2005-04-05,42.0,43.5,42.0,42.65,26292.0,-0.017281105990783363,1.0
2005-04-06,43.6,44.0,42.9,43.55,57236.0,0.021101992966002348,1.0
2005-04-07,43.18,43.64,42.14,42.75,134313.2,0.009105166669278186,1.0
2005-04-08,42.76,43.28,41.38,41.949999999999996,211390.4,-0.002891659627445975,1.0
2005-04-11,42.34,42.92,40.62,41.15,288467.6,-0.014888485924170136,1.0
2005-04-12,41.92,42.56,39.86,40.349999999999994,365544.8,-0.026885312220894297,1.0
2005-04-13,41.5,42.2,39.1,39.55,442622.0,-0.03888213851761846,1.0
2005-04-15,38.2,38.95,36.05,37.5,191973.0,-0.05183312262958273,1.0
2005-04-18,36.8,37.45,35.15,35.95,164266.0,-0.04133333333333322,1.0
2005-04-19,37.4,37.4,34.0,34.5,135935.0,-0.04033379694019479,1.0
2005-04-20,34.05,34.95,33.15,33.6,179478.0,-0.02608695652173909,1.0
2005-04-21,33.45,33.8,32.8,33.6,192969.0,0.0,1.0
2005-04-22,33.75,34.45,27.0,32.45,247651.0,-0.034226190476190466,1.0
2005-04-25,32.95,33.0,30.5,30.7,264671.0,-0.053929121725732054,1.0
2005-04-26,31.0,31.4,29.9,30.2,371559.0,-0.016286644951140072,1.0
2005-04-27,30.3,30.4,28.65,28.85,222488.0,-0.04470198675496684,1.0
2005-04-28,29.4,29.75,28.8,29.1,75602.0,0.008665511265164572,1.0
2005-04-29,29.4,29.5,28.4,28.6,62466.0,-0.01718213058419249,1.0
2005-05-02,29.35,29.35,26.0,26.4,107195.0,-0.07692307692307698,1.0
2005-05-03,27.725,28.275,25.75,26.049999999999997,127437.0,-0.04706574496249449,1.0
2005-05-04,26.1,27.2,25.5,25.7,147679.0,-0.017208413001912004,1.0
2005-05-05,26.0,26.4,25.0,25.4,145131.0,-0.011673151750972832,1.0
2005-05-06,25.25,25.75,24.1,24.5,129405.0,-0.03543307086614167,1.0
2005-05-09,25.05,29.4,24.2,28.5,330557.0,0.16326530612244894,1.0
2005-05-10,27.566666666666666,30.766666666666666,26.966666666666665,29.849999999999998,286261.6666666667,0.10680791400529674,1.0
2005-05-11,30.083333333333336,32.13333333333333,29.733333333333334,31.2,241966.3333333333,0.050350521888144525,1.0
2005-05-12,32.6,33.5,32.5,32.55,197671.0,-0.006106870229007688,1.0
2005-05-13,32.9,34.7,32.55,33.75,264034.0,0.03686635944700467,1.0
2005-05-16,34.0,35.2,33.85,34.65,255831.0,0.026666666666666616,1.0
2005-05-17,34.2,35.1,31.65,31.9,157422.0,-0.07936507936507942,1.0
2005-05-18,32.05,34.6,31.75,33.2,179159.0,0.040752351097178785,1.0
2005-05-19,34.0,35.7,33.6,34.5,210527.0,0.03915662650602392,1.0
2005-05-20,35.0,35.5,34.5,34.85,119658.0,0.010144927536231974,1.0
2005-05-23,35.916666666666664,36.6,35.333333333333336,35.65,128575.66666666667,0.00018433765573359386,1.0
2005-05-24,36.833333333333336,37.699999999999996,36.166666666666664,36.45,137493.33333333334,-0.009776252224764786,1.0
2005-05-25,37.75,38.8,37.0,37.25,146411.0,-0.019736842105263164,1.0
2005-05-26,36.65,39.45,36.65,37.7,328728.0,0.012080536912751683,1.0
2005-05-27,38.45,38.45,35.05,35.45,136945.0,-0.05968169761273212,1.0
2005-05-30,36.6,36.95,34.5,34.8,73686.0,-0.018335684062059432,1.0
