Date,Open,High,Low,Close,Volume,Returns,Anomaly
2019-08-05,67.5,67.7,66.2,67.7,4163.0,,1.0
2019-08-06,68.0,71.05,68.0,70.95,1526.0,0.0480059084194977,1.0
2019-08-07,74.4,74.45,70.0,70.0,2722.0,-0.013389711064129672,1.0
2019-08-08,69.0,73.5,69.0,71.85,2991.0,0.026428571428571246,1.0
2019-08-09,75.0,75.4,70.6,70.95,8577.0,-0.012526096033402823,1.0
2019-08-13,73.5,74.35,71.0,71.65,3780.0,0.009866102889358741,1.0
2019-08-14,71.1,75.2,69.55,73.0,10088.0,0.01884159106769001,1.0
2019-08-16,73.05,76.5,72.05,72.1,1653.0,-0.012328767123287787,1.0
2019-08-19,75.65,75.65,71.0,71.7,720.0,-0.005547850208044269,1.0
2019-08-20,73.5,73.5,72.0,72.0,2303.0,0.004184100418409997,1.0
2019-08-21,72.0,75.0,72.0,74.95,858.0,0.04097222222222219,1.0
2019-08-22,74.0,75.5,72.75,72.95,7131.0,-0.026684456304202797,1.0
2019-08-23,73.0,73.0,71.75,71.75,9613.0,-0.016449623029472282,1.0
2019-08-26,74.75,74.75,71.75,72.1,13222.0,0.004878048780487809,1.0
2019-08-28,72.55,74.9,72.0,72.15,3729.0,0.0006934812760057696,1.0
2019-08-29,75.65,75.65,72.2,72.3,5006.0,0.0020790020790020236,1.0
2019-08-30,72.1,75.4,72.0,72.0,3716.0,-0.004149377593360981,1.0
2019-09-03,74.9,75.0,74.9,75.0,2.0,0.04166666666666674,1.0
2019-09-04,75.05,75.05,74.0,74.0,70.0,-0.013333333333333308,1.0
2019-09-05,74.0,77.45,71.0,71.15,5917.0,-0.0385135135135134,1.0
2019-09-06,71.0,73.95,69.0,72.5,5512.0,0.018973998594518537,1.0
2019-09-09,72.0,72.75,70.0,70.05,5620.0,-0.03379310344827591,1.0
2019-09-11,72.65,72.65,70.0,70.0,681.0,-0.0007137758743753775,1.0
2019-09-12,69.3,72.5,69.0,69.0,200.0,-0.014285714285714235,1.0
2019-09-13,70.0,70.95,69.0,69.35,3552.0,0.005072463768115876,1.0
2019-09-16,69.0,69.0,68.9,68.9,2800.0,-0.006488824801730186,1.0
2019-09-17,68.9,68.9,66.75,66.75,252.0,-0.031204644412191618,1.0
2019-09-18,66.75,68.95,65.5,65.6,2972.0,-0.017228464419475786,1.0
2019-09-19,65.5,65.5,63.0,63.5,2636.0,-0.03201219512195108,1.0
2019-09-20,63.6,63.6,63.6,63.6,200.0,0.0015748031496063408,1.0
2019-09-23,61.6,61.6,61.6,61.6,1.0,-0.03144654088050314,1.0
2019-09-24,60.0,61.0,60.0,61.0,76.0,-0.009740259740259716,1.0
2019-09-27,61.1,61.1,61.1,61.1,2500.0,0.0016393442622950616,1.0
2019-09-30,61.5,61.5,61.5,61.5,2500.0,0.006546644844517058,1.0
2019-10-03,64.0,64.0,64.0,64.0,2450.0,0.04065040650406515,1.0
2019-10-04,64.5,64.5,62.25,63.35,4900.0,-0.010156249999999978,1.0
2019-10-07,62.6,65.0,62.6,65.0,4903.0,0.026045777426992878,1.0
2019-10-09,64.0,64.0,61.9,61.9,500.0,-0.0476923076923077,1.0
2019-10-10,65.25,67.95,62.0,62.0,5333.0,0.001615508885298933,1.0
2019-10-11,60.05,64.85,59.7,59.7,1523.0,-0.03709677419354829,1.0
2019-10-14,65.65,65.65,58.0,64.5,5406.0,0.08040201005025116,1.0
2019-10-15,64.0,70.95,62.15,63.25,6369.0,-0.019379844961240345,1.0
2019-10-16,63.5,63.75,60.0,61.0,5800.0,-0.035573122529644285,1.0
2019-10-17,61.5,61.5,60.75,61.5,6050.0,0.008196721311475308,1.0
2019-10-18,60.0,65.0,60.0,64.5,10110.0,0.04878048780487809,1.0
2019-10-22,63.625,66.25,60.6,63.125,14610.5,0.026422764227642337,1.0
2019-10-23,67.25,67.5,61.2,61.75,19111.0,0.004065040650406582,1.0
2019-10-24,61.75,65.75,60.1,60.5,10020.0,-0.020242914979757054,1.0
2019-10-25,60.0,65.0,60.0,64.55,10227.0,0.06694214876033056,1.0
2019-10-27,71.0,71.0,71.0,71.0,60.0,0.09992254066615036,1.0
2019-10-29,65.0,71.0,65.0,65.6,11475.0,-0.07605633802816913,1.0
2019-10-30,65.75,70.0,62.0,63.8,11798.0,-0.027439024390243816,1.0
2019-10-31,64.0,69.0,63.8,64.45,11958.0,0.010188087774294807,1.0
2019-11-01,68.0,68.0,64.0,64.35,9906.0,-0.0015515903801397446,1.0
2019-11-04,64.5,64.5,64.05,64.5,5050.0,0.002331002331002363,1.0
2019-11-05,64.5,66.0,64.5,65.2,3397.0,0.010852713178294726,1.0
2019-11-06,66.0,67.0,66.0,67.0,5831.0,0.027607361963190247,1.0
2019-11-07,67.0,72.0,66.0,69.9,11287.0,0.0432835820895523,1.0
2019-11-08,71.6,71.6,68.0,69.55,10375.0,-0.005007153075822779,1.0
2019-11-11,69.0,69.3,68.3,69.15,13946.0,-0.005751258087706601,1.0
2019-11-13,69.05,69.95,69.0,69.0,8791.0,-0.002169197396963196,1.0
2019-11-14,75.3,75.3,69.9,70.25,12890.0,0.018115942028985588,1.0
2019-11-15,70.9,74.0,70.0,71.1,21327.0,0.012099644128113818,1.0
2019-11-18,73.5,73.65,70.0,70.0,14360.0,-0.015471167369901506,1.0
2019-11-19,73.0,73.0,70.05,70.25,23202.0,0.0035714285714285587,1.0
2019-11-20,72.5,73.2,71.0,71.0,9458.0,0.01067615658362997,1.0
2019-11-21,72.0,73.25,71.55,72.1,12779.0,0.015492957746478853,1.0
2019-11-22,73.0,73.25,72.5,72.5,15478.0,0.00554785020804438,1.0
2019-11-25,73.25,74.25,73.0,74.1,8519.0,0.022068965517241246,1.0
2019-11-26,74.25,74.55,72.75,73.0,10231.0,-0.014844804318488447,1.0
2019-11-27,75.5,75.5,72.65,73.45,16481.0,0.006164383561643838,1.0
2019-11-28,78.5,79.25,74.85,74.9,17168.0,0.019741320626276426,1.0
2019-11-29,74.05,78.5,74.05,76.9,27350.0,0.026702269692923997,1.0
2019-12-02,78.25,78.5,75.0,75.0,19644.0,-0.024707412223667125,1.0
2019-12-03,78.5,82.5,76.1,81.1,20448.0,0.08133333333333326,1.0
2019-12-04,85.1,85.8,80.25,82.6,59444.0,0.018495684340320562,1.0
2019-12-05,84.7,84.7,81.0,81.9,27976.0,-0.008474576271186307,1.0
2019-12-06,85.8,89.35,81.75,83.6,25641.0,0.020757020757020683,1.0
2019-12-09,94.0,94.0,85.0,85.3,17339.0,0.020334928229665206,1.0
2020-03-04,115.5,119.75,114.0,114.8,10919.0,0.3458382180539272,1.0
2020-03-05,114.0,120.5,111.05,119.75,10120.0,0.04311846689895482,1.0
2020-03-06,114.3,119.9,113.9,114.1,8993.0,-0.04718162839248441,1.0
2020-03-09,119.0,119.0,108.4,108.5,8622.0,-0.04907975460122693,1.0
2020-03-11,108.5,108.85,103.6,104.75,3496.0,-0.03456221198156684,1.0
2020-03-12,100.0,100.0,99.55,99.55,1923.0,-0.04964200477326974,1.0
2020-03-13,99.55,103.75,94.6,101.65,877.0,0.021094927172275346,1.0
2020-03-16,102.0,102.0,96.6,96.65,750.0,-0.04918839153959664,1.0
2020-03-17,93.1,101.4,92.6,94.5,15055.0,-0.02224521469218832,1.0
2020-03-18,92.0,94.25,91.3,94.25,820.0,-0.002645502645502673,1.0
2020-03-19,90.55,97.95,89.55,95.0,2752.0,0.007957559681697646,1.0
2020-03-20,99.0,99.0,90.25,91.05,3865.0,-0.04157894736842105,1.0
2020-03-23,90.5,90.5,87.0,90.5,126.0,-0.006040637012630357,1.0
2020-03-24,90.5,90.5,86.0,86.0,391.0,-0.04972375690607733,1.0
2020-03-25,86.0,86.0,81.7,81.7,55.0,-0.04999999999999993,1.0
2020-03-26,81.7,85.55,79.0,81.85,96.0,0.001835985312117483,1.0
2020-03-27,78.0,85.8,77.8,78.4,274.0,-0.04215027489309697,1.0
2020-03-30,78.95,78.95,74.5,74.5,107.0,-0.04974489795918369,1.0
2020-03-31,77.95,78.2,77.95,77.95,55.0,0.04630872483221471,1.0
2020-04-01,78.2,81.0,74.1,74.1,5447.0,-0.049390635022450446,1.0
2020-04-03,74.1,77.05,71.05,74.0,353.0,-0.0013495276653170407,1.0
2020-04-07,77.6,77.7,77.5,77.5,2694.0,0.04729729729729737,1.0
2020-04-08,78.0,81.0,74.6,77.85,2841.0,0.004516129032257954,1.0
2020-04-09,81.5,81.5,74.0,74.15,3653.0,-0.04752729608220918,1.0
2020-04-13,74.0,77.8,70.45,72.1,1127.0,-0.02764666217127465,1.0
