Date,Open,High,Low,Close,Volume,Returns,Anomaly
1998-09-30,147.1,153.4,142.0,153.4,10300.0,,1.0
1998-10-05,152.0,165.7,152.0,165.7,9900.0,0.08018252933507153,1.0
1998-10-06,174.0,179.0,165.0,179.0,17600.0,0.0802655401327701,1.0
1998-10-07,190.0,193.35,190.0,193.35,35600.0,0.08016759776536309,1.0
1998-10-08,208.0,208.85,195.0,208.85,34000.0,0.08016550297388148,1.0
1998-10-09,219.95,224.9,212.5,218.25,47400.0,0.04500837921953549,1.0
1998-10-12,224.35,225.0,200.8,200.8,15200.0,-0.07995418098510876,1.0
1998-10-13,185.2,185.2,184.75,184.75,5800.0,-0.07993027888446225,1.0
1998-10-14,171.0,171.0,170.0,170.1,31700.0,-0.07929634641407313,1.0
1998-10-15,170.1,170.1,156.5,156.5,19400.0,-0.07995296884185765,1.0
1998-10-16,156.5,156.5,144.0,144.3,26200.0,-0.07795527156549509,1.0
1998-10-19,146.85,146.85,133.1,134.25,17600.0,-0.06964656964656968,1.0
1998-10-20,134.0,134.0,123.55,123.65,30100.0,-0.07895716945996267,1.0
1998-10-22,128.75,133.55,120.0,130.7,56700.0,0.05701577031944982,1.0
1998-10-23,130.0,139.9,125.0,136.55,76400.0,0.04475899005355788,1.0
1998-10-26,142.0,147.5,142.0,147.5,30100.0,0.0801904064445258,1.0
1998-10-27,152.0,152.0,140.05,144.65,55300.0,-0.019322033898305002,1.0
1998-10-28,153.0,156.25,151.0,155.75,33300.0,0.07673695126166602,1.0
1998-10-29,154.0,157.45,151.25,154.25,20400.0,-0.009630818619582704,1.0
1998-10-30,155.0,156.25,144.1,147.55,29300.0,-0.043435980551053466,1.0
1998-10-31,145.4,151.7,143.1,148.9,11400.0,0.009149440867502578,1.0
1998-11-02,151.9,155.0,147.1,151.15,36300.0,0.015110812625923398,1.0
1998-11-03,152.25,152.25,144.0,145.1,32500.0,-0.04002646377770436,1.0
1998-11-05,149.0,151.0,146.0,147.4,22300.0,0.015851137146795313,1.0
1998-11-06,145.3,145.55,137.0,137.6,27500.0,-0.06648575305291726,1.0
1998-11-09,140.0,142.9,131.05,138.25,22200.0,0.004723837209302362,1.0
1998-11-10,137.5,138.25,133.7,137.15,24500.0,-0.007956600361663568,1.0
1998-11-11,142.5,143.25,139.0,140.45,23400.0,0.02406124681006183,1.0
1998-11-12,138.9,139.0,134.0,137.75,10400.0,-0.01922392310430754,1.0
1998-11-13,136.0,136.5,131.5,132.25,13400.0,-0.03992740471869327,1.0
1998-11-16,129.5,130.0,123.0,123.5,18600.0,-0.06616257088846877,1.0
1998-11-17,122.0,125.5,120.1,123.95,22200.0,0.003643724696356321,1.0
1998-11-18,126.1,133.9,125.1,133.9,12600.0,0.08027430415490122,1.0
1998-11-19,142.2,144.0,136.0,136.5,27900.0,0.01941747572815533,1.0
1998-11-20,134.1,139.0,134.05,136.45,11900.0,-0.000366300366300476,1.0
1998-11-21,135.25,137.85,134.25,137.85,3000.0,0.010260168559912186,1.0
1998-11-23,135.1,135.5,127.0,127.75,15800.0,-0.07326804497642359,1.0
1998-11-24,128.25,131.75,126.0,127.9,22100.0,0.0011741682974559797,1.0
1998-11-26,124.0,128.0,124.0,125.0,9500.0,-0.022673964034401917,1.0
1998-11-27,126.0,126.75,123.2,124.85,8000.0,-0.0012000000000000899,1.0
1998-11-28,125.0,129.35,124.0,127.3,8600.0,0.019623548257909462,1.0
1998-11-30,124.2,129.4,123.1,129.4,13200.0,0.016496465043205122,1.0
1998-12-01,129.0,129.0,123.95,124.0,20400.0,-0.04173106646058733,1.0
1998-12-02,127.9,129.75,124.6,125.2,31100.0,0.00967741935483879,1.0
1998-12-03,124.4,126.45,124.4,125.5,5100.0,0.0023961661341853624,1.0
1998-12-04,124.95,125.8,124.5,125.65,5000.0,0.0011952191235060639,1.0
1998-12-07,126.0,135.7,125.3,135.7,27800.0,0.0799840827695979,1.0
1998-12-08,137.05,146.6,137.0,146.6,64000.0,0.08032424465733246,1.0
1998-12-09,149.25,156.85,147.0,152.2,80700.0,0.038199181446111785,1.0
1998-12-10,151.75,153.6,143.5,144.35,38600.0,-0.05157687253613663,1.0
1998-12-11,142.75,146.9,141.0,145.0,25000.0,0.004502944232767536,1.0
1998-12-14,144.25,149.6,144.1,145.95,26000.0,0.0065517241379309255,1.0
1998-12-15,144.0,157.65,141.2,157.65,130400.0,0.08016443987667032,1.0
1998-12-16,163.0,170.3,155.55,170.3,130500.0,0.0802410402790994,1.0
1998-12-17,161.2,182.0,161.0,171.0,186800.0,0.004110393423370384,1.0
1998-12-18,174.0,181.0,170.1,178.95,142700.0,0.04649122807017547,1.0
1998-12-21,189.55,193.3,186.25,193.3,137000.0,0.08018999720592368,1.0
1998-12-22,195.6,206.0,194.05,205.0,150600.0,0.06052767718572172,1.0
1998-12-23,214.9,219.5,205.9,205.9,202300.0,0.004390243902439028,1.0
1998-12-24,204.1,212.0,194.0,209.25,148500.0,0.016270033997086042,1.0
1998-12-28,211.0,219.0,209.0,213.5,134500.0,0.020310633213858953,1.0
1998-12-29,212.0,213.8,197.0,202.1,125700.0,-0.05339578454332561,1.0
1998-12-30,204.0,214.0,204.0,208.05,83500.0,0.02944087085601188,1.0
1998-12-31,208.0,208.95,201.25,203.05,32100.0,-0.02403268445085316,1.0
1999-01-01,205.0,206.75,200.0,201.1,44800.0,-0.009603545924649182,1.0
1999-01-04,204.8,214.0,204.8,206.0,97700.0,0.02436598707110904,1.0
1999-01-05,206.0,207.2,199.0,205.55,63600.0,-0.0021844660194174637,1.0
1999-01-06,212.9,214.0,208.15,211.5,75800.0,0.028946728289953816,1.0
1999-01-07,214.0,228.45,214.0,228.45,167800.0,0.08014184397163104,1.0
1999-01-08,233.0,246.75,232.15,246.75,164500.0,0.08010505581089955,1.0
1999-01-11,260.0,266.5,252.2,257.0,199200.0,0.041540020263424626,1.0
1999-01-12,256.9,263.7,242.0,250.0,139700.0,-0.027237354085603127,1.0
1999-01-13,263.0,270.0,257.0,270.0,73100.0,0.08000000000000007,1.0
1999-01-14,280.0,291.6,275.5,291.6,82600.0,0.08000000000000007,1.0
1999-01-15,313.95,313.95,292.0,308.0,158800.0,0.056241426611796985,1.0
1999-01-18,312.8,329.0,300.0,329.0,167700.0,0.06818181818181812,1.0
1999-01-19,334.65,347.95,322.7,345.0,130400.0,0.04863221884498481,1.0
1999-01-21,365.0,372.6,358.0,372.6,62400.0,0.08000000000000007,1.0
1999-01-22,388.5,402.45,383.95,402.45,135100.0,0.08011272141706915,1.0
1999-01-25,399.9,400.0,381.5,387.5,133500.0,-0.037147471735619275,1.0
1999-01-27,400.0,418.5,400.0,418.5,85000.0,0.08000000000000007,1.0
1999-01-28,414.5,426.95,385.05,385.05,85600.0,-0.07992831541218637,1.0
1999-01-29,373.1,376.0,354.25,366.0,96100.0,-0.04947409427347105,1.0
1999-02-01,359.25,359.25,336.75,336.75,23500.0,-0.07991803278688525,1.0
1999-02-02,309.85,309.85,309.85,309.85,5300.0,-0.07988121752041566,1.0
1999-02-03,285.25,333.0,285.1,327.5,143500.0,0.056963046635468695,1.0
1999-02-04,326.25,330.0,301.3,301.3,63900.0,-0.07999999999999996,1.0
1999-02-05,295.1,306.0,277.35,289.0,64200.0,-0.040823099900431536,1.0
1999-02-08,282.1,294.7,265.9,265.9,48100.0,-0.07993079584775098,1.0
1999-02-09,250.0,285.0,244.65,285.0,116300.0,0.07183151560737122,1.0
1999-02-10,307.8,307.8,304.0,307.8,42500.0,0.08000000000000007,1.0
1999-02-11,332.45,332.45,285.1,332.45,114500.0,0.08008447043534761,1.0
1999-02-12,312.0,340.0,312.0,337.5,63300.0,0.015190254173560014,1.0
1999-02-15,334.0,359.0,332.0,354.0,92300.0,0.04888888888888898,1.0
1999-02-16,350.0,382.35,347.0,382.35,50700.0,0.08008474576271185,1.0
1999-02-17,408.0,409.0,360.1,400.0,109900.0,0.046161893553027245,1.0
1999-02-18,400.05,409.7,368.85,368.85,50000.0,-0.07787499999999992,1.0
1999-02-19,362.0,372.0,342.0,359.5,42900.0,-0.025349057882608217,1.0
1999-02-22,345.25,355.0,330.75,330.75,70200.0,-0.07997218358831715,1.0
1999-02-23,318.0,329.85,307.0,317.25,67700.0,-0.04081632653061229,1.0
1999-02-24,329.9,329.9,322.0,326.0,28500.0,0.027580772261623254,1.0
1999-02-25,327.95,338.0,316.1,317.95,29700.0,-0.024693251533742355,1.0
1999-02-26,315.5,317.95,295.0,305.5,30700.0,-0.03915710017298313,1.0
1999-02-27,320.0,329.95,311.0,329.95,34700.0,0.08003273322422255,1.0
1999-03-01,354.85,356.35,354.85,356.35,16100.0,0.080012123048947,1.0
1999-03-03,380.0,384.9,380.0,384.9,6700.0,0.08011786165286927,1.0
1999-03-04,404.7,404.7,358.0,366.05,41800.0,-0.048973759418030616,1.0
1999-03-05,361.0,389.0,360.0,386.3,33000.0,0.05532031143286442,1.0
1999-03-08,376.0,390.0,355.4,355.4,34200.0,-0.0799896453533524,1.0
1999-03-09,361.7,363.0,345.0,354.0,44900.0,-0.003939223410241888,1.0
