Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,272.0,271.0,271.0,271.0,400.0,,1.0
1996-01-02,270.05,271.0,268.0,268.0,700.0,-0.011070110701106972,1.0
1996-01-03,270.0,270.0,270.0,270.0,200.0,0.00746268656716409,1.0
1996-01-04,265.0,265.0,265.0,265.0,100.0,-0.01851851851851849,1.0
1996-01-05,260.0,262.75,260.0,262.4,400.0,-0.009811320754717023,1.0
1996-01-08,251.1,251.1,250.0,250.0,500.0,-0.047256097560975485,1.0
1996-01-09,250.0,255.0,250.0,255.0,300.0,0.020000000000000018,1.0
1996-01-10,255.0,255.0,255.0,255.0,100.0,0.0,1.0
1996-01-11,253.0,253.0,253.0,253.0,100.0,-0.007843137254901933,1.0
1996-01-12,253.0,253.0,250.05,251.0,500.0,-0.007905138339920903,1.0
1996-01-16,243.0,243.0,226.0,226.0,300.0,-0.09960159362549803,1.0
1996-01-17,235.0,235.0,235.0,235.0,400.0,0.03982300884955747,1.0
1996-01-18,215.0,230.0,215.0,225.0,700.0,-0.04255319148936165,1.0
1996-01-19,221.1,228.0,221.1,228.0,200.0,0.01333333333333342,1.0
1996-01-23,228.0,226.5,220.0,222.7,400.0,-0.023245614035087736,1.0
1996-01-24,217.05,217.05,217.05,217.05,100.0,-0.025370453524921288,1.0
1996-01-25,220.0,220.0,218.0,218.0,400.0,0.004376871688551054,1.0
1996-01-29,218.0,210.0,201.1,210.0,300.0,-0.03669724770642202,1.0
1996-01-30,210.0,210.0,205.0,205.0,200.0,-0.023809523809523836,1.0
1996-01-31,207.0,208.0,205.2,207.0,500.0,0.009756097560975618,1.0
1996-02-01,210.0,220.0,210.0,220.0,400.0,0.06280193236714982,1.0
1996-02-02,234.0,240.0,234.0,235.0,600.0,0.06818181818181812,1.0
1996-02-05,233.0,233.0,230.0,230.0,1000.0,-0.021276595744680882,1.0
1996-02-06,233.0,237.0,230.0,235.0,3500.0,0.021739130434782705,1.0
1996-02-07,242.0,242.0,230.1,240.0,900.0,0.02127659574468077,1.0
1996-02-08,239.5,240.0,239.5,240.0,200.0,0.0,1.0
1996-02-09,252.0,255.0,250.0,251.05,700.0,0.04604166666666676,1.0
1996-02-12,249.0,276.0,249.0,276.0,1100.0,0.09938259310894249,1.0
1996-02-13,265.0,280.0,265.0,280.0,700.0,0.01449275362318847,1.0
1996-02-14,285.0,300.0,283.05,293.0,1000.0,0.046428571428571486,1.0
1996-02-15,293.0,319.0,293.05,300.2,2200.0,0.02457337883959032,1.0
1996-02-16,300.2,300.0,290.0,290.0,2200.0,-0.03397734843437705,1.0
1996-02-19,290.0,302.5,300.0,302.0,700.0,0.04137931034482767,1.0
1996-02-20,302.0,310.0,305.0,309.5,1500.0,0.024834437086092676,1.0
1996-02-22,313.0,314.0,313.0,313.0,600.0,0.011308562197092087,1.0
1996-02-23,310.05,310.05,310.05,310.05,100.0,-0.0094249201277955,1.0
1996-02-26,310.05,310.0,296.0,296.0,800.0,-0.04531527173036609,1.0
1996-02-27,301.0,302.95,290.0,290.0,1400.0,-0.020270270270270285,1.0
1996-02-28,290.05,303.0,290.05,301.65,400.0,0.040172413793103434,1.0
1996-02-29,280.0,280.0,280.0,280.0,100.0,-0.07177192110061326,1.0
1996-03-01,275.0,275.0,272.0,273.0,900.0,-0.025000000000000022,1.0
1996-03-04,279.95,279.95,254.0,270.2,500.0,-0.010256410256410331,1.0
1996-03-06,270.0,274.5,270.0,274.5,200.0,0.01591413767579586,1.0
1996-03-07,269.0,270.0,267.0,267.0,400.0,-0.02732240437158473,1.0
1996-03-08,260.0,260.0,253.0,256.0,1100.0,-0.041198501872659166,1.0
1996-03-11,259.0,259.0,248.0,250.0,1300.0,-0.0234375,1.0
1996-03-15,247.5,247.5,247.5,247.5,200.0,-0.010000000000000009,1.0
1996-03-18,248.5,248.5,235.0,235.0,200.0,-0.0505050505050505,1.0
1996-03-19,240.0,240.0,235.25,235.25,300.0,0.0010638297872340718,1.0
1996-03-21,245.0,245.0,245.0,245.0,100.0,0.04144527098831041,1.0
1996-03-22,240.0,240.0,235.25,240.0,500.0,-0.020408163265306145,1.0
1996-03-25,245.0,245.0,245.0,245.0,200.0,0.02083333333333326,1.0
1996-03-26,245.0,255.0,245.0,255.0,400.0,0.04081632653061229,1.0
1996-03-27,255.0,259.0,255.0,258.0,400.0,0.0117647058823529,1.0
1996-03-28,265.0,271.5,265.0,271.5,200.0,0.05232558139534893,1.0
1996-03-29,271.5,266.05,266.0,266.0,300.0,-0.02025782688766109,1.0
1996-04-02,266.0,265.1,256.0,265.0,500.0,-0.003759398496240629,1.0
1996-04-03,266.0,266.0,263.0,265.0,1200.0,0.0,1.0
1996-04-04,265.0,267.95,265.0,267.95,300.0,0.011132075471698144,1.0
1996-04-08,258.0,259.0,258.0,259.0,200.0,-0.033401754058593025,1.0
1996-04-09,262.0,262.0,260.0,261.0,500.0,0.007722007722007707,1.0
1996-04-10,261.05,261.05,258.0,258.25,900.0,-0.010536398467432928,1.0
1996-04-11,256.5,256.5,256.0,256.0,700.0,-0.00871248789932233,1.0
1996-04-12,256.0,258.0,254.1,254.1,700.0,-0.007421875000000022,1.0
1996-04-15,240.0,254.0,240.0,247.0,1100.0,-0.0279417552144825,1.0
1996-04-16,247.0,250.1,247.0,250.1,1800.0,0.012550607287449278,1.0
1996-04-17,250.1,262.0,255.5,256.05,1900.0,0.023790483806477525,1.0
1996-04-18,256.05,278.0,269.0,269.0,800.0,0.05057605936340548,1.0
1996-04-19,269.0,276.0,271.0,272.5,1300.0,0.013011152416356975,1.0
1996-04-22,272.5,271.0,266.1,266.1,400.0,-0.02348623853210996,1.0
1996-04-23,266.1,263.0,257.05,260.0,1900.0,-0.022923712889891146,1.0
