Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,80.05,80.5,80.0,80.2,400.0,,1.0
1996-01-02,80.2,80.0,79.0,79.0,150.0,-0.014962593516209544,1.0
1996-01-03,80.0,80.0,79.05,79.05,150.0,0.0006329113924050667,1.0
1996-01-04,79.05,81.5,78.0,80.25,900.0,0.015180265654648917,1.0
1996-01-05,80.25,82.0,80.0,82.0,550.0,0.02180685358255441,1.0
1996-01-08,78.0,79.0,78.0,79.0,250.0,-0.03658536585365857,1.0
1996-01-09,79.0,77.0,77.0,77.0,100.0,-0.025316455696202556,1.0
1996-01-10,77.0,75.1,75.1,75.1,100.0,-0.02467532467532474,1.0
1996-01-11,75.1,79.0,78.0,79.0,350.0,0.051930758988016024,1.0
1996-01-12,79.0,80.0,79.0,79.95,750.0,0.012025316455696267,1.0
1996-01-15,77.0,77.0,77.0,77.0,50.0,-0.036898061288305195,1.0
1996-01-16,75.1,78.95,74.25,78.95,350.0,0.025324675324675416,1.0
1996-01-17,78.95,78.95,78.0,78.05,600.0,-0.011399620012666367,1.0
1996-01-18,78.05,76.05,76.0,76.0,400.0,-0.026265214606021714,1.0
1996-01-19,75.5,75.5,75.0,75.0,250.0,-0.013157894736842146,1.0
1996-01-22,77.0,77.0,77.0,77.0,100.0,0.026666666666666616,1.0
1996-01-23,74.0,75.0,74.0,74.0,500.0,-0.038961038961038974,1.0
1996-01-24,74.0,74.0,70.0,70.0,550.0,-0.05405405405405406,1.0
1996-01-25,67.5,67.5,66.05,66.05,1300.0,-0.056428571428571495,1.0
1996-01-30,60.25,68.0,60.25,68.0,100.0,0.029523088569265665,1.0
1996-02-02,70.0,72.0,70.0,72.0,350.0,0.05882352941176472,1.0
1996-02-05,72.0,72.0,72.0,72.0,100.0,0.0,1.0
1996-02-06,73.0,75.0,70.0,70.0,2800.0,-0.02777777777777779,1.0
1996-02-07,68.0,69.0,65.5,65.5,550.0,-0.06428571428571428,1.0
1996-02-08,67.9,68.0,67.15,67.15,1500.0,0.02519083969465652,1.0
1996-02-09,69.0,70.0,67.0,67.8,2400.0,0.009679821295606628,1.0
1996-02-12,70.0,71.0,67.0,71.0,1500.0,0.0471976401179941,1.0
