Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-02,46.0,46.0,46.0,46.0,50.0,,1.0
1996-01-03,46.5,46.5,42.0,42.0,150.0,-0.08695652173913049,1.0
1996-01-16,40.0,40.0,38.0,38.0,600.0,-0.09523809523809523,1.0
1996-02-05,38.0,38.0,38.0,38.0,50.0,0.0,1.0
1996-02-06,42.0,42.0,42.0,42.0,100.0,0.10526315789473695,1.0
1996-02-13,42.0,42.0,41.0,41.0,800.0,-0.023809523809523836,1.0
1996-02-22,44.0,44.0,44.0,44.0,50.0,0.07317073170731714,1.0
1996-02-27,42.5,42.5,42.1,42.1,150.0,-0.0431818181818181,1.0
1996-03-04,42.1,41.8,41.8,41.8,50.0,-0.0071258907363421775,1.0
1996-03-11,44.0,44.0,44.0,44.0,50.0,0.052631578947368585,1.0
1996-03-12,44.0,42.25,42.0,42.25,600.0,-0.03977272727272729,1.0
1996-03-13,42.25,42.0,42.0,42.0,150.0,-0.00591715976331364,1.0
1996-03-14,42.0,43.0,42.0,43.0,200.0,0.023809523809523725,1.0
1996-03-15,43.0,43.0,43.0,43.0,100.0,0.0,1.0
1996-03-19,43.0,42.0,40.1,40.1,350.0,-0.06744186046511624,1.0
1996-04-01,40.1,38.0,38.0,38.0,150.0,-0.052369077306733236,1.0
1996-04-10,38.0,39.0,39.0,39.0,400.0,0.026315789473684292,1.0
1996-04-11,39.0,42.9,39.0,42.9,750.0,0.09999999999999987,1.0
1996-04-12,40.5,40.5,40.0,40.0,500.0,-0.06759906759906753,1.0
1996-04-15,44.0,44.0,38.0,38.0,1150.0,-0.050000000000000044,1.0
1996-04-16,40.0,40.0,39.5,39.95,1150.0,0.051315789473684204,1.0
1996-04-17,42.0,42.0,40.0,40.0,300.0,0.0012515644555692873,1.0
1996-04-18,38.5,40.0,38.5,40.0,850.0,0.0,1.0
1996-04-19,40.0,40.0,39.5,39.5,600.0,-0.012499999999999956,1.0
1996-04-23,39.0,39.0,39.0,39.0,100.0,-0.012658227848101222,1.0
1996-04-24,39.5,39.5,39.5,39.5,200.0,0.012820512820512775,1.0
1996-04-25,39.5,38.5,38.5,38.5,150.0,-0.025316455696202556,1.0
1996-04-26,39.0,39.0,39.0,39.0,850.0,0.01298701298701288,1.0
1996-05-02,39.0,39.0,39.0,39.0,50.0,0.0,1.0
1996-05-03,35.55,39.5,35.55,39.5,650.0,0.012820512820512775,1.0
1996-05-06,39.75,40.0,36.2,38.0,1200.0,-0.03797468354430378,1.0
1996-05-07,38.0,37.4,37.0,37.4,200.0,-0.015789473684210575,1.0
1996-05-13,36.0,36.0,36.0,36.0,200.0,-0.03743315508021383,1.0
1996-05-15,36.0,37.5,37.5,37.5,100.0,0.04166666666666674,1.0
1996-05-16,37.5,38.0,37.6,37.6,150.0,0.002666666666666595,1.0
1996-05-21,34.0,35.0,34.0,35.0,150.0,-0.06914893617021278,1.0
1996-06-03,35.0,35.0,33.0,33.0,800.0,-0.05714285714285716,1.0
1996-06-06,32.5,32.5,32.5,32.5,100.0,-0.015151515151515138,1.0
1996-06-11,32.5,32.5,32.5,32.5,300.0,0.0,1.0
1996-06-12,30.5,30.5,30.5,30.5,100.0,-0.06153846153846154,1.0
1996-06-18,33.05,33.05,33.05,33.05,100.0,0.08360655737704903,1.0
1996-06-19,34.0,34.0,34.0,34.0,800.0,0.02874432677760974,1.0
1996-06-20,32.5,32.5,32.5,32.5,200.0,-0.044117647058823484,1.0
1996-06-25,35.0,35.0,35.0,35.0,500.0,0.07692307692307687,1.0
1996-06-26,34.0,34.0,34.0,34.0,400.0,-0.02857142857142858,1.0
1996-07-02,34.0,34.0,34.0,34.0,100.0,0.0,1.0
1996-07-09,32.25,32.25,32.25,32.25,200.0,-0.05147058823529416,1.0
1996-07-11,32.25,32.25,32.25,32.25,500.0,0.0,1.0
1997-03-31,30.0,30.0,30.0,30.0,50.0,-0.06976744186046513,1.0
1997-05-28,30.0,30.0,30.0,30.0,100.0,0.0,1.0
1997-05-29,29.0,29.0,27.9,27.9,1000.0,-0.07000000000000006,1.0
1997-05-30,29.5,29.5,26.0,26.0,350.0,-0.06810035842293904,1.0
1997-06-02,25.0,25.0,25.0,25.0,100.0,-0.038461538461538436,1.0
1997-06-04,24.75,24.75,24.75,24.75,100.0,-0.010000000000000009,1.0
1997-06-05,24.5,24.5,24.1,24.1,200.0,-0.02626262626262621,1.0
1997-06-11,25.0,25.0,25.0,25.0,500.0,0.03734439834024883,1.0
1997-06-17,24.0,24.0,24.0,24.0,200.0,-0.040000000000000036,1.0
1997-06-18,25.0,25.0,25.0,25.0,200.0,0.04166666666666674,1.0
1997-06-20,24.0,24.0,24.0,24.0,50.0,-0.040000000000000036,1.0
1997-06-24,22.5,22.5,22.5,22.5,50.0,-0.0625,1.0
1997-06-27,23.5,23.5,23.5,23.5,150.0,0.04444444444444451,1.0
1997-07-01,22.5,22.5,22.5,22.5,50.0,-0.04255319148936165,1.0
1997-07-07,21.5,21.5,21.5,21.5,350.0,-0.0444444444444444,1.0
1997-07-08,20.5,20.5,20.5,20.5,250.0,-0.046511627906976716,1.0
1997-07-14,21.95,21.95,21.95,21.95,500.0,0.07073170731707323,1.0
1997-07-16,23.5,23.5,23.5,23.5,50.0,0.07061503416856496,1.0
1997-07-17,25.15,25.15,25.15,25.15,50.0,0.07021276595744674,1.0
1997-07-22,25.5,25.5,25.5,25.5,150.0,0.013916500994035852,1.0
1997-07-29,26.0,26.0,26.0,26.0,50.0,0.019607843137254832,1.0
1997-07-30,26.0,26.0,25.5,25.5,250.0,-0.019230769230769273,1.0
1997-08-01,26.0,26.0,26.0,26.0,100.0,0.019607843137254832,1.0
1997-08-04,25.0,25.0,25.0,25.0,450.0,-0.038461538461538436,1.0
1997-08-05,26.0,26.75,26.0,26.75,650.0,0.07000000000000006,1.0
1997-08-07,27.0,27.0,25.15,26.9,400.0,0.005607476635513864,1.0
1997-08-08,27.0,27.0,27.0,27.0,100.0,0.003717472118959231,1.0
1997-08-11,26.0,26.0,26.0,26.0,100.0,-0.03703703703703709,1.0
1997-08-12,26.0,27.8,26.0,27.8,400.0,0.0692307692307692,1.0
1997-08-19,27.9,27.9,27.8,27.8,1000.0,0.0,1.0
1997-08-20,29.75,29.75,29.75,29.75,200.0,0.07014388489208634,1.0
1997-08-21,30.0,31.5,30.0,31.5,650.0,0.05882352941176472,1.0
1997-08-22,30.5,33.25,30.5,30.8,500.0,-0.022222222222222254,1.0
1997-08-25,29.0,31.95,29.0,31.95,250.0,0.037337662337662225,1.0
1997-08-26,32.1,32.95,32.1,32.95,1100.0,0.031298904538341166,1.0
1997-08-27,34.0,34.0,32.65,34.0,1200.0,0.03186646433990892,1.0
1997-08-28,34.0,34.0,32.0,32.0,1500.0,-0.05882352941176472,1.0
1997-08-29,30.3,33.75,30.3,33.75,600.0,0.0546875,1.0
1997-09-01,33.0,35.8,33.0,34.75,2700.0,0.029629629629629672,1.0
1997-09-02,33.5,34.0,32.5,32.75,1600.0,-0.05755395683453235,1.0
