Date,Open,High,Low,Close,Volume,Returns,Anomaly
2008-05-27,27.9,31.5,27.9,30.9,638593.0,,1.0
2008-05-28,31.45,36.9,31.05,34.7,1207036.0,0.12297734627831725,1.0
2008-05-29,36.7,36.7,30.8,31.5,432921.0,-0.09221902017291073,1.0
2008-05-30,31.9,32.8,29.35,29.7,176320.0,-0.05714285714285716,1.0
2008-06-02,29.7,32.4,26.9,28.5,291084.0,-0.04040404040404033,1.0
2008-06-03,28.45,28.45,26.0,26.6,256762.0,-0.06666666666666665,1.0
2008-06-04,27.0,28.5,24.15,24.6,144107.0,-0.07518796992481203,1.0
2008-06-05,25.0,25.0,19.8,20.3,318008.0,-0.17479674796747968,1.0
2008-06-06,21.0,22.4,19.55,20.1,893398.0,-0.009852216748768461,1.0
2008-06-09,18.5,20.8,17.9,19.3,599196.0,-0.03980099502487566,1.0
2008-06-10,19.4,22.4,19.0,21.7,857116.0,0.12435233160621761,1.0
2008-06-11,22.8,22.85,20.55,21.55,492085.0,-0.006912442396313279,1.0
2008-06-12,20.6,21.5,19.6,20.15,467057.0,-0.06496519721577731,1.0
2008-06-13,20.4,20.9,19.1,19.4,828168.0,-0.037220843672456594,1.0
2008-06-16,19.4,21.0,19.4,19.85,288154.0,0.023195876288659933,1.0
2008-06-17,20.1,20.25,19.5,19.95,111894.0,0.005037783375314797,1.0
2008-06-18,20.0,20.25,19.7,19.85,107253.0,-0.005012531328320691,1.0
2008-06-19,20.0,20.0,19.15,19.45,67638.0,-0.02015113350125952,1.0
2008-06-20,19.25,19.9,18.35,18.5,67728.0,-0.04884318766066831,1.0
2008-06-23,18.85,18.85,17.0,17.4,93559.0,-0.05945945945945952,1.0
2008-06-24,17.4,19.6,16.9,18.85,201100.0,0.08333333333333348,1.0
2008-06-25,19.724999999999998,21.6875,18.8375,20.475,349823.5,0.0548518164435948,1.0
2008-06-26,22.049999999999997,23.775,20.775,22.1,498547.0,0.026370299553856114,1.0
2008-06-27,24.375,25.8625,22.7125,23.725,647270.5,-0.0021112173358825703,1.0
2008-06-30,26.7,27.95,24.65,25.35,795994.0,-0.030592734225621254,1.0
2008-07-01,25.6,26.9,23.3,23.7,466403.0,-0.06508875739644981,1.0
2008-07-02,24.35,25.0,22.200000000000003,22.6,361736.5,-0.07412220385813961,1.0
