Date,Open,High,Low,Close,Volume,Returns,Anomaly
2017-03-21,,,,,,,
2017-03-22,,,,,,,
2017-03-23,637.9,648.0,628.15,634.85,4690121.0,-0.005794377887401003,1.0
2017-03-24,635.45,640.45,612.6,616.9,4865013.0,-0.02827439552650235,1.0
2017-03-27,615.0,623.0,602.35,614.4,3535098.0,-0.0040525206678554415,1.0
2017-03-28,617.2,633.4,615.1,628.8,2981122.0,0.0234375,1.0
2017-03-29,632.9,637.0,622.4,628.25,2407007.0,-0.000874681933842214,1.0
2017-03-30,624.2,635.0,622.2,631.85,1324054.0,0.0057302029446877345,1.0
2017-03-31,634.4,652.3,630.0,637.85,2075789.0,0.00949592466566429,1.0
2017-04-03,638.0,643.0,633.0,634.25,992545.0,-0.005643960178725482,1.0
2017-04-05,636.0,645.1,628.3,632.15,820437.0,-0.0033109972408357224,1.0
2017-04-06,632.0,668.4,630.2,664.4,5166823.0,0.05101637269635373,1.0
2017-04-07,680.9666666666667,709.3,676.25,702.4499999999999,4872411.666666667,0.0359271188944128,1.0
2017-04-10,729.9333333333333,750.2,722.3000000000001,740.5,4578000.333333333,0.020837865092471874,1.0
2017-04-11,778.9,791.1,768.35,778.55,4283589.0,0.005748611290530947,1.0
2017-04-12,779.0,782.9,755.0,762.2,2435513.0,-0.0210005779975595,1.0
2017-04-13,782.45,786.3,760.8,768.125,2611142.0,-0.01637325420784458,1.0
2017-04-17,785.9,789.7,766.6,774.05,2786771.0,-0.011745930418129658,1.0
2017-04-18,774.9,774.9,725.1,730.15,4750180.0,-0.05671468251404943,1.0
2017-04-19,735.0,752.0,722.0,732.8,2052184.0,0.0036293912209819368,1.0
2017-04-20,740.0,765.0,732.4,756.3,3218061.0,0.03206877729257651,1.0
2017-04-21,760.0,765.0,739.0,743.2,1237439.0,-0.01732116884834045,1.0
2017-04-24,748.0,748.0,724.15,726.3,1249610.0,-0.02273950484391829,1.0
2017-04-25,731.0,739.9,721.15,734.8,1519949.0,0.011703152967093455,1.0
2017-04-26,736.45,753.95,731.0,747.9,2080565.0,0.017827980402830734,1.0
2017-04-27,749.0,749.7,736.1,740.1,614735.0,-0.010429201764941776,1.0
2017-04-28,743.85,747.0,735.0,736.5,516172.0,-0.00486420753952177,1.0
2017-05-02,737.25,762.9,737.25,752.3,1808851.0,0.02145281737949767,1.0
2017-05-03,753.0,762.0,746.8,756.85,1083002.0,0.0060481191014223334,1.0
2017-05-04,762.2,793.0,762.2,773.25,2607954.0,0.021668758670806643,1.0
2017-05-05,778.0,814.4,766.1,808.9,4332891.0,0.0461041060459102,1.0
2017-05-08,823.65,824.5,770.2,780.15,3972924.0,-0.035542094202002716,1.0
2017-05-09,782.9,793.0,775.6,780.05,1199297.0,-0.00012818047811324895,1.0
2017-05-10,781.9,795.0,780.0,790.85,1251054.0,0.013845266329081563,1.0
2017-05-11,789.7,790.5,756.0,761.8,1038372.0,-0.03673262944932676,1.0
2017-05-12,763.9,768.0,736.7,751.8,1137225.0,-0.013126804935678638,1.0
2017-05-15,755.5,761.45,744.0,752.15,617269.0,0.0004655493482308426,1.0
2017-05-16,752.1,757.9,741.0,750.4,600525.0,-0.00232666356444855,1.0
2017-05-17,751.7,756.9,742.9,744.9,458274.0,-0.007329424307036203,1.0
2017-05-18,739.95,748.0,724.5,727.45,698857.0,-0.023425963216539003,1.0
2017-05-19,730.0,738.65,713.65,722.9,686573.0,-0.006254725410681283,1.0
2017-05-22,729.4,734.5,720.1,721.55,361363.0,-0.0018674782127542366,1.0
2017-05-23,724.95,725.0,691.55,708.4,1362902.0,-0.018224655256045996,1.0
2017-05-24,710.4,722.9,701.0,714.2,748251.0,0.008187464709203951,1.0
2017-05-25,720.0,720.0,705.5,712.4,508214.0,-0.002520302436292421,1.0
2017-05-26,714.0,732.0,709.45,714.9,790476.0,0.0035092644581695698,1.0
2017-05-29,715.0,719.75,710.0,714.8,307830.0,-0.00013987970345508138,1.0
2017-05-30,715.0,742.85,710.0,727.85,912185.0,0.018256855064353816,1.0
2017-05-31,731.8,750.8,726.4,745.15,883930.0,0.023768633647042625,1.0
2017-06-01,749.9,782.0,745.0,776.85,1557053.0,0.0425417701134001,1.0
2017-06-02,783.85,794.6,776.85,779.65,738963.0,0.003604299414301293,1.0
2017-06-05,782.7,811.0,775.3,789.75,1662267.0,0.0129545308792407,1.0
2017-06-06,792.8,800.5,772.55,775.35,761302.0,-0.018233618233618243,1.0
2017-06-07,777.0,784.5,771.25,774.3,335268.0,-0.0013542271232347414,1.0
2017-06-08,776.95,799.8,768.05,790.25,1170440.0,0.02059925093632975,1.0
2017-06-09,789.95,811.0,783.15,802.35,1485266.0,0.015311610249920893,1.0
2017-06-12,804.0,823.0,797.0,804.1,1211793.0,0.002181093039197446,1.0
2017-06-13,807.7,815.0,795.1,798.65,679152.0,-0.006777763959706529,1.0
2017-06-14,802.0,807.0,792.0,798.55,406225.0,-0.00012521129405873577,1.0
2017-06-15,800.0,807.0,793.0,797.95,376579.0,-0.0007513618433409031,1.0
2017-06-16,802.4,812.0,796.95,800.1,579782.0,0.0026944044113039745,1.0
2017-06-19,804.8,806.25,791.0,796.4,302416.0,-0.004624421947256652,1.0
2017-06-20,796.0,836.7,796.0,822.05,1759720.0,0.032207433450527345,1.0
2017-06-21,825.8,838.8,813.3,817.8,1466750.0,-0.005170001824706505,1.0
2017-06-22,819.95,824.0,800.0,803.9,674073.0,-0.016996820738566898,1.0
2017-06-23,805.8,809.25,789.8,801.6,799811.0,-0.002861052369697692,1.0
2017-06-27,803.9,807.0,794.7,804.6,472470.0,0.0037425149700598404,1.0
2017-06-28,802.4,822.9,797.0,818.05,842867.0,0.016716380810340548,1.0
2017-06-29,825.0,826.45,813.0,815.5,443572.0,-0.003117168877207921,1.0
2017-06-30,810.9,820.0,805.0,815.1,365653.0,-0.0004904966278356238,1.0
2017-07-03,811.6,847.9,808.0,840.05,1577531.0,0.030609741136056856,1.0
2017-07-04,843.0,843.0,829.0,836.2,590080.0,-0.004583060532111105,1.0
2017-07-05,834.9,854.95,830.85,846.05,795100.0,0.011779478593637815,1.0
2017-07-06,847.55,909.0,847.55,880.3,3412326.0,0.04048224100230491,1.0
2017-07-07,882.8,910.0,882.0,895.45,2129887.0,0.01721004203112586,1.0
2017-07-10,940.2,944.0,900.0,934.6,646394.0,0.04372103411692452,1.0
2017-07-11,946.0,954.9,907.5,913.95,1185183.0,-0.022095013909693928,1.0
2017-07-12,914.0,934.4,905.0,910.3,1206562.0,-0.003993653919798779,1.0
2017-07-13,915.0,933.7,910.25,915.15,1139296.0,0.005327913874546786,1.0
2017-07-14,920.0,921.9,872.5,891.35,1325017.0,-0.026006665573949594,1.0
2017-07-17,894.9,917.7,886.05,911.7,951306.0,0.02283053794805645,1.0
2017-07-18,908.9,920.0,901.05,910.65,509382.0,-0.0011516946363936409,1.0
2017-07-19,914.2,924.95,907.45,911.7,524342.0,0.0011530225662987892,1.0
2017-07-20,914.8,918.8,905.1,909.2,504126.0,-0.002742130086651362,1.0
2017-07-21,912.5,921.0,907.0,914.75,648124.0,0.0061042674879014935,1.0
2017-07-24,937.0,964.0,911.0,916.55,2518684.0,0.0019677507515714066,1.0
2017-07-25,917.5,933.3,905.65,925.65,1018767.0,0.009928536359173012,1.0
2017-07-26,930.0,932.9,893.0,909.6,1512281.0,-0.017339167071787398,1.0
2017-07-27,907.9,915.0,892.4,896.9,534158.0,-0.01396218117854009,1.0
2017-07-28,894.0,908.0,888.1,898.55,501864.0,0.0018396699743561395,1.0
2017-07-31,904.0,925.5,897.0,919.7,925153.0,0.023537922208001882,1.0
2017-08-01,921.0,930.0,913.1,916.05,388020.0,-0.0039686854409047845,1.0
2017-08-02,914.5,919.0,902.25,906.8,230945.0,-0.010097702090497207,1.0
2017-08-03,905.95,909.9,895.0,898.1,242241.0,-0.009594177326863629,1.0
2017-08-04,898.9,922.4,894.25,911.35,649179.0,0.01475336822180151,1.0
2017-08-07,921.0,933.0,915.0,923.8,418558.0,0.013661052285071529,1.0
2017-08-08,923.0,927.65,900.0,902.3,372966.0,-0.023273435808616627,1.0
2017-08-09,901.0,910.9,882.4,889.25,358608.0,-0.01446303890058731,1.0
2017-08-10,888.8,894.85,871.1,880.8,359649.0,-0.009502389654203025,1.0
2017-08-11,867.9,903.4,860.0,890.1,495041.0,0.010558583106267116,1.0
2017-08-14,899.85,911.55,892.0,902.45,262198.0,0.01387484552297491,1.0
2017-08-16,903.9,917.45,903.0,907.8,241073.0,0.005928306277356077,1.0
2017-08-17,909.95,941.8,906.3,920.8,674395.0,0.0143203348755232,1.0
2017-08-18,917.2,931.8,908.0,926.25,401717.0,0.005918766290182509,1.0
2017-08-21,929.85,948.9,923.15,927.1,693305.0,0.0009176788124156676,1.0
2017-08-22,937.0,968.0,932.0,958.05,1103036.0,0.03338366950706506,1.0
2017-08-23,977.0,999.0,967.55,989.5,2107260.0,0.032827096706852466,1.0
