Date,Open,High,Low,Close,Volume,Returns,Anomaly
2017-12-26,,,,,,,
2017-12-27,,,,,,,
2017-12-28,12.2,12.65,11.9,12.65,572543.0,0.10000000000000009,1.0
2017-12-29,13.9,13.9,12.25,13.9,736867.0,0.09881422924901195,1.0
2018-01-01,13.3,13.7,12.0,13.625,584525.5,0.06886236754279396,1.0
2018-01-02,12.7,13.5,11.75,13.35,432184.0,0.03891050583657596,1.0
2018-01-03,13.4,14.4,12.6,13.3,323023.0,-0.0037453183520598232,1.0
2018-01-04,13.3,14.1,13.0,13.75,259031.0,0.03383458646616533,1.0
2018-01-05,13.8,13.8,13.0,13.25,224649.0,-0.036363636363636376,1.0
2018-01-08,13.4,13.5,12.85,13.0,301137.0,-0.018867924528301883,1.0
2018-01-09,12.9,13.5,12.25,13.35,255244.0,0.026923076923076827,1.0
2018-01-10,13.5,13.5,13.0,13.1,172189.0,-0.01872659176029967,1.0
2018-01-11,13.1,13.5,12.05,12.15,446982.0,-0.0725190839694656,1.0
2018-01-12,12.35,12.95,12.0,12.1,219973.0,-0.004115226337448652,1.0
2018-01-15,12.05,12.35,11.2,11.8,85592.0,-0.024793388429751984,1.0
2018-01-16,11.9,11.9,10.7,11.2,124570.0,-0.05084745762711873,1.0
2018-01-17,11.7,11.7,10.25,11.4,110809.0,0.017857142857143016,1.0
2018-01-18,11.0,11.6,10.55,10.75,114210.0,-0.05701754385964919,1.0
2018-01-19,10.75,11.0,9.7,9.95,186074.0,-0.0744186046511629,1.0
2018-01-22,9.7,10.25,9.7,10.05,82534.0,0.01005025125628145,1.0
2018-01-23,10.2,10.55,9.85,10.15,80324.0,0.00995024875621886,1.0
2018-01-24,10.4,10.4,9.8,9.95,67275.0,-0.019704433497537033,1.0
2018-01-25,9.65,9.85,9.5,9.5,424913.0,-0.045226130653266305,1.0
2018-01-29,9.45,9.65,9.05,9.05,85210.0,-0.047368421052631504,1.0
2018-01-30,8.6,9.45,8.6,9.1,151409.0,0.0055248618784529135,1.0
2018-01-31,8.8,9.45,8.65,8.8,100827.0,-0.03296703296703285,1.0
2018-02-01,8.8,9.2,8.6,9.2,63949.0,0.04545454545454519,1.0
2018-02-02,9.0,9.4,8.75,8.75,94949.0,-0.048913043478260754,1.0
2018-02-05,8.8,8.8,8.35,8.55,111733.0,-0.022857142857142798,1.0
2018-02-06,8.15,8.65,8.15,8.55,86005.0,0.0,1.0
2018-02-07,8.8,9.4,8.55,8.7,91690.0,0.01754385964912264,1.0
2018-02-08,8.7,9.05,8.5,8.9,55999.0,0.02298850574712663,1.0
