Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,54.25,55.0,54.25,54.6,300.0,,1.0
1996-01-02,55.5,60.0,55.5,59.25,2300.0,0.08516483516483508,1.0
1996-01-03,60.0,61.0,57.0,60.2,6300.0,0.01603375527426154,1.0
1996-01-04,61.0,63.9,61.0,61.8,3100.0,0.02657807308970095,1.0
1996-01-05,61.8,67.5,63.5,66.25,5200.0,0.07200647249190939,1.0
1996-01-08,66.25,67.0,63.75,63.75,4500.0,-0.037735849056603765,1.0
1996-01-09,64.75,65.0,62.0,64.25,3400.0,0.007843137254901933,1.0
1996-01-10,63.0,65.0,60.1,60.3,1100.0,-0.06147859922178989,1.0
1996-01-11,60.3,62.0,59.0,62.0,1500.0,0.028192371475953548,1.0
1996-01-12,60.0,60.5,60.0,60.5,200.0,-0.024193548387096753,1.0
1996-01-15,60.5,65.0,60.5,65.0,900.0,0.07438016528925617,1.0
1996-01-16,63.95,64.0,62.25,62.25,600.0,-0.04230769230769227,1.0
1996-01-17,65.0,65.0,62.25,62.3,600.0,0.0008032128514054993,1.0
1996-01-18,60.0,61.0,60.0,61.0,300.0,-0.020866773675762396,1.0
1996-01-19,60.5,61.0,58.0,60.5,4800.0,-0.008196721311475419,1.0
1996-01-22,59.75,59.75,58.05,59.7,1300.0,-0.013223140495867702,1.0
1996-01-23,57.0,57.0,56.0,56.0,900.0,-0.06197654941373543,1.0
1996-01-24,54.0,56.0,54.0,56.0,400.0,0.0,1.0
1996-01-25,54.5,54.5,54.05,54.05,200.0,-0.03482142857142867,1.0
1996-01-29,58.0,58.0,58.0,58.0,100.0,0.07308048103607767,1.0
1996-01-30,57.0,58.0,57.0,58.0,300.0,0.0,1.0
1996-01-31,57.0,58.0,57.0,58.0,500.0,0.0,1.0
1996-02-01,57.0,60.0,57.0,60.0,1100.0,0.034482758620689724,1.0
1996-02-02,58.5,62.0,58.0,61.4,1100.0,0.023333333333333206,1.0
1996-02-05,62.95,63.0,62.0,62.0,1700.0,0.009771986970684043,1.0
1996-02-06,63.0,65.0,62.25,64.7,3000.0,0.04354838709677433,1.0
1996-02-07,68.0,69.5,66.0,68.95,3000.0,0.06568778979907264,1.0
1996-02-08,67.5,68.0,67.5,68.0,500.0,-0.013778100072516342,1.0
1996-02-09,66.0,68.75,66.0,68.05,2100.0,0.0007352941176470562,1.0
1996-02-12,68.05,75.0,67.6,74.0,2800.0,0.08743570903747244,1.0
1996-02-13,72.0,76.0,72.0,73.55,6200.0,-0.0060810810810810745,1.0
1996-02-14,73.55,81.25,74.0,81.25,8700.0,0.10469068660774994,1.0
1996-02-15,81.25,87.25,82.0,83.05,4600.0,0.02215384615384619,1.0
1996-02-16,83.05,83.0,78.05,78.4,2300.0,-0.055990367248645256,1.0
1996-02-19,76.0,80.0,76.0,79.0,4400.0,0.007653061224489832,1.0
1996-02-20,79.0,78.0,75.0,77.25,3700.0,-0.022151898734177222,1.0
1996-02-22,77.0,78.0,77.0,78.0,300.0,0.009708737864077666,1.0
1996-02-23,76.25,76.25,74.0,74.0,1900.0,-0.05128205128205132,1.0
1996-02-26,75.0,77.0,74.0,75.0,1300.0,0.013513513513513598,1.0
