Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-02,56.95,57.95,56.5,56.5,400.0,,1.0
1996-01-03,51.0,57.0,51.0,57.0,200.0,0.008849557522123908,1.0
1996-01-04,57.0,56.0,55.95,55.95,400.0,-0.018421052631578894,1.0
1996-01-05,55.95,55.0,55.0,55.0,1500.0,-0.016979445933869575,1.0
1996-01-08,55.0,55.0,55.0,55.0,200.0,0.0,1.0
1996-01-09,55.0,55.5,55.5,55.5,300.0,0.009090909090909038,1.0
1996-01-10,55.5,56.0,56.0,56.0,200.0,0.009009009009008917,1.0
1996-01-12,56.0,55.9,55.0,55.0,300.0,-0.017857142857142905,1.0
1996-01-15,55.0,54.25,54.1,54.2,300.0,-0.014545454545454528,1.0
1996-01-16,54.2,56.75,56.75,56.75,100.0,0.04704797047970466,1.0
1996-01-18,56.75,60.0,56.0,60.0,400.0,0.05726872246696035,1.0
1996-01-19,57.5,57.5,56.0,56.0,600.0,-0.06666666666666665,1.0
1996-01-22,56.0,57.0,57.0,57.0,100.0,0.017857142857142794,1.0
1996-01-23,57.0,55.0,55.0,55.0,200.0,-0.03508771929824561,1.0
1996-01-24,55.0,55.0,54.5,55.0,400.0,0.0,1.0
1996-01-25,55.0,53.75,52.0,53.05,1200.0,-0.035454545454545516,1.0
1996-01-29,53.05,55.0,55.0,55.0,700.0,0.03675777568331773,1.0
1996-01-30,55.0,55.25,55.0,55.25,300.0,0.00454545454545463,1.0
1996-02-05,55.25,60.0,55.05,60.0,500.0,0.08597285067873295,1.0
1996-02-06,60.0,62.5,58.5,62.5,300.0,0.04166666666666674,1.0
1996-02-07,60.0,60.0,60.0,60.0,1400.0,-0.040000000000000036,1.0
1996-02-08,61.0,61.0,60.05,60.05,200.0,0.0008333333333332416,1.0
1996-02-09,60.05,66.0,60.1,63.15,25800.0,0.051623646960865965,1.0
1996-02-12,63.15,64.5,64.45,64.5,800.0,0.0213776722090262,1.0
1996-02-13,64.5,64.45,63.0,63.5,700.0,-0.015503875968992276,1.0
1996-02-14,63.5,68.0,66.0,66.6,800.0,0.04881889763779523,1.0
1996-02-15,66.5,67.0,66.0,67.0,1000.0,0.006006006006006093,1.0
1996-02-16,67.0,67.0,66.0,67.0,1800.0,0.0,1.0
1996-02-19,67.0,68.0,66.0,68.0,900.0,0.014925373134328401,1.0
1996-02-20,68.0,69.0,68.0,69.0,400.0,0.014705882352941124,1.0
1996-02-22,67.0,70.0,67.0,70.0,2100.0,0.01449275362318847,1.0
1996-02-23,74.0,74.0,72.5,72.5,200.0,0.03571428571428581,1.0
1996-02-26,69.95,74.0,69.95,74.0,700.0,0.020689655172413834,1.0
1996-02-27,73.0,73.0,70.1,70.1,500.0,-0.05270270270270283,1.0
1996-02-28,70.0,70.0,70.0,70.0,600.0,-0.0014265335235377208,1.0
1996-02-29,66.0,66.0,66.0,66.0,500.0,-0.05714285714285716,1.0
1996-03-01,66.0,66.5,60.55,66.5,500.0,0.007575757575757569,1.0
1996-03-04,66.5,68.0,65.0,67.0,1300.0,0.007518796992481258,1.0
1996-03-06,67.0,68.0,66.0,68.0,800.0,0.014925373134328401,1.0
1996-03-07,68.0,69.95,67.25,67.25,500.0,-0.011029411764705843,1.0
1996-03-08,67.25,68.0,66.0,68.0,4500.0,0.011152416356877248,1.0
1996-03-11,68.0,67.95,67.0,67.5,300.0,-0.007352941176470562,1.0
1996-03-12,67.5,67.0,66.35,67.0,400.0,-0.007407407407407418,1.0
1996-03-13,67.0,67.75,66.0,66.0,300.0,-0.014925373134328401,1.0
1996-03-14,66.0,67.0,67.0,67.0,100.0,0.015151515151515138,1.0
1996-03-18,67.0,68.5,61.05,67.0,4900.0,0.0,1.0
1996-03-19,67.0,68.0,66.05,66.05,800.0,-0.014179104477611948,1.0
1996-03-21,66.05,69.15,69.0,69.15,400.0,0.04693414080242264,1.0
1996-03-22,69.15,68.1,68.1,68.1,400.0,-0.01518438177874204,1.0
1996-03-25,68.1,69.0,67.1,69.0,500.0,0.013215859030837107,1.0
1996-03-26,69.0,70.25,70.0,70.05,700.0,0.01521739130434785,1.0
1996-03-27,70.05,75.0,73.0,75.0,300.0,0.07066381156316925,1.0
1996-03-28,75.0,76.0,75.0,75.5,1400.0,0.006666666666666599,1.0
1996-03-29,75.5,76.0,74.0,74.95,800.0,-0.007284768211920478,1.0
1996-04-01,74.5,75.25,74.05,74.4,900.0,-0.007338225483655703,1.0
1996-04-02,74.5,74.5,73.0,73.95,600.0,-0.006048387096774244,1.0
1996-04-03,73.95,74.0,73.5,74.0,300.0,0.0006761325219741821,1.0
1996-04-04,75.0,75.0,72.0,73.5,3000.0,-0.006756756756756799,1.0
1996-04-08,73.55,75.0,73.55,74.35,2000.0,0.011564625850340127,1.0
1996-04-09,74.55,76.5,74.55,75.75,2400.0,0.01882985877605936,1.0
1996-04-10,75.75,75.0,74.25,74.25,300.0,-0.01980198019801982,1.0
1996-04-11,74.25,75.0,72.65,74.05,700.0,-0.002693602693602748,1.0
1996-04-12,74.0,74.0,73.35,74.0,500.0,-0.0006752194463199857,1.0
1996-04-15,74.0,74.0,72.0,74.0,500.0,0.0,1.0
1996-04-16,74.0,75.5,74.0,74.0,1100.0,0.0,1.0
1996-04-17,75.0,75.0,74.05,74.2,1100.0,0.002702702702702675,1.0
1996-04-18,76.0,78.0,75.0,77.95,6400.0,0.05053908355795156,1.0
1996-04-19,77.95,79.0,77.6,78.75,3300.0,0.010262989095574104,1.0
1996-04-22,78.0,78.0,75.0,75.25,1400.0,-0.0444444444444444,1.0
1996-04-23,74.5,76.0,74.0,74.5,1300.0,-0.009966777408637828,1.0
1996-04-24,74.5,73.05,73.05,73.05,100.0,-0.01946308724832213,1.0
1996-04-25,72.05,72.05,71.0,71.5,600.0,-0.021218343600273748,1.0
1996-04-26,70.25,71.5,70.25,71.5,300.0,0.0,1.0
1996-04-29,71.5,72.0,70.0,70.95,1200.0,-0.007692307692307665,1.0
1996-04-30,70.0,70.0,68.95,69.0,1300.0,-0.02748414376321362,1.0
1996-05-01,73.0,73.0,73.0,73.0,800.0,0.05797101449275366,1.0
1996-05-02,71.25,71.25,71.25,71.25,100.0,-0.023972602739726012,1.0
1996-05-03,71.25,71.25,70.0,70.05,1400.0,-0.01684210526315788,1.0
1996-05-06,70.05,70.0,70.0,70.0,100.0,-0.0007137758743753775,1.0
1996-05-07,70.0,71.0,68.1,68.5,1700.0,-0.021428571428571463,1.0
1996-05-09,68.05,69.0,68.05,68.05,1900.0,-0.006569343065693456,1.0
1996-05-10,68.05,68.25,67.0,67.0,10800.0,-0.01542983100661277,1.0
1996-05-13,67.0,66.9,66.9,66.9,100.0,-0.0014925373134327957,1.0
1996-05-14,66.9,67.8,66.05,66.1,900.0,-0.011958146487294652,1.0
1996-05-15,66.1,69.0,68.0,68.0,500.0,0.02874432677760974,1.0
1996-05-16,68.0,73.0,69.0,70.5,3000.0,0.03676470588235303,1.0
1996-05-17,70.55,70.8,70.5,70.8,400.0,0.004255319148936065,1.0
1996-05-20,70.8,70.0,70.0,70.0,600.0,-0.011299435028248594,1.0
1996-05-21,69.75,70.0,68.05,69.95,2000.0,-0.0007142857142856673,1.0
1996-05-22,69.95,71.0,70.0,70.05,2500.0,0.0014295925661185205,1.0
1996-05-23,70.05,71.0,70.05,71.0,1100.0,0.013561741613133504,1.0
1996-05-24,64.0,72.0,64.0,71.85,10800.0,0.011971830985915366,1.0
1996-05-27,68.25,69.95,68.05,68.2,2100.0,-0.05080027835768952,1.0
1996-05-28,68.2,70.0,68.0,68.6,12800.0,0.00586510263929596,1.0
1996-05-29,71.0,71.0,69.3,69.3,300.0,0.010204081632653184,1.0
1996-05-30,70.55,70.55,70.55,70.55,100.0,0.018037518037518074,1.0
1996-05-31,70.5,70.5,70.25,70.5,1000.0,-0.0007087172218284143,1.0
1996-06-03,70.5,75.0,72.0,73.3,3400.0,0.039716312056737646,1.0
1996-06-04,73.3,74.0,72.0,72.3,1500.0,-0.013642564802182844,1.0
1996-06-05,74.0,74.0,71.0,72.0,1400.0,-0.004149377593360981,1.0
1996-06-06,72.5,73.95,72.0,73.95,1200.0,0.027083333333333348,1.0
1996-06-07,72.2,72.5,72.05,72.5,1100.0,-0.019607843137254943,1.0
1996-06-10,73.5,74.0,73.5,73.95,1600.0,0.020000000000000018,1.0
1996-06-11,76.0,79.0,74.5,77.65,22400.0,0.0500338066260988,1.0
1996-06-12,84.0,85.6,83.0,85.5,10000.0,0.10109465550547325,1.0
1996-06-13,94.0,94.0,85.0,86.05,21500.0,0.006432748538011568,1.0
1996-06-14,88.75,90.0,86.25,89.5,14200.0,0.040092969203951334,1.0
1996-06-17,91.0,91.75,87.0,87.25,11000.0,-0.025139664804469275,1.0
1996-06-18,86.5,90.0,86.15,89.85,13500.0,0.029799426934097317,1.0
1996-06-19,91.0,95.5,89.7,95.4,9000.0,0.06176961602671138,1.0
1996-06-20,95.0,97.0,93.05,95.05,10300.0,-0.0036687631027254586,1.0
1996-06-21,95.0,96.75,93.0,94.15,5800.0,-0.009468700683850528,1.0
1996-06-24,93.1,93.1,91.95,92.95,5800.0,-0.012745618693574157,1.0
1996-06-25,92.95,92.95,86.0,86.25,11200.0,-0.07208176438945668,1.0
1996-06-26,85.5,87.5,85.5,87.5,3400.0,0.01449275362318847,1.0
1996-06-27,87.25,89.75,87.0,87.9,3500.0,0.004571428571428671,1.0
