Date,Open,High,Low,Close,Volume,Returns,Anomaly
2005-04-27,,,,,,,
2005-04-28,85.7,92.65,85.25,88.55,3726462.0,0.04422169811320753,1.0
2005-04-29,85.30000000000001,90.025,84.125,86.19999999999999,2988411.5,0.021812875278296173,1.0
2005-05-02,84.9,87.4,83.0,83.85,2250361.0,-0.000595947556615184,1.0
2005-05-03,84.5,87.2,83.6,84.05,908180.0,0.0023852116875373586,1.0
2005-05-04,84.8,90.0,84.7,88.55,2448673.0,0.053539559785841684,1.0
2005-05-05,89.3,90.25,85.0,85.6,1605470.0,-0.03331451157538112,1.0
2005-05-06,86.15,90.4,85.1,89.4,2379680.0,0.04439252336448618,1.0
2005-05-09,90.0,91.4,89.15,89.8,1593021.0,0.004474272930648615,1.0
2005-05-10,90.3,90.3,86.3,87.15,666133.0,-0.029510022271714842,1.0
2005-05-11,87.5,88.45,86.1,87.0,567872.0,-0.001721170395869276,1.0
2005-05-12,87.4,92.9,86.85,91.85,2186080.0,0.05574712643678148,1.0
2005-05-13,93.9,98.275,92.475,95.375,2831319.5,0.02237356321839079,1.0
2005-05-16,100.4,103.65,98.1,98.9,3476559.0,-0.010999999999999899,1.0
2005-05-17,99.0,100.6,91.15,93.05,3279001.0,-0.05915065722952484,1.0
2005-05-18,93.1,96.25,92.0,93.9,1939952.0,0.009134873723804393,1.0
2005-05-19,95.1,97.7,94.35,95.2,1257633.0,0.013844515441959526,1.0
2005-05-20,97.69999999999999,101.55000000000001,97.3,98.125,2474200.0,0.012678013476735472,1.0
2005-05-23,100.3,105.4,100.25,101.05,3690767.0,0.011511511511511419,1.0
2005-05-24,102.0,104.15,100.3,100.7,2529629.0,-0.003463631865413097,1.0
2005-05-25,101.5,102.45,98.2,99.0,1206490.0,-0.01688182720953324,1.0
2005-05-26,99.6,101.4,98.1,98.55,1297932.0,-0.004545454545454519,1.0
2005-05-27,98.8,99.45,95.0,95.65,839546.0,-0.029426686960933424,1.0
2005-05-30,96.2,97.35,94.1,95.45,930017.0,-0.002090956612650352,1.0
2005-05-31,95.7,95.7,94.0,94.55,478365.0,-0.0094290204295443,1.0
