Date,Open,High,Low,Close,Volume,Returns,Anomaly
2009-10-26,,,,,,,
2009-10-27,,,,,,,
2009-10-28,,,,,,,
2009-10-29,,,,,,,
2009-10-30,,,,,,,
2009-11-03,,,,,,,
2009-11-04,,,,,,,
2009-11-05,,,,,,,
2009-11-06,,,,,,,
2009-11-09,,,,,,,
2009-11-10,,,,,,,
2009-11-11,,,,,,,
2009-11-12,,,,,,,
2009-11-13,249.7,256.0,245.6,253.95,2192213.0,0.015800000000000036,1.0
2009-11-16,255.0,262.0,253.0,259.75,1307857.0,0.022839141563299803,1.0
2009-11-17,264.8,265.3,258.05,260.05,779818.0,0.0011549566891242424,1.0
2009-11-18,260.5,260.8,247.4,254.45,1478793.0,-0.021534320323014944,1.0
2009-11-19,255.25,265.1,254.15,263.0,1507732.0,0.033601886421693816,1.0
2009-11-20,269.125,280.95000000000005,268.325,278.375,2080419.0,0.04088658103421894,1.0
2009-11-23,283.0,296.8,282.5,293.75,2653106.0,0.04817127564674406,1.0
2009-11-24,297.4,305.25,291.75,297.95,2233779.0,0.014297872340425455,1.0
2009-11-25,308.7,308.7,293.5,295.8,968282.0,-0.007215975834871546,1.0
2009-11-26,295.0,304.3,291.0,302.95,1336931.0,0.02417173766058145,1.0
2009-11-27,297.3,306.1333333333333,290.1,299.0,1965648.3333333335,0.0036585834844793767,1.0
2009-11-30,299.59999999999997,307.9666666666667,289.2,295.05,2594365.666666667,-0.016854570691622696,1.0
2009-12-01,301.9,309.8,288.3,291.1,3223083.0,-0.03736772486772477,1.0
2009-12-02,302.45,309.65,294.175,297.125,2575657.5,-0.013938607688607718,1.0
2009-12-03,303.0,309.5,300.05,303.15,1928232.0,0.009490509490509336,1.0
2009-12-04,305.0,310.8,301.25,302.9,1530405.0,-0.0008246742536698326,1.0
2009-12-07,290.0,296.65000000000003,284.5333333333333,289.7,1764696.6666666667,0.0036809863949893717,1.0
2009-12-08,275.0,282.5,267.81666666666666,276.5,1998988.3333333333,0.008186647043648576,1.0
2009-12-09,260.0,268.35,251.1,263.3,2233280.0,0.01269230769230778,1.0
2009-12-10,262.2,267.45,258.6,266.0,1548242.0,0.010254462590201241,1.0
2009-12-11,268.5,272.7,258.1,261.35,780688.0,-0.017481203007518764,1.0
2009-12-14,274.6666666666667,280.3333333333333,267.08333333333337,271.40000000000003,1188768.0,-0.004350600427448947,1.0
2009-12-15,280.8333333333333,287.9666666666667,276.06666666666666,281.45,1596848.0,0.00878000215262087,1.0
2009-12-16,287.0,295.6,285.05,291.5,2004928.0,0.021910604732690686,1.0
2009-12-17,293.0,298.8,291.3,294.1,1278298.0,0.008919382504288142,1.0
2009-12-18,294.25,298.7,290.1,292.05,625908.0,-0.006970418225093589,1.0
2009-12-21,294.9,295.5,286.5,293.1,744260.0,0.0035952747817153963,1.0
2009-12-22,294.9,303.7,293.1,298.55,1134913.0,0.01859433640395758,1.0
2009-12-23,302.0,314.4,298.0,305.9,2201063.0,0.02461899179366922,1.0
2009-12-24,309.7,325.0,304.15,307.05,1014318.0,0.00375939849624074,1.0
2009-12-29,308.8,315.9,303.0,304.5,1169202.0,-0.00830483634587209,1.0
2009-12-30,309.2,332.6,304.25,329.2,3102096.0,0.08111658456486048,1.0
2009-12-31,333.7,338.9,321.05,324.35,1891802.0,-0.014732685297691228,1.0
2010-01-04,344.17499999999995,353.95,335.70000000000005,338.85,2392726.5,-0.0011342509583012195,1.0
2010-01-05,354.65,369.0,350.35,353.35,2893651.0,0.01246418338108879,1.0
2010-01-06,355.6,360.5,346.0,349.45,1299634.0,-0.011037215225697006,1.0
2010-01-07,352.7,354.85,345.1,348.5,615820.0,-0.002718557733581317,1.0
2010-01-08,352.0,363.7,346.1,361.8,1640321.0,0.038163558106169226,1.0
2010-01-11,374.26666666666665,384.73333333333335,366.0,377.78333333333336,2098750.0,0.016419458619515104,1.0
2010-01-12,396.53333333333336,405.76666666666665,385.90000000000003,393.76666666666665,2557179.0,-0.005324640867139019,1.0
2010-01-13,418.8,426.8,405.8,409.75,3015608.0,-0.02706874035379314,1.0
2010-01-14,411.0,424.0,406.0,421.7,1928484.0,0.02916412446613781,1.0
2010-01-15,422.5,446.8,421.2,439.95,3062371.0,0.04327721128764517,1.0
