Date,Open,High,Low,Close,Volume,Returns,Anomaly
1997-08-07,85.15,85.15,85.15,85.15,100.0,,1.0
1997-08-08,91.0,91.0,89.0,89.25,700.0,0.048150322959483294,1.0
1997-08-11,93.0,94.0,87.0,91.5,1200.0,0.025210084033613356,1.0
1997-08-12,95.5,96.5,93.45,95.0,1900.0,0.03825136612021862,1.0
1997-08-13,95.0,96.0,91.0,93.2,3100.0,-0.0189473684210526,1.0
1997-08-14,94.0,94.0,89.0,90.75,3100.0,-0.026287553648068673,1.0
1997-08-18,91.95,91.95,88.0,88.0,2000.0,-0.030303030303030276,1.0
1997-08-19,86.5,91.0,86.5,90.2,6300.0,0.025000000000000133,1.0
1997-08-20,96.5,99.25,96.5,99.25,6800.0,0.10033259423503327,1.0
1997-08-21,101.0,101.0,92.55,95.25,6900.0,-0.04030226700251893,1.0
1997-08-22,93.0,94.0,90.5,91.5,7400.0,-0.03937007874015752,1.0
1997-08-25,88.5,91.75,87.0,91.7,5800.0,0.002185792349726823,1.0
1997-08-26,92.0,92.0,90.75,91.0,2700.0,-0.007633587786259555,1.0
1997-08-27,90.5,91.05,90.5,91.0,1200.0,0.0,1.0
1997-08-28,90.0,90.5,89.0,89.0,2300.0,-0.02197802197802201,1.0
1997-08-29,86.5,89.7,86.0,86.5,6000.0,-0.028089887640449396,1.0
1997-09-01,85.9,86.0,83.5,85.5,5100.0,-0.011560693641618491,1.0
1997-09-02,86.5,86.95,85.25,85.25,5000.0,-0.0029239766081871066,1.0
1997-09-03,85.0,87.95,85.0,86.15,2100.0,0.010557184750733306,1.0
1997-09-04,86.9,86.9,85.0,86.75,2300.0,0.006964596633778131,1.0
1997-09-05,88.0,91.95,88.0,91.0,3400.0,0.04899135446685876,1.0
1997-09-08,88.0,91.0,87.05,90.25,1700.0,-0.008241758241758212,1.0
1997-09-09,90.0,91.3,88.7,91.0,2000.0,0.008310249307479145,1.0
1997-09-10,90.25,90.5,88.05,90.5,1300.0,-0.005494505494505475,1.0
1997-09-11,88.5,89.1,86.0,88.1,2800.0,-0.026519337016574607,1.0
1997-09-12,86.25,88.5,86.25,87.5,1400.0,-0.006810442678774065,1.0
1997-09-15,87.0,87.7,85.5,86.0,3100.0,-0.017142857142857126,1.0
1997-09-16,87.5,87.85,86.1,86.85,1000.0,0.009883720930232487,1.0
