Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,232.0,232.0,230.0,230.0,1200.0,,1.0
1996-01-02,230.0,229.0,226.0,229.0,1000.0,-0.004347826086956497,1.0
1996-01-03,229.0,226.0,220.0,222.0,900.0,-0.03056768558951961,1.0
1996-01-04,222.0,224.0,222.0,223.9,550.0,0.008558558558558582,1.0
1996-01-05,223.9,224.0,221.05,222.5,600.0,-0.00625279142474322,1.0
1996-01-08,222.5,221.0,218.75,220.0,1900.0,-0.011235955056179803,1.0
1996-01-09,214.95,217.5,214.5,216.0,800.0,-0.018181818181818188,1.0
1996-01-10,220.0,220.0,215.0,218.5,650.0,0.011574074074074181,1.0
1996-01-11,218.5,225.0,218.0,225.0,300.0,0.029748283752860427,1.0
1996-01-12,225.0,222.5,220.0,222.2,1350.0,-0.01244444444444448,1.0
1996-01-15,222.0,224.75,219.5,221.5,3000.0,-0.0031503150315030926,1.0
1996-01-16,221.0,226.0,221.0,224.15,2050.0,0.011963882618510224,1.0
1996-01-17,222.5,224.0,222.0,222.0,700.0,-0.00959179121124254,1.0
1996-01-18,213.0,225.0,213.0,224.8,24200.0,0.012612612612612706,1.0
1996-01-19,224.8,222.0,216.5,221.0,4550.0,-0.01690391459074736,1.0
1996-01-22,221.0,223.0,220.0,222.0,1850.0,0.004524886877828038,1.0
1996-01-23,222.0,222.5,218.0,220.5,1550.0,-0.006756756756756799,1.0
1996-01-24,220.5,221.0,215.1,220.25,1300.0,-0.0011337868480725266,1.0
1996-01-25,220.25,218.0,216.05,218.0,1050.0,-0.010215664018161208,1.0
1996-01-29,202.65,217.0,202.65,217.0,600.0,-0.004587155963302725,1.0
1996-01-30,217.0,220.05,217.0,219.85,650.0,0.013133640552995374,1.0
1996-01-31,219.85,222.0,217.0,219.05,1050.0,-0.003638844666818186,1.0
1996-02-01,220.0,224.0,220.0,220.0,1200.0,0.004336909381419618,1.0
1996-02-02,232.0,236.0,228.5,234.0,3350.0,0.06363636363636371,1.0
1996-02-05,234.0,255.0,244.0,245.0,1600.0,0.047008547008547064,1.0
1996-02-06,245.0,255.0,240.0,243.1,1300.0,-0.0077551020408163085,1.0
1996-02-07,243.1,236.0,229.0,235.0,600.0,-0.033319621554915635,1.0
1996-02-08,235.0,242.0,235.0,241.6,2650.0,0.028085106382978786,1.0
1996-02-09,241.6,260.0,242.0,259.75,1500.0,0.07512417218543055,1.0
1996-02-12,259.75,275.0,262.6,265.05,3050.0,0.02040423484119347,1.0
1996-02-13,265.05,267.5,250.0,260.6,2950.0,-0.01678928504055832,1.0
1996-02-14,260.6,285.0,274.0,281.0,5100.0,0.07828089025326168,1.0
1996-02-15,279.0,281.0,275.05,277.85,3550.0,-0.011209964412811302,1.0
1996-02-16,277.85,275.0,263.5,264.25,2500.0,-0.04894727370883578,1.0
1996-02-19,264.25,270.0,265.05,268.5,550.0,0.016083254493850507,1.0
1996-02-20,268.5,275.0,260.0,262.7,3350.0,-0.021601489757914427,1.0
1996-02-22,262.7,275.0,265.0,275.0,1050.0,0.046821469356680634,1.0
1996-02-23,275.0,274.95,267.25,271.0,750.0,-0.014545454545454528,1.0
1996-02-26,271.0,274.0,268.1,269.0,1100.0,-0.0073800738007380184,1.0
1996-02-27,269.0,270.0,265.0,269.1,1350.0,0.0003717472118960341,1.0
1996-02-28,269.1,270.0,267.5,270.0,1550.0,0.0033444816053511683,1.0
1996-02-29,270.0,264.0,255.25,256.65,950.0,-0.04944444444444451,1.0
1996-03-01,256.65,258.0,247.0,249.0,1650.0,-0.02980713033313842,1.0
1996-03-04,249.0,252.0,247.95,249.65,2750.0,0.002610441767068261,1.0
1996-03-06,249.65,256.7,249.0,255.85,1700.0,0.024834768676146535,1.0
1996-03-07,255.85,259.0,256.15,256.15,850.0,0.001172562048074921,1.0
1996-03-08,256.15,256.95,250.75,255.95,850.0,-0.0007807925043918917,1.0
1996-03-11,255.95,255.0,253.0,254.2,2800.0,-0.0068372729048642444,1.0
1996-03-12,254.2,257.95,253.0,257.6,5450.0,0.013375295043273061,1.0
1996-03-13,254.25,257.75,253.25,255.0,700.0,-0.010093167701863415,1.0
1996-03-14,256.0,257.05,254.0,254.9,700.0,-0.00039215686274507444,1.0
1996-03-15,254.05,257.0,254.05,255.05,1000.0,0.0005884660651236384,1.0
1996-03-18,255.25,258.0,255.25,257.0,2650.0,0.007645559694177573,1.0
1996-03-19,255.0,260.0,255.0,257.0,2450.0,0.0,1.0
1996-03-21,255.0,270.0,255.0,265.3,1000.0,0.032295719844358084,1.0
1996-03-22,265.3,259.95,252.0,255.1,1250.0,-0.03844704108556363,1.0
1996-03-25,255.1,258.0,254.0,257.0,600.0,0.007448059584476807,1.0
1996-03-26,257.0,252.5,250.0,251.25,650.0,-0.02237354085603116,1.0
1996-03-27,251.25,255.0,252.0,253.0,4750.0,0.006965174129353269,1.0
1996-03-28,253.0,258.0,255.0,256.25,1500.0,0.012845849802371578,1.0
1996-03-29,256.25,258.0,256.0,258.0,650.0,0.006829268292682933,1.0
1996-04-01,258.0,260.0,258.0,259.95,1000.0,0.007558139534883601,1.0
1996-04-02,259.95,260.0,256.5,256.5,850.0,-0.013271783035199047,1.0
1996-04-03,256.5,265.0,260.0,260.0,1000.0,0.013645224171539905,1.0
1996-04-04,260.0,253.5,250.0,253.0,2400.0,-0.02692307692307694,1.0
1996-04-08,253.0,256.0,250.0,251.2,1300.0,-0.007114624505928924,1.0
1996-04-09,251.2,258.0,248.0,248.4,15050.0,-0.011146496815286566,1.0
1996-04-10,248.4,252.0,248.0,249.65,2750.0,0.005032206119162552,1.0
1996-04-11,249.65,250.0,246.0,248.0,1250.0,-0.006609252954135836,1.0
1996-04-12,245.5,248.0,245.25,247.0,600.0,-0.0040322580645161255,1.0
1996-04-15,247.0,252.0,248.0,248.0,1300.0,0.004048582995951344,1.0
1996-04-16,248.0,247.0,240.25,247.0,1700.0,-0.0040322580645161255,1.0
1996-04-17,255.0,256.25,248.55,253.5,2250.0,0.026315789473684292,1.0
1996-04-18,253.5,266.0,254.0,262.7,4250.0,0.036291913214990146,1.0
1996-04-19,262.7,274.0,263.0,269.0,2700.0,0.023981728207080444,1.0
1996-04-22,269.0,270.0,260.0,264.75,3350.0,-0.01579925650557623,1.0
1996-04-23,264.75,263.5,258.1,261.5,2850.0,-0.01227573182247399,1.0
1996-04-24,261.5,279.95,262.0,263.7,5650.0,0.008413001912045859,1.0
1996-04-25,265.0,269.0,260.0,260.6,3500.0,-0.011755783086840998,1.0
1996-04-26,260.6,267.5,259.0,267.5,2950.0,0.02647735993860323,1.0
1996-04-29,267.5,271.0,265.1,269.8,4150.0,0.008598130841121598,1.0
1996-04-30,269.8,269.0,265.5,267.6,2200.0,-0.008154188287620379,1.0
1996-05-01,267.6,274.95,270.0,271.9,650.0,0.016068759342301675,1.0
1996-05-02,271.9,272.5,269.0,269.3,3000.0,-0.009562339095255501,1.0
1996-05-03,269.3,269.0,265.0,265.0,900.0,-0.01596732268845158,1.0
1996-05-06,265.0,265.0,258.0,260.0,1050.0,-0.018867924528301883,1.0
1996-05-07,260.0,269.0,260.1,260.75,3300.0,0.0028846153846153744,1.0
1996-05-08,260.75,267.2,261.5,266.5,2600.0,0.02205177372962619,1.0
1996-05-09,266.5,266.0,261.1,261.2,550.0,-0.0198874296435273,1.0
1996-05-10,261.2,259.5,255.0,258.0,950.0,-0.01225114854517606,1.0
1996-05-13,258.0,258.0,255.0,257.0,750.0,-0.003875968992248069,1.0
1996-05-14,257.0,256.5,252.5,255.2,1150.0,-0.007003891050583744,1.0
1996-05-15,255.2,261.0,258.25,258.6,900.0,0.013322884012539227,1.0
1996-05-16,258.6,267.5,261.0,265.0,1250.0,0.024748646558391263,1.0
1996-05-17,263.0,263.0,260.0,260.0,2000.0,-0.018867924528301883,1.0
1996-05-20,260.0,258.0,242.0,242.0,950.0,-0.0692307692307692,1.0
1996-05-21,242.0,256.0,246.55,246.65,1650.0,0.019214876033057937,1.0
1996-05-22,248.5,252.0,248.5,249.15,800.0,0.01013581998783697,1.0
1996-05-23,246.0,249.0,242.0,242.0,1100.0,-0.028697571743929395,1.0
1996-05-24,243.5,243.5,243.0,243.05,950.0,0.004338842975206703,1.0
1996-05-27,243.0,243.0,232.0,234.0,750.0,-0.037235136803126956,1.0
1996-05-28,234.0,230.0,222.5,227.0,1300.0,-0.02991452991452992,1.0
1996-05-29,227.0,239.5,232.5,239.0,1650.0,0.052863436123347984,1.0
1996-05-30,239.0,242.85,238.25,239.65,750.0,0.0027196652719665426,1.0
1996-05-31,239.65,240.05,238.0,238.7,850.0,-0.003964114333402935,1.0
