Date,Open,High,Low,Close,Volume,Returns,Anomaly
2011-01-14,59.2,59.2,59.2,59.2,16323.0,,1.0
2011-01-17,53.3,53.3,53.3,53.3,4844.0,-0.09966216216216228,1.0
2011-01-18,49.45,50.4,49.45,49.474999999999994,158545.5,-0.0743102477477478,1.0
2011-01-19,45.6,47.5,45.6,45.65,312247.0,-0.048958333333333326,1.0
2011-01-20,43.4,47.95,43.4,47.9,151932.0,0.049288061336254074,1.0
2011-01-21,47.5,48.65,45.6,46.55,58134.0,-0.028183716075156573,1.0
2011-01-24,45.5,48.9,45.5,48.9,64652.0,0.050483351235230955,1.0
2011-01-25,51.35,51.35,50.9,51.35,11328.0,0.05010224948875264,1.0
2011-01-27,53.95,53.95,53.95,53.95,12350.0,0.05063291139240511,1.0
2011-01-28,56.65,56.65,53.0,56.65,395110.0,0.05004633920296553,1.0
2011-01-31,57.15,59.5,56.1,59.5,55720.0,0.05030891438658425,1.0
2011-02-01,62.5,62.5,62.5,62.5,19559.0,0.050420168067226934,1.0
2011-02-02,65.65,65.65,61.0,65.65,160874.0,0.0504,1.0
2011-02-03,68.95,68.95,62.4,62.4,123212.0,-0.04950495049504966,1.0
2011-02-04,59.3,62.95,59.3,59.3,127766.0,-0.049679487179487225,1.0
2011-02-07,57.2,59.0,56.35,56.45,40471.0,-0.048060708263069074,1.0
2011-02-08,56.5,56.5,53.65,53.65,21559.0,-0.049601417183348206,1.0
2011-02-09,51.6,52.5,51.0,51.0,35336.0,-0.04939422180801489,1.0
2011-02-10,48.5,50.8,48.45,48.45,14870.0,-0.04999999999999993,1.0
2011-02-11,46.05,50.9,46.05,50.25,38775.0,0.037151702786377694,1.0
2011-02-14,52.0,52.8,49.5,50.35,50853.0,0.0019900497512437276,1.0
2011-02-15,51.0,52.9,48.3,52.25,84710.0,0.037735849056603765,1.0
2011-02-16,53.9,53.9,50.2,51.85,113530.0,-0.007655502392344471,1.0
2011-02-17,51.8,53.0,50.1,50.85,32640.0,-0.01928640308582452,1.0
2011-02-18,50.85,51.8,49.15,49.85,12488.0,-0.019665683382497523,1.0
2011-02-21,49.2,50.9,48.6,48.75,3237.0,-0.0220661985957874,1.0
2011-02-22,47.55,51.2,47.05,48.5,5301.0,-0.00512820512820511,1.0
2011-02-23,47.55,49.7,47.05,49.0,6213.0,0.010309278350515427,1.0
2011-02-24,48.05,49.5,47.8,48.05,26448.0,-0.019387755102040827,1.0
2011-02-25,46.6,49.7,46.6,47.6,4277.0,-0.009365244536940653,1.0
2011-02-28,47.25,48.8,45.3,46.25,27717.0,-0.028361344537815136,1.0
2011-03-01,46.0,47.25,44.25,45.35,14508.0,-0.019459459459459483,1.0
2011-03-03,45.25,47.3,43.25,46.95,374161.0,0.03528114663726578,1.0
2011-03-04,47.8,49.3,46.2,47.9,148211.0,0.020234291799786863,1.0
2011-03-07,46.0,48.85,45.5,45.7,17056.0,-0.045929018789144016,1.0
2011-03-08,44.1,46.5,44.05,45.75,2294.0,0.001094091903719896,1.0
2011-03-09,45.3,46.4,43.15,44.2,78653.0,-0.033879781420764976,1.0
2011-03-10,44.15,46.5,44.05,46.3,8979.0,0.0475113122171944,1.0
2011-03-11,44.75,47.0,44.75,45.6,9640.0,-0.015118790496760126,1.0
2011-03-14,45.0,47.95,44.5,44.5,5684.0,-0.02412280701754388,1.0
2011-03-15,43.55,44.5,42.5,44.25,24410.0,-0.005617977528089901,1.0
2011-03-16,44.5,45.9,44.5,45.45,5530.0,0.027118644067796627,1.0
2011-03-17,45.5,46.0,45.0,45.0,4051.0,-0.00990099009900991,1.0
2011-03-18,45.35,45.8,44.05,44.95,7256.0,-0.0011111111111110628,1.0
2011-03-21,45.85,46.7,45.0,45.6,98486.0,0.014460511679643906,1.0
2011-03-22,46.45,48.0,45.5,45.9,12262.0,0.006578947368421018,1.0
2011-03-23,46.5,50.5,46.5,47.5,52834.0,0.034858387799564294,1.0
2011-03-24,47.7,48.45,46.0,46.25,10992.0,-0.02631578947368418,1.0
2011-03-25,46.1,46.25,44.0,44.85,13762.0,-0.030270270270270294,1.0
2011-03-28,45.0,49.35,44.05,45.8,151492.0,0.021181716833890585,1.0
2011-03-29,46.0,47.0,45.3,46.25,53781.0,0.009825327510917026,1.0
2011-03-30,45.25,50.7,45.25,47.35,29756.0,0.023783783783783763,1.0
2011-03-31,46.15,48.4,46.15,46.65,10259.0,-0.014783526927138357,1.0
2011-04-01,47.9,47.9,46.35,47.5,10768.0,0.018220793140407254,1.0
2011-04-04,48.1,52.25,47.55,52.25,89975.0,0.10000000000000009,1.0
2011-04-05,53.2,57.5,52.4,54.1,191419.0,0.03540669856459333,1.0
2011-04-06,59.55,59.55,51.15,53.35,163055.0,-0.013863216266173706,1.0
2011-04-07,54.25,58.7,53.2,58.25,142177.0,0.09184629803186506,1.0
2011-04-08,59.85,59.85,56.1,56.6,43902.0,-0.028326180257510658,1.0
2011-04-11,56.0,57.3,54.5,55.25,22732.0,-0.023851590106007126,1.0
2011-04-13,53.8,55.95,50.05,55.6,15037.0,0.0063348416289592535,1.0
2011-04-15,55.1,55.8,53.25,54.65,25171.0,-0.017086330935251803,1.0
2011-04-18,56.95,56.95,54.0,54.35,7373.0,-0.0054894784995425105,1.0
2011-06-17,50.7,51.95,50.65,50.75,4336.0,-0.06623735050597979,1.0
2011-06-20,50.2,51.4,48.25,48.3,14987.0,-0.048275862068965614,1.0
2011-06-21,48.25,50.75,47.5,49.15,5829.0,0.017598343685300222,1.0
2011-06-22,49.45,49.5,46.7,47.1,3653.0,-0.04170905391658186,1.0
2011-06-23,46.1,48.3,45.0,47.4,4953.0,0.006369426751592355,1.0
2011-06-24,48.85,49.05,47.0,48.45,15881.0,0.022151898734177333,1.0
2011-06-27,49.55,49.55,47.1,48.0,15989.0,-0.009287925696594534,1.0
2011-06-28,46.1,48.75,46.1,47.75,6350.0,-0.00520833333333337,1.0
2011-06-29,46.4,48.4,46.2,46.7,58453.0,-0.021989528795811508,1.0
2011-06-30,48.25,48.25,46.6,47.45,8940.0,0.016059957173447437,1.0
2011-07-01,47.25,49.85,45.3,49.85,82212.0,0.050579557428872546,1.0
2011-07-04,51.4,52.35,50.1,51.55,111667.0,0.034102306920762215,1.0
2011-07-05,51.2,51.2,49.55,50.05,6587.0,-0.029097963142580063,1.0
2011-07-06,49.5,51.4,49.5,49.8,3879.0,-0.004995004995005048,1.0
2011-07-07,50.9,51.5,48.6,49.7,7232.0,-0.00200803212851397,1.0
2011-07-08,49.6,50.3,48.35,48.75,5447.0,-0.019114688128772706,1.0
2011-07-11,50.5,50.5,46.0,46.3,13085.0,-0.050256410256410367,1.0
2011-07-12,46.3,47.75,45.75,47.0,7421.0,0.015118790496760237,1.0
2011-07-13,46.1,48.7,45.5,48.45,6384.0,0.030851063829787195,1.0
2011-07-14,46.15,48.7,46.15,47.7,2584.0,-0.015479876160990669,1.0
2011-07-15,46.8,48.9,46.8,48.0,7976.0,0.0062893081761006275,1.0
2011-07-18,49.0,49.0,46.1,47.7,6192.0,-0.006249999999999978,1.0
