Date,Open,High,Low,Close,Volume,Returns,Anomaly
2007-01-31,167.0,168.75,149.5,149.95,3738.0,,1.0
2007-02-01,148.05,154.0,141.0,153.95,1041.0,0.026675558519506426,1.0
2007-02-02,152.0,152.0,146.1,146.1,242.0,-0.05099058135758361,1.0
2007-02-05,156.9,168.8,155.0,155.85,590.0,0.06673511293634493,1.0
2007-02-06,168.0,168.0,156.1,156.1,45.0,0.0016041065126723986,1.0
2007-02-07,148.0,166.0,148.0,151.55,2300.0,-0.02914798206278013,1.0
2007-02-08,159.25,159.25,156.0,156.1,325.0,0.03002309468822162,1.0
2007-02-09,142.35,160.0,142.35,150.05,515.0,-0.03875720691864182,1.0
2007-02-12,143.6,143.6,143.6,143.6,25.0,-0.04298567144285248,1.0
2007-02-19,143.05,149.0,143.05,149.0,202.0,0.03760445682451263,1.0
2007-02-20,144.0,155.0,144.0,148.0,13000.0,-0.006711409395973145,1.0
2007-02-22,144.0,154.0,144.0,149.3,8000.0,0.00878378378378386,1.0
2007-02-23,143.0,155.5,142.8,146.0,26125.0,-0.022103148024112618,1.0
2007-02-26,141.3,141.3,141.0,141.0,200.0,-0.03424657534246578,1.0
2007-02-27,140.2,154.45,140.2,140.75,70.0,-0.0017730496453900457,1.0
2007-02-28,138.0,149.0,138.0,143.0,2200.0,0.015985790408525657,1.0
2007-03-01,139.9,148.1,139.9,140.85,4125.0,-0.015034965034965042,1.0
2007-03-02,142.0,142.0,135.2,139.25,75.0,-0.011359602413915426,1.0
2007-03-05,125.0,150.0,125.0,139.2,14430.0,-0.000359066427289112,1.0
2007-03-07,136.0,138.5,134.0,138.5,260.0,-0.005028735632183867,1.0
2007-03-08,141.0,141.0,135.0,138.0,2225.0,-0.0036101083032491488,1.0
2007-03-09,138.0,140.0,138.0,140.0,55.0,0.01449275362318847,1.0
2007-03-13,134.05,147.5,134.05,146.0,1065.0,0.04285714285714293,1.0
2007-03-14,146.0,146.0,138.0,138.0,12.0,-0.0547945205479452,1.0
2007-03-15,142.0,144.3,142.0,143.95,121.0,0.0431159420289855,1.0
2007-03-16,140.0,140.0,135.0,135.0,128.0,-0.06217436609934002,1.0
2007-03-19,130.0,154.0,130.0,134.15,2860.0,-0.006296296296296244,1.0
2007-03-20,137.8,137.8,134.0,136.0,1001.0,0.013790532985463955,1.0
2007-03-22,141.9,141.9,134.2,134.2,800.0,-0.013235294117647123,1.0
2007-03-23,139.9,139.9,133.1,133.1,2000.0,-0.008196721311475419,1.0
2007-03-26,133.0,140.0,132.0,132.0,1471.0,-0.008264462809917328,1.0
