Date,Open,High,Low,Close,Volume,Returns,Anomaly
2006-10-04,,,,,,,
2006-10-05,,,,,,,
2006-10-06,96.5,96.5,91.25,92.0,1153463.0,-0.04514789828749344,1.0
2006-10-09,96.31666666666666,96.93333333333334,91.53333333333333,92.28333333333333,1170647.0,-0.0386680287289131,1.0
2006-10-10,96.13333333333334,97.36666666666666,91.81666666666666,92.56666666666666,1187831.0,-0.03218815917033276,1.0
2006-10-11,95.95,97.8,92.1,92.85,1205015.0,-0.025708289611752422,1.0
2006-10-12,93.35,94.6,92.3,93.95,701580.0,0.011847065158858472,1.0
2006-10-13,96.08,97.08,94.0,95.5,708698.6,0.0021825313312554325,1.0
2006-10-16,98.81,99.56,95.7,97.05,715817.2,-0.007482002496347607,1.0
2006-10-17,101.53999999999999,102.03999999999999,97.39999999999999,98.60000000000001,722935.8,-0.017146536323950648,1.0
2006-10-18,104.27,104.52,99.1,100.15,730054.4,-0.026811070151553686,1.0
2006-10-19,107.0,107.0,100.8,101.7,737173.0,-0.03647560397915672,1.0
2006-10-20,102.8,105.75,101.65,102.35,773881.0,0.006391347099311551,1.0
2006-10-21,102.9,103.2,101.1,102.0,179371.0,-0.0034196384953589787,1.0
2006-10-23,102.5,104.9,101.6,102.45,684671.0,0.004411764705882337,1.0
2006-10-26,103.0,103.75,99.5,99.8,503848.0,-0.025866276232308527,1.0
2006-10-27,100.8,102.9,98.1,98.4,468004.0,-0.014028056112224352,1.0
2006-10-30,98.8,99.35,92.7,93.1,557665.0,-0.053861788617886264,1.0
2006-10-31,94.0,94.2,87.25,87.95,519501.0,-0.05531686358754018,1.0
2006-11-01,88.4,93.8,88.2,92.5,736489.0,0.05173393973848772,1.0
2006-11-02,92.7,93.7,90.5,90.95,417095.0,-0.016756756756756697,1.0
2006-11-03,91.4,92.3,89.0,90.25,537699.0,-0.007696536558548739,1.0
2006-11-06,92.9,92.9,89.85,90.7,378503.0,0.00498614958448762,1.0
2006-11-07,91.25,91.6,88.05,88.3,237072.0,-0.026460859977949336,1.0
2006-11-08,88.5,91.45,86.15,87.3,300471.0,-0.011325028312570762,1.0
2006-11-09,87.5,88.85,87.0,87.65,133662.0,0.004009163802978444,1.0
2006-11-10,88.5,89.45,87.05,87.55,217669.0,-0.0011409013120365907,1.0
2006-11-13,85.45,88.55,85.45,86.7,145020.0,-0.009708737864077555,1.0
2006-11-14,87.45,87.8,84.05,84.8,154293.0,-0.021914648212226107,1.0
2006-11-15,89.725,91.8,87.07499999999999,87.8,617828.5,-0.012877236338696751,1.0
2006-11-16,92.0,95.8,90.1,90.8,1081364.0,-0.0038398244651673963,1.0
2006-11-17,91.65,91.7,86.0,87.05,318319.0,-0.041299559471365654,1.0
2006-11-20,86.5,86.65,82.0,83.95,281050.0,-0.03561171740379088,1.0
2006-11-21,85.35,88.2,84.25,85.7,268992.0,0.02084574151280516,1.0
2006-11-22,86.35,87.7,84.5,84.95,165475.0,-0.00875145857642945,1.0
2006-11-23,85.0,93.6,83.55,90.6,1121611.0,0.06650971159505592,1.0
2006-11-24,91.4,94.0,90.0,91.4,648339.0,0.008830022075055233,1.0
2006-11-27,92.0,92.8,87.9,88.3,223049.0,-0.03391684901531733,1.0
2006-11-28,87.4,90.4,84.5,87.3,289204.0,-0.011325028312570762,1.0
2006-11-29,88.9,92.0,87.1,88.05,279762.0,0.00859106529209619,1.0
2006-11-30,89.0,89.1,85.1,85.6,164036.0,-0.027825099375354934,1.0
2006-12-01,86.5,89.8,85.1,86.4,273741.0,0.009345794392523477,1.0
2006-12-04,87.6,88.6,86.0,86.65,177816.0,0.0028935185185186008,1.0
2006-12-05,87.65,92.6,86.65,90.2,777761.0,0.04096941719561453,1.0
2006-12-06,90.9,94.35,87.93333333333334,90.51666666666667,973016.3333333334,0.00737139416960516,1.0
2006-12-07,94.15,96.1,89.21666666666667,90.83333333333334,1168271.6666666667,-0.026226628856404213,1.0
2006-12-08,97.4,97.85,90.5,91.15,1363527.0,-0.05982465188241359,1.0
2006-12-11,91.25,91.65,85.5,86.45,766387.0,-0.05156335710367532,1.0
2006-12-12,86.4,89.75,80.0,81.55,740231.0,-0.05668016194331993,1.0
2006-12-13,82.5,84.4,79.0,83.2,371869.0,0.020232985898221978,1.0
2006-12-14,85.0,86.55,83.8,85.45,261735.0,0.027043269230769162,1.0
2006-12-15,87.0,87.8,84.7,85.15,231077.0,-0.003510825043885335,1.0
2006-12-18,86.0,86.85,83.15,85.3,242804.0,0.0017615971814444187,1.0
2006-12-19,85.0,86.3,82.6,83.05,169281.0,-0.02637749120750288,1.0
2006-12-20,86.0,86.0,82.0,82.25,77272.0,-0.009632751354605618,1.0
2006-12-21,82.85,83.9,81.3,81.85,81403.0,-0.004863221884498503,1.0
2006-12-22,83.0,88.0,82.5,85.9,565935.0,0.04948075748320102,1.0
2006-12-26,86.0,86.0,83.5,84.25,156941.0,-0.019208381839348143,1.0
2006-12-27,84.6,87.2,83.55,84.65,171175.0,0.004747774480712286,1.0
2006-12-28,85.85,86.6,83.65,84.15,137975.0,-0.005906674542232704,1.0
2006-12-29,84.35,85.5,83.15,83.5,65316.0,-0.007724301841948944,1.0
2007-01-02,83.9,87.4,83.9,85.9,226940.0,0.028742514970059974,1.0
2007-01-03,85.6,86.7,83.5,83.95,215428.0,-0.022700814901047806,1.0
2007-01-04,84.95,87.2,83.65,86.05,290116.0,0.025014889815366148,1.0
2007-01-05,86.5,89.4,85.55,86.2,242193.0,0.0017431725740848503,1.0
2007-01-08,86.8,87.0,84.25,85.3,121907.0,-0.01044083526682138,1.0
2007-01-09,85.6,87.4,84.0,84.5,140725.0,-0.009378663540445475,1.0
2007-01-10,83.5,86.2,82.1,82.95,81948.0,-0.01834319526627215,1.0
2007-01-11,84.4,84.65,83.1,83.55,94603.0,0.00723327305605781,1.0
2007-01-12,84.55,85.2,82.8,83.3,67521.0,-0.0029922202274087484,1.0
2007-01-15,84.25,87.8,83.85,86.1,278921.0,0.03361344537815114,1.0
2007-01-16,86.4,86.4,84.0,84.25,101521.0,-0.021486643437862885,1.0
2007-01-17,84.5,87.7,84.0,85.35,188842.0,0.013056379821958286,1.0
2007-01-18,85.5,87.2,84.1,84.85,143605.0,-0.005858230814294041,1.0
2007-01-19,84.7,85.75,82.8,83.2,87630.0,-0.019446081319976383,1.0
2007-01-22,84.15,84.75,82.5,82.9,105142.0,-0.0036057692307691624,1.0
2007-01-23,83.3,85.1,82.65,83.05,137901.0,0.001809408926417344,1.0
2007-01-24,84.0,84.45,81.7,82.15,91175.0,-0.01083684527393125,1.0
2007-01-25,82.4,83.5,81.75,82.25,78581.0,0.0012172854534386879,1.0
2007-01-29,83.4,83.4,80.65,81.2,82286.0,-0.012765957446808529,1.0
2007-01-31,81.5,82.0,76.25,76.9,125024.0,-0.05295566502463056,1.0
2007-02-01,77.65,79.5,76.1,76.75,83962.0,-0.0019505851755526882,1.0
2007-02-02,77.0,80.85,76.5,78.75,154856.0,0.026058631921824116,1.0
2007-02-05,78.05,82.4,78.05,80.05,133568.0,0.016507936507936583,1.0
2007-02-06,80.5,85.4,80.5,83.0,355368.0,0.036851967520299844,1.0
2007-02-07,83.1,83.5,80.4,80.75,63046.0,-0.027108433734939763,1.0
2007-02-08,81.25,81.6,78.5,79.1,77309.0,-0.020433436532507843,1.0
2007-02-09,79.95,80.75,76.3,76.6,60019.0,-0.031605562579013924,1.0
2007-02-12,76.3,76.3,71.25,72.2,71205.0,-0.057441253263707415,1.0
