Date,Open,High,Low,Close,Volume,Returns,Anomaly
2005-07-01,91.95,93.25,89.0,93.2,326612.0,,1.0
2005-07-04,94.7,102.5,89.0,96.7,339708.0,0.037553648068669565,1.0
2005-07-05,96.8,98.9,90.65,91.45,137025.0,-0.05429162357807649,1.0
2005-07-06,91.8,94.45,91.0,91.85,62418.0,0.004373974849644524,1.0
2005-07-07,93.5,94.5,88.55,89.65,31680.0,-0.02395209580838309,1.0
2005-07-08,92.0,92.9,89.0,90.75,29426.0,0.012269938650306678,1.0
2005-07-11,92.0,94.5,92.0,93.05,75800.0,0.02534435261707979,1.0
2005-07-12,92.4,94.15,91.2,92.6,35820.0,-0.004836109618484685,1.0
2005-07-13,92.7,92.7,90.5,91.4,17471.0,-0.01295896328293722,1.0
2005-07-14,92.05,93.6,90.0,90.4,21594.0,-0.01094091903719907,1.0
2005-07-15,94.5,94.5,90.4,90.95,21598.0,0.006084070796460228,1.0
2005-07-18,91.9,92.3,91.15,91.35,20649.0,0.0043980208905991525,1.0
2005-07-19,91.95,92.0,90.0,90.4,21082.0,-0.010399562123699968,1.0
2005-07-20,91.0,93.85,91.0,92.95,36311.0,0.028207964601769886,1.0
2005-07-21,93.5,93.75,90.5,91.15,29558.0,-0.01936525013448087,1.0
2005-07-22,91.9,106.0,91.5,100.65,378736.0,0.10422380691168409,1.0
2005-07-25,101.5,102.8,97.0,98.1,79693.0,-0.0253353204172877,1.0
2005-07-26,99.75,99.75,93.15,94.2,32726.0,-0.039755351681957096,1.0
2005-07-27,94.5,97.25,94.1,95.6,25312.0,0.014861995753715496,1.0
2005-07-29,95.8,99.85,94.0,95.4,44176.0,-0.0020920502092048876,1.0
2005-08-01,100.0,101.0,93.1,94.6,37707.0,-0.008385744234800985,1.0
2005-08-02,98.0,98.95,95.95,96.6,42150.0,0.02114164904862581,1.0
2005-08-03,99.0,99.9,95.1,96.1,41736.0,-0.005175983436852993,1.0
2005-08-04,97.0,97.0,93.5,93.9,51622.0,-0.02289281997918824,1.0
2005-08-05,96.0,104.5,95.1,99.3,201218.0,0.05750798722044714,1.0
2005-08-08,100.0,101.9,95.5,96.5,72937.0,-0.028197381671701938,1.0
2005-08-09,96.95,100.4,95.35,96.8,98930.0,0.0031088082901553626,1.0
2005-08-10,97.0,99.0,96.55,97.05,45306.0,0.0025826446280992066,1.0
2005-08-11,97.9,98.45,96.55,97.15,27899.0,0.0010303967027305294,1.0
2005-08-12,97.8,100.5,96.75,99.15,34503.0,0.020586721564590738,1.0
2005-08-16,100.0,108.75,99.0,106.1,260611.0,0.07009581442259183,1.0
2005-08-17,107.5,119.0,106.0,113.75,408457.0,0.0721017907634307,1.0
2005-08-18,133.0,136.5,120.0,136.5,480306.0,0.19999999999999996,1.0
2005-08-19,141.3,143.65,127.725,136.1,476935.5,0.05083056478405312,1.0
2005-08-22,149.6,150.8,135.45,135.7,473565.0,-0.09833887043189371,1.0
2005-08-23,139.5,148.4,133.1,135.3,485894.0,-0.0029476787030211504,1.0
2005-08-24,139.4,139.4,123.25,129.55,304932.0,-0.0424981522542498,1.0
2005-08-25,130.0,142.55,129.0,142.55,388439.0,0.10034735623311453,1.0
2005-08-26,146.5,151.0,140.3,142.25,524621.0,-0.002104524728165691,1.0
2005-08-29,142.5,142.5,135.5,137.45,134614.0,-0.03374340949033405,1.0
2005-08-30,139.6,144.0,136.05,142.0,231163.0,0.033102946526009536,1.0
2005-08-31,141.45,143.9,137.0,137.85,77573.0,-0.029225352112676073,1.0
2005-09-01,137.0,140.25,135.4,136.75,59902.0,-0.00797968806673921,1.0
