Date,Open,High,Low,Close,Volume,Returns,Anomaly
2020-04-13,,,,,,,
2020-04-15,1.3,1.3,1.3,1.3,5261.0,0.040000000000000036,1.0
2020-04-16,1.35,1.35,1.35,1.35,2358.0,0.03846153846153855,1.0
2020-04-17,1.4,1.4,1.4,1.4,202.0,0.03703703703703698,1.0
2020-04-20,1.45,1.45,1.45,1.45,1726.0,0.03571428571428581,1.0
2020-04-21,1.5,1.5,1.5,1.5,939.0,0.034482758620689724,1.0
2020-04-22,1.55,1.55,1.45,1.55,10530.0,0.03333333333333344,1.0
2020-04-23,1.6,1.6,1.6,1.6,2828.0,0.032258064516129004,1.0
2020-04-24,1.65,1.65,1.65,1.65,2222.0,0.031249999999999778,1.0
2020-04-27,1.7,1.7,1.7,1.7,3706.0,0.030303030303030276,1.0
2020-04-28,1.75,1.75,1.75,1.75,474.0,0.02941176470588247,1.0
2020-04-29,1.75,1.8,1.75,1.8,5277.0,0.028571428571428692,1.0
2020-04-30,1.85,1.85,1.85,1.85,2993.0,0.0277777777777779,1.0
2020-05-04,1.9,1.9,1.9,1.9,523.0,0.027027027027026973,1.0
2020-05-05,1.95,1.95,1.95,1.95,1043.0,0.026315789473684292,1.0
2020-05-06,2.0,2.0,2.0,2.0,549.0,0.025641025641025772,1.0
2020-08-18,3.35,3.35,3.35,3.35,1340.0,0.675,1.0
2020-08-19,3.5,3.5,3.35,3.4,7052.0,0.014925373134328401,1.0
2020-08-20,3.5,3.5,3.25,3.25,3730.0,-0.044117647058823484,1.0
2020-08-21,3.4,3.4,3.1,3.1,8841.0,-0.0461538461538461,1.0
2020-08-24,3.25,3.25,3.1,3.1,959.0,0.0,1.0
2020-08-25,3.1,3.15,2.95,2.95,504.0,-0.048387096774193505,1.0
2020-08-26,2.85,3.0,2.85,2.85,253.0,-0.03389830508474578,1.0
2020-08-27,2.85,2.85,2.75,2.75,845.0,-0.03508771929824561,1.0
2020-08-28,2.85,2.85,2.75,2.8,6753.0,0.018181818181818077,1.0
2020-08-31,2.8,2.9,2.7,2.8,4422.0,0.0,1.0
2020-09-01,2.85,2.85,2.7,2.7,3201.0,-0.03571428571428559,1.0
2020-09-02,2.7,2.8,2.7,2.8,520.0,0.03703703703703698,1.0
2020-09-03,2.7,2.9,2.7,2.85,3671.0,0.017857142857143016,1.0
2020-09-04,2.95,2.95,2.75,2.95,2215.0,0.03508771929824572,1.0
2020-09-07,3.05,3.05,2.85,3.05,4688.0,0.03389830508474567,1.0
2020-09-08,3.05,3.2,3.0,3.0,4143.0,-0.016393442622950727,1.0
2020-09-09,2.9,3.15,2.85,3.15,9455.0,0.050000000000000044,1.0
2020-09-10,3.0,3.25,3.0,3.0,9031.0,-0.04761904761904756,1.0
