Date,Open,High,Low,Close,Volume,Returns,Anomaly
2009-12-14,140.4,145.5,138.4,138.9,24081.0,,1.0
2009-12-15,142.60000000000002,146.6,137.95,139.075,21448.0,,1.0
2009-12-16,144.8,147.7,137.5,139.25,18815.0,-0.031641168289290755,1.0
2009-12-17,143.3,148.8,140.4,144.5,64178.0,0.037701974865349985,1.0
2009-12-18,143.95,148.0,139.0,139.85,17013.0,-0.0321799307958478,1.0
2009-12-21,141.8,144.0,137.35,140.6,14342.0,0.005362888809438582,1.0
2009-12-22,140.25,142.25,137.4,138.75,2178.0,-0.013157894736842035,1.0
2009-12-23,136.0,141.5,135.1,138.8,2979.0,0.0003603603603603567,1.0
2009-12-24,142.8,150.4,142.8,145.3,82499.0,0.046829971181556296,1.0
2009-12-29,148.0,151.9,145.0,145.8,26413.0,0.0034411562284928365,1.0
2009-12-30,151.1,154.7,147.85,148.72500000000002,28451.5,-0.0030148889007763913,1.0
2009-12-31,154.2,157.5,150.7,151.65,30490.0,-0.009470934030045619,1.0
2010-01-04,154.95,159.75,152.1,156.7,41221.0,0.033300362677217255,1.0
2010-01-05,159.675,163.075,156.575,160.725,62342.5,0.026396468467321466,1.0
2010-01-06,164.4,166.4,161.05,164.75,83464.0,0.019492574257425677,1.0
2010-01-07,166.35,168.9,164.0,165.6,46626.0,0.005159332321699406,1.0
2010-01-08,166.95,168.0,159.0,161.25,21769.0,-0.026268115942028936,1.0
2010-01-11,166.06666666666666,169.26666666666668,160.76666666666668,164.13333333333333,20700.666666666668,-0.01243290191374776,1.0
2010-01-12,165.18333333333334,170.53333333333333,162.53333333333333,167.01666666666668,19632.333333333332,0.0014023121145334168,1.0
2010-01-13,164.3,171.8,164.3,169.9,18564.0,0.015237526142814595,1.0
2010-01-14,169.0,173.0,168.15,168.65,23876.0,-0.007357268981753928,1.0
2010-01-15,170.0,173.9,168.0,169.15,32907.0,0.0029647198339757264,1.0
2010-01-18,172.85,173.0,166.5,167.9,23052.0,-0.007389890629618701,1.0
2010-01-19,167.0,170.0,160.5,161.8,21535.0,-0.03633114949374627,1.0
2010-01-20,162.0,166.45,158.6,161.35,12053.0,-0.0027812113720643294,1.0
2010-01-21,163.4,163.4,156.0,157.05,9234.0,-0.026650139448403998,1.0
2010-01-22,151.0,155.0,151.0,152.5,14905.0,-0.028971665074816966,1.0
2010-01-25,150.6,152.5,144.95,145.55,14634.0,-0.04557377049180322,1.0
2010-01-27,147.0,147.8,136.0,137.5,12136.0,-0.055307454482995566,1.0
2010-01-28,142.9,147.0,136.6,138.8,5752.0,0.009454545454545604,1.0
2010-01-29,135.0,144.5,130.0,139.5,17129.0,0.005043227665705974,1.0
2010-02-01,142.05,155.4,142.0,154.3,36651.0,0.10609318996415773,1.0
2010-02-02,157.7,166.8,156.6,157.9,54404.0,0.02333117303953336,1.0
2010-02-03,159.4,163.95,158.0,159.45,9003.0,0.00981633945535143,1.0
2010-02-04,158.3,164.0,155.6,158.1,17180.0,-0.008466603951081786,1.0
2010-02-05,152.8,155.0,148.0,150.0,15038.0,-0.05123339658444015,1.0
2010-02-06,148.6,154.0,148.6,153.05,2788.0,0.020333333333333314,1.0
2010-02-08,155.5,155.55,148.1,149.85,11179.0,-0.020908199934661975,1.0
2010-02-09,150.05,151.5,145.2,147.85,4280.0,-0.013346680013346712,1.0
2010-02-10,148.5,151.0,145.1,146.95,20606.0,-0.006087250591816029,1.0
2010-02-11,147.15,168.9,147.15,153.3,36993.0,0.0432119768628787,1.0
2010-02-15,155.0,156.4,150.1,150.6,9187.0,-0.017612524461839585,1.0
2010-02-16,148.25,156.0,148.25,152.7,11169.0,0.013944223107569709,1.0
2010-02-17,152.85,156.0,151.15,151.85,7346.0,-0.005566470203012375,1.0
2010-02-18,153.0,157.7,151.5,153.05,33232.0,0.007902535396773214,1.0
2010-02-19,152.0,153.65,147.2,149.4,8850.0,-0.02384841555047379,1.0
2010-02-22,151.0,156.45,143.65,145.35,10549.0,-0.027108433734939874,1.0
2010-02-23,146.0,146.5,141.55,142.3,3691.0,-0.02098383212934285,1.0
2010-02-24,142.3,142.3,138.1,139.15,9331.0,-0.02213633169360507,1.0
2010-02-25,141.0,141.4,139.05,139.35,5730.0,0.0014372978799854774,1.0
