Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,179.0,180.0,179.0,180.0,300.0,,1.0
1996-01-02,180.0,180.0,176.05,176.05,400.0,-0.021944444444444433,1.0
1996-01-04,175.0,175.0,172.0,172.0,200.0,-0.02300482817381433,1.0
1996-01-05,171.15,172.0,171.0,171.0,700.0,-0.005813953488372103,1.0
1996-01-08,172.0,172.0,170.0,170.0,200.0,-0.005847953216374324,1.0
1996-01-09,168.5,170.0,168.5,169.0,300.0,-0.00588235294117645,1.0
1996-01-10,167.5,167.9,165.0,165.0,400.0,-0.023668639053254448,1.0
1996-01-11,162.0,164.0,162.0,164.0,200.0,-0.0060606060606061,1.0
1996-01-12,164.5,164.5,164.5,164.5,100.0,0.0030487804878047697,1.0
1996-01-15,165.1,165.1,165.1,165.1,100.0,0.0036474164133737386,1.0
1996-01-16,152.0,158.0,152.0,158.0,200.0,-0.04300423985463353,1.0
1996-01-17,158.0,158.0,158.0,158.0,100.0,0.0,1.0
1996-01-18,152.05,152.05,152.05,152.05,100.0,-0.037658227848101244,1.0
1996-01-19,152.0,152.0,151.5,152.0,1100.0,-0.0003288391976323801,1.0
1996-01-22,150.0,150.0,149.0,149.0,400.0,-0.019736842105263164,1.0
1996-01-23,145.0,149.0,145.0,149.0,300.0,0.0,1.0
1996-01-24,148.75,148.75,145.0,145.15,400.0,-0.025838926174496568,1.0
1996-01-25,144.0,148.0,134.0,145.0,600.0,-0.0010334137099552443,1.0
1996-01-29,140.0,140.0,140.0,140.0,100.0,-0.03448275862068961,1.0
1996-01-30,136.0,136.0,136.0,136.0,100.0,-0.02857142857142858,1.0
1996-01-31,135.0,140.0,135.0,140.0,300.0,0.02941176470588225,1.0
1996-02-01,140.0,140.0,140.0,140.0,200.0,0.0,1.0
1996-02-02,153.0,153.0,153.0,153.0,200.0,0.09285714285714275,1.0
1996-02-05,153.0,165.0,161.0,162.0,600.0,0.05882352941176472,1.0
1996-02-06,165.0,175.0,164.5,175.0,700.0,0.08024691358024683,1.0
1996-02-07,172.0,172.0,161.05,161.05,300.0,-0.07971428571428563,1.0
1996-02-08,161.0,170.0,160.0,170.0,400.0,0.055572803477180965,1.0
1996-02-09,172.0,184.0,172.0,184.0,1300.0,0.08235294117647052,1.0
1996-02-12,187.95,187.95,180.0,180.0,200.0,-0.021739130434782594,1.0
1996-02-13,182.0,185.0,167.0,184.95,700.0,0.027499999999999858,1.0
1996-02-14,184.95,185.0,180.0,183.0,900.0,-0.010543390105433814,1.0
1996-02-15,182.0,182.0,173.0,179.5,700.0,-0.01912568306010931,1.0
1996-02-16,179.5,183.5,177.0,181.75,1400.0,0.012534818941504211,1.0
1996-02-19,181.75,180.0,178.0,178.0,300.0,-0.02063273727647863,1.0
1996-02-20,173.0,175.0,173.0,173.0,500.0,-0.028089887640449396,1.0
1996-02-22,173.0,175.0,173.0,175.0,200.0,0.011560693641618602,1.0
1996-02-23,179.0,179.0,179.0,179.0,100.0,0.02285714285714291,1.0
1996-02-26,179.0,178.0,178.0,178.0,300.0,-0.005586592178770999,1.0
1996-02-27,172.0,172.0,170.0,170.0,200.0,-0.0449438202247191,1.0
1996-02-28,168.0,168.0,168.0,168.0,200.0,-0.0117647058823529,1.0
1996-02-29,165.5,165.5,165.0,165.0,400.0,-0.017857142857142905,1.0
1996-03-01,160.0,160.0,160.0,160.0,100.0,-0.030303030303030276,1.0
1996-03-04,158.5,160.0,158.5,160.0,300.0,0.0,1.0
1996-03-06,152.0,152.0,152.0,152.0,5500.0,-0.050000000000000044,1.0
1996-03-07,163.0,163.0,157.5,157.5,200.0,0.03618421052631571,1.0
1996-03-08,150.0,159.0,150.0,155.0,1500.0,-0.015873015873015928,1.0
1996-03-11,155.0,167.75,152.75,154.1,7000.0,-0.005806451612903274,1.0
1996-03-12,154.1,153.0,152.0,152.4,700.0,-0.011031797534068688,1.0
1996-03-14,152.0,155.0,150.5,150.5,300.0,-0.01246719160104992,1.0
1996-03-15,150.5,155.0,150.0,150.0,800.0,-0.0033222591362126463,1.0
1996-03-18,154.45,154.45,154.45,154.45,400.0,0.029666666666666508,1.0
1996-03-19,150.0,150.0,147.05,147.05,300.0,-0.04791194561346701,1.0
1996-03-21,147.0,150.0,147.0,150.0,200.0,0.020061203672220307,1.0
1996-03-22,145.0,145.0,145.0,145.0,200.0,-0.033333333333333326,1.0
1996-03-25,145.0,145.2,145.0,145.0,400.0,0.0,1.0
1996-03-26,144.0,144.0,141.55,142.5,500.0,-0.017241379310344862,1.0
1996-03-27,144.15,144.15,143.0,143.0,500.0,0.0035087719298245723,1.0
1996-03-28,143.0,147.0,144.0,147.0,600.0,0.027972027972027913,1.0
