Date,Open,High,Low,Close,Volume,Returns,Anomaly
2001-06-20,58.9,59.65,50.85,50.85,32120.0,,1.0
2001-06-21,47.0,54.95,46.8,53.2,95288.0,0.046214355948869246,1.0
2001-06-22,54.35,54.35,48.95,49.95,26986.0,-0.06109022556390975,1.0
2001-06-25,50.0,50.0,45.95,45.95,15100.0,-0.08008008008008005,1.0
2001-06-26,46.0,49.65,44.5,49.65,31309.0,0.08052230685527739,1.0
2001-06-27,49.85,49.9,46.2,46.55,4540.0,-0.06243705941591138,1.0
2001-06-28,47.0,47.0,45.0,46.0,5664.0,-0.011815252416756072,1.0
2001-06-29,47.0,49.7,45.5,48.9,15716.0,0.06304347826086953,1.0
2001-07-02,52.4,52.4,47.0,47.55,613.0,-0.027607361963190247,1.0
2001-07-03,46.4,46.5,46.0,46.0,725.0,-0.03259726603575175,1.0
2001-07-04,44.25,45.25,44.25,45.25,585.0,-0.016304347826086918,1.0
2001-07-05,44.0,45.0,43.2,45.0,60.0,-0.0055248618784530246,1.0
2001-07-06,43.1,44.5,43.1,44.45,7950.0,-0.012222222222222134,1.0
2001-07-09,48.2,48.2,43.0,44.8,8300.0,0.00787401574803126,1.0
2001-07-10,43.9,45.5,43.9,44.35,2403.0,-0.010044642857142794,1.0
2001-07-11,44.0,44.5,43.0,44.0,2900.0,-0.007891770011273946,1.0
2001-07-12,44.0,46.0,44.0,46.0,2295.0,0.045454545454545414,1.0
2001-07-13,44.95,44.95,44.5,44.75,850.0,-0.02717391304347827,1.0
2001-07-16,43.5,45.05,43.5,44.1,910.0,-0.014525139664804398,1.0
2001-07-17,44.05,44.25,43.55,44.25,10427.0,0.00340136054421758,1.0
2001-07-18,44.5,44.5,44.0,44.4,397.0,0.003389830508474523,1.0
2001-07-19,44.6,45.4,43.5,45.0,3647.0,0.013513513513513598,1.0
2001-07-20,45.0,45.25,44.85,45.1,3150.0,0.0022222222222223476,1.0
2001-07-23,42.0,42.0,42.0,42.0,150.0,-0.0687361419068736,1.0
2001-07-24,42.1,44.95,42.1,43.05,310.0,0.02499999999999991,1.0
2001-07-25,42.75,43.0,41.95,41.95,812.0,-0.025551684088269355,1.0
2001-07-26,42.1,42.8,40.75,41.3,1975.0,-0.015494636471990564,1.0
2001-07-27,43.5,44.35,42.65,44.35,2148.0,0.07384987893462491,1.0
2001-07-30,45.0,47.9,45.0,47.65,5860.0,0.07440811724915442,1.0
2001-07-31,48.0,48.0,46.0,46.55,1892.0,-0.023084994753410304,1.0
2001-08-01,46.5,47.8,45.15,47.8,5578.0,0.02685284640171859,1.0
2001-08-02,45.15,46.5,45.15,46.0,2300.0,-0.03765690376569031,1.0
2001-08-03,46.5,47.5,46.15,46.2,645.0,0.004347826086956497,1.0
