Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-02,52.0,52.0,48.0,48.25,1100.0,,1.0
1996-01-05,49.95,52.9,49.95,52.9,300.0,0.09637305699481868,1.0
1996-01-08,51.75,51.75,51.75,51.75,50.0,-0.021739130434782594,1.0
1996-01-09,49.0,49.5,49.0,49.5,2300.0,-0.04347826086956519,1.0
1996-01-12,52.95,52.95,46.0,46.0,650.0,-0.07070707070707072,1.0
1996-01-16,47.0,49.5,47.0,49.5,2050.0,0.07608695652173902,1.0
1996-01-17,50.3,50.3,50.3,50.3,50.0,0.016161616161616044,1.0
1996-01-19,48.9,48.95,48.3,48.3,400.0,-0.03976143141153077,1.0
1996-01-22,48.0,52.0,48.0,52.0,300.0,0.07660455486542439,1.0
1996-01-23,48.0,48.0,48.0,48.0,500.0,-0.07692307692307687,1.0
1996-01-24,47.0,47.0,47.0,47.0,100.0,-0.02083333333333337,1.0
1996-01-25,47.0,47.0,47.0,47.0,100.0,0.0,1.0
1996-01-29,46.0,46.05,46.0,46.05,250.0,-0.02021276595744692,1.0
1996-01-30,46.5,46.5,45.6,45.6,350.0,-0.009771986970683932,1.0
1996-02-01,45.6,47.25,45.6,47.25,200.0,0.03618421052631571,1.0
1996-02-02,47.25,47.25,44.0,44.0,400.0,-0.06878306878306883,1.0
1996-02-05,48.0,48.0,47.0,47.0,400.0,0.06818181818181812,1.0
1996-02-06,47.0,47.0,47.0,47.0,400.0,0.0,1.0
1996-02-07,47.25,48.0,47.25,48.0,100.0,0.02127659574468077,1.0
1996-02-08,48.0,48.0,48.0,48.0,300.0,0.0,1.0
1996-02-09,47.05,47.05,47.0,47.0,900.0,-0.02083333333333337,1.0
1996-02-12,47.0,50.0,48.0,48.5,300.0,0.03191489361702127,1.0
1996-02-13,48.0,48.5,48.0,48.5,550.0,0.0,1.0
1996-02-14,48.5,52.5,50.0,52.5,250.0,0.08247422680412364,1.0
1996-02-15,52.5,53.0,51.05,51.05,750.0,-0.027619047619047654,1.0
1996-02-16,51.05,53.5,51.0,51.0,300.0,-0.0009794319294808007,1.0
1996-02-19,51.0,53.0,51.5,51.5,250.0,0.009803921568627416,1.0
1996-02-20,51.5,53.0,51.0,53.0,300.0,0.029126213592232997,1.0
1996-02-22,53.0,55.0,53.0,53.05,750.0,0.0009433962264151496,1.0
1996-02-23,53.05,55.95,54.0,54.05,500.0,0.018850141376060225,1.0
1996-02-26,54.05,54.0,53.25,53.25,650.0,-0.014801110083256241,1.0
1996-02-27,54.0,54.0,52.75,54.0,550.0,0.014084507042253502,1.0
1996-02-28,54.0,57.0,52.0,56.5,350.0,0.04629629629629628,1.0
1996-02-29,55.0,56.95,51.5,51.75,1250.0,-0.08407079646017701,1.0
