Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-03-06,90.0,89.0,86.0,88.75,10600.0,,1.0
1996-03-07,88.0,88.0,80.0,80.0,19800.0,-0.09859154929577463,1.0
1996-03-08,80.0,82.5,76.0,79.75,35000.0,-0.0031250000000000444,1.0
1996-03-11,79.75,78.95,76.0,78.0,26100.0,-0.021943573667711602,1.0
1996-03-12,78.0,76.75,72.1,73.1,19900.0,-0.06282051282051293,1.0
1996-03-13,73.1,74.0,70.05,73.5,4100.0,0.005471956224350372,1.0
1996-03-14,73.5,74.0,73.0,74.0,3300.0,0.006802721088435382,1.0
1996-03-15,74.0,73.5,72.0,73.5,2200.0,-0.006756756756756799,1.0
1996-03-18,73.5,75.0,73.0,74.4,13700.0,0.01224489795918382,1.0
1996-03-19,74.4,82.2,73.5,81.75,24600.0,0.09879032258064502,1.0
1996-03-21,81.75,88.0,83.0,83.5,13100.0,0.021406727828746197,1.0
1996-03-22,83.5,84.05,78.55,80.0,7400.0,-0.041916167664670656,1.0
1996-03-25,80.0,80.0,78.25,78.85,10000.0,-0.014375000000000027,1.0
1996-03-26,78.85,79.0,76.5,78.6,4200.0,-0.003170577045022216,1.0
1996-03-27,78.6,85.0,75.0,78.05,13900.0,-0.006997455470737823,1.0
1996-03-28,78.05,78.65,78.2,78.2,3000.0,0.0019218449711724261,1.0
1996-03-29,78.2,79.1,77.0,77.5,6200.0,-0.008951406649616356,1.0
1996-04-01,77.5,77.55,77.0,77.25,1500.0,-0.003225806451612856,1.0
1996-04-02,77.25,77.05,69.3,73.05,13700.0,-0.05436893203883497,1.0
1996-04-03,73.05,78.0,70.0,72.0,7400.0,-0.014373716632443467,1.0
1996-04-04,72.0,70.0,65.0,69.65,1300.0,-0.03263888888888877,1.0
1996-04-08,69.65,71.3,67.5,70.75,7700.0,0.015793251974156375,1.0
1996-04-09,70.75,71.0,68.05,68.65,10700.0,-0.029681978798586472,1.0
1996-04-10,68.65,75.5,70.5,74.5,5600.0,0.08521485797523654,1.0
1996-04-11,74.5,76.95,74.5,75.25,4800.0,0.010067114093959662,1.0
1996-04-12,75.25,77.75,74.75,74.8,5700.0,-0.005980066445182786,1.0
1996-04-15,74.8,74.5,69.0,69.15,6700.0,-0.07553475935828868,1.0
1996-04-16,70.0,70.0,61.9,61.9,10000.0,-0.1048445408532177,1.0
1996-04-17,60.0,63.25,60.0,62.0,6900.0,0.001615508885298933,1.0
1996-04-18,62.0,68.4,61.0,66.85,14600.0,0.07822580645161281,1.0
1996-04-19,66.0,73.25,66.0,71.2,22900.0,0.06507105459985052,1.0
1996-04-22,71.2,78.5,74.0,77.85,47500.0,0.09339887640449418,1.0
1996-04-23,77.85,81.75,73.0,73.75,84800.0,-0.05266538214515082,1.0
1996-04-24,73.75,76.5,75.0,75.95,2100.0,0.029830508474576245,1.0
1996-04-25,75.95,73.6,73.25,73.25,700.0,-0.0355497037524688,1.0
1996-04-26,73.25,72.0,65.75,69.3,19500.0,-0.05392491467576799,1.0
1996-04-29,67.0,68.0,67.0,68.0,2400.0,-0.018759018759018753,1.0
1996-04-30,65.05,69.0,61.0,62.9,22000.0,-0.07500000000000007,1.0
1996-05-01,62.9,69.5,63.0,67.45,29900.0,0.07233704292527832,1.0
1996-05-02,67.45,73.5,68.05,69.9,37900.0,0.036323202372127605,1.0
1996-05-03,69.9,71.0,66.0,66.35,15900.0,-0.050786838340486584,1.0
1996-05-06,67.3,67.3,60.0,60.0,11500.0,-0.09570459683496602,1.0
1996-05-07,60.0,60.5,54.5,55.7,12600.0,-0.07166666666666666,1.0
1996-05-08,55.7,57.75,50.0,50.8,18700.0,-0.087971274685817,1.0
1996-05-09,50.8,52.45,46.0,46.35,13000.0,-0.08759842519685035,1.0
1996-05-10,46.35,47.0,43.0,44.25,10400.0,-0.04530744336569581,1.0
1996-05-13,44.15,44.15,43.0,43.6,17400.0,-0.014689265536723117,1.0
1996-05-14,43.6,43.0,41.8,41.8,3600.0,-0.041284403669724856,1.0
1996-05-15,41.8,41.0,37.5,37.5,5700.0,-0.10287081339712911,1.0
1996-05-16,37.5,40.0,33.6,36.85,9100.0,-0.01733333333333331,1.0
1996-05-17,36.85,39.5,36.0,36.95,9700.0,0.0027137042062415073,1.0
1996-05-20,36.95,35.5,35.0,35.05,2800.0,-0.05142083897158334,1.0
1996-05-21,35.05,35.5,34.0,35.05,5000.0,0.0,1.0
1996-05-22,35.05,35.0,35.0,35.0,1300.0,-0.0014265335235377208,1.0
1996-05-23,35.0,34.6,33.0,34.6,1400.0,-0.011428571428571344,1.0
