Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,69.0,70.0,68.05,68.05,400.0,,1.0
1996-01-02,68.0,68.5,67.0,67.1,1100.0,-0.013960323291697274,1.0
1996-01-03,72.5,72.5,66.5,67.0,700.0,-0.0014903129657226621,1.0
1996-01-04,67.0,67.0,65.0,66.0,300.0,-0.014925373134328401,1.0
1996-01-05,65.0,66.0,65.0,66.0,550.0,0.0,1.0
1996-01-08,65.5,65.5,63.0,63.0,150.0,-0.045454545454545414,1.0
1996-01-09,63.0,63.0,61.95,61.95,300.0,-0.016666666666666607,1.0
1996-01-10,61.25,62.0,60.0,61.0,850.0,-0.015334947538337418,1.0
1996-01-11,60.0,60.95,60.0,60.95,150.0,-0.0008196721311475308,1.0
1996-01-12,60.25,62.5,60.25,62.3,650.0,0.022149302707136886,1.0
1996-01-15,60.5,61.8,60.5,61.8,400.0,-0.008025682182985605,1.0
1996-01-16,61.0,61.0,60.25,60.25,450.0,-0.025080906148867266,1.0
1996-01-17,60.5,60.5,60.0,60.25,750.0,0.0,1.0
1996-01-18,60.0,60.0,58.5,58.5,150.0,-0.02904564315352698,1.0
1996-01-19,57.95,57.95,57.5,57.95,400.0,-0.009401709401709368,1.0
1996-01-22,57.95,57.5,54.0,54.7,300.0,-0.056082830025884434,1.0
1996-01-23,54.5,57.5,54.5,57.5,350.0,0.051188299817184646,1.0
1996-01-24,55.0,55.1,54.05,54.05,400.0,-0.06000000000000005,1.0
1996-01-25,54.0,54.0,52.0,52.0,700.0,-0.037927844588344084,1.0
1996-01-29,51.95,52.0,50.3,50.3,900.0,-0.0326923076923078,1.0
1996-01-30,52.0,52.5,51.5,52.5,750.0,0.04373757455268401,1.0
1996-01-31,52.0,54.9,52.0,53.0,1050.0,0.00952380952380949,1.0
1996-02-01,52.5,53.75,52.5,53.25,550.0,0.004716981132075526,1.0
1996-02-02,54.0,54.0,54.0,54.0,50.0,0.014084507042253502,1.0
1996-02-05,59.0,59.0,57.0,57.0,300.0,0.05555555555555558,1.0
