Date,Open,High,Low,Close,Volume,Returns,Anomaly
2007-07-24,538.6,575.95,535.0,559.35,28590806.0,,1.0
2007-07-25,549.4,587.4,545.3,580.1,8552244.0,0.037096630016983934,1.0
2007-07-26,585.6,634.3,585.6,621.4,9125757.0,0.07119462161696255,1.0
2007-07-27,601.55,609.9,555.0,579.8,8396945.0,-0.06694560669456073,1.0
2007-07-30,583.0,604.5,570.0,575.85,5350142.0,-0.006812694032424904,1.0
2007-07-31,583.0,588.8,555.75,573.05,3669861.0,-0.004862377355214109,1.0
2007-08-01,570.0,570.0,506.1,515.2,4547108.0,-0.10095105139167593,1.0
2007-08-02,512.0,546.7,511.25,527.0,4894283.0,0.0229037267080745,1.0
2007-08-03,533.2,547.9,521.25,528.85,2336308.0,0.003510436432637709,1.0
2007-08-06,518.0,518.0,489.35,499.65,2955087.0,-0.055214143897135415,1.0
2007-08-07,507.0,533.8,506.0,525.55,4407917.0,0.0518362853997798,1.0
2007-08-08,528.7,535.9,523.1,525.7,1739450.0,0.00028541527923153787,1.0
2007-08-09,531.0,540.65,507.1,509.9,1539282.0,-0.03005516454251489,1.0
2007-08-10,495.0,517.7,480.05,513.6,1565297.0,0.0072563247695627275,1.0
2007-08-13,518.0,524.8,509.0,520.45,1059006.0,0.013337227414330188,1.0
2007-08-14,522.1,551.8,519.15,545.2,2601287.0,0.04755500048035355,1.0
2007-08-16,540.0,540.0,502.75,506.8,1740194.0,-0.07043286867204701,1.0
2007-08-17,600.0,600.0,480.0,500.95,2058415.0,-0.011543014996053702,1.0
2007-08-20,518.0,533.8,510.0,520.15,1989040.0,0.03832717836111388,1.0
2007-08-21,530.0,530.0,479.1,490.25,1666333.0,-0.05748341824473702,1.0
2007-08-22,502.0,504.7,477.5,492.85,2253026.0,0.005303416624171442,1.0
2007-08-23,502.0,516.0,482.65,487.25,1566565.0,-0.01136248351425384,1.0
2007-08-24,525.0,525.0,492.15,506.05,889096.0,0.038583889173935404,1.0
2007-08-27,519.5,540.0,510.15,534.75,1387931.0,0.056713763462108435,1.0
2007-08-28,532.0,553.2,526.3,542.55,1913568.0,0.014586255259466885,1.0
2007-08-29,532.0,549.8,523.1,540.75,1831730.0,-0.0033176665745091594,1.0
2007-08-30,590.0,590.0,521.1,537.85,12145661.0,-0.005362921867776205,1.0
2007-08-31,536.0,545.4,526.3,536.4,2667466.0,-0.0026959189365065583,1.0
2007-09-03,550.25,550.25,534.5,537.65,1208402.0,0.002330350484712973,1.0
2007-09-04,549.8,549.8,536.45,539.25,1461399.0,0.002975913698502808,1.0
2007-09-05,541.1,543.8,531.05,533.85,625092.0,-0.01001390820584136,1.0
2007-09-06,562.0,562.0,529.1,541.55,1081075.0,0.014423527208017095,1.0
2007-09-07,532.05,545.0,531.5,533.05,572616.0,-0.01569568830209589,1.0
2007-09-10,539.8,545.05,525.0,541.75,973431.0,0.016321170621892866,1.0
2007-09-11,543.0,565.7,543.0,562.85,2090751.0,0.03894785417628066,1.0
