Date,Open,High,Low,Close,Volume,Returns,Anomaly
2009-01-05,16.05,16.4,15.35,15.95,3954.0,,1.0
2009-01-06,16.65,16.75,15.55,16.15,3326.0,0.012539184952978122,1.0
2009-01-07,16.15,16.3,14.15,14.85,2610.0,-0.08049535603715163,1.0
2009-01-09,14.0,14.8,13.6,14.75,1673.0,-0.006734006734006703,1.0
2009-01-12,14.05,14.45,13.65,14.2,1014.0,-0.03728813559322042,1.0
2009-01-13,14.0,14.0,13.65,14.0,2635.0,-0.014084507042253502,1.0
2009-01-14,14.0,14.7,13.45,13.75,2251.0,-0.017857142857142905,1.0
2009-01-15,12.8,14.3,12.8,13.75,999.0,0.0,1.0
2009-01-16,13.95,13.95,13.1,13.85,680.0,0.0072727272727273196,1.0
2009-01-19,14.5,14.75,13.65,14.25,1314.0,0.028880866425992746,1.0
2009-01-20,13.7,13.8,13.45,13.55,625.0,-0.04912280701754379,1.0
2009-01-21,14.25,14.3,13.3,13.75,2050.0,0.014760147601476037,1.0
2009-01-22,13.1,14.0,13.1,14.0,195.0,0.018181818181818077,1.0
2009-01-23,12.4,13.9,12.4,12.75,1251.0,-0.0892857142857143,1.0
2009-01-27,12.25,13.0,12.25,12.9,1271.0,0.0117647058823529,1.0
2009-01-28,12.4,13.45,12.4,13.35,757.0,0.0348837209302324,1.0
2009-01-29,13.85,16.0,12.5,13.5,4473.0,0.011235955056179803,1.0
2009-01-30,13.9,13.9,13.2,13.7,1405.0,0.014814814814814836,1.0
2009-02-02,12.25,13.5,12.25,12.9,7107.0,-0.058394160583941535,1.0
2009-02-03,12.9,13.35,12.45,13.1,2981.0,0.015503875968992276,1.0
2009-02-04,13.1,13.2,13.0,13.2,2250.0,0.007633587786259444,1.0
2009-02-05,12.8,13.25,12.8,13.25,448.0,0.0037878787878788955,1.0
2009-02-06,11.7,13.45,11.7,13.45,462.0,0.015094339622641506,1.0
2009-02-09,13.0,13.9,12.55,13.55,5251.0,0.0074349442379182396,1.0
2009-02-10,14.0,14.3,13.5,13.85,2763.0,0.022140221402213944,1.0
2009-02-11,13.0,14.45,12.8,13.5,7276.0,-0.02527075812274371,1.0
2009-02-12,13.0,14.15,13.0,14.05,1550.0,0.040740740740740744,1.0
2009-02-13,13.1,14.0,13.1,13.95,2225.0,-0.007117437722420017,1.0
2009-02-16,13.4,13.8,13.25,13.35,264.0,-0.043010752688172005,1.0
2009-02-17,13.9,13.9,13.25,13.25,2300.0,-0.0074906367041198685,1.0
2009-02-18,13.25,13.5,12.9,13.05,3242.0,-0.015094339622641506,1.0
2009-02-19,13.5,13.5,13.1,13.2,7080.0,0.011494252873563093,1.0
2009-02-20,13.0,13.45,12.7,13.1,1979.0,-0.007575757575757569,1.0
2009-02-24,12.5,12.95,12.5,12.6,932.0,-0.03816793893129766,1.0
2009-02-25,12.6,13.4,12.6,13.25,2351.0,0.051587301587301626,1.0
2009-02-26,13.3,13.3,12.75,13.05,214.0,-0.015094339622641506,1.0
2009-02-27,12.5,12.95,12.4,12.95,1705.0,-0.00766283524904221,1.0
2009-03-02,12.35,12.8,12.3,12.55,680.0,-0.030888030888030826,1.0
2009-03-03,12.15,12.75,12.1,12.45,3600.0,-0.007968127490039945,1.0
2009-03-04,12.25,12.75,12.25,12.7,638.0,0.02008032128514059,1.0
2009-03-05,12.15,12.9,12.15,12.15,2823.0,-0.04330708661417315,1.0
2009-03-06,12.0,12.5,11.6,12.05,2940.0,-0.008230452674897082,1.0
2009-03-09,12.0,13.15,11.8,12.45,5417.0,0.03319502074688785,1.0
2009-03-12,12.3,12.75,12.3,12.3,947.0,-0.012048192771084265,1.0
2009-03-13,12.5,12.55,12.5,12.5,384.0,0.016260162601625883,1.0
2009-03-16,12.1,13.5,12.0,13.0,3710.0,0.040000000000000036,1.0
