Date,Open,High,Low,Close,Volume,Returns,Anomaly
1997-02-24,42.0,42.0,42.0,42.0,100.0,,1.0
1997-04-23,46.0,46.0,46.0,46.0,100.0,0.09523809523809534,1.0
1997-04-24,49.0,49.0,49.0,49.0,100.0,0.0652173913043479,1.0
1997-04-30,52.0,52.0,52.0,52.0,100.0,0.061224489795918435,1.0
1997-05-02,57.2,57.2,57.2,57.2,100.0,0.10000000000000009,1.0
1997-05-05,57.2,57.2,57.2,57.2,400.0,0.0,1.0
1997-05-06,61.0,61.0,61.0,61.0,200.0,0.06643356643356646,1.0
1997-05-07,61.0,66.0,61.0,66.0,200.0,0.08196721311475419,1.0
1997-05-08,67.0,67.5,67.0,67.0,1300.0,0.015151515151515138,1.0
1997-05-09,62.1,63.7,62.05,63.7,300.0,-0.04925373134328359,1.0
1997-05-12,63.7,64.05,63.7,64.05,300.0,0.005494505494505475,1.0
1997-05-13,69.0,69.0,68.0,69.0,1800.0,0.07728337236533966,1.0
1997-05-14,70.0,75.8,70.0,75.8,4200.0,0.09855072463768111,1.0
1997-05-15,74.5,82.0,74.0,79.9,3900.0,0.05408970976253302,1.0
1997-05-16,81.9,81.9,72.4,72.4,1000.0,-0.09386733416770965,1.0
1997-05-19,74.0,75.0,74.0,75.0,600.0,0.035911602209944604,1.0
1997-05-20,75.0,75.5,74.25,74.45,1200.0,-0.007333333333333303,1.0
1997-05-26,74.5,74.5,74.5,74.5,100.0,0.000671591672263272,1.0
1997-05-27,73.25,73.25,73.25,73.25,100.0,-0.016778523489932917,1.0
1997-05-28,72.95,72.95,72.95,72.95,100.0,-0.004095563139931757,1.0
1997-05-30,73.05,73.05,73.05,73.05,500.0,0.001370801919122533,1.0
1997-06-02,74.1,74.1,74.0,74.0,600.0,0.013004791238877544,1.0
1997-06-03,74.0,75.0,74.0,75.0,900.0,0.013513513513513598,1.0
1997-06-05,75.0,75.0,75.0,75.0,400.0,0.0,1.0
1997-06-06,75.5,75.5,75.5,75.5,100.0,0.006666666666666599,1.0
1997-06-10,75.0,75.0,75.0,75.0,200.0,-0.0066225165562914245,1.0
1997-06-11,75.0,75.0,75.0,75.0,100.0,0.0,1.0
1997-06-16,75.0,75.0,75.0,75.0,100.0,0.0,1.0
1997-06-17,74.95,75.0,74.95,75.0,200.0,0.0,1.0
1997-06-18,75.0,76.0,75.0,76.0,500.0,0.01333333333333342,1.0
1997-06-19,75.05,75.5,75.05,75.5,1000.0,-0.006578947368421018,1.0
1997-06-20,75.0,75.0,75.0,75.0,200.0,-0.0066225165562914245,1.0
1997-06-23,75.0,75.0,75.0,75.0,100.0,0.0,1.0
1997-06-24,74.5,74.5,74.5,74.5,200.0,-0.00666666666666671,1.0
1997-06-25,75.0,75.0,75.0,75.0,300.0,0.006711409395973256,1.0
1997-06-27,72.0,72.0,72.0,72.0,100.0,-0.040000000000000036,1.0
1997-07-03,72.0,72.0,72.0,72.0,100.0,0.0,1.0
1997-07-24,70.0,70.0,70.0,70.0,600.0,-0.02777777777777779,1.0
1997-07-29,73.0,73.0,68.0,68.0,400.0,-0.02857142857142858,1.0
1997-08-05,73.0,73.0,73.0,73.0,100.0,0.07352941176470584,1.0
1997-08-07,78.0,80.0,78.0,80.0,200.0,0.09589041095890405,1.0
1997-08-14,80.0,80.0,80.0,80.0,100.0,0.0,1.0
2003-05-15,98.4,98.4,98.4,98.4,100.0,0.22999999999999998,1.0
2003-05-20,103.35,103.35,103.35,103.35,200.0,0.05030487804878048,1.0
2003-05-23,108.55,108.55,108.55,108.55,500.0,0.05031446540880502,1.0
2003-06-04,119.6,119.7,119.6,119.7,52.0,0.10271764163979746,1.0
2003-06-05,125.7,125.7,125.0,125.0,150.0,0.044277360066833804,1.0
2003-06-06,127.35,127.35,120.0,120.05,385.0,-0.03959999999999997,1.0
2003-06-09,124.85,125.95,124.5,125.9,180.0,0.04872969596001675,1.0
2003-06-10,125.0,125.0,120.0,120.65,382.0,-0.04169976171564738,1.0
2003-06-11,124.75,125.0,121.25,121.25,618.0,0.004973062577704024,1.0
2003-06-24,128.0,128.0,120.65,124.4,17.0,0.02597938144329892,1.0
2003-06-25,127.0,130.0,127.0,129.85,1050.0,0.0438102893890675,1.0
2003-06-26,132.0,132.6,125.5,128.0,479.0,-0.014247208317289095,1.0
2003-06-27,131.2,132.0,129.1,131.9,275.0,0.030468750000000044,1.0
2003-06-30,133.8,133.8,131.9,131.9,120.0,0.0,1.0
2003-07-01,137.0,137.0,130.0,130.0,61.0,-0.014404852160727843,1.0
2003-07-02,133.0,133.0,129.8,129.95,411.0,-0.00038461538461542766,1.0
2003-07-03,128.05,128.05,128.05,128.05,50.0,-0.01462100808003064,1.0
2003-07-04,128.0,131.6,128.0,131.6,202.0,0.027723545490042856,1.0
2003-07-07,134.5,138.0,134.0,134.05,815.0,0.018617021276595924,1.0
2003-07-08,137.1,137.9,137.0,137.0,275.0,0.022006713912719134,1.0
2003-07-09,140.0,143.85,140.0,141.35,4405.0,0.03175182481751815,1.0
2003-07-11,140.1,142.5,138.0,138.0,3825.0,-0.0237000353731871,1.0
2003-07-15,136.0,136.0,136.0,136.0,50.0,-0.01449275362318836,1.0
2003-07-17,131.35,131.35,131.35,131.35,9.0,-0.034191176470588225,1.0
2003-07-24,136.0,136.0,127.1,127.45,412.0,-0.02969166349448038,1.0
2003-07-25,131.0,131.0,127.0,129.05,300.0,0.012553942722636435,1.0
2003-07-28,131.0,135.5,131.0,135.5,3048.0,0.04998062766369604,1.0
2003-07-30,135.5,142.3,135.0,142.2,985.0,0.049446494464944646,1.0
2003-07-31,145.0,149.35,145.0,149.35,1465.0,0.05028129395218017,1.0
2003-08-01,156.75,156.85,156.75,156.85,420.0,0.050217609641781014,1.0
2003-08-04,163.0,164.7,150.55,161.75,496.0,0.03124003825310817,1.0
2003-08-05,154.0,159.55,153.75,153.75,85.0,-0.04945904173106641,1.0
2003-08-06,159.5,160.0,152.0,152.1,375.0,-0.01073170731707318,1.0
2003-08-07,151.7,154.9,145.5,151.5,202.0,-0.0039447731755423154,1.0
2003-08-08,155.0,158.95,154.95,158.95,846.0,0.04917491749174907,1.0
2003-08-11,152.25,160.0,152.25,160.0,50.0,0.006605850896508336,1.0
2003-08-12,159.9,162.0,158.0,160.35,240.0,0.002187500000000009,1.0
2003-08-14,160.0,160.0,151.25,151.25,46.0,-0.056750857499220375,1.0
2003-08-18,151.25,162.8,151.25,152.85,151.0,0.010578512396694162,1.0
2003-08-19,151.95,160.0,151.9,160.0,200.0,0.04677788681714112,1.0
2003-08-20,151.0,151.0,151.0,151.0,25.0,-0.05625000000000002,1.0
2003-08-22,147.5,147.5,147.5,147.5,100.0,-0.023178807947019875,1.0
2003-08-25,149.0,149.0,143.0,143.0,1650.0,-0.03050847457627115,1.0
2003-08-27,143.0,143.0,139.5,139.5,150.0,-0.02447552447552448,1.0
2003-08-29,141.0,141.0,141.0,141.0,1000.0,0.010752688172043001,1.0
2003-09-01,146.5,147.0,146.25,146.35,250.0,0.03794326241134738,1.0
2003-09-02,150.0,150.0,140.0,140.0,600.0,-0.04338913563375468,1.0
2003-09-03,138.95,138.95,135.0,135.55,700.0,-0.031785714285714195,1.0
2003-09-04,133.0,145.0,132.1,138.5,14510.0,0.02176318701586122,1.0
2003-09-05,140.0,140.0,140.0,140.0,200.0,0.010830324909747224,1.0
2003-09-08,135.05,135.05,135.0,135.0,200.0,-0.0357142857142857,1.0
2003-09-09,131.95,131.95,130.0,130.0,104.0,-0.03703703703703709,1.0
2003-09-12,127.1,132.0,127.0,132.0,775.0,0.01538461538461533,1.0
2003-09-16,119.0,119.0,118.8,118.8,400.0,-0.09999999999999998,1.0
2003-09-17,122.0,125.0,122.0,125.0,120.0,0.05218855218855212,1.0
2003-09-18,118.2,118.2,118.0,118.1,100.0,-0.05520000000000003,1.0
2003-09-19,118.0,118.0,115.0,115.5,100.0,-0.02201524132091448,1.0
2003-09-24,120.0,120.0,120.0,120.0,5.0,0.03896103896103886,1.0
2003-09-26,120.0,129.0,120.0,129.0,125.0,0.07499999999999996,1.0
2003-09-30,139.7,140.0,139.7,140.0,80.0,0.0852713178294573,1.0
2003-10-01,142.7,143.0,142.7,143.0,225.0,0.021428571428571352,1.0
2003-10-03,148.4,150.15,145.5,150.15,805.0,0.050000000000000044,1.0
2003-10-06,157.7,157.7,157.0,157.7,15615.0,0.050283050283050246,1.0
2003-10-07,165.6,165.6,165.6,165.6,40251.0,0.050095117311350634,1.0
2003-10-08,170.0,173.9,164.0,170.9,20908.0,0.03200483091787443,1.0
2003-10-09,170.0,175.0,168.55,172.95,54796.0,0.01199531889994132,1.0
2003-10-10,180.0,181.6,167.0,171.3,46006.0,-0.0095403295750216,1.0
2003-10-13,172.95,187.55,171.4,181.65,65129.0,0.060420315236427324,1.0
2003-10-14,183.5,188.0,179.95,180.45,20061.0,-0.006606110652353503,1.0
2003-10-15,178.0,178.0,168.55,170.65,9587.0,-0.054308672762538035,1.0
2003-10-16,175.0,179.8,172.85,174.6,11255.0,0.02314679167887479,1.0
2003-10-17,183.8,183.8,163.55,168.65,9152.0,-0.034077892325314996,1.0
2003-10-20,169.5,171.45,161.05,165.15,4907.0,-0.020753038837829862,1.0
2003-10-21,163.5,164.0,160.0,160.2,4253.0,-0.02997275204359684,1.0
2003-10-22,158.0,163.0,158.0,159.95,2799.0,-0.0015605493133582504,1.0
2003-10-23,161.0,161.25,161.0,161.25,400.0,0.008127539856205068,1.0
2003-10-24,165.85,168.5,160.05,167.0,1669.0,0.0356589147286821,1.0
2003-10-25,174.9,182.9,174.9,176.6,2053.0,0.057485029940119725,1.0
2003-10-27,178.05,178.25,170.0,171.7,2204.0,-0.02774631936579841,1.0
2003-10-28,170.6,171.0,167.05,170.95,605.0,-0.004368083867210215,1.0
2003-10-29,174.0,174.0,165.0,170.85,1770.0,-0.0005849663644340586,1.0
