Date,Open,High,Low,Close,Volume,Returns,Anomaly
2010-07-21,,,,,,,
2010-07-22,,,,,,,
2010-07-23,,,,,,,
2010-07-26,186.5,187.0,179.9,180.55,369770.0,-0.03216295899222732,1.0
2010-07-27,186.3,188.45,180.075,181.2,241766.5,-0.025655373778745827,1.0
2010-07-28,186.1,189.9,180.25,181.85,113763.0,-0.019147788565264334,1.0
2010-07-29,184.35,184.35,180.75,182.15,59842.0,0.001649711300522494,1.0
2010-07-30,180.75,184.2,176.1,179.5,125762.0,-0.014548449080428294,1.0
2010-08-02,181.05,182.6,177.0,177.7,80885.0,-0.010027855153203369,1.0
2010-08-03,178.2,189.3,175.0,186.65,236988.0,0.05036578503095113,1.0
2010-08-04,182.0,185.0,180.0,180.55,35013.0,-0.032681489418698084,1.0
2010-08-05,184.0,184.75,181.1,182.9,155948.0,0.013015785101079924,1.0
2010-08-06,178.0,182.5,178.0,179.95,63359.0,-0.016129032258064613,1.0
2010-08-09,180.1,185.95,179.05,184.55,123242.0,0.02556265629341503,1.0
2010-08-10,187.85,191.8,182.075,186.325,100618.0,-0.006390450994396779,1.0
2010-08-11,195.6,197.65,185.1,188.1,77994.0,-0.03834355828220859,1.0
2010-08-12,186.0,195.0,185.1,186.55,33757.0,-0.008240297713981826,1.0
2010-08-13,187.2,188.0,184.1,185.05,10310.0,-0.008040739748056858,1.0
2010-08-16,185.1,187.0,182.15,185.1,13729.0,0.00027019724398802403,1.0
2010-08-17,183.1,185.75,183.0,183.35,8376.0,-0.009454349000540208,1.0
2010-08-18,183.35,184.1,179.0,179.95,115197.0,-0.018543768748295664,1.0
2010-08-19,182.9,185.0,176.3,183.1,197508.0,0.017504862461795057,1.0
2010-08-20,183.0,185.0,178.5,179.9,92341.0,-0.017476788640087282,1.0
2010-08-23,179.9,183.0,179.65,182.5,268027.0,0.014452473596442417,1.0
2010-08-24,177.25,184.0,177.25,183.55,8123.0,0.005753424657534367,1.0
2010-08-25,183.7,184.75,177.0,184.05,87545.0,0.002724053391446546,1.0
2010-08-26,183.0,184.35,181.0,183.8,120941.0,-0.0013583265417006496,1.0
2010-08-27,182.0,182.0,178.0,179.65,31686.0,-0.02257889009793257,1.0
2010-08-30,178.0,185.5,177.65,178.5,26912.0,-0.006401335930976915,1.0
2010-08-31,180.3,184.5,174.25,180.6,20329.0,0.0117647058823529,1.0
2010-09-01,180.05,181.5,177.0,177.95,4230.0,-0.014673311184939086,1.0
2010-09-02,183.9,185.9,174.4,176.65,48829.0,-0.007305422871593081,1.0
2010-09-03,178.0,181.0,175.0,176.1,8904.0,-0.0031135012737051326,1.0
2010-09-06,179.0,191.0,178.95,188.8,33225.0,0.0721181147075527,1.0
2010-09-07,183.05,189.8,183.05,185.95,309711.0,-0.015095338983050932,1.0
2010-09-08,184.0,190.4,184.0,188.25,21695.0,0.012368916375369743,1.0
2010-09-09,187.0,188.0,184.0,185.5,4244.0,-0.014608233731739695,1.0
2010-09-13,183.05,193.5,183.05,191.65,17405.0,0.03315363881401612,1.0
2010-09-14,190.0,194.0,188.5,190.0,31934.0,-0.008609444299504387,1.0
2010-09-15,190.0,195.5,188.5,195.1,32936.0,0.02684210526315778,1.0
2010-09-16,196.0,196.0,182.0,183.25,16838.0,-0.06073808303434136,1.0
2010-09-17,182.5,190.8,182.5,189.9,6533.0,0.036289222373806274,1.0
2010-09-20,190.0,191.9,186.0,190.05,5557.0,0.0007898894154818592,1.0
2010-09-21,189.0,191.7,186.5,190.55,46547.0,0.0026308866087871863,1.0
2010-09-22,191.0,194.7,186.0,192.7,8319.0,0.011283127787982128,1.0
2010-09-23,191.05,195.5,189.55,194.4,10744.0,0.008822003113648336,1.0
2010-09-24,196.65,196.65,187.5,188.2,2338.0,-0.03189300411522644,1.0
2010-09-27,188.2,194.0,188.05,192.0,25966.0,0.020191285866099973,1.0
2010-09-28,191.0,191.0,187.0,188.1,1687.0,-0.020312500000000067,1.0
2010-09-29,178.5,191.0,178.5,187.9,2009.0,-0.0010632642211588772,1.0
2010-09-30,195.5,219.0,188.1,191.05,305766.0,0.01676423629590218,1.0
2010-10-01,194.7,196.7,190.05,191.8,19973.0,0.003925673907354099,1.0
2010-10-04,194.0,196.85,188.0,194.45,11239.0,0.013816475495307401,1.0
2010-10-05,194.5,198.0,191.2,192.5,69715.0,-0.01002828490614549,1.0
2010-10-06,192.75,195.0,187.6,188.8,17416.0,-0.01922077922077914,1.0
2010-10-07,194.9,196.0,180.0,187.9,124704.0,-0.004766949152542388,1.0
2010-10-08,187.0,187.0,182.75,183.6,12661.0,-0.02288451303885053,1.0
2010-10-11,182.0,186.5,182.0,186.0,5296.0,0.013071895424836555,1.0
2010-10-12,184.0,193.0,180.4,188.55,13386.0,0.013709677419354804,1.0
2010-10-13,187.05,189.45,181.5,183.75,157947.0,-0.025457438345266592,1.0
2010-10-14,184.0,187.5,178.6,180.65,33396.0,-0.01687074829931967,1.0
2010-10-15,179.0,183.25,173.375,175.72500000000002,53530.5,-0.022102800117769106,1.0
2010-10-18,174.0,179.0,168.15,170.8,73665.0,-0.02733485193621854,1.0
2010-10-19,180.8,180.8,172.0,176.5,18886.0,0.033372365339578325,1.0
2010-10-20,174.05,178.5,172.35,176.65,5152.0,0.0008498583569405138,1.0
2010-10-21,181.4,183.0,176.05,181.5,6116.0,0.02745542032267201,1.0
2010-10-22,177.5,183.45,177.5,180.0,57093.0,-0.008264462809917328,1.0
2010-10-25,180.0,184.45,180.0,182.95,7730.0,0.016388888888888786,1.0
2010-10-26,181.0,185.0,179.5,184.85,19972.0,0.010385351188849423,1.0
2010-10-27,190.0,200.0,165.0,179.2,50283.0,-0.030565323235055453,1.0
2010-10-28,179.5,181.5,178.0,178.8,1206.0,-0.0022321428571426827,1.0
2010-10-29,176.05,179.3,174.5,175.6,6331.0,-0.017897091722595126,1.0
2010-11-01,181.0,181.0,177.0,179.75,1687.0,0.023633257403189,1.0
2010-11-02,175.3,178.7,175.15,175.7,2901.0,-0.02253129346314331,1.0
2010-11-03,175.0,177.45,169.05,171.7,125306.0,-0.02276607854297097,1.0
2010-11-04,174.45,174.45,167.5,169.25,12137.0,-0.014269073966220125,1.0
2010-11-05,173.1,175.0,170.1,171.35,3092.0,0.012407680945347055,1.0
2010-11-08,170.1,171.85,165.75,167.6,20612.0,-0.0218850306390429,1.0
2010-11-09,166.25,170.0,166.0,168.05,9243.0,0.002684964200477369,1.0
2010-11-10,167.05,171.5,166.25,170.0,29938.0,0.011603689378161253,1.0
2010-11-11,166.1,170.5,164.0,169.8,23156.0,-0.0011764705882352233,1.0
2010-11-12,168.7,169.0,166.1,168.1,3943.0,-0.010011778563015383,1.0
2010-11-15,170.0,170.4,167.05,169.85,4552.0,0.010410469958358037,1.0
2010-11-16,168.0,171.0,167.25,169.0,134417.0,-0.005004415660877171,1.0
