Date,Open,High,Low,Close,Volume,Returns,Anomaly
2017-08-14,78.45,79.4,77.75,78.6,3008213.0,,1.0
2017-08-16,79.25,81.3,78.25,80.8,6885913.0,0.027989821882951738,1.0
2017-08-17,81.0,82.9,80.45,81.55,4036546.0,0.009282178217821846,1.0
2017-08-18,80.3,81.05,79.3,80.15,3353101.0,-0.01716738197424883,1.0
2017-08-21,80.75,82.2,79.55,79.75,4238978.0,-0.004990642545227741,1.0
2017-08-22,80.25,80.5,78.5,78.85,2281770.0,-0.011285266457680354,1.0
2017-08-23,79.4,80.6,79.0,79.8,2882497.0,0.012048192771084265,1.0
2017-08-24,80.2,80.4,79.4,79.55,1929941.0,-0.0031328320802005427,1.0
2017-08-28,79.95,80.8,79.5,79.75,3439649.0,0.0025141420490257804,1.0
2017-08-29,79.9,81.75,78.85,79.2,7048692.0,-0.006896551724137945,1.0
2017-08-30,79.9,81.15,79.55,80.55,4314894.0,0.017045454545454364,1.0
2017-08-31,82.05,83.6,81.6,83.15,10973531.0,0.03227808814401012,1.0
2017-09-01,83.5,85.6,83.2,84.25,7797828.0,0.013229104028863459,1.0
2017-09-04,84.25,84.35,81.0,82.45,3823792.0,-0.02136498516320473,1.0
2017-09-05,82.7,87.3,82.2,86.8,11151207.0,0.052759248029108585,1.0
2017-09-06,86.25,89.15,85.7,87.1,14628247.0,0.003456221198156584,1.0
2017-09-07,88.1,89.0,86.0,86.35,6581393.0,-0.008610792192881744,1.0
2017-09-08,86.8,87.3,83.7,84.65,6156417.0,-0.01968731905037624,1.0
2017-09-11,85.0,86.45,84.65,85.15,3748422.0,0.005906674542232704,1.0
2017-09-12,85.4,86.2,84.75,84.95,3231618.0,-0.0023487962419260766,1.0
2017-09-13,85.35,85.35,82.55,82.95,2910395.0,-0.023543260741612726,1.0
2017-09-14,83.5,84.7,82.75,83.15,2805037.0,0.0024110910186860846,1.0
2017-09-15,82.7,86.1,82.7,85.6,7470209.0,0.02946482260974137,1.0
2017-09-18,86.9,88.4,86.15,87.45,8564963.0,0.0216121495327104,1.0
2017-09-19,87.7,89.0,86.5,88.25,6253915.0,0.00914808461978267,1.0
2017-09-20,88.48333333333333,89.55,86.1,87.45,6779784.0,-0.012592865705191653,1.0
2017-09-21,89.26666666666667,90.10000000000001,85.7,86.64999999999999,7305653.0,-0.03433381603016598,1.0
2017-09-22,90.05,90.65,85.3,85.85,7831522.0,-0.056074766355140304,1.0
2017-09-25,86.2,86.85,81.6,83.65,7148107.0,-0.025626092020966662,1.0
2017-09-26,83.95,85.95,83.0,84.95,5364467.0,0.015540944411237323,1.0
2017-09-27,85.6,86.5,82.55,83.05,4037610.0,-0.02236609770453213,1.0
2017-09-28,83.55,84.15,82.25,83.4,2475462.0,0.004214328717640159,1.0
2017-09-29,83.85,84.35,83.0,83.2,2860402.0,-0.0023980815347721673,1.0
2017-10-03,84.1,84.1,82.6,82.9,2106671.0,-0.0036057692307691624,1.0
2017-10-04,83.2,84.45,82.6,83.5,3061571.0,0.007237635705669376,1.0
2017-10-05,83.7,85.35,83.1,83.8,3839963.0,0.003592814371257358,1.0
2017-10-06,84.0,85.25,83.7,83.9,4965655.0,0.0011933174224345588,1.0
2017-10-09,83.4,85.05,83.1,83.3,4302355.0,-0.00715137067938032,1.0
2017-10-10,83.7,84.3,83.25,83.5,3511696.0,0.0024009603841537164,1.0
2017-10-11,83.9,84.05,81.0,81.85,3912981.0,-0.019760479041916246,1.0
2017-10-12,82.3,82.45,81.4,81.9,2338191.0,0.0006108735491754391,1.0
2017-10-13,82.25,83.7,82.1,82.2,2586529.0,0.00366300366300365,1.0
2017-10-16,82.3,83.05,81.5,81.8,2547885.0,-0.0048661800486619056,1.0
2017-10-17,81.95,82.9,81.8,81.95,2287388.0,0.001833740831295838,1.0
2017-10-18,81.95,82.35,81.35,81.5,2556367.0,-0.005491153142159866,1.0
2017-10-19,81.65,82.15,80.85,81.4,1083357.0,-0.0012269938650305567,1.0
2017-10-23,81.8,82.15,80.45,80.75,1852039.0,-0.007985257985258065,1.0
2017-10-24,80.8,81.7,80.5,80.7,1811191.0,-0.0006191950464395912,1.0
2017-10-25,81.15,81.75,80.5,80.75,2002086.0,0.0006195786864930941,1.0
2017-10-26,80.6,83.85,80.6,82.25,4724918.0,0.018575851393188847,1.0
2017-10-27,82.5,86.4,82.05,85.85,10327267.0,0.043768996960486195,1.0
2017-10-30,87.7,89.8,87.5,88.05,14498469.0,0.025626092020966773,1.0
2017-10-31,88.25,88.3,85.75,85.95,3864949.0,-0.023850085178875546,1.0
2017-11-01,86.4,86.9,85.25,85.5,2784282.0,-0.005235602094240899,1.0
2017-11-02,85.7,88.2,85.0,86.85,4291838.0,0.015789473684210353,1.0
2017-11-03,87.1,87.7,85.75,86.2,2963188.0,-0.007484168105929667,1.0
2017-11-06,85.85,89.0,84.3,84.9,9955242.0,-0.015081206496519672,1.0
2017-11-07,84.8,85.9,82.25,82.55,3643049.0,-0.027679623085983596,1.0
2017-11-08,82.75,83.65,81.6,81.9,2188293.0,-0.007874015748031371,1.0
2017-11-09,82.75,82.75,81.4,81.95,2034163.0,0.0006105006105006083,1.0
2017-11-10,81.9,82.45,81.35,81.7,1807589.0,-0.003050640634533197,1.0
2017-11-13,81.95,82.3,80.45,80.65,1677630.0,-0.012851897184822492,1.0
2017-11-14,81.05,82.5,81.0,81.4,2372924.0,0.00929944203347799,1.0
2017-11-15,81.65,81.9,79.55,79.85,2269465.0,-0.01904176904176913,1.0
2017-11-16,80.4,82.4,80.15,81.45,2125875.0,0.020037570444583652,1.0
2017-11-17,83.0,83.8,82.05,82.25,3093681.0,0.009821976672805377,1.0
2017-11-20,82.25,82.75,81.85,82.0,1416294.0,-0.003039513677811523,1.0
2017-11-21,82.4,82.7,81.3,81.4,1608706.0,-0.007317073170731603,1.0
2017-11-22,81.75,83.8,81.1,83.1,4195903.0,0.020884520884520752,1.0
2017-11-23,83.3,85.2,82.2,84.4,4373103.0,0.01564380264741283,1.0
2017-11-24,86.1,86.7,84.6,84.95,5241774.0,0.006516587677725116,1.0
2017-11-27,84.6,86.2,83.55,84.35,3497109.0,-0.007062978222483918,1.0
2017-11-28,84.3,85.8,83.85,84.2,3420993.0,-0.0017783046828688809,1.0
2017-11-29,84.25,84.55,83.0,83.55,1749501.0,-0.0077197149643706275,1.0
2017-11-30,83.1,83.95,81.8,82.25,2507836.0,-0.015559545182525447,1.0
2017-12-01,82.5,82.9,80.8,81.05,2396745.0,-0.01458966565349551,1.0
2017-12-04,81.5,81.7,78.55,78.85,3543247.0,-0.027143738433066056,1.0
2017-12-05,79.0,79.7,77.8,78.55,2729229.0,-0.0038046924540265925,1.0
2017-12-06,78.8,80.2,78.0,78.1,3150368.0,-0.005728835136855515,1.0
2017-12-07,78.45,79.7,78.35,79.4,1481698.0,0.016645326504481472,1.0
2017-12-08,79.9,80.9,79.65,80.0,1950109.0,0.007556675062972307,1.0
2017-12-11,80.9,80.9,79.35,79.85,1402699.0,-0.001875000000000071,1.0
2017-12-12,79.95,80.4,79.0,79.1,1409847.0,-0.00939261114589851,1.0
2017-12-13,79.25,79.65,77.9,78.2,1241887.0,-0.011378002528444897,1.0
2017-12-14,78.6,78.65,77.2,78.0,1434765.0,-0.002557544757033292,1.0
2017-12-15,78.95,79.25,78.25,78.45,1125755.0,0.005769230769230749,1.0
2017-12-18,78.4,79.85,76.05,78.5,1792353.0,0.0006373486297004405,1.0
2017-12-19,78.7,80.45,78.7,79.8,2430240.0,0.016560509554140124,1.0
2017-12-20,79.8,80.85,79.65,80.15,1863215.0,0.004385964912280826,1.0
2017-12-21,80.3,81.75,79.85,80.7,3001590.0,0.006862133499688117,1.0
2017-12-22,80.95,81.8,80.6,80.85,2107526.0,0.0018587360594795044,1.0
2017-12-26,81.0,81.75,80.4,81.3,1950783.0,0.005565862708719838,1.0
2017-12-27,81.45,83.2,81.0,81.6,3692029.0,0.0036900369003689537,1.0
