Date,Open,High,Low,Close,Volume,Returns,Anomaly
2016-09-29,,,,,,,
2016-09-30,,,,,,,
2016-10-03,312.9,313.75,307.3,309.7,3169557.0,-0.0017727639000806317,1.0
2016-10-04,308.95,309.55,303.5,304.25,3173993.0,-0.017597675169518823,1.0
2016-10-05,305.0,315.0,304.1,313.75,5485589.0,0.03122432210353332,1.0
2016-10-06,314.85,322.8,314.0,316.55,5753209.0,0.008924302788844596,1.0
2016-10-07,318.0,319.7,315.45,317.25,1009789.0,0.002211341020375901,1.0
2016-10-10,319.1,326.95,318.1,324.6,3482805.0,0.023167848699763738,1.0
2016-10-13,322.0,328.7,315.75,317.55,3088238.0,-0.021719038817005543,1.0
2016-10-14,319.7,328.75,319.15,327.35,2771778.0,0.030861281687923237,1.0
2016-10-17,328.0,331.7,324.2,327.6,2153353.0,0.0007637085688101397,1.0
2016-10-18,329.2,333.0,328.45,330.9,2774228.0,0.010073260073260037,1.0
2016-10-19,331.6,332.45,324.0,324.9,1227049.0,-0.018132366273798772,1.0
2016-10-20,325.9,329.4,322.55,324.0,946203.0,-0.0027700831024930483,1.0
2016-10-21,324.85,329.4,323.05,326.85,1122150.0,0.008796296296296413,1.0
2016-10-24,327.85,329.85,323.1,323.9,684940.0,-0.009025546886951341,1.0
2016-10-25,324.4,328.0,323.15,324.15,964425.0,0.0007718431614696097,1.0
2016-10-26,323.95,325.4,319.3,320.4,940792.0,-0.011568718186025007,1.0
2016-10-27,320.05,320.05,312.3,314.1,1243528.0,-0.019662921348314488,1.0
2016-10-28,313.0,314.35,307.0,308.6,1188812.0,-0.017510347023241057,1.0
2016-10-30,310.0,314.1,310.0,312.9,287393.0,0.013933895009721198,1.0
2016-11-01,312.9,315.45,310.05,311.3,1028849.0,-0.005113454777884163,1.0
2016-11-02,310.0,310.6,305.05,305.75,881783.0,-0.017828461291358844,1.0
2016-11-03,305.05,307.8,301.6,304.05,1243070.0,-0.00556009811937852,1.0
2016-11-04,304.95,305.95,302.5,303.4,1157870.0,-0.002137806281861665,1.0
2016-11-07,305.8,307.9,302.65,304.9,1228091.0,0.004943968358602557,1.0
2016-11-08,306.0,306.95,302.7,303.5,412371.0,-0.0045916693998031555,1.0
2016-11-09,290.0,300.75,271.0,298.05,2590826.0,-0.017957166392092216,1.0
2016-11-10,302.95,314.9,301.0,313.7,2123137.0,0.05250796846166739,1.0
2016-11-11,309.7,309.7,302.55,304.85,1313176.0,-0.028211667197959756,1.0
2016-11-15,304.85,305.0,295.0,297.2,1591246.0,-0.02509430867639839,1.0
2016-11-16,303.0,304.25,298.0,299.3,1270188.0,0.0070659488559892125,1.0
2016-11-17,300.0,302.5,293.0,293.5,1051062.0,-0.019378549949883084,1.0
2016-11-18,294.75,295.6,284.5,285.45,899512.0,-0.02742759795570704,1.0
2016-11-21,288.0,288.0,282.2,284.15,1285263.0,-0.004554212646698197,1.0
2016-11-22,285.4,290.9,281.2,289.05,1209797.0,0.017244413162062378,1.0
2016-11-23,290.0,297.0,288.3,294.9,504169.0,0.020238713025428012,1.0
2016-11-24,295.1,296.0,291.3,295.05,378291.0,0.0005086469989827869,1.0
2016-11-25,296.0,307.9,295.5,303.55,827475.0,0.028808676495509333,1.0
2016-11-28,303.9,309.0,303.1,308.3,545827.0,0.015648163399769377,1.0
2016-11-29,308.9,314.9,308.2,314.1,923896.0,0.018812844631852066,1.0
2016-11-30,314.95,314.95,308.25,309.75,527033.0,-0.01384909264565437,1.0
2016-12-01,309.1,310.0,303.35,304.05,398945.0,-0.01840193704600479,1.0
2016-12-02,303.1,303.15,298.05,298.65,530891.0,-0.017760236803157525,1.0
2016-12-05,298.0,298.55,292.6,293.5,2962323.0,-0.01724426586305028,1.0
2016-12-06,293.5,296.9,292.25,293.5,286857.0,0.0,1.0
2016-12-07,294.5,295.5,292.0,292.65,287566.0,-0.0028960817717207377,1.0
2016-12-08,293.75,298.45,293.55,297.05,384455.0,0.015035024773620398,1.0
2016-12-09,297.7,299.55,293.55,294.95,490921.0,-0.007069516916344165,1.0
2016-12-12,295.0,300.3,294.5,298.9,1858187.0,0.013392100355992476,1.0
2016-12-13,298.8,298.9,295.45,298.15,448043.0,-0.002509200401472067,1.0
2016-12-14,296.7,302.3,296.0,297.2,828122.0,-0.0031863156129464665,1.0
2016-12-15,296.0,311.9,295.0,310.65,2601377.0,0.04525572005383571,1.0
2016-12-16,309.95,312.0,305.7,310.55,1466142.0,-0.00032190568163514843,1.0
2016-12-19,310.0,317.95,308.0,315.5,3045917.0,0.015939462244405123,1.0
2016-12-20,313.8,319.9,312.5,318.25,1832659.0,0.008716323296354966,1.0
2016-12-21,318.7,319.95,314.0,316.2,717254.0,-0.006441476826394399,1.0
2016-12-22,317.0,317.0,305.1,307.15,467785.0,-0.02862112586970278,1.0
2016-12-23,304.1,306.95,300.0,300.65,461339.0,-0.021162298551196446,1.0
2016-12-26,299.0,300.5,294.55,295.05,483325.0,-0.018626309662397977,1.0
2016-12-27,294.15,297.5,294.1,295.45,403888.0,0.0013557024233179504,1.0
2016-12-28,299.75,299.75,294.55,295.1,490137.0,-0.0011846336097477428,1.0
2016-12-29,295.3,301.7,295.3,300.1,463260.0,0.016943409013893573,1.0
2016-12-30,300.95,306.0,300.1,302.25,515022.0,0.007164278573808636,1.0
