Date,Open,High,Low,Close,Volume,Returns,Anomaly
2020-06-29,189.0,189.0,181.75,183.1,499585.0,,1.0
2020-06-30,185.1,185.65,177.0,179.75,435515.0,-0.018296013107591436,1.0
2020-07-01,180.75,190.0,178.2,179.85,1147608.0,0.0005563282336578101,1.0
2020-07-02,181.85,185.5,181.75,183.85,246027.0,0.02224075618571031,1.0
2020-07-03,183.9,190.0,183.85,187.85,516400.0,0.021756867011150316,1.0
2020-07-06,190.0,195.6,189.9,190.95,660109.0,0.016502528613255185,1.0
2020-07-07,191.8,192.5,184.5,188.6,526503.0,-0.01230688661953383,1.0
2020-07-08,189.9,191.9,186.1,187.45,415850.0,-0.0060975609756097615,1.0
2020-07-09,188.95,191.0,184.3,186.25,357767.0,-0.006401707121899136,1.0
2020-07-10,185.7,188.1,184.55,185.3,333665.0,-0.005100671140939483,1.0
2020-07-13,185.0,188.0,182.9,185.85,403492.0,0.002968159740960541,1.0
2020-07-14,186.3,197.7,185.4,187.95,882866.0,0.011299435028248483,1.0
2020-07-15,189.9,193.25,185.5,187.6,912187.0,-0.0018621973929235924,1.0
2020-07-16,188.45,190.0,184.3,185.5,477546.0,-0.011194029850746245,1.0
2020-07-17,186.4,188.7,184.3,186.45,434379.0,0.00512129380053894,1.0
2020-07-20,187.45,187.75,175.15,175.8,1420483.0,-0.05711987127916318,1.0
2020-07-21,175.3,178.2,171.05,172.9,1084149.0,-0.016496018202502905,1.0
2020-07-22,172.0,176.0,170.25,174.5,656389.0,0.009253903990745993,1.0
2020-07-23,175.75,176.4,171.35,173.05,467928.0,-0.008309455587392489,1.0
2020-07-24,173.0,177.95,172.05,174.9,889714.0,0.01069055186362311,1.0
2020-07-27,175.75,175.75,171.7,173.25,324569.0,-0.009433962264150941,1.0
2020-07-28,173.5,176.75,173.35,175.35,336312.0,0.0121212121212122,1.0
2020-07-29,177.7,184.9,177.0,181.2,2253018.0,0.03336184773310524,1.0
2020-07-30,183.0,185.75,177.5,180.1,915456.0,-0.006070640176600417,1.0
2020-07-31,179.9,181.5,176.25,179.2,1174294.0,-0.0049972237645752315,1.0
2020-08-03,180.0,180.25,174.65,175.55,1161525.0,-0.020368303571428492,1.0
2020-08-04,176.5,181.35,175.9,179.05,399576.0,0.019937339789233732,1.0
2020-08-05,180.0,188.0,177.75,182.6,996508.0,0.01982686400446787,1.0
2020-08-06,184.0,188.4,181.85,187.05,1471184.0,0.024370208105148006,1.0
2020-08-07,188.75,192.0,182.35,183.55,1020793.0,-0.018711574445335444,1.0
2020-08-10,185.7,199.0,185.25,194.45,2316777.0,0.05938436393353297,1.0
2020-08-11,196.15,200.9,188.5,191.35,1363931.0,-0.015942401645667292,1.0
2020-08-12,191.55,195.8,189.3,192.25,622800.0,0.00470342304677307,1.0
2020-08-13,193.7,195.15,189.55,190.0,486399.0,-0.011703511053316018,1.0
2020-08-14,191.15,191.5,183.05,185.4,523661.0,-0.02421052631578946,1.0
2020-08-17,186.8,188.55,184.0,185.6,336081.0,0.0010787486515642097,1.0
2020-08-18,187.6,187.6,184.5,185.2,494051.0,-0.0021551724137931494,1.0
2020-08-19,186.05,192.6,185.55,190.1,1912396.0,0.026457883369330526,1.0
2020-08-20,191.0,194.4,188.2,189.45,677312.0,-0.0034192530247239006,1.0
2020-08-21,190.9,192.55,188.05,188.7,561235.0,-0.003958828186856667,1.0
2020-08-24,188.4,193.0,188.0,191.3,1108300.0,0.01377848436671969,1.0
2020-08-25,195.25,196.5,191.0,192.3,1474093.0,0.005227391531625658,1.0
2020-08-26,193.5,194.0,190.5,191.05,527433.0,-0.006500260010400383,1.0
2020-08-27,191.95,193.0,188.25,191.4,847045.0,0.0018319811567653055,1.0
2020-08-28,193.65,193.65,188.65,192.8,3682441.0,0.007314524555903867,1.0
2020-08-31,198.5,199.0,182.25,192.85,1827917.0,0.0002593360995850613,1.0
2020-09-01,192.5,193.0,188.0,192.05,514006.0,-0.004148301788955089,1.0
2020-09-02,192.0,193.65,191.0,193.0,1276588.0,0.004946628482165982,1.0
2020-09-03,193.5,197.85,193.5,195.05,1042749.0,0.010621761658031081,1.0
2020-09-04,193.5,194.65,189.7,191.05,818066.0,-0.020507562163547766,1.0
2020-09-07,192.05,193.05,189.0,190.0,329017.0,-0.005495943470295805,1.0
2020-09-08,190.25,192.25,187.0,191.85,1041523.0,0.009736842105263044,1.0
2020-09-09,191.7,191.7,187.8,188.7,435859.0,-0.016419077404222104,1.0
2020-09-10,189.2,195.45,187.5,192.5,1814664.0,0.02013778484366724,1.0
2020-09-11,192.45,193.95,189.15,190.3,672344.0,-0.011428571428571344,1.0
2020-09-14,202.225,204.375,195.10000000000002,197.55,2376107.5,-0.009229437229437143,1.0
2020-09-15,212.0,214.8,201.05,204.8,4079871.0,-0.007030303030302942,1.0
2020-09-16,211.4,213.9,203.325,206.175,3024310.5,-0.011690506965388425,1.0
2020-09-17,210.8,213.0,205.6,207.55,1968750.0,-0.016350710900473908,1.0
2020-09-18,207.85,210.3,202.4,206.9,2308017.0,-0.0031317754757890226,1.0
2020-09-21,208.3,210.2,192.0,195.45,2309410.0,-0.05534074432092806,1.0
2020-09-22,195.1,197.6,183.2,191.95,3118748.0,-0.017907393195190635,1.0
2020-09-23,194.8,197.55,184.2,189.85,2267611.0,-0.01094034904923158,1.0
2020-09-24,188.0,194.8,185.05,190.75,2031472.0,0.004740584672109582,1.0
2020-09-25,193.75,194.35,188.55,190.2,1044903.0,-0.0028833551769331667,1.0
2020-09-28,191.6,204.9,190.55,199.8,1845449.0,0.05047318611987395,1.0
2020-09-29,203.5,211.9,198.95,209.4,2434086.0,0.048048048048048075,1.0
2020-09-30,210.85,211.65,204.1,207.85,985099.0,-0.007402101241642867,1.0
2020-10-01,209.85,215.8,205.0,206.0,1624642.0,-0.008900649506855873,1.0
2020-10-05,207.3,216.8,207.0,215.75,2195637.0,0.047330097087378675,1.0
2020-10-06,217.15,217.8,211.5,213.8,669110.0,-0.009038238702201551,1.0
2020-10-07,214.9,214.9,203.0,204.45,790328.0,-0.043732460243218085,1.0
2020-10-08,205.0,207.55,195.1,196.3,1071604.0,-0.03986304719980427,1.0
2020-10-09,197.4,199.55,192.4,193.85,1367752.0,-0.012480896586856915,1.0
2020-10-12,194.7,196.0,189.0,190.0,704104.0,-0.019860717049264842,1.0
2020-10-13,190.8,197.85,188.35,195.65,1132096.0,0.029736842105263284,1.0
2020-10-14,194.0,197.55,190.0,196.95,1400065.0,0.006644518272425071,1.0
2020-10-15,198.2,198.2,192.65,193.6,557813.0,-0.017009393247017,1.0
2020-10-16,195.0,195.75,192.35,195.0,401062.0,0.00723140495867769,1.0
2020-10-19,196.6,203.3,193.55,200.75,870196.0,0.029487179487179382,1.0
2020-10-20,201.3,202.35,196.55,198.8,607584.0,-0.009713574097135691,1.0
2020-10-21,200.7,200.7,192.3,194.3,1115214.0,-0.02263581488933597,1.0
2020-10-22,195.4,197.55,193.15,196.05,532167.0,0.009006690684508545,1.0
2020-10-23,197.05,198.25,192.1,194.85,825683.0,-0.006120887528691776,1.0
2020-10-26,196.25,196.25,192.2,192.8,1438427.0,-0.01052091352322293,1.0
2020-10-27,193.8,197.4,192.25,193.95,730698.0,0.00596473029045641,1.0
2020-10-28,194.0,195.6,192.8,193.45,975003.0,-0.002577984016499113,1.0
2020-10-29,192.0,195.9,191.5,193.35,1452874.0,-0.0005169294391315082,1.0
2020-10-30,195.1,196.65,191.0,191.3,1002543.0,-0.010602534264287478,1.0
2020-11-02,192.0,193.5,184.7,185.65,1022547.0,-0.029534762153685334,1.0
2020-11-03,187.0,190.25,185.0,185.95,468227.0,0.0016159439806084919,1.0
2020-11-04,186.3,187.65,181.0,181.25,823532.0,-0.025275611723581504,1.0
2020-11-05,183.55,187.5,183.0,186.8,425106.0,0.030620689655172395,1.0
2020-11-06,187.0,195.5,187.0,194.4,759134.0,0.04068522483940029,1.0
2020-11-09,195.5,201.45,194.55,196.7,1099586.0,0.011831275720164625,1.0
2020-11-10,197.0,204.75,196.8,201.65,1359680.0,0.025165226232841897,1.0
2020-11-11,202.0,207.35,200.0,204.25,751480.0,0.012893627572526656,1.0
2020-11-12,204.7,210.0,202.2,208.7,935807.0,0.021787025703794205,1.0
2020-11-13,208.7,213.45,205.9,206.95,665434.0,-0.00838524197412549,1.0
2020-11-14,209.8,210.0,205.4,206.75,176066.0,-0.0009664170089392909,1.0
2020-11-17,206.75,213.45,206.6,208.25,771971.0,0.007255139056831839,1.0
2020-11-18,208.5,210.7,207.0,208.35,454281.0,0.00048019207683069887,1.0
2020-11-19,208.3,210.2,204.4,205.45,414450.0,-0.013918886489080906,1.0
2020-11-20,205.45,208.2,203.7,205.15,498424.0,-0.0014602092966657931,1.0
2020-11-23,206.05,207.85,203.4,206.6,401493.0,0.007067999025103466,1.0
2020-11-24,207.6,214.2,206.3,212.25,779999.0,0.027347531461761942,1.0
2020-11-25,213.9,216.9,207.5,211.75,766334.0,-0.002355712603062443,1.0
2020-11-26,211.75,214.85,211.05,212.6,611057.0,0.004014167650531197,1.0
2020-11-27,213.0,219.0,211.75,217.7,1712103.0,0.023988711194731893,1.0
2020-12-01,219.5,223.5,214.15,218.0,1787783.0,0.0013780431786862835,1.0
2020-12-02,220.0,222.8,214.15,216.8,834253.0,-0.0055045871559632475,1.0
2020-12-03,220.1,221.0,214.05,215.0,673704.0,-0.008302583025830312,1.0
2020-12-04,216.3,218.0,212.15,215.5,492624.0,0.0023255813953488857,1.0
2020-12-07,216.4,218.05,213.9,214.25,498517.0,-0.0058004640371229765,1.0
2020-12-08,216.9,219.05,212.8,214.2,1205594.0,-0.0002333722287047868,1.0
2020-12-09,216.4,222.5,214.35,218.55,1605849.0,0.02030812324929987,1.0
2020-12-10,218.5,223.65,214.7,221.05,1209379.0,0.011439029970258474,1.0
