Date,Open,High,Low,Close,Volume,Returns,Anomaly
2003-12-29,,,,,,,
2003-12-30,,,,,,,
2003-12-31,,,,,,,
2004-01-01,152.0,153.9,147.2,150.65,7461782.0,0.017561634582911045,1.0
2004-01-02,151.9,152.4,147.05,148.15,5213083.0,-0.016594756057085935,1.0
2004-01-05,148.8,149.65,137.1,137.75,7137219.0,-0.0701991225109686,1.0
2004-01-06,143.1,144.55,134.9,136.06666666666666,6157829.0,-0.037371544672816816,1.0
2004-01-07,137.4,139.45,132.7,134.38333333333333,5178439.0,-0.004543966834665028,1.0
2004-01-08,131.7,134.35,130.5,132.7,4199049.0,0.028283611003486753,1.0
2004-01-09,135.0,137.7,128.1,128.8,4151502.0,-0.02938960060286344,1.0
2004-01-12,129.6,129.7,125.05,126.05,3100098.0,-0.021350931677018736,1.0
2004-01-13,126.25,128.4,123.0,123.65,2640549.0,-0.019040063466878143,1.0
2004-01-14,124.1,126.35,123.1,123.6,1494830.0,-0.0004043671653862768,1.0
2004-01-15,124.8,127.8,122.5,123.45,2884915.0,-0.0012135922330096527,1.0
2004-01-16,123.9,124.0,114.2,114.8,2566511.0,-0.07006885378695837,1.0
2004-01-19,115.9,116.35,108.1,112.75,3025347.0,-0.017857142857142794,1.0
2004-01-20,113.8,119.0,110.5,111.45,2820082.0,-0.011529933481152943,1.0
2004-01-21,112.0,112.0,98.15,99.95,3545920.0,-0.10318528488111256,1.0
2004-01-22,100.1,103.8,96.7,98.5,3504049.0,-0.014507253626813488,1.0
2004-01-23,100.1,107.35,98.5,105.3,2832728.0,0.06903553299492393,1.0
2004-01-27,108.0,110.0,105.2,109.4,1862064.0,0.03893637226970559,1.0
2004-01-28,110.25,110.65,103.4,104.5,1649050.0,-0.04478976234003662,1.0
2004-01-29,105.0,105.0,102.0,102.7,1198830.0,-0.017224880382775143,1.0
2004-01-30,103.3,103.7,99.0,99.7,1055851.0,-0.02921129503407982,1.0
2004-02-03,100.7,100.7,90.75,91.7,1619599.0,-0.08024072216649947,1.0
2004-02-04,92.0,92.8,88.6,89.55,3351635.0,-0.023446019629225767,1.0
2004-02-05,90.0,95.55,89.55,90.7,3912520.0,0.012841987716359693,1.0
2004-02-06,91.25,92.2,90.2,91.6,1639174.0,0.009922822491730932,1.0
2004-02-09,92.4,93.0,91.5,92.5,1215269.0,0.009825327510917026,1.0
2004-02-10,93.1,96.3,92.75,94.45,2711265.0,0.021081081081081088,1.0
2004-02-11,95.3,95.5,93.1,94.0,1007016.0,-0.004764425622022284,1.0
2004-02-12,94.9,101.75,93.7,99.8,5896304.0,0.06170212765957439,1.0
2004-02-13,101.0,104.25,99.3,102.85,4495119.0,0.030561122244489036,1.0
2004-02-16,103.35,105.5,101.65,102.7,2770236.0,-0.001458434613514692,1.0
2004-02-17,103.5,103.5,100.6,101.1,1297252.0,-0.015579357351509282,1.0
2004-02-18,102.0,103.3,99.7,100.25,1520942.0,-0.008407517309594437,1.0
2004-02-19,100.65,101.65,96.55,96.85,1692186.0,-0.033915211970074854,1.0
2004-02-20,96.0,96.55,94.0,95.25,1610142.0,-0.01652039235931846,1.0
2004-02-23,96.0,96.4,91.9,92.25,886337.0,-0.03149606299212604,1.0
2004-02-24,92.0,92.5,90.55,91.85,1130600.0,-0.0043360433604336945,1.0
2004-02-25,92.4,93.5,90.0,90.55,812035.0,-0.014153511159499144,1.0
2004-02-26,92.0,92.4,89.75,90.2,737425.0,-0.003865267807840911,1.0
2004-02-27,90.5,91.45,88.75,90.05,769623.0,-0.001662971175166339,1.0
2004-03-01,91.8,91.8,90.0,90.75,576925.0,0.007773459189339249,1.0
2004-03-03,91.8,95.3,90.55,93.55,1914145.0,0.030853994490358083,1.0
2004-03-04,94.0,95.9,91.35,91.8,1543911.0,-0.018706574024585754,1.0
2004-03-05,92.1,94.6,91.75,93.65,982384.0,0.02015250544662317,1.0
2004-03-08,93.5,97.35,93.5,96.3,1816987.0,0.028296849973304727,1.0
2004-03-09,96.5,96.75,92.55,93.15,1023264.0,-0.032710280373831724,1.0
2004-03-10,93.0,94.45,92.5,93.75,907511.0,0.006441223832528209,1.0
2004-03-11,93.75,93.75,90.25,90.7,584304.0,-0.0325333333333333,1.0
2004-03-12,90.0,91.0,88.8,90.3,918193.0,-0.004410143329658278,1.0
2004-03-15,90.5,92.0,85.0,86.9,723643.0,-0.03765227021040962,1.0
2004-03-16,85.4,85.4,81.05,81.75,1114613.0,-0.05926352128883783,1.0
2004-03-17,82.8,83.0,81.2,81.75,640958.0,0.0,1.0
2004-03-18,83.9,83.9,80.25,80.65,672636.0,-0.013455657492354667,1.0
2004-03-19,81.2,81.2,77.6,78.1,860508.0,-0.031618102913825274,1.0
2004-03-22,78.5,78.9,73.1,73.6,914939.0,-0.057618437900127994,1.0
2004-03-23,73.5,73.5,68.1,70.15,1804419.0,-0.04687499999999989,1.0
2004-03-24,70.25,74.8,68.8,72.55,1851674.0,0.034212401995723285,1.0
2004-03-25,74.0,76.6,72.6,75.2,1402760.0,0.03652653342522405,1.0
2004-03-26,73.1,77.8,73.1,76.4,1060532.0,0.015957446808510634,1.0
2004-03-29,77.0,80.6,76.5,79.4,1341304.0,0.03926701570680624,1.0
2004-03-30,81.0,83.4,79.6,81.8,1371025.0,0.030226700251889005,1.0
2004-03-31,82.85,85.15,81.3,82.9,1039906.0,0.01344743276283622,1.0
2004-04-01,83.8,86.0,83.0,85.0,983152.0,0.02533172496984304,1.0
2004-04-02,85.9,91.8,85.4,89.85,1759023.0,0.057058823529411606,1.0
2004-04-05,91.75,93.75,90.85,91.35,1530978.0,0.016694490818029983,1.0
2004-04-06,91.95,92.3,88.0,88.8,1275669.0,-0.02791461412151064,1.0
2004-04-07,88.5,89.25,87.2,88.25,665971.0,-0.006193693693693714,1.0
2004-04-08,87.0,88.5,86.2,86.65,661579.0,-0.018130311614730776,1.0
2004-04-12,87.0,89.0,85.5,86.0,682672.0,-0.007501442585112539,1.0
2004-04-13,86.5,86.9,85.1,86.5,474791.0,0.005813953488372103,1.0
2004-04-15,87.1,87.45,85.0,85.25,553708.0,-0.014450867052023142,1.0
2004-04-16,85.3,85.95,84.25,84.55,454688.0,-0.008211143695014744,1.0
2004-04-17,85.2,92.35,83.35,91.55,1985786.0,0.08279124778237734,1.0
2004-04-19,92.0,94.4,88.3,89.35,1856118.0,-0.02403058438012018,1.0
2004-04-20,88.1,90.5,87.0,88.1,1430329.0,-0.013989927252378243,1.0
2004-04-21,87.4,91.7,87.35,90.6,1275008.0,0.028376844494892195,1.0
2004-04-22,91.45,91.85,89.6,90.35,924318.0,-0.0027593818984547047,1.0
2004-04-23,90.8,92.5,90.1,90.45,1013709.0,0.0011068068622026583,1.0
2004-04-27,87.0,90.45,83.55,84.35,750564.0,-0.06744057490326161,1.0
2004-04-28,84.0,85.6,81.75,83.5,1036900.0,-0.010077059869590954,1.0
2004-04-29,82.0,87.0,82.0,84.4,702172.0,0.010778443113772518,1.0
2004-04-30,85.0,86.3,84.0,84.25,466606.0,-0.0017772511848341832,1.0
2004-05-03,84.0,84.0,80.0,80.8,595349.0,-0.04094955489614249,1.0
2004-05-04,83.15,84.9,81.75,83.3,462739.0,0.030940594059405857,1.0
2004-05-05,80.1,84.85,80.1,83.95,464133.0,0.007803121248499467,1.0
2004-05-06,84.0,86.7,84.0,85.1,540319.0,0.013698630136986134,1.0
2004-05-07,85.75,90.45,83.5,88.3,1515690.0,0.03760282021151595,1.0
2004-05-10,89.9,89.9,85.0,86.0,745685.0,-0.02604756511891282,1.0
2004-05-11,85.45,85.45,81.1,82.05,636776.0,-0.04593023255813955,1.0
2004-05-12,82.0,83.75,80.0,82.65,834874.0,0.007312614259597838,1.0
2004-05-13,82.0,84.4,77.2,80.65,1066016.0,-0.024198427102238407,1.0
2004-05-14,81.95,82.0,64.55,71.5,1370542.0,-0.11345319280843158,1.0
2004-05-17,70.0,73.0,57.2,59.7,1023793.0,-0.16503496503496495,1.0
2004-05-18,60.0,69.0,58.0,68.0,962349.0,0.1390284757118927,1.0
2004-05-19,69.6,74.0,69.6,72.65,759962.0,0.06838235294117645,1.0
2004-05-20,73.4,75.4,71.3,73.2,814388.0,0.007570543702684063,1.0
2004-05-21,72.8,72.8,70.2,71.8,424757.0,-0.019125683060109422,1.0
2004-05-24,72.5,74.2,72.5,72.9,359596.0,0.015320334261838653,1.0
2004-05-25,73.0,73.9,71.1,73.05,434844.0,0.002057613168724215,1.0
2004-05-26,74.0,75.35,72.8,73.1,468049.0,0.000684462696783017,1.0
2004-05-27,72.7,74.5,72.0,72.15,220312.0,-0.012995896032831578,1.0
2004-05-28,72.0,72.0,67.5,68.15,382455.0,-0.05544005544005548,1.0
2004-05-31,67.0,67.45,65.0,65.6,441712.0,-0.03741746148202507,1.0
2004-06-01,68.0,68.0,66.0,66.85,255882.0,0.019054878048780477,1.0
2004-06-02,67.8,68.4,67.0,67.3,249726.0,0.006731488406881203,1.0
2004-06-03,68.3,68.5,67.0,67.1,414067.0,-0.002971768202080227,1.0
2004-06-04,67.5,67.5,65.15,66.3,220893.0,-0.011922503725782407,1.0
2004-06-07,67.5,67.95,66.1,66.55,167458.0,0.0037707390648566985,1.0
2004-06-08,67.5,67.7,65.15,65.5,180442.0,-0.01577761081893314,1.0
2004-06-09,65.75,67.3,65.55,65.9,307711.0,0.006106870229007688,1.0
2004-06-10,66.25,67.5,65.1,66.3,278698.0,0.006069802731411,1.0
2004-06-11,65.7,66.65,64.55,64.9,204197.0,-0.02111613876319751,1.0
2004-06-14,63.75,64.5,62.0,62.25,214008.0,-0.04083204930662565,1.0
2004-06-15,64.5,64.5,61.65,62.7,200376.0,0.0072289156626506035,1.0
2004-06-16,64.25,66.0,63.1,63.45,376313.0,0.011961722488038173,1.0
2004-06-17,64.0,64.0,62.25,62.6,192113.0,-0.013396375098502777,1.0
2004-06-18,62.6,63.3,62.0,62.25,202268.0,-0.005591054313099031,1.0
2004-06-21,62.1,62.9,60.05,60.3,243785.0,-0.031325301204819356,1.0
2004-06-22,60.0,60.5,58.25,58.6,232791.0,-0.028192371475953548,1.0
2004-06-23,59.0,59.2,56.4,56.7,233332.0,-0.03242320819112621,1.0
2004-06-24,57.0,57.4,55.65,56.4,304331.0,-0.005291005291005346,1.0
2004-06-25,57.0,59.35,56.2,57.85,424539.0,0.025709219858156107,1.0
2004-06-28,58.0,59.25,58.0,58.85,279234.0,0.01728608470181503,1.0
2004-06-29,59.25,59.65,58.05,58.4,466912.0,-0.007646559048428259,1.0
2004-06-30,58.6,61.9,58.6,59.85,815079.0,0.02482876712328763,1.0
2004-07-01,59.95,64.35,59.95,63.65,1243316.0,0.06349206349206349,1.0
2004-07-02,63.65,67.85,62.15,67.3,2030122.0,0.0573448546739983,1.0
2004-07-05,67.55,69.95,66.5,67.2,1708757.0,-0.0014858841010400026,1.0
2004-07-06,67.05,67.6,65.5,66.75,658287.0,-0.006696428571428603,1.0
2004-07-07,66.7,68.8,66.1,67.1,793815.0,0.005243445692883819,1.0
2004-07-08,65.0,68.25,62.1,63.0,728684.0,-0.06110283159463481,1.0
2004-07-09,58.1,68.0,58.1,63.95,599013.0,0.015079365079365026,1.0
2004-07-12,58.0,65.9,58.0,64.55,373055.0,0.009382329945269552,1.0
2004-07-13,65.0,65.2,63.5,63.65,191350.0,-0.013942680092951187,1.0
2004-07-14,63.6,64.65,63.0,63.2,158023.0,-0.0070699135899449095,1.0
2004-07-15,64.0,65.0,63.0,64.5,357880.0,0.020569620253164445,1.0
2004-07-16,65.0,68.9,65.0,67.8,997580.0,0.051162790697674376,1.0
2004-07-19,68.7,71.2,67.4,69.8,1472866.0,0.029498525073746285,1.0
2004-07-20,72.0,73.6,70.5,71.1,1669221.0,0.01862464183381074,1.0
2004-07-21,71.9,73.4,71.1,72.0,946029.0,0.012658227848101333,1.0
2004-07-22,73.0,75.9,72.1,72.5,920482.0,0.00694444444444442,1.0
2004-07-23,72.3,74.8,72.15,74.45,1275472.0,0.026896551724137963,1.0
2004-07-26,71.5,74.4,70.05,73.05,591491.0,-0.018804566823371505,1.0
2004-07-27,73.0,73.75,71.5,71.65,469192.0,-0.019164955509924586,1.0
2004-07-28,71.1,72.3,70.2,70.4,230969.0,-0.017445917655268706,1.0
2004-07-29,71.5,71.5,69.55,70.95,409434.0,0.0078125,1.0
2004-07-30,72.6,73.15,71.2,72.65,602520.0,0.02396053558844269,1.0
2004-08-02,70.1,73.6,70.1,71.8,356953.0,-0.011699931176875511,1.0
2004-08-03,71.5,72.45,70.25,70.4,233061.0,-0.01949860724233976,1.0
2004-08-04,71.7,72.0,69.5,69.95,255168.0,-0.006392045454545525,1.0
2004-08-05,70.0,71.0,70.0,70.45,191639.0,0.0071479628305932685,1.0
2004-08-06,71.0,71.4,70.05,70.15,265584.0,-0.004258339247693366,1.0
2004-08-09,70.25,72.4,69.25,71.95,421541.0,0.02565930149679252,1.0
2004-08-10,72.5,72.7,70.3,70.8,344533.0,-0.015983321751216195,1.0
2004-08-11,71.15,71.4,68.25,68.75,270730.0,-0.028954802259887003,1.0
2004-08-12,69.0,69.6,67.6,68.0,199512.0,-0.010909090909090868,1.0
2004-08-13,68.45,68.85,67.15,67.45,163150.0,-0.008088235294117618,1.0
2004-08-16,67.55,68.2,66.75,66.95,150676.0,-0.007412898443291294,1.0
2004-08-17,67.25,68.65,67.25,68.1,149858.0,0.017176997759521972,1.0
2004-08-18,67.6,68.65,67.5,67.75,173519.0,-0.0051395007342143195,1.0
2004-08-19,68.5,68.6,67.55,68.15,147891.0,0.005904059040590548,1.0
2004-08-20,67.85,70.4,67.75,68.2,306774.0,0.0007336757153337814,1.0
2004-08-23,68.3,68.8,66.35,66.55,139776.0,-0.024193548387096864,1.0
2004-08-24,66.05,69.0,66.05,68.1,217140.0,0.023290758827948954,1.0
2004-08-25,68.8,71.0,67.1,67.5,283874.0,-0.008810572687224627,1.0
2004-08-26,67.85,68.45,67.65,68.0,148172.0,0.007407407407407307,1.0
2004-08-27,67.8,71.7,67.8,71.4,1070630.0,0.050000000000000044,1.0
2004-08-30,72.1,75.85,71.6,75.35,1508691.0,0.05532212885154042,1.0
2004-08-31,75.7,75.9,73.7,75.35,770870.0,0.0,1.0
2004-09-01,75.8,76.5,74.75,75.0,535818.0,-0.004644990046449804,1.0
2004-09-02,75.85,75.85,73.25,73.6,443266.0,-0.01866666666666672,1.0
2004-09-03,74.0,74.5,73.0,73.65,288865.0,0.00067934782608714,1.0
2004-09-06,74.0,76.45,73.65,75.45,725837.0,0.024439918533604832,1.0
2004-09-07,76.25,77.9,75.2,77.45,1065374.0,0.026507620941020438,1.0
2004-09-08,77.5,78.0,76.0,76.25,379641.0,-0.015493867010974882,1.0
2004-09-09,76.25,77.0,74.9,75.75,461671.0,-0.006557377049180357,1.0
2004-09-10,75.8,77.0,75.15,75.65,383007.0,-0.0013201320132012473,1.0
2004-09-13,75.65,77.3,75.65,76.3,542376.0,0.008592200925313875,1.0
2004-09-14,76.1,76.1,75.0,75.05,274286.0,-0.016382699868938366,1.0
2004-09-15,75.7,75.9,74.9,75.3,274479.0,0.0033311125916055673,1.0
2004-09-16,75.05,76.85,75.0,76.5,284855.0,0.015936254980079667,1.0
2004-09-17,76.1,77.0,75.0,75.65,393234.0,-0.011111111111111072,1.0
2004-09-20,76.25,76.95,75.1,75.25,287752.0,-0.005287508261731744,1.0
2004-09-21,76.25,76.25,75.3,75.8,183420.0,0.0073089700996678,1.0
2004-09-22,76.25,76.7,75.5,75.8,268298.0,0.0,1.0
2004-09-23,76.0,76.2,74.8,75.1,198029.0,-0.009234828496042291,1.0
2004-09-24,76.4,76.4,74.5,74.65,161743.0,-0.005992010652463242,1.0
2004-09-27,75.95,75.95,74.5,74.7,168999.0,0.0006697923643670389,1.0
2004-09-28,74.8,75.1,73.9,74.3,179404.0,-0.0053547523427042165,1.0
2004-09-29,75.0,75.0,73.55,73.9,129711.0,-0.005383580080753569,1.0
2004-09-30,74.4,75.0,74.0,74.2,173498.0,0.004059539918809252,1.0
2004-10-01,73.85,75.9,73.85,75.25,214148.0,0.014150943396226356,1.0
2004-10-04,75.5,78.9,75.3,78.0,752392.0,0.03654485049833878,1.0
2004-10-05,78.0,82.25,78.0,81.15,1750857.0,0.04038461538461546,1.0
2004-10-06,81.8,84.2,81.05,81.55,1287282.0,0.004929143561306137,1.0
2004-10-07,82.0,82.5,80.1,80.5,494167.0,-0.012875536480686622,1.0
2004-10-08,80.95,81.2,79.55,79.95,303849.0,-0.006832298136645876,1.0
2004-10-09,80.25,80.55,79.5,79.65,148660.0,-0.0037523452157598447,1.0
2004-10-11,79.75,80.85,78.1,78.5,218630.0,-0.014438166980539902,1.0
2004-10-12,79.0,79.2,76.75,77.05,210371.0,-0.01847133757961783,1.0
2004-10-14,77.3,77.3,75.65,75.9,170948.0,-0.01492537313432829,1.0
2004-10-15,76.3,77.6,75.65,76.25,240371.0,0.004611330698287119,1.0
2004-10-18,76.9,78.25,76.25,76.8,222212.0,0.00721311475409836,1.0
2004-10-19,77.0,77.25,76.25,76.45,116622.0,-0.00455729166666663,1.0
2004-10-20,76.6,77.0,75.0,75.3,303865.0,-0.015042511445389262,1.0
2004-10-21,75.5,75.75,75.0,75.15,113092.0,-0.0019920318725098474,1.0
2004-10-25,74.4,75.0,71.7,72.25,143908.0,-0.03858948769128412,1.0
2004-10-26,72.1,73.2,71.8,72.75,136351.0,0.006920415224913601,1.0
2004-10-27,73.45,75.25,72.7,74.5,202059.0,0.02405498281786933,1.0
2004-10-28,75.4,75.4,73.6,73.95,120614.0,-0.007382550335570448,1.0
2004-10-29,74.05,75.0,72.6,73.05,142634.0,-0.012170385395537608,1.0
2004-11-01,73.6,74.35,73.0,73.7,105697.0,0.008898015058179443,1.0
2004-11-02,74.0,74.75,73.05,73.15,118647.0,-0.00746268656716409,1.0
2004-11-03,73.3,74.5,73.05,73.35,119084.0,0.002734107997265811,1.0
2004-11-04,73.35,74.25,73.0,73.35,141235.0,0.0,1.0
2004-11-05,74.65,84.4,74.65,76.2,480948.0,0.03885480572597144,1.0
2004-11-08,77.0,77.0,75.0,75.05,354763.0,-0.015091863517060489,1.0
2004-11-09,75.8,76.0,73.5,73.8,231523.0,-0.016655562958027947,1.0
2004-11-10,76.5,76.5,73.2,74.45,171677.0,0.00880758807588089,1.0
2004-11-11,75.0,75.0,73.65,74.2,144710.0,-0.00335795836131636,1.0
2004-11-12,74.9,75.4,73.85,74.2,54768.0,0.0,1.0
2004-11-16,74.5,74.75,73.5,73.75,126390.0,-0.0060646900269542,1.0
2004-11-17,74.25,74.5,73.8,74.0,193865.0,0.003389830508474523,1.0
2004-11-18,74.7,77.0,73.7,74.6,221013.0,0.008108108108108025,1.0
2004-11-19,75.0,75.35,74.2,74.5,225171.0,-0.0013404825737264314,1.0
2004-11-22,74.0,76.95,73.15,76.0,382868.0,0.020134228187919545,1.0
2004-11-23,76.3,77.9,76.0,76.35,324904.0,0.004605263157894557,1.0
2004-11-24,77.45,80.3,76.3,78.7,999355.0,0.03077930582842181,1.0
2004-11-25,79.0,79.8,75.6,76.1,461426.0,-0.03303684879288449,1.0
2004-11-29,76.2,77.9,75.65,76.95,369794.0,0.011169513797634867,1.0
2004-11-30,77.7,78.05,76.05,76.7,372695.0,-0.0032488628979857603,1.0
2004-12-01,77.0,78.0,75.6,77.25,371786.0,0.007170795306388422,1.0
2004-12-02,77.45,79.4,77.25,79.0,772113.0,0.02265372168284796,1.0
2004-12-03,79.55,81.75,79.0,80.05,1112016.0,0.0132911392405064,1.0
2004-12-06,80.0,81.3,79.1,79.55,405463.0,-0.006246096189881367,1.0
2004-12-07,79.9,80.45,79.05,80.1,326959.0,0.00691389063482073,1.0
2004-12-08,80.8,80.8,78.0,78.95,454609.0,-0.014357053682896304,1.0
2004-12-09,79.8,80.1,78.55,80.0,419823.0,0.013299556681444002,1.0
2004-12-10,80.4,80.5,78.5,79.4,357527.0,-0.007499999999999951,1.0
2004-12-13,79.65,80.3,78.75,79.5,586325.0,0.0012594458438286438,1.0
2004-12-14,80.35,81.6,79.8,80.25,372166.0,0.009433962264151052,1.0
2004-12-15,81.0,82.0,80.0,80.05,420263.0,-0.0024922118380062974,1.0
2004-12-16,80.25,80.7,79.8,80.0,281040.0,-0.0006246096189881367,1.0
2004-12-17,80.6,84.25,80.0,81.85,1185159.0,0.02312499999999984,1.0
2004-12-20,81.75,84.3,80.65,83.4,849592.0,0.01893708002443506,1.0
2004-12-21,84.0,85.0,82.2,82.45,710915.0,-0.011390887290167906,1.0
2004-12-22,83.0,83.4,80.65,81.1,301561.0,-0.016373559733171672,1.0
2004-12-23,81.7,82.5,80.45,80.65,248981.0,-0.0055487053020960575,1.0
2004-12-24,81.25,82.25,81.05,81.35,267141.0,0.008679479231245901,1.0
2004-12-27,81.2,84.0,81.2,83.4,541743.0,0.025199754148740094,1.0
2004-12-28,83.0,84.0,82.7,82.85,531828.0,-0.006594724220623682,1.0
2004-12-29,81.7,84.1,81.7,82.8,858628.0,-0.0006035003017501595,1.0
2004-12-30,82.2,87.75,82.2,86.9,1886114.0,0.049516908212560384,1.0
2004-12-31,87.75,93.4,86.1,91.25,2819370.0,0.050057537399309515,1.0
2005-01-03,94.33333333333333,99.36666666666667,88.11666666666666,94.51666666666667,3448369.0,0.010197965387139428,1.0
2005-01-04,100.91666666666667,105.33333333333333,90.13333333333334,97.78333333333333,4077368.0,-0.02966160662503066,1.0
2005-01-05,107.5,111.3,92.15,101.05,4706367.0,-0.06952117863720075,1.0
2005-01-06,102.0,106.35,94.1,100.7,3739030.0,-0.003463631865413097,1.0
2005-01-07,102.5,115.9,98.65,105.75,3876468.0,0.05014895729890756,1.0
2005-01-10,106.5,107.4,100.0,100.9,2252411.0,-0.045862884160756456,1.0
2005-01-11,99.85,102.75,95.35,96.25,1590830.0,-0.046085232903865236,1.0
2005-01-12,96.25,98.8,90.0,91.15,1887705.0,-0.052987012987012916,1.0
2005-01-13,91.4,101.7,91.0,100.55,2419809.0,0.10312671420735042,1.0
2005-01-14,101.9,102.75,98.2,100.4,2293815.0,-0.001491795126802531,1.0
2005-01-17,100.9,101.9,97.25,100.9,1335613.0,0.004980079681274896,1.0
2005-01-18,102.0,102.7,99.3,101.15,1228533.0,0.0024777006937561907,1.0
2005-01-19,101.8,101.85,96.5,97.55,494904.0,-0.03559070687098376,1.0
2005-01-20,96.8,97.7,95.0,95.65,415691.0,-0.019477191184008147,1.0
2005-01-24,96.0,101.0,94.1,95.5,822812.0,-0.001568217459487764,1.0
2005-01-25,96.0,97.0,93.55,96.05,848908.0,0.0057591623036648,1.0
2005-01-27,97.0,98.7,95.55,96.0,485765.0,-0.0005205622071837723,1.0
2005-01-28,96.4,97.45,96.0,96.25,315793.0,0.0026041666666667407,1.0
2005-01-31,97.3,99.7,96.75,97.75,661949.0,0.01558441558441559,1.0
2005-02-01,98.65,98.65,96.55,97.25,934660.0,-0.005115089514066473,1.0
2005-02-02,98.35,99.0,96.0,96.2,1190679.0,-0.010796915167095134,1.0
2005-02-03,96.9,102.0,96.9,99.65,2808607.0,0.035862785862785795,1.0
2005-02-04,100.1,101.2,97.55,98.65,1015938.0,-0.01003512293025588,1.0
2005-02-07,99.0,102.5,98.45,98.8,1215309.0,0.001520527116066761,1.0
2005-02-08,100.0,106.4,99.0,104.9,3944396.0,0.061740890688259276,1.0
2005-02-09,105.5,109.9,105.0,107.95,3347909.0,0.029075309818875184,1.0
2005-02-10,107.0,109.4,104.1,104.5,1335429.0,-0.031959240389069055,1.0
2005-02-11,106.5,106.5,102.45,103.1,963670.0,-0.013397129186602963,1.0
2005-02-14,103.1,105.7,101.7,102.2,690908.0,-0.008729388942773975,1.0
2005-02-15,103.0,103.45,100.25,100.85,858932.0,-0.013209393346379716,1.0
2005-02-16,101.1,102.95,97.25,99.0,1107765.0,-0.01834407535944471,1.0
