Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-10-08,64.95,64.95,64.95,64.95,100.0,,1.0
1996-10-14,68.95,68.95,68.05,68.05,300.0,0.0477290223248652,1.0
1996-10-15,65.5,65.5,65.5,65.5,100.0,-0.03747244673034533,1.0
1996-10-16,68.0,68.0,68.0,68.0,50.0,0.03816793893129766,1.0
1996-10-24,68.0,70.0,68.0,70.0,700.0,0.02941176470588225,1.0
1996-10-25,69.5,69.5,69.5,69.5,300.0,-0.0071428571428571175,1.0
1996-11-05,67.0,70.0,67.0,70.0,250.0,0.007194244604316502,1.0
1996-11-06,67.0,67.0,66.95,66.95,400.0,-0.04357142857142848,1.0
1996-11-07,65.5,65.5,65.0,65.0,300.0,-0.029126213592232997,1.0
1996-11-08,65.5,65.5,64.25,64.25,300.0,-0.011538461538461497,1.0
1996-11-14,62.05,62.05,62.05,62.05,50.0,-0.03424124513618676,1.0
1996-11-15,64.7,64.7,64.7,64.7,50.0,0.042707493956486875,1.0
1996-11-18,66.0,66.0,66.0,66.0,300.0,0.020092735703245657,1.0
1996-11-19,62.5,66.0,62.5,66.0,200.0,0.0,1.0
1996-11-20,64.75,64.75,63.0,63.0,300.0,-0.045454545454545414,1.0
1996-11-21,62.0,62.0,62.0,62.0,100.0,-0.015873015873015928,1.0
1996-11-25,59.0,59.0,59.0,59.0,50.0,-0.048387096774193505,1.0
1996-11-29,57.0,57.0,57.0,57.0,200.0,-0.03389830508474578,1.0
1996-12-03,54.0,54.0,54.0,54.0,50.0,-0.052631578947368474,1.0
1996-12-04,50.05,50.05,50.05,50.05,50.0,-0.07314814814814818,1.0
1996-12-10,47.5,47.5,47.5,47.5,50.0,-0.05094905094905089,1.0
1996-12-11,50.0,52.0,50.0,52.0,100.0,0.09473684210526323,1.0
1996-12-13,50.0,50.0,50.0,50.0,50.0,-0.038461538461538436,1.0
1996-12-16,51.95,52.0,50.25,50.25,200.0,0.004999999999999893,1.0
1996-12-17,51.0,52.0,51.0,52.0,200.0,0.03482587064676612,1.0
1996-12-18,52.25,53.0,52.1,52.75,1950.0,0.014423076923076872,1.0
1996-12-19,56.3,56.3,55.0,56.0,700.0,0.06161137440758302,1.0
1996-12-20,56.0,56.0,55.0,55.0,400.0,-0.017857142857142905,1.0
1996-12-23,55.5,58.0,55.5,58.0,200.0,0.05454545454545445,1.0
1996-12-24,56.5,58.0,56.5,57.8,350.0,-0.0034482758620689724,1.0
1996-12-26,60.0,63.0,60.0,63.0,350.0,0.08996539792387548,1.0
1996-12-31,63.55,64.0,62.05,64.0,750.0,0.015873015873015817,1.0
1997-01-01,69.5,70.0,69.5,70.0,100.0,0.09375,1.0
1997-01-02,68.75,70.0,66.0,66.0,450.0,-0.05714285714285716,1.0
1997-01-03,64.0,64.0,64.0,64.0,450.0,-0.030303030303030276,1.0
1997-01-06,65.0,65.0,64.0,65.0,250.0,0.015625,1.0
1997-01-07,66.05,67.0,66.05,66.5,550.0,0.023076923076922995,1.0
1997-01-08,69.95,70.0,68.5,68.55,350.0,0.03082706766917287,1.0
1997-01-09,67.0,67.45,65.0,67.45,650.0,-0.01604668125455866,1.0
1997-01-10,67.75,67.75,67.75,67.75,100.0,0.004447739065974732,1.0
1997-01-13,70.5,70.5,67.25,67.25,550.0,-0.0073800738007380184,1.0
1997-01-14,70.5,71.5,69.5,69.5,500.0,0.03345724907063197,1.0
1997-01-15,74.0,74.0,71.8,74.0,200.0,0.06474820143884896,1.0
1997-01-16,80.0,81.25,72.05,72.1,1500.0,-0.025675675675675746,1.0
1997-01-17,70.0,70.0,70.0,70.0,150.0,-0.029126213592232886,1.0
1997-01-20,66.5,66.5,64.25,64.25,200.0,-0.08214285714285718,1.0
1997-01-21,63.0,63.5,60.0,60.5,500.0,-0.05836575875486383,1.0
1997-01-22,64.5,64.5,64.5,64.5,50.0,0.06611570247933884,1.0
1997-01-24,67.9,67.9,67.9,67.9,50.0,0.05271317829457378,1.0
1997-01-27,63.0,66.15,63.0,66.15,350.0,-0.02577319587628868,1.0
1997-01-29,66.5,66.5,66.5,66.5,50.0,0.005291005291005124,1.0
