Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-04-25,1150.0,1150.0,1150.0,1150.0,10.0,,1.0
1996-05-06,1050.0,1050.0,1050.0,1050.0,10.0,-0.08695652173913049,1.0
1996-05-16,1050.0,1050.0,945.0,945.0,15.0,-0.09999999999999998,1.0
1996-05-17,851.0,851.0,851.0,851.0,5.0,-0.09947089947089949,1.0
1996-05-21,770.0,770.0,770.0,770.0,15.0,-0.09518213866039948,1.0
1996-06-03,770.0,780.0,780.0,780.0,5.0,0.01298701298701288,1.0
1996-06-07,720.0,720.0,720.0,720.0,10.0,-0.07692307692307687,1.0
1996-06-11,730.0,730.0,700.0,700.0,10.0,-0.02777777777777779,1.0
1996-07-01,705.0,705.0,705.0,705.0,10.0,0.0071428571428571175,1.0
1996-07-04,680.0,680.0,680.0,680.0,5.0,-0.03546099290780147,1.0
1996-07-08,622.0,622.0,622.0,622.0,5.0,-0.08529411764705885,1.0
1996-07-23,625.0,625.0,625.0,625.0,5.0,0.004823151125401992,1.0
1996-07-25,625.0,625.0,625.0,625.0,20.0,0.0,1.0
1996-07-26,625.0,625.0,625.0,625.0,10.0,0.0,1.0
1996-07-30,600.0,600.0,600.0,600.0,5.0,-0.040000000000000036,1.0
1996-08-05,660.0,660.0,660.0,660.0,5.0,0.10000000000000009,1.0
1996-08-08,650.0,650.0,650.0,650.0,5.0,-0.015151515151515138,1.0
1996-08-13,595.05,595.05,595.0,595.05,10.0,-0.08453846153846156,1.0
1996-08-16,639.7,639.7,639.7,639.7,5.0,0.07503571128476616,1.0
1996-08-19,634.0,634.0,634.0,634.0,5.0,-0.008910426762545054,1.0
1996-08-22,625.0,625.0,625.0,625.0,5.0,-0.014195583596214534,1.0
1996-08-26,650.0,650.0,650.0,650.0,5.0,0.040000000000000036,1.0
1996-09-02,639.0,640.0,639.0,639.35,15.0,-0.01638461538461533,1.0
1996-09-03,640.0,640.0,640.0,640.0,5.0,0.00101665754281699,1.0
1996-09-06,640.0,640.0,640.0,640.0,5.0,0.0,1.0
1996-09-10,600.0,600.0,600.0,600.0,30.0,-0.0625,1.0
1996-09-13,614.0,616.0,614.0,616.0,15.0,0.026666666666666616,1.0
1996-09-17,610.0,610.0,610.0,610.0,5.0,-0.009740259740259716,1.0
1996-09-19,580.0,580.0,580.0,580.0,10.0,-0.049180327868852514,1.0
1996-09-23,623.0,623.0,623.0,623.0,5.0,0.07413793103448274,1.0
1996-09-25,561.0,561.0,561.0,561.0,5.0,-0.0995184590690209,1.0
1996-09-26,511.0,511.0,511.0,511.0,5.0,-0.089126559714795,1.0
1996-10-01,502.0,502.0,501.0,501.0,15.0,-0.019569471624266144,1.0
1996-10-04,551.0,551.0,501.0,501.0,15.0,0.0,1.0
1996-10-09,547.0,547.0,547.0,547.0,5.0,0.09181636726546905,1.0
1996-10-10,524.75,524.75,493.0,493.0,30.0,-0.09872029250457037,1.0
1996-10-11,490.0,490.0,490.0,490.0,15.0,-0.006085192697768749,1.0
1996-11-18,519.0,519.0,519.0,519.0,5.0,0.0591836734693878,1.0
1996-11-19,524.0,540.0,524.0,540.0,15.0,0.040462427745664664,1.0
1996-11-21,575.0,575.0,575.0,575.0,5.0,0.06481481481481488,1.0
1996-11-22,580.0,580.0,570.0,570.0,20.0,-0.008695652173912993,1.0
1996-11-29,575.0,575.0,575.0,575.0,5.0,0.00877192982456143,1.0
1996-12-11,620.0,620.0,620.0,620.0,5.0,0.07826086956521738,1.0
1997-01-02,600.0,600.0,600.0,600.0,5.0,-0.032258064516129004,1.0
1997-01-06,580.0,580.0,580.0,580.0,5.0,-0.033333333333333326,1.0
1997-01-07,580.0,580.0,580.0,580.0,20.0,0.0,1.0
1997-01-08,599.0,599.0,599.0,599.0,5.0,0.03275862068965507,1.0
1997-01-10,590.0,600.0,590.0,600.0,30.0,0.0016694490818029983,1.0
1997-01-13,600.0,630.0,600.0,620.0,45.0,0.03333333333333344,1.0
1997-01-14,669.0,681.0,669.0,681.0,20.0,0.09838709677419355,1.0
1997-01-15,739.95,745.0,739.95,745.0,10.0,0.0939794419970632,1.0
1997-01-16,755.0,755.0,700.0,700.0,35.0,-0.06040268456375841,1.0
1997-01-17,675.0,675.0,645.0,645.0,15.0,-0.07857142857142863,1.0
1997-01-20,645.0,645.0,645.0,645.0,5.0,0.0,1.0
1997-01-22,650.0,650.0,650.0,650.0,10.0,0.007751937984496138,1.0
1997-01-24,600.0,600.0,590.0,590.0,45.0,-0.09230769230769231,1.0
1997-01-29,600.0,620.0,600.0,620.0,20.0,0.05084745762711873,1.0
1997-01-30,615.0,615.0,600.0,600.0,20.0,-0.032258064516129004,1.0
1997-01-31,570.0,570.0,570.0,570.0,10.0,-0.050000000000000044,1.0
1997-02-03,570.0,570.0,565.0,565.0,15.0,-0.00877192982456143,1.0
1997-02-04,565.0,599.0,556.0,589.0,40.0,0.0424778761061948,1.0
1997-02-07,590.0,599.0,590.0,599.0,10.0,0.01697792869269943,1.0
1997-02-10,610.0,610.0,610.0,610.0,10.0,0.01836393989983298,1.0
1997-02-11,593.0,595.0,566.0,566.0,20.0,-0.0721311475409836,1.0
1997-02-13,565.0,565.0,565.0,565.0,10.0,-0.0017667844522968323,1.0
1997-02-14,593.0,594.0,593.0,593.7,15.0,0.05079646017699124,1.0
1997-02-17,595.0,595.0,590.0,595.0,15.0,0.002189658076469536,1.0
1997-02-18,581.0,581.0,580.0,580.0,15.0,-0.025210084033613467,1.0
1997-02-19,580.0,580.0,580.0,580.0,5.0,0.0,1.0
1997-02-21,580.0,580.0,580.0,580.0,5.0,0.0,1.0
1997-02-24,589.0,589.0,566.0,568.0,15.0,-0.020689655172413834,1.0
1997-02-25,560.0,570.0,560.0,570.0,15.0,0.0035211267605634866,1.0
1997-02-26,550.0,560.0,550.0,560.0,20.0,-0.01754385964912286,1.0
1997-02-27,560.0,560.0,545.0,545.0,25.0,-0.0267857142857143,1.0
1997-03-01,595.0,597.0,590.0,596.35,45.0,0.09422018348623862,1.0
1997-03-03,620.0,640.0,610.0,610.25,55.0,0.023308459797098946,1.0
1997-03-04,585.0,605.0,585.0,587.85,45.0,-0.03670626792298237,1.0
1997-03-05,633.0,633.0,600.0,600.0,25.0,0.020668537892319483,1.0
1997-03-06,600.0,600.0,600.0,600.0,35.0,0.0,1.0
1997-03-10,590.0,590.0,590.0,590.0,5.0,-0.01666666666666672,1.0
1997-03-11,590.0,615.0,590.0,593.35,60.0,0.00567796610169502,1.0
1997-03-18,575.0,575.0,575.0,575.0,20.0,-0.030926097581528644,1.0
1997-03-19,585.0,585.0,545.0,569.0,20.0,-0.01043478260869568,1.0
1997-03-21,560.0,560.0,560.0,560.0,5.0,-0.01581722319859402,1.0
1997-03-27,550.0,550.0,550.0,550.0,5.0,-0.017857142857142905,1.0
1997-03-31,501.0,501.0,501.0,501.0,10.0,-0.08909090909090911,1.0
1997-04-03,551.05,551.05,551.05,551.05,5.0,0.09990019960079821,1.0
1997-04-04,600.0,602.95,600.0,602.95,15.0,0.09418383086834248,1.0
1997-04-09,650.0,650.0,650.0,650.0,5.0,0.07803300439505745,1.0
1997-05-06,585.0,585.0,585.0,585.0,5.0,-0.09999999999999998,1.0
1997-05-07,530.0,530.0,530.0,530.0,10.0,-0.09401709401709402,1.0
1997-05-08,505.0,505.0,505.0,505.0,5.0,-0.047169811320754707,1.0
1997-05-09,495.05,497.0,495.05,496.5,15.0,-0.016831683168316847,1.0
1997-05-12,490.0,490.0,490.0,490.0,5.0,-0.01309164149043307,1.0
1997-05-13,462.0,462.0,462.0,462.0,5.0,-0.05714285714285716,1.0
1997-05-16,466.0,466.0,466.0,466.0,5.0,0.008658008658008587,1.0
1997-05-20,466.0,466.0,466.0,466.0,5.0,0.0,1.0
1997-05-22,440.0,460.0,440.0,460.0,10.0,-0.012875536480686733,1.0
1997-05-23,425.0,425.0,425.0,425.0,5.0,-0.07608695652173914,1.0
1997-05-27,425.0,425.0,425.0,425.0,10.0,0.0,1.0
1997-05-29,430.0,430.0,430.0,430.0,10.0,0.0117647058823529,1.0
1997-05-30,425.0,425.0,425.0,425.0,10.0,-0.011627906976744207,1.0
1997-06-02,425.0,425.0,425.0,425.0,20.0,0.0,1.0
1997-06-03,385.0,385.0,385.0,385.0,5.0,-0.09411764705882353,1.0
1997-06-11,400.0,400.0,400.0,400.0,10.0,0.03896103896103886,1.0
1997-06-13,410.0,410.0,410.0,410.0,5.0,0.02499999999999991,1.0
1997-06-16,410.0,410.0,410.0,410.0,5.0,0.0,1.0
1997-06-18,410.0,410.0,410.0,410.0,10.0,0.0,1.0
1997-06-23,404.0,405.0,404.0,404.5,10.0,-0.013414634146341475,1.0
1997-06-26,400.0,400.0,400.0,400.0,65.0,-0.011124845488257096,1.0
1997-07-01,380.0,380.0,375.1,376.75,15.0,-0.05812499999999998,1.0
1997-07-08,400.0,400.0,400.0,400.0,10.0,0.06171201061712006,1.0
1997-07-09,410.0,410.0,410.0,410.0,5.0,0.02499999999999991,1.0
1997-07-10,415.0,419.0,391.0,419.0,25.0,0.02195121951219514,1.0
1997-07-11,425.0,425.0,425.0,425.0,10.0,0.014319809069212486,1.0
1997-07-14,450.0,465.0,436.0,436.0,20.0,0.025882352941176467,1.0
1997-07-15,430.0,460.0,430.0,460.0,10.0,0.05504587155963292,1.0
1997-07-16,447.5,499.0,447.0,499.0,55.0,0.08478260869565224,1.0
1997-07-17,500.0,510.0,500.0,505.0,60.0,0.012024048096192397,1.0
1997-07-21,500.0,515.0,499.0,515.0,50.0,0.01980198019801982,1.0
1997-07-22,500.0,500.0,480.0,480.0,45.0,-0.06796116504854366,1.0
1997-07-23,500.0,500.0,500.0,500.0,25.0,0.04166666666666674,1.0
1997-07-24,500.0,545.0,500.0,545.0,10.0,0.09000000000000008,1.0
1997-07-25,500.0,500.0,500.0,500.0,10.0,-0.08256880733944949,1.0
1997-07-28,499.0,499.0,499.0,499.0,5.0,-0.0020000000000000018,1.0
1997-07-29,500.0,500.0,480.0,480.0,60.0,-0.038076152304609256,1.0
1997-07-30,510.0,528.0,510.0,515.0,220.0,0.07291666666666674,1.0
1997-07-31,520.0,550.0,520.0,535.0,95.0,0.03883495145631066,1.0
1997-08-01,535.0,550.0,535.0,538.0,50.0,0.005607476635514086,1.0
1997-08-04,534.0,570.0,534.0,550.0,120.0,0.02230483271375472,1.0
1997-08-05,550.0,560.0,550.0,560.0,10.0,0.018181818181818077,1.0
1997-08-06,570.0,575.0,560.0,560.0,25.0,0.0,1.0
1997-08-07,540.0,540.0,536.0,536.0,10.0,-0.042857142857142816,1.0
1997-08-08,560.0,560.0,542.0,548.0,20.0,0.02238805970149249,1.0
1997-08-12,545.0,545.0,545.0,545.0,5.0,-0.005474452554744547,1.0
1997-08-14,510.0,510.0,510.0,510.0,5.0,-0.06422018348623848,1.0
1997-08-19,489.75,489.75,470.0,470.0,15.0,-0.07843137254901966,1.0
1997-08-22,500.0,510.0,498.0,500.0,45.0,0.06382978723404253,1.0
1997-08-25,510.0,510.0,510.0,510.0,50.0,0.020000000000000018,1.0
1997-08-26,500.0,500.0,500.0,500.0,10.0,-0.019607843137254943,1.0
1997-08-27,460.0,460.0,460.0,460.0,50.0,-0.07999999999999996,1.0
1997-08-28,480.0,488.0,480.0,480.0,50.0,0.04347826086956519,1.0
1997-08-29,471.0,471.0,471.0,471.0,10.0,-0.018750000000000044,1.0
1997-09-01,500.0,500.0,480.0,480.0,55.0,0.019108280254777066,1.0
1997-09-02,440.0,504.8,440.0,463.95,110.0,-0.03343750000000001,1.0
1997-09-05,419.0,419.0,419.0,419.0,5.0,-0.09688544024140533,1.0
1997-09-08,381.0,381.0,381.0,381.0,5.0,-0.09069212410501193,1.0
1997-09-09,348.5,348.5,348.5,348.5,355.0,-0.08530183727034124,1.0
1997-09-12,365.9,365.9,365.9,365.9,5.0,0.049928263988522126,1.0
1997-09-22,384.2,384.2,384.0,384.0,25.0,0.0494670675047828,1.0
1997-09-23,381.0,381.0,380.0,380.0,15.0,-0.01041666666666663,1.0
1997-10-14,390.0,390.0,390.0,390.0,10.0,0.026315789473684292,1.0
1997-10-15,385.0,385.0,385.0,385.0,10.0,-0.012820512820512775,1.0
1997-10-23,385.0,385.0,385.0,385.0,5.0,0.0,1.0
1997-11-06,370.0,370.0,365.0,365.0,10.0,-0.051948051948051965,1.0
1997-11-11,350.0,350.0,350.0,350.0,5.0,-0.04109589041095896,1.0
