Date,Open,High,Low,Close,Volume,Returns,Anomaly
1997-05-07,9.4,9.9,8.8,9.15,24300.0,,1.0
1997-05-08,9.65,9.65,8.95,9.15,11800.0,0.0,1.0
1997-05-09,9.3,9.3,9.0,9.05,9700.0,-0.010928961748633892,1.0
1997-05-12,9.05,9.2,8.9,9.05,5000.0,0.0,1.0
1997-05-13,9.0,9.25,9.0,9.05,3700.0,0.0,1.0
1997-05-14,9.0,9.0,8.9,8.9,500.0,-0.016574585635359185,1.0
1997-05-15,9.0,9.05,9.0,9.05,500.0,0.016853932584269593,1.0
1997-05-16,8.6,8.9,8.5,8.5,4000.0,-0.06077348066298349,1.0
1997-05-19,9.0,9.0,8.3,8.3,9600.0,-0.0235294117647058,1.0
1997-05-20,9.0,9.0,8.25,8.4,15300.0,0.012048192771084265,1.0
1997-05-21,8.15,8.45,8.1,8.15,2400.0,-0.029761904761904767,1.0
1997-05-22,8.25,8.4,7.55,7.6,10700.0,-0.06748466257668717,1.0
1997-05-23,8.0,8.0,6.7,6.7,8100.0,-0.11842105263157887,1.0
1997-05-26,7.0,7.0,6.2,6.55,5600.0,-0.022388059701492602,1.0
1997-05-27,7.0,7.0,6.6,6.75,3000.0,0.03053435114503822,1.0
1997-05-28,6.85,6.85,6.7,6.85,3500.0,0.014814814814814836,1.0
1997-05-29,7.0,7.25,6.7,7.1,3300.0,0.03649635036496357,1.0
1997-05-30,7.0,7.05,7.0,7.05,1000.0,-0.007042253521126751,1.0
1997-06-02,7.0,7.2,7.0,7.15,700.0,0.014184397163120588,1.0
1997-06-03,7.25,7.35,7.05,7.35,3600.0,0.027972027972027913,1.0
1997-06-04,6.9,7.25,6.85,7.25,800.0,-0.013605442176870652,1.0
1997-06-05,7.1,7.25,7.05,7.25,1900.0,0.0,1.0
1997-06-06,7.0,7.45,7.0,7.35,4500.0,0.01379310344827589,1.0
1997-06-09,7.15,7.5,7.1,7.5,2400.0,0.020408163265306145,1.0
1997-06-10,7.15,7.95,7.15,7.55,3000.0,0.006666666666666599,1.0
1997-06-11,7.9,7.9,7.75,7.75,1600.0,0.026490066225165476,1.0
1997-06-12,7.65,7.95,7.65,7.9,2800.0,0.019354838709677358,1.0
1997-06-13,7.9,8.0,7.5,7.65,2600.0,-0.03164556962025311,1.0
1997-06-16,8.2,8.3,7.6,7.6,1800.0,-0.0065359477124183885,1.0
1997-06-17,7.85,8.0,7.65,7.65,2200.0,0.00657894736842124,1.0
1997-06-18,8.1,8.1,7.6,7.9,1900.0,0.03267973856209161,1.0
1997-06-19,7.75,7.9,7.6,7.8,2800.0,-0.012658227848101333,1.0
1997-06-20,7.6,7.85,7.6,7.7,2200.0,-0.012820512820512775,1.0
1997-06-23,7.75,7.8,7.5,7.8,1100.0,0.01298701298701288,1.0
1997-06-24,7.55,7.7,7.55,7.6,2200.0,-0.02564102564102566,1.0
1997-06-25,8.0,8.5,8.0,8.0,6900.0,0.05263157894736836,1.0
1997-06-26,8.05,8.1,8.05,8.1,200.0,0.012499999999999956,1.0
1997-06-27,8.0,8.5,8.0,8.0,3400.0,-0.012345679012345623,1.0
1997-06-30,7.75,8.0,7.55,7.75,3300.0,-0.03125,1.0
1997-07-01,8.0,8.25,7.9,8.15,8200.0,0.05161290322580658,1.0
1997-07-02,8.25,8.7,8.2,8.3,10800.0,0.01840490797546024,1.0
1997-07-03,8.25,9.35,8.1,9.25,8000.0,0.11445783132530107,1.0
1997-07-04,9.25,9.75,9.15,9.5,12900.0,0.027027027027026973,1.0
1997-07-07,9.25,9.6,9.25,9.55,7200.0,0.0052631578947368585,1.0
1997-07-08,9.7,9.7,9.15,9.25,9400.0,-0.03141361256544506,1.0
1997-07-09,9.7,9.8,9.4,9.4,9800.0,0.016216216216216273,1.0
1997-07-10,9.5,9.9,9.4,9.4,6500.0,0.0,1.0
1997-07-11,9.55,9.75,9.55,9.55,3400.0,0.015957446808510634,1.0
1997-07-14,9.35,9.45,9.2,9.35,3000.0,-0.020942408376963484,1.0
1997-07-15,9.2,9.2,8.95,8.95,3100.0,-0.042780748663101664,1.0
1997-07-16,9.15,9.5,9.15,9.4,4500.0,0.05027932960893877,1.0
1997-07-17,9.1,9.25,9.1,9.25,5500.0,-0.015957446808510634,1.0
1997-07-21,8.35,8.5,8.25,8.5,1700.0,-0.08108108108108103,1.0
1997-07-22,8.45,9.1,8.45,8.8,2000.0,0.03529411764705892,1.0
1997-07-23,9.0,9.0,8.8,8.95,1800.0,0.017045454545454364,1.0
1997-07-24,9.0,9.0,8.55,8.95,2100.0,0.0,1.0
1997-07-25,9.0,9.0,8.9,9.0,3100.0,0.005586592178770999,1.0
1997-07-28,9.05,9.05,9.05,9.05,500.0,0.005555555555555536,1.0
1997-07-29,9.05,9.2,9.05,9.05,4300.0,0.0,1.0
1997-07-30,9.75,9.75,9.3,9.3,5800.0,0.027624309392265234,1.0
1997-07-31,9.4,9.45,9.1,9.25,8500.0,-0.005376344086021612,1.0
1997-08-01,9.75,9.9,9.55,9.55,3200.0,0.032432432432432545,1.0
1997-08-04,9.9,9.9,9.5,9.85,5500.0,0.03141361256544495,1.0
1997-08-05,9.9,9.9,9.55,9.8,7100.0,-0.0050761421319796,1.0
1997-08-06,9.65,10.15,9.65,9.8,15000.0,0.0,1.0
1997-08-07,9.5,9.5,9.3,9.5,1000.0,-0.030612244897959218,1.0
1997-08-08,9.0,9.3,8.95,9.25,3100.0,-0.02631578947368418,1.0
1997-08-11,9.0,9.0,9.0,9.0,100.0,-0.027027027027026973,1.0
1997-08-12,9.1,9.1,9.0,9.0,2400.0,0.0,1.0
1997-08-13,9.05,9.05,9.05,9.05,300.0,0.005555555555555536,1.0
1997-08-14,9.1,9.1,9.05,9.1,1700.0,0.0055248618784529135,1.0
1997-08-18,9.5,9.5,9.1,9.1,700.0,0.0,1.0
1997-08-19,8.8,8.8,8.75,8.75,1700.0,-0.038461538461538436,1.0
1997-08-20,9.0,10.0,9.0,10.0,3200.0,0.1428571428571428,1.0
1997-08-21,10.5,10.5,9.15,9.35,4900.0,-0.06500000000000006,1.0
1997-08-22,9.3,9.45,9.1,9.25,4500.0,-0.010695187165775333,1.0
1997-08-25,9.35,9.35,9.15,9.15,300.0,-0.010810810810810811,1.0
1997-08-26,9.05,9.15,8.85,8.9,1900.0,-0.02732240437158473,1.0
1997-08-27,9.15,9.5,9.15,9.25,2800.0,0.0393258426966292,1.0
1997-08-29,9.2,9.25,9.1,9.1,5300.0,-0.016216216216216273,1.0
1997-09-01,9.25,9.25,9.0,9.0,200.0,-0.01098901098901095,1.0
1997-09-02,9.1,9.1,9.0,9.0,300.0,0.0,1.0
1997-09-03,9.15,9.15,9.0,9.0,700.0,0.0,1.0
1997-09-04,8.5,8.6,8.5,8.6,1100.0,-0.04444444444444451,1.0
1997-09-05,8.7,8.7,8.6,8.6,1000.0,0.0,1.0
1997-09-09,8.7,8.7,8.6,8.6,300.0,0.0,1.0
1997-09-10,8.8,8.8,8.8,8.8,1200.0,0.023255813953488413,1.0
1997-09-11,8.8,9.0,8.8,8.9,2600.0,0.011363636363636243,1.0
1997-09-15,8.9,8.95,8.6,8.6,2000.0,-0.03370786516853941,1.0
1997-09-16,8.95,9.0,8.75,8.85,3100.0,0.029069767441860517,1.0
1997-09-17,8.85,8.85,8.85,8.85,100.0,0.0,1.0
1997-09-18,8.9,8.9,8.8,8.8,600.0,-0.005649717514124131,1.0
1997-09-19,8.5,8.75,8.5,8.75,900.0,-0.005681818181818232,1.0
1997-09-22,8.4,8.9,8.4,8.4,3000.0,-0.039999999999999925,1.0
1997-09-23,9.1,9.1,8.5,8.5,2900.0,0.011904761904761862,1.0
1997-09-24,8.55,9.1,8.55,9.0,4300.0,0.05882352941176472,1.0
1997-09-25,8.9,9.0,8.9,9.0,1400.0,0.0,1.0
1997-09-26,8.8,9.2,8.55,9.15,11500.0,0.016666666666666607,1.0
1997-09-29,8.6,8.7,8.5,8.7,2100.0,-0.049180327868852625,1.0
1997-09-30,8.5,9.15,8.0,9.15,13000.0,0.0517241379310347,1.0
