Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-04-17,90.0,90.0,90.0,90.0,100.0,,1.0
1996-04-22,99.25,99.25,99.25,99.25,1300.0,0.10277777777777786,1.0
1996-04-23,98.0,98.0,97.95,97.95,400.0,-0.013098236775818561,1.0
1996-04-30,102.0,102.0,102.0,102.0,100.0,0.041347626339969246,1.0
1996-05-02,100.0,110.0,100.0,109.5,1400.0,0.07352941176470584,1.0
1996-05-03,112.0,120.0,112.0,120.0,300.0,0.09589041095890405,1.0
1996-05-06,125.0,129.0,125.0,129.0,200.0,0.07499999999999996,1.0
1996-05-07,129.0,135.5,135.0,135.5,400.0,0.050387596899224896,1.0
1996-05-08,128.0,133.0,127.0,130.5,1400.0,-0.03690036900369009,1.0
1996-05-09,128.0,130.0,125.1,125.9,1500.0,-0.03524904214559388,1.0
1996-05-10,118.25,120.0,118.25,120.0,300.0,-0.046862589356632345,1.0
1996-05-13,123.0,123.0,115.0,115.0,500.0,-0.04166666666666663,1.0
1996-05-14,115.0,110.25,107.0,107.0,900.0,-0.06956521739130439,1.0
1996-05-17,115.0,115.0,110.0,110.0,500.0,0.028037383177569986,1.0
1996-05-21,103.0,103.0,103.0,103.0,100.0,-0.0636363636363636,1.0
1996-05-22,100.1,100.1,100.1,100.1,100.0,-0.028155339805825297,1.0
1996-05-28,96.5,96.5,96.5,96.5,100.0,-0.035964035964035856,1.0
1996-05-29,106.0,106.0,106.0,106.0,100.0,0.09844559585492219,1.0
1996-05-30,106.0,110.0,110.0,110.0,200.0,0.037735849056603765,1.0
1996-05-31,117.0,117.0,113.0,113.0,800.0,0.027272727272727337,1.0
1996-06-03,112.0,112.0,112.0,112.0,100.0,-0.008849557522123908,1.0
1996-06-04,110.0,113.0,110.0,112.25,600.0,0.0022321428571427937,1.0
1996-06-07,112.0,112.0,112.0,112.0,100.0,-0.00222717149220486,1.0
1996-06-10,112.0,114.0,112.0,114.0,600.0,0.017857142857142794,1.0
1996-06-11,119.0,119.0,109.0,110.0,2900.0,-0.03508771929824561,1.0
1996-06-12,120.0,120.0,112.0,114.75,1400.0,0.04318181818181821,1.0
1996-06-13,115.5,115.5,110.25,110.25,1400.0,-0.039215686274509776,1.0
1996-06-14,114.0,121.0,109.0,109.0,2300.0,-0.0113378684807256,1.0
1996-06-17,117.0,117.0,111.4,111.4,800.0,0.022018348623853212,1.0
1996-06-18,110.5,114.5,110.5,110.9,3100.0,-0.004488330341113067,1.0
1996-06-19,113.0,113.0,108.5,108.7,900.0,-0.019837691614066788,1.0
1996-06-20,107.0,107.0,107.0,107.0,200.0,-0.015639374425023056,1.0
1996-06-21,106.9,106.9,103.0,103.0,500.0,-0.03738317757009346,1.0
1996-06-24,104.0,104.0,104.0,104.0,100.0,0.009708737864077666,1.0
1996-06-25,109.5,109.5,105.0,105.0,700.0,0.009615384615384581,1.0
1996-06-26,104.05,104.05,103.25,103.25,400.0,-0.01666666666666672,1.0
1996-06-27,100.5,100.5,100.25,100.25,200.0,-0.029055690072639195,1.0
1996-07-02,95.75,95.75,95.5,95.65,300.0,-0.04588528678304238,1.0
1996-07-04,95.0,95.0,92.0,92.0,300.0,-0.038159958180867815,1.0
1996-07-05,94.0,94.0,91.0,91.2,1000.0,-0.008695652173912993,1.0
1996-07-08,90.0,90.0,90.0,90.0,100.0,-0.013157894736842146,1.0
1996-07-09,92.5,92.55,92.5,92.55,700.0,0.02833333333333332,1.0
1996-07-10,96.0,96.0,96.0,96.0,100.0,0.037277147487844386,1.0
1996-07-11,100.0,103.5,98.5,99.0,6300.0,0.03125,1.0
1996-07-12,98.0,98.0,98.0,98.0,100.0,-0.010101010101010055,1.0
1996-07-15,99.0,99.0,96.5,96.5,300.0,-0.015306122448979553,1.0
1996-07-16,88.5,91.0,88.5,88.6,1600.0,-0.08186528497409329,1.0
1996-07-17,92.5,92.5,89.0,89.0,500.0,0.004514672686230403,1.0
1996-07-22,90.0,90.0,90.0,90.0,200.0,0.011235955056179803,1.0
1996-07-23,90.0,91.0,90.0,90.05,300.0,0.0005555555555554204,1.0
1996-07-24,88.0,88.0,88.0,88.0,100.0,-0.022765130483064944,1.0
1996-07-25,90.0,90.0,89.25,89.25,300.0,0.014204545454545414,1.0
1996-07-26,89.0,89.05,89.0,89.05,600.0,-0.0022408963585434094,1.0
1996-07-29,86.0,86.0,86.0,86.0,200.0,-0.03425042111173493,1.0
1996-07-30,87.25,87.5,86.0,86.0,800.0,0.0,1.0
1996-07-31,86.0,86.25,86.0,86.25,200.0,0.0029069767441860517,1.0
1996-08-02,82.25,82.25,82.25,82.25,300.0,-0.04637681159420293,1.0
1996-08-05,82.3,82.3,82.0,82.0,1900.0,-0.003039513677811523,1.0
1996-08-06,81.9,82.0,81.9,82.0,400.0,0.0,1.0
1996-08-07,89.9,89.9,88.0,88.0,600.0,0.07317073170731714,1.0
1996-08-09,85.0,90.0,85.0,87.0,900.0,-0.011363636363636354,1.0
1996-08-12,86.05,86.05,84.5,84.5,500.0,-0.028735632183908066,1.0
1996-08-13,82.05,82.05,79.0,79.0,500.0,-0.0650887573964497,1.0
1996-08-14,80.0,80.0,80.0,80.0,500.0,0.012658227848101333,1.0
1996-08-19,80.0,80.0,79.8,80.0,600.0,0.0,1.0
1996-08-20,81.0,81.0,79.0,80.0,1100.0,0.0,1.0
1996-08-21,80.0,80.0,78.4,78.4,2300.0,-0.019999999999999907,1.0
1996-08-22,80.0,85.0,80.0,82.25,1700.0,0.049107142857142794,1.0
1996-08-23,84.0,85.0,83.5,83.5,2000.0,0.015197568389057725,1.0
1996-08-26,85.0,85.0,83.5,83.5,600.0,0.0,1.0
1996-08-27,83.0,83.0,82.5,82.5,600.0,-0.0119760479041916,1.0
1996-08-28,87.0,90.0,82.65,89.5,4900.0,0.08484848484848495,1.0
1996-08-29,90.5,92.0,87.0,88.35,2500.0,-0.012849162011173254,1.0
1996-08-30,87.0,87.5,83.65,83.65,1000.0,-0.05319750990379157,1.0
1996-09-02,85.5,88.0,85.5,88.0,300.0,0.05200239091452463,1.0
1996-09-03,88.0,92.0,87.0,87.0,1300.0,-0.011363636363636354,1.0
1996-09-04,87.0,89.0,87.0,88.25,400.0,0.014367816091954033,1.0
1996-09-05,87.75,87.75,87.75,87.75,500.0,-0.005665722379603388,1.0
