Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-09,55.15,55.15,55.1,55.1,200.0,,1.0
1996-01-16,52.0,52.0,52.0,52.0,100.0,-0.056261343012704246,1.0
1996-01-17,52.0,52.0,52.0,52.0,100.0,0.0,1.0
1996-01-19,49.0,49.0,49.0,49.0,100.0,-0.05769230769230771,1.0
1996-01-22,49.0,50.0,50.0,50.0,100.0,0.020408163265306145,1.0
1996-01-23,50.0,50.3,50.3,50.3,100.0,0.006000000000000005,1.0
1996-01-31,54.0,54.75,54.0,54.75,200.0,0.08846918489065603,1.0
1996-02-01,52.0,52.0,52.0,52.0,100.0,-0.05022831050228316,1.0
1996-02-05,57.0,57.0,53.0,53.0,1500.0,0.019230769230769162,1.0
1996-02-07,58.0,58.0,58.0,58.0,100.0,0.09433962264150941,1.0
1996-02-09,62.0,62.0,62.0,62.0,100.0,0.06896551724137923,1.0
1996-02-12,67.0,67.0,67.0,67.0,100.0,0.08064516129032251,1.0
1996-02-13,67.0,69.0,64.0,68.25,800.0,0.018656716417910557,1.0
1996-02-14,68.25,70.0,67.0,70.0,400.0,0.02564102564102555,1.0
1996-02-15,68.5,69.0,68.5,68.5,300.0,-0.021428571428571463,1.0
1996-02-29,65.0,68.0,65.0,68.0,500.0,-0.007299270072992692,1.0
1996-03-01,64.0,64.0,64.0,64.0,200.0,-0.05882352941176472,1.0
1996-03-04,60.0,60.0,60.0,60.0,100.0,-0.0625,1.0
1996-03-19,60.0,60.0,60.0,60.0,100.0,0.0,1.0
1996-04-09,55.0,55.0,55.0,55.0,100.0,-0.08333333333333337,1.0
1996-04-11,56.0,56.0,56.0,56.0,100.0,0.018181818181818077,1.0
1996-04-15,56.0,57.0,57.0,57.0,100.0,0.017857142857142794,1.0
1996-04-18,57.0,62.0,62.0,62.0,100.0,0.08771929824561409,1.0
1996-04-19,66.0,66.0,66.0,66.0,100.0,0.06451612903225801,1.0
1996-04-29,60.0,60.0,60.0,60.0,100.0,-0.09090909090909094,1.0
1996-05-01,60.0,60.0,60.0,60.0,100.0,0.0,1.0
