Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-11-01,22.0,22.0,22.0,22.0,800.0,,1.0
1996-11-07,21.0,21.0,21.0,21.0,600.0,-0.045454545454545414,1.0
1996-11-14,19.25,19.3,19.25,19.3,300.0,-0.08095238095238089,1.0
1996-11-15,20.0,20.0,17.5,17.5,1100.0,-0.09326424870466321,1.0
1996-11-18,19.0,19.25,18.5,18.5,1000.0,0.05714285714285716,1.0
1996-11-19,18.05,18.6,18.05,18.5,1400.0,0.0,1.0
1996-11-25,16.75,16.75,16.75,16.75,100.0,-0.09459459459459463,1.0
1996-11-26,17.75,17.85,17.75,17.85,200.0,0.06567164179104479,1.0
1996-11-27,17.0,17.0,16.5,16.5,200.0,-0.0756302521008404,1.0
1996-11-28,17.0,17.0,16.5,16.65,1100.0,0.009090909090909038,1.0
1996-11-29,17.5,17.5,17.5,17.5,1000.0,0.05105105105105112,1.0
1996-12-02,17.5,17.5,16.5,16.5,900.0,-0.05714285714285716,1.0
1996-12-03,16.55,16.55,16.0,16.05,1700.0,-0.027272727272727226,1.0
1996-12-04,15.95,15.95,15.95,15.95,100.0,-0.006230529595015688,1.0
1996-12-05,17.0,17.0,17.0,17.0,100.0,0.0658307210031348,1.0
1996-12-06,15.5,16.0,15.5,16.0,2000.0,-0.05882352941176472,1.0
1996-12-09,15.75,15.75,15.25,15.25,700.0,-0.046875,1.0
1996-12-10,15.0,15.25,15.0,15.25,800.0,0.0,1.0
1996-12-12,15.5,15.5,15.1,15.1,2500.0,-0.00983606557377048,1.0
1996-12-13,16.0,16.0,15.5,15.5,1300.0,0.026490066225165476,1.0
1996-12-16,15.5,15.5,15.05,15.25,1300.0,-0.016129032258064502,1.0
1996-12-17,15.25,15.3,15.0,15.15,1800.0,-0.006557377049180357,1.0
1996-12-18,15.6,15.75,15.5,15.75,3300.0,0.03960396039603964,1.0
1996-12-19,16.15,16.15,16.15,16.15,200.0,0.025396825396825307,1.0
1996-12-20,16.25,16.25,15.5,16.25,1400.0,0.006191950464396356,1.0
1996-12-23,16.85,16.85,16.25,16.25,500.0,0.0,1.0
1996-12-24,16.3,16.65,16.3,16.45,1700.0,0.012307692307692353,1.0
1996-12-26,17.0,17.0,17.0,17.0,2000.0,0.033434650455927084,1.0
1996-12-31,17.7,18.5,17.7,18.05,6500.0,0.061764705882352944,1.0
1997-01-01,19.8,19.8,19.5,19.8,500.0,0.09695290858725758,1.0
1997-01-02,21.0,21.8,21.0,21.8,6100.0,0.101010101010101,1.0
1997-01-03,21.95,21.95,21.45,21.5,1900.0,-0.013761467889908285,1.0
1997-01-06,22.0,22.5,20.0,20.0,2000.0,-0.06976744186046513,1.0
1997-01-07,19.5,20.5,19.5,20.45,2500.0,0.022499999999999964,1.0
1997-01-08,20.05,21.0,20.05,20.75,5500.0,0.014669926650366705,1.0
1997-01-09,20.8,22.0,20.0,20.15,5200.0,-0.028915662650602525,1.0
1997-01-10,21.75,21.75,20.5,21.0,4800.0,0.042183622828784184,1.0
1997-01-13,21.35,22.0,21.25,21.5,2900.0,0.023809523809523725,1.0
1997-01-14,21.7,21.75,20.8,21.0,3900.0,-0.023255813953488413,1.0
1997-01-15,21.85,22.4,21.15,22.4,8300.0,0.06666666666666665,1.0
1997-01-16,24.0,24.0,21.4,22.0,2400.0,-0.017857142857142794,1.0
1997-01-17,21.5,21.5,20.3,20.6,2900.0,-0.0636363636363636,1.0
1997-01-20,20.0,20.65,18.85,19.15,1700.0,-0.07038834951456319,1.0
1997-01-21,17.75,19.5,17.3,17.3,2800.0,-0.0966057441253263,1.0
1997-01-22,18.8,18.8,18.8,18.8,100.0,0.08670520231213863,1.0
1997-01-24,18.5,18.5,18.5,18.5,300.0,-0.015957446808510634,1.0
1997-01-27,18.75,18.75,18.5,18.5,1600.0,0.0,1.0
1997-01-28,18.0,19.0,18.0,18.0,1000.0,-0.027027027027026973,1.0
1997-01-29,18.25,18.75,18.1,18.3,1200.0,0.016666666666666607,1.0
1997-01-30,18.4,18.5,18.25,18.25,700.0,-0.002732240437158473,1.0
1997-01-31,18.25,18.25,17.3,17.3,2600.0,-0.05205479452054795,1.0
1997-02-03,17.0,17.0,16.0,16.45,700.0,-0.04913294797687873,1.0
1997-02-04,17.0,17.0,16.75,17.0,700.0,0.033434650455927084,1.0
1997-02-05,17.0,17.6,17.0,17.5,4900.0,0.02941176470588225,1.0
1997-02-06,17.25,17.25,16.0,17.0,2700.0,-0.02857142857142858,1.0
1997-02-07,17.0,18.5,17.0,17.9,2300.0,0.05294117647058805,1.0
1997-02-10,18.0,18.0,17.0,17.0,1200.0,-0.05027932960893844,1.0
1997-02-11,16.65,17.05,16.65,17.0,1000.0,0.0,1.0
1997-02-12,17.5,18.4,17.0,17.0,1300.0,0.0,1.0
1997-02-13,16.5,17.0,16.5,17.0,700.0,0.0,1.0
1997-02-14,16.95,17.0,16.7,17.0,900.0,0.0,1.0
1997-02-17,16.9,17.95,16.9,17.95,500.0,0.055882352941176494,1.0
1997-02-18,16.8,17.4,16.8,17.05,500.0,-0.05013927576601662,1.0
1997-02-19,16.6,16.85,16.6,16.65,600.0,-0.02346041055718484,1.0
1997-02-20,16.0,16.25,16.0,16.1,700.0,-0.033033033033032844,1.0
