Date,Open,High,Low,Close,Volume,Returns,Anomaly
1999-09-22,156.65,156.65,153.0,156.65,4800.0,,1.0
1999-09-23,157.0,158.5,152.0,154.05,12100.0,-0.016597510373443924,1.0
1999-09-24,153.0,165.0,153.0,163.8,12000.0,0.06329113924050622,1.0
1999-09-27,165.0,172.5,161.2,163.2,17300.0,-0.003663003663003761,1.0
1999-09-28,157.6,160.85,153.1,154.4,17700.0,-0.0539215686274509,1.0
1999-09-29,158.0,166.75,158.0,166.45,15700.0,0.07804404145077704,1.0
1999-09-30,162.0,165.0,162.0,162.95,12200.0,-0.021027335536197067,1.0
1999-10-01,162.0,167.4,162.0,164.9,14200.0,0.011966861000306972,1.0
1999-10-04,160.0,165.0,160.0,160.05,8100.0,-0.02941176470588236,1.0
1999-10-05,157.5,169.0,157.5,165.7,18400.0,0.035301468291158766,1.0
1999-10-06,175.0,179.0,174.9,179.0,12100.0,0.0802655401327701,1.0
1999-10-07,190.0,193.35,190.0,193.35,3400.0,0.08016759776536309,1.0
1999-10-08,208.85,208.85,195.55,208.85,65700.0,0.08016550297388148,1.0
1999-10-11,221.0,225.6,216.35,225.6,18400.0,0.08020110126885327,1.0
1999-10-12,241.0,243.65,233.0,243.65,18100.0,0.08000886524822692,1.0
1999-10-13,262.95,263.15,250.0,263.15,8400.0,0.0800328339831724,1.0
1999-10-14,284.2,284.2,284.2,284.2,2800.0,0.07999239977199313,1.0
1999-10-15,306.95,306.95,278.0,294.2,64700.0,0.035186488388458725,1.0
1999-10-18,313.4,317.5,286.1,298.3,59500.0,0.013936097892590205,1.0
1999-10-20,320.0,322.2,319.95,322.2,20300.0,0.08012068387529325,1.0
1999-10-21,334.9,339.0,308.05,315.3,44000.0,-0.021415270018621868,1.0
1999-10-22,315.0,316.0,306.2,314.5,23100.0,-0.002537266095781865,1.0
1999-10-23,315.6,315.6,309.8,313.4,2300.0,-0.0034976152623211743,1.0
1999-10-25,311.1,320.0,290.0,293.05,16900.0,-0.06493299298021682,1.0
1999-10-26,303.0,303.0,280.0,284.3,28900.0,-0.02985838594096568,1.0
1999-10-27,296.9,297.0,274.2,275.2,18300.0,-0.03200844178684492,1.0
1999-10-28,280.1,280.1,256.1,269.5,22100.0,-0.020712209302325535,1.0
1999-10-29,259.0,259.0,247.95,247.95,19000.0,-0.07996289424860858,1.0
1999-11-01,231.0,231.0,228.15,228.15,5300.0,-0.07985480943738654,1.0
1999-11-02,212.0,224.5,209.9,221.35,37200.0,-0.029804952881876012,1.0
1999-11-03,229.0,239.0,222.5,227.85,20100.0,0.029365258640162706,1.0
1999-11-04,225.5,230.5,213.2,228.4,17400.0,0.0024138687733157305,1.0
1999-11-05,218.0,236.0,218.0,230.4,17900.0,0.008756567425569184,1.0
1999-11-07,227.1,231.0,227.0,229.5,4300.0,-0.00390625,1.0
1999-11-09,229.75,240.2,224.0,234.4,14200.0,0.021350762527233114,1.0
1999-11-10,238.0,253.15,236.6,253.15,12900.0,0.07999146757679187,1.0
1999-11-11,268.0,273.4,261.0,264.25,23400.0,0.04384752123247093,1.0
1999-11-12,265.8,265.8,245.0,249.3,14000.0,-0.0565752128666035,1.0
1999-11-15,252.0,252.0,238.0,238.55,9900.0,-0.04312073806658645,1.0
1999-11-16,236.5,245.0,236.5,239.8,21100.0,0.005239991616013517,1.0
1999-11-17,237.0,248.0,233.1,233.1,10400.0,-0.027939949958298627,1.0
1999-11-18,232.0,237.0,222.0,222.95,12000.0,-0.04354354354354362,1.0
1999-11-19,224.0,232.0,224.0,225.9,18600.0,0.013231666292890853,1.0
1999-11-22,213.0,227.0,213.0,223.55,17100.0,-0.010402833111996412,1.0
1999-11-24,228.9,241.45,226.0,241.45,16800.0,0.0800715723551777,1.0
1999-11-25,245.0,258.65,245.0,247.75,15000.0,0.02609235866639059,1.0
1999-11-26,249.0,249.0,240.0,242.5,10100.0,-0.021190716448032276,1.0
1999-11-29,240.0,240.3,230.3,234.15,12800.0,-0.034432989690721616,1.0
1999-11-30,230.0,252.9,230.0,252.9,17600.0,0.08007687379884687,1.0
1999-12-01,273.15,273.15,256.5,261.0,24600.0,0.03202846975088969,1.0
1999-12-02,259.0,269.0,254.0,263.85,17000.0,0.010919540229885172,1.0
1999-12-03,267.0,267.5,260.0,261.2,9300.0,-0.010043585370475783,1.0
1999-12-06,264.5,264.7,257.2,258.55,10300.0,-0.010145482388973837,1.0
