Date,Open,High,Low,Close,Volume,Returns,Anomaly
2010-02-08,,,,,,,
2010-02-09,,,,,,,
2010-02-10,,,,,,,
2010-02-11,,,,,,,
2010-02-15,233.6,236.8,225.5,229.15,3190280.0,-0.007793894782420319,1.0
2010-02-16,229.1,234.0,227.15,230.25,1730276.0,0.004800349116299341,1.0
2010-02-17,234.575,237.4,227.075,230.575,1994106.5,-0.018852158014937614,1.0
2010-02-18,240.05,240.8,227.0,230.9,2257937.0,-0.04250466514617457,1.0
2010-02-19,225.0,231.0,221.8,226.85,884811.0,-0.017540060632308396,1.0
2010-02-22,228.1,234.8,227.7,230.4,689592.0,0.015649107339651858,1.0
2010-02-23,230.0,231.7,216.75,219.85,632799.0,-0.04578993055555558,1.0
2010-02-24,215.4,227.0,212.6,221.9,897190.0,0.009324539458721803,1.0
2010-02-25,220.5,227.85,219.0,224.9,491706.0,0.013519603424966276,1.0
2010-02-26,224.9,240.9,221.35,229.75,939799.0,0.021565140062249855,1.0
2010-03-02,230.95,234.4,229.5,233.4,263072.0,0.015886833514690002,1.0
2010-03-03,233.4,240.0,229.05,230.4,343876.0,-0.01285347043701801,1.0
2010-03-04,231.0,237.0,230.5,236.55,506618.0,0.02669270833333326,1.0
2010-03-05,245.5,258.45,244.85,256.55,2054564.0,0.048777138290577615,1.0
2010-03-08,260.0,279.9,259.2,276.55,3602510.0,0.07086156824782197,1.0
2010-03-09,280.0,292.65,271.375,281.225,3771996.5,0.012407761100887926,1.0
2010-03-10,300.0,305.4,283.55,285.9,3941483.0,-0.04604604604604612,1.0
2010-03-11,285.9,288.4,275.4,276.85,1301774.0,-0.03165442462399426,1.0
2010-03-12,285.35,289.54999999999995,276.35,278.20000000000005,1359384.0,-0.027956357163655077,1.0
2010-03-15,284.8,290.7,277.3,279.55,1416994.0,-0.024258289703315894,1.0
2010-03-16,250.0,294.8,250.0,288.85,2000501.0,0.0332677517438742,1.0
2010-03-17,292.25,295.75,286.85,288.4,1763658.0,-0.0015579020252728393,1.0
2010-03-18,288.25,306.45,288.05,294.65,3185070.0,0.021671289875173416,1.0
2010-03-19,306.8,321.5833333333333,300.03333333333336,306.65,3214071.3333333335,0.004377623860664575,1.0
2010-03-22,325.34999999999997,336.7166666666667,312.01666666666665,318.65,3243072.6666666665,-0.012916042153844266,1.0
2010-03-23,343.9,351.85,324.0,330.65,3272074.0,-0.03020970816835311,1.0
2010-03-25,330.0,351.0,328.15,338.55,4461242.0,0.023892333282927725,1.0
2010-03-26,339.0,348.4,332.65,338.6,2006383.0,0.00014768867227887839,1.0
2010-03-29,348.0,348.0,303.85,316.45,1866987.0,-0.06541642055522745,1.0
2010-03-30,319.2,330.7,315.55,318.5,1787666.0,0.0064781166060989825,1.0
2010-03-31,323.0,327.95,308.25,313.6,1882065.0,-0.01538461538461533,1.0
2010-04-01,316.0,326.45,315.3,320.85,2591115.0,0.023118622448979664,1.0
2010-04-05,338.85,346.525,332.85,338.35,2623931.5,0.003472498949123548,1.0
2010-04-06,361.7,366.6,350.4,355.85,2656748.0,-0.016173624550732568,1.0
2010-04-07,370.95,375.05,350.6333333333333,356.4666666666667,3449925.0,-0.037050765581679926,1.0
2010-04-08,380.2,383.5,350.8666666666667,357.0833333333333,4243102.0,-0.05792790661262729,1.0
2010-04-09,389.45,391.95,351.1,357.7,5036279.0,-0.07880504764357465,1.0
2010-04-12,360.0,375.7,353.2,360.9,4133662.0,0.008946044171093126,1.0
2010-04-13,365.0,370.9,355.05,362.9,3492807.0,0.005541701302299806,1.0
2010-04-15,365.8,370.0,355.0,357.15,1964967.0,-0.015844585285202495,1.0
2010-04-16,357.4,359.3,334.65,344.3,2457165.0,-0.03597928041439158,1.0
2010-04-19,335.1,347.7,324.0,336.05,3741725.0,-0.02396166134185307,1.0
2010-04-20,335.1,345.0,335.1,339.5,1565887.0,0.010266329415265618,1.0
2010-04-21,343.0,359.6,340.1,351.65,4538222.0,0.03578792341678927,1.0
2010-04-22,340.0,364.0,332.0,357.4,3076617.0,0.016351485852410086,1.0
2010-04-23,360.0,363.5,345.4,351.75,1491912.0,-0.015808617795187385,1.0
2010-04-26,358.0,358.0,349.3,352.5,1037554.0,0.002132196162046851,1.0
2010-04-27,352.45,353.5,344.1,347.25,900233.0,-0.014893617021276562,1.0
2010-04-28,340.0,344.0,332.0,334.65,830797.0,-0.036285097192224725,1.0
2010-04-29,334.9,346.7,334.9,341.35,1124138.0,0.020020917376363467,1.0
2010-04-30,343.2,347.4,338.25,340.0,610175.0,-0.003954885015380216,1.0
2010-05-03,340.0,340.1,328.0,332.95,535035.0,-0.020735294117647074,1.0
2010-05-04,334.0,340.85,323.0,325.5,823330.0,-0.022375732091905687,1.0
2010-05-05,320.0,342.0,312.7,335.8,1304349.0,0.03164362519201225,1.0
2010-05-06,337.0,339.0,323.0,324.65,711911.0,-0.03320428826682564,1.0
2010-05-07,319.8,322.3,312.5,315.35,560073.0,-0.028646234406283555,1.0
2010-05-10,321.0,330.0,316.1,327.95,626971.0,0.039955604883462614,1.0
2010-05-11,333.0,347.6,325.6,327.55,1651297.0,-0.0012196981247141192,1.0
2010-05-12,331.0,333.35,317.0,318.95,745511.0,-0.026255533506335027,1.0
2010-05-13,322.0,328.0,315.0,317.3,635112.0,-0.005173224643361007,1.0
2010-05-14,315.0,318.9,296.0,300.15,840674.0,-0.05404979514654906,1.0
